Country,Plan name,Strategic priority code,Strategic priority,Outcome code,Outcome,Output code,Output,Sub-Output publication status,Sub-Output code,Sub-Output,ID,Description,Start date,End date,Status,Joint Programmes / Initiatives names,Joint Programmes / Initiatives types,Agency abbreviations,Agencies,Contributing partners,Implementation partners,SDG Targets,SDG Goals,Geography,QCPR function,Humanitarian marker,Humanitarian marker narrative,Gender marker,Gender marker narrative,Human rights marker,Suboutput also contributes to the following outputs,Human rights marker narrative,Sustaining peace marker,Sustaining peace marker narrative,LNOB groups targeted,Focal users,Non Monetary Assistance,Total required resources,Total available resources,Total expenditure resources,2018 Required,2018 Available,2018 Expenditure,2018 Narrative,2019 Required,2019 Available,2019 Expenditure,2019 Narrative,2020 Required,2020 Available,2020 Expenditure,2020 Narrative,2021 Required,2021 Available,2021 Expenditure,2021 Narrative,2022 Required,2022 Available,2022 Expenditure,2022 Narrative,2023 Required,2023 Available,2023 Expenditure,2023 Narrative,2024 Required,2024 Available,2024 Expenditure,2024 Narrative,2025 Required,2025 Available,2025 Expenditure,2025 Narrative,2026 Required,2026 Available,2026 Expenditure,2026 Narrative,2027 Required,2027 Available,2027 Expenditure,2027 Narrative
Iraq,United Nations Sustainable Development Cooperation Framework,1,"STRATEGIC PRIORITY 1 : Achieving Social Cohesion, Protection and Inclusion",1.2,"Outcome 1.2 : People in Iraq, particularly under-served, marginalized and vulnerable populations, have equitable and sustainable access to quality gender- and age-responsive protection and social protection systems and services.",1.2.2,"Output 1.2.2 : Marginalized and vulnerable populations have improved access to quality, integrated, shock responsive and inclusive protection and social protection systems and services.",Yes,1.2.2.27,Government staff benefit from improved digital tools and training that increase the overall functionality and effectiveness of the social protection system ,168390,Technical support to the Government of Iraq to implement a digital transformation plan for social protection systems  and roll out of single registry,1/1/24,12/31/24,Closed,-,-,WFP,United Nations World Food Programme,European Union,Government of Iraq,"2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.",2 Zero Hunger,Iraq,Capacity Development/Technical Assistance,-,-,1 - Contributes to gender equality/women’s empowerment in a limited way,,1 - Limited contribution to realization of human rights,-,,1 - Contributes to sustaining peace empowerment in a limited way,,"Children , Women & Girls, Youth, Internally Displaced Persons, Peasants & Rural Workers",Saja Al-Taie,,2000000,2000000,2000000,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,2000000,2000000,2000000,-,,,,-,,,,-,,,,-
Jordan,United Nations Sustainable Development Cooperation Framework,1,"We [want] to ensure that Jordan’s growth is green, that it benefits all, and that everyone has access to skills and opportunities to contribute to such growth",1,"Outcome 1: Enhanced inclusive, gender-responsive and green growth in Jordan that provides access to entrepreneurship and decent work opportunities, life-long learning, and market-relevant skills with a focus on LNOB",1.2,"Output 1.2: National priority sectors capabilities are unlocked to increase their contribution to inclusive, sustainable and green growth including for micro, small and medium-sized enterprises (MSMEs) and social enterprises to boost decent work, productivity, innovation and export capacities ",Yes,1.2.8,"Productivity, market access and employment opportunities improved for MSMEs and smallholder farmers, especially for the youth, by enhancing digital capacities at community level ",128566,-,1/1/24,12/31/27,Implementation,-,-,FAO,Food and Agriculture Organization of the United Nations,Government of the Republic of Korea,Jordan Ministry of Agriculture,"2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and nonfarm employment.,9.3 Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets.","2 Zero Hunger, 9 Industry, Innovation and Infrastructure",Jordan,Capacity Development/Technical Assistance,-,-,2 - Gender equality/ women’s empowerment is a significant objective,Gender mainstreamed in all activities ,1 - Limited contribution to realization of human rights,-,,-,-,"Refugees & Asylum Seekers, Youth, Women & Girls",-,,1833720,0,0,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,1833720,,,-,,,,-,,,,-,,,,-
Iraq,United Nations Sustainable Development Cooperation Framework,1,"STRATEGIC PRIORITY 1 : Achieving Social Cohesion, Protection and Inclusion",1.3,"Outcome 1.3 : People in Iraq participate in and benefit from effective mechanisms – at national, subnational and community levels – that prevent, mitigate and manage conflict, and contribute to social cohesion and peaceful coexistence, with particular focus on women and youth leadership in decision-making, peace-building and reconciliation processes.", 1.3.1 ,"Output 1.3.1 :  Women, adolescents and youth are supported for increased engagement and participation in leadership, decision making and peacebuilding mechanisms.",Yes,1.3.1.3,Key Activity 1.3.1.3: Promote digital engagement opportunities for young people (10-24 years),12374,-,1/1/20,12/31/24,Closed,-,-,UNICEF,United Nations Children's Fund,"Government of Canada, Government of Germany, Government of Japan, Government of Norway, Government of the Netherlands, Kreditanstalt für Wiederaufbau - KfW Development Bank, New Zealand Committee for UNICEF",MoLSA,"10.2 By 2030, empower and promote the social, economic and political inclusion of all, irrespective of age, sex, disability, race, ethnicity, origin, religion or economic or other status.",10 Reduced Inequalities,"Baghdad, Iraq, Al-Basrah, Erbil, Duhok","Capacity Development/Technical Assistance, Direct Support/ Service Delivery, Support Functions",Appeal,,2 - Gender equality/ women’s empowerment is a significant objective,,2 - Significant contribution to realization of human rights,-,,2 - Sustaining Peace is a significant objective,,Youth,-,,3719000,3719000,3219000,,,,-,,,,-,646000,646000,646000,-,273000,273000,273000,-,900000,900000,900000,-,900000,900000,400000,-,1000000,1000000,1000000,-,,,,-,,,,-,,,,-
Jordan,United Nations Sustainable Development Cooperation Framework,1,"We [want] to ensure that Jordan’s growth is green, that it benefits all, and that everyone has access to skills and opportunities to contribute to such growth",1,"Outcome 1: Enhanced inclusive, gender-responsive and green growth in Jordan that provides access to entrepreneurship and decent work opportunities, life-long learning, and market-relevant skills with a focus on LNOB",1.4,"Output 1.4: People’s skills are improved and access to quality education, life-long learning and knowledge are enhanced, especially the most vulnerable and marginalized ones, to contribute to Jordan’s green growth agenda",Yes,1.4.4,The governorate capacities and the youth are strengthened in smart entrepreneurships and job creation through digital application.,128568,-,1/1/24,12/31/27,Implementation,-,-,FAO,Food and Agriculture Organization of the United Nations,Government of the Republic of Korea,Jordan Ministry of Agriculture,"2.a Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries,4.4 By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship.","2 Zero Hunger, 4 Quality Education",Jordan,Capacity Development/Technical Assistance,-,-,2 - Gender equality/ women’s empowerment is a significant objective,gender mainstreamed in all activities ,0 - Not expected to contribute to realization of human rights,-,,-,-,-,-,,1166280,0,0,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,1166280,,,-,,,,-,,,,-,,,,-
Jordan,United Nations Sustainable Development Cooperation Framework,1,"We [want] to ensure that Jordan’s growth is green, that it benefits all, and that everyone has access to skills and opportunities to contribute to such growth",1,"Outcome 1: Enhanced inclusive, gender-responsive and green growth in Jordan that provides access to entrepreneurship and decent work opportunities, life-long learning, and market-relevant skills with a focus on LNOB",1.5,"Output 1.5: People’s access to and use of technologies, digital services and platforms is improved to facilitate an inclusive and green economic transition",Yes,1.5.1,"Equitable and inclusive access to financial services, and digital solutions to support self-reliance enhanced",111159,-,7/1/23,12/31/24,Implementation,-,-,UNDP,United Nations Development Programme,United Nations Development Programme,Jordan Ministry of Finance,"5.1 End all forms of discrimination against all women and girls everywhere.,8.3 Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services.","5 Gender Equality, 8 Decent Jobs and Economic Growth",Jordan,Capacity Development/Technical Assistance,-,-,3 - Gender equality/ women’s empowerment is the principal objective,"The project aims to address the lack of control of women over financial resources, lack of decision-making power in the household and their businesses, and their ability to have a voice in society and influence policy. It focuses on economic empowerment through access to financial services. It will seek to develop and enhance the use of gender-responsive fintech products and tools to be utilized to increase women’s activity in the green economy, provide them with access to resources and diminish structural barriers that hinder their full participation in the labour force, including those caused by financial providers. It will also focus on improving the skills and capacities of women, particularly the underserved including rural women, to be able to access digital, financial and non-financial products and services. The actions will target women led MSMEs, self-employed women, and women-led cooperatives. Activities will also involve regulatory authorities and financial service providers to build their capacities to better serve women and offer gender-responsive services.  ",2 - Significant contribution to realization of human rights,-,"The project focuses on the empowerment of economically and socially marginalized women by enhancing women’s engagement in the green economy through financial inclusion. The project is aligned with the Universal Declaration of Human Rights and aims to uphold the UN Convention on the Elimination of all Forms of Discrimination Against Women. Access to digital financing services will facilitate access to markets and other public services for women in rural communities. Enhancing their ability to successfully pursue economic activities will increase their representation and roles as community leaders and agents of change. The human rights-based approach is embedded in the participatory approach of the project, which will start with an assessment of women’s needs and of barriers to their participation. Local partners and the local community will participate in project planning, implementation, and decision-making throughout the participatory processes.  ",2 - Sustaining Peace is a significant objective,,"Women & Girls, Refugees & Asylum Seekers",Rabia Hasan,,700000,100000,0,,,,-,,,,-,,,,-,,,,-,,,,-,600000,0,,-,100000,100000,,-,,,,-,,,,-,,,,-
Saudi Arabia,United Nations Sustainable Development Cooperation Framework,4,"Peace, Partnership, and Other Cross-Cutting Issues — Foster peaceful, just, and inclusive societies and mobilize the means required for implementation (SDGs 16–17)",4,"Peaceful, just, and inclusive society is adequately fostered, and the means required for the implementation of Agenda 2030 are mobilized",4.3,"Strengthened capacity of government institutions and multi-stakeholder partnerships promoting improved services and social dialogue to advance a peaceful, just, and inclusive society for all ",Yes,18.1,Regional Digital Regulation Training Project for ITU Regions Supported by Saudi Arabia,182452,"The ITU Arab Regional Office partnered with the Communications Space & Technology Commission (CST) of Saudi Arabia since 2019 to support the dissemination of digital regulation trainings throughout the various ITU regions, while benefit the Digital Regulation capacity of Saudi Arabia as well. The project is being implemented in three phases of two years each. While the first phases ended in 2022, the first addendum added a third phase to the project that ended in 2024. Currently, the third addendum is being finalized and ready to sign with Saudi Arabia CST in order to implement a third phase for the project that will extend implementation to the end of 2026. The latest regional event supported by the project was a regional digital regulation training for Africa, that took part in 12-22 Nov 2024. The project has played a pivotal role in advancing digital regulation and transformation and strengthening national expertise in Saudi Arabia, which can be regarded currently as a Digital Regulator, especially after Saudi's creation of a National Digital Regulations Committee as part of the impact of this project on the Kingdom. 
Please note that financial contribution from the ITU to this project is assessed based on in kind contribution.
",1/1/22,12/31/26,Implementation,-,-,ITU,International Telecommunication Union,"Core Funding, Kingdom of Saudi Arabia",Kingdom of Saudi Arabia,"17.6 Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism.",17 Partnerships for the Goals,Saudi Arabia,"Policy Advice and Thought Leadership, Capacity Development/Technical Assistance, Convening/Partnerships/Knowledge Sharing",-,-,1 - Contributes to gender equality/women’s empowerment in a limited way,,1 - Limited contribution to realization of human rights,"4.3 Strengthened capacity of government institutions and multi-stakeholder partnerships promoting improved services and social dialogue to advance a peaceful, just, and inclusive society for all ",,-,-,Other,Maha ElTaweel,,400000,300000,200000,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,200000,200000,200000,-,100000,100000,,-,100000,,,-,,,,-
Bahrain,United Nations Sustainable Development Cooperation Framework,3,"Economic diversification, public administration, and resilience",3,"Enhanced policies and regulatory frameworks strengthen conditions for economic diversification, employment creation, rule of law, and increased resilience and innovation.",8,"08. Economic diversification is strengthened through increase access of private sector, MSMEs and small-scale industrial enterprises to financial services, affordable credit, value chain integration and innovation that promote inclusive opportunities.",Yes,1 ITU,Hosting the ITU Global Digital Skills Forum,183306,"Collaborating with the Government of Bahrain to host the ITU Global Skills Forum from 13-17 September in Manama. The ITU Digital Skills Forum is the core global event for the ITU membership and other stakeholders to discuss the most pressing needs that must be addressed to ensure that universal digital skills can be achieved, and the global digital skills gap be closed. This positioned the government of Bahrain further as a regional leader in Digital Skills knowledge sharing. ",1/1/24,12/31/24,Closed,-,-,ITU,International Telecommunication Union,"Core Funding, Government of Bahrain",Government of Bahrain,"17.6 Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism.",17 Partnerships for the Goals,Bahrain,Convening/Partnerships/Knowledge Sharing,-,-,1 - Contributes to gender equality/women’s empowerment in a limited way,,1 - Limited contribution to realization of human rights,-,,-,-,-,-,,257950,257950,257950,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,257950,257950,257950,-,,,,-,,,,-,,,,-
Palestine,United Nations Sustainable Development Cooperation Framework,1,Prosperity ,1,"Palestinians have greater access to economic opportunities that are inclusive, resilient, and sustainable, including decent employment and livelihoods opportunities in an empowered private sector",1.3,"Enhanced employability of vulnerable groups, including from amongst youth, women and persons with disabilities",Yes,2, Improved technical and soft skills of youth from vulnerable and marginalized groups to take up jobs in the digital marketplace,105185,-,1/3/23,2/27/24,Implementation,-,-,ITC,International Trade Centre,Government of Japan,Palestinian Business incubators,"1.1 By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.,4.4 By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship.,8.5 By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value.","1 No Poverty, 4 Quality Education, 8 Decent Jobs and Economic Growth","Gaza Strip, occupied Palestinian territory",Direct Support/ Service Delivery,-,-,2 - Gender equality/ women’s empowerment is a significant objective,,2 - Significant contribution to realization of human rights,-,,-,-,-,-,,400000,400000,0,,,,-,,,,-,,,,-,,,,-,,,,-,400000,400000,,-,,,,-,,,,-,,,,-,,,,-
Palestine,United Nations Sustainable Development Cooperation Framework,2,People ,2,"Palestinians, including the most vulnerable, have equal access to sustainable, inclusive, gender responsive and quality social services, social protection, and affordable utilities",2.1,Health system is strengthened to improve access to quality and equitable health and nutrition services for all Palestinians,Yes,20,"Enhancing the capacity to strengthen NCD surveillance system to monitor with focus on health care system response and quality of NCD care, and use of digital health solutions for the prevention and control of NCDs and improved ",105306,-,1/3/23,12/31/25,Implementation,-,-,WHO,World Health Organization,World Health Organization,Palestinian Ministry of Health,"3.8 Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all.",3 Good Health and Well-being,"occupied Palestinian territory, Gaza Strip, West Bank",Capacity Development/Technical Assistance,-,-,2 - Gender equality/ women’s empowerment is a significant objective,,3 - Principal contribution is to the realization of human rights,-,,-,-,-,-,,125000,75000,0,,,,-,,,,-,,,,-,,,,-,,,,-,125000,75000,,-,,,,-,,,,-,,,,-,,,,-
Jordan,United Nations Sustainable Development Framework (UNSDF) 2018-2022,2,Strategic Priority 2 - SP 2: Empowered People,1,"Outcome 2.1 - People, especially the vulnerable, proactively claim their rights and fulfill their responsibilities for improved human security and resilience.",8,Output 2.1.1 - Promoting Enhanced Information and Knowledge: Vulnerable groups have improved access to information and knowledge so that they will be able to claim their rights and deepen resilience,Yes,2.1.1.7,"2.1.1.7 - Support  young people (boys and girls) inclusive of those living with disabilities with access to information and participation in two-way community engagement actions,  including: activities to track and respond to rumours and misinformation; interactive digital and social media engagements;  community and key influencers engagements; adolescents/youth engagement (Linked to Activity 4.2.2)  ",61341,-,1/1/20,12/31/22,Implementation,-,-,"UNICEF, UNV","United Nations Children's Fund, United Nations Volunteers","BPRM, Government of the Netherlands",-,"4.a Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all.,8.5 By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value.","4 Quality Education, 8 Decent Jobs and Economic Growth",Jordan,-,-,-,2 - Gender equality/ women’s empowerment is a significant objective,-,2 - Significant contribution to realization of human rights,-,-,-,-,-,-,,780000,0,0,,,,-,,,,-,,,,-,380000,,,-,400000,,,-,,,,-,,,,-,,,,-,,,,-,,,,-
