"Country","Plan name","Strategic priority code","Strategic priority","Outcome code","Outcome","Output code","Output","Sub-Output publication status","Sub-Output code","Sub-Output","ID","Description","Start date","End date","Status","Joint Programmes / Initiatives names","Joint Programmes / Initiatives types","Agency abbreviations","Agencies","Contributing partners","Implementation partners","SDG Targets","SDG Goals","Geography","QCPR function","Humanitarian marker","Humanitarian marker narrative","Gender marker","Gender marker narrative","Human rights marker","Suboutput also contributes to the following outputs","Human rights marker narrative","Sustaining peace marker","Sustaining peace marker narrative","LNOB groups targeted","Focal users","Non Monetary Assistance","Total required resources","Total available resources","Total expenditure resources","2016 Required","2016 Available","2016 Expenditure","2016 Narrative","2017 Required","2017 Available","2017 Expenditure","2017 Narrative","2018 Required","2018 Available","2018 Expenditure","2018 Narrative","2019 Required","2019 Available","2019 Expenditure","2019 Narrative","2020 Required","2020 Available","2020 Expenditure","2020 Narrative","2021 Required","2021 Available","2021 Expenditure","2021 Narrative","2022 Required","2022 Available","2022 Expenditure","2022 Narrative","2023 Required","2023 Available","2023 Expenditure","2023 Narrative","2024 Required","2024 Available","2024 Expenditure","2024 Narrative","2025 Required","2025 Available","2025 Expenditure","2025 Narrative","2026 Required","2026 Available","2026 Expenditure","2026 Narrative","2027 Required","2027 Available","2027 Expenditure","2027 Narrative","2028 Required","2028 Available","2028 Expenditure","2028 Narrative"
"Lao PDR","UNSDCF 2022 - 2026","2","Inclusive Prosperity","2","2 Inclusive Prosperity","4","2.4 Migration Policy","Yes","1","Enhance Evidence Base for Migration Governance Through Digital Application in Lao People's Democratic Republic","149549","The project aims to support evidence-based policy making and to call attention to the benefits of mainstreaming migration into the policy planning in the country. Through data assessment exercises conducted by IOM Lao People's Democratic Republic and the Regional Office of Asia and the Pacific (ROAP), several key challenges to applying an evidence-based approach to migration and mainstreaming in the country have been identified, including dispersion of policymaking actors across various government structures, limited use of migration-related statistics by government actors, limited awareness on migration governance, limited awareness on migration's impact on development and limited use of innovative sources of migration relevant data. To address these gaps there exists a need for a disaggregated and interconnected migration data to serve as an evidence base, for effective migration governance. Therefore, the project aims to work closely with the Ministry of Planning and Investment and other relevant ministries to develop an integrated migration data platform to assist in development and/ or revision of migration policy instruments in the country.  ","2023-09-01","2025-08-31","Implementation","-","-","IOM","International Organization for Migration","International Organization for Migration","Lao PDR Ministry of Planning and Investment","10.7 Facilitate orderly, safe, regular and responsible migration and mobility of people, including through the implementation of planned and well-managed migration policies.,17.8 Fully operationalize the technology bank and science, technology and innovation capacity-building mechanism for least developed countries by 2017 and enhance the use of enabling technology, in particular information and communications technology.","10 Reduced Inequalities, 17 Partnerships for the Goals","Lao People's Democratic Republic","Capacity Development/Technical Assistance","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","The project aims to contribute to effective migration governance through digital application enabled evidence base for policy development. ","2 - Significant contribution to realization of human rights","-","","0 - Not expected to contribute towards sustaining peace","","-","-",,"195731","195731","8713","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","43262","43262","8713","-","152469","152469","","-","","","","-","","","","-","","","","-","","","","-"
"Sri Lanka","UNSDF 2018 - 2022","2","Driver 2: Strengthened innovative public institutions and engagement toward a lasting peace","1","By 2022, people in Sri Lanka, especially the marginalised and vulnerable, benefit from more rights-based, accountable, inclusive and effective public institutions, to enhance trust amongst communities and towards the State","7","Digital Transformation and Innovation","Yes","1","Improve the digital capacity of Government & NGO IPs (hardware, software, staff capacity","59184","Socioeconomic Advisory Paper 
Focus Area 3.3. Ensuring continuity and resilience of businesses, especially MSMEs
Recommendation Number 3.3.4 Accelerate the establishment of the proposed Digital Free Trade Zone (DFTZ) with a common logistics and online trading platform, helping MSMEs access global markets that they traditionally have limited access to.","2020-03-01","2021-12-01","Implementation","-","-","UNFPA","United Nations Population Fund","Government of Japan","Sri Lanka Jaffna Social Action Center, Sri Lanka Ministry of Health, Sri Lanka State Ministry of Women and Child Development, Sri Lanka Women in Need, Sri Lanka Womens Development Centre","9.3 Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets.","9 Industry, Innovation and Infrastructure","Sri Lanka","-","-","-","-","-","-","-","-","-","-","-","-",,"114514","114514","55840","","","","-","","","","-","","","","-","","","","-","58674","58674","0","-","55840","55840","55840","This intervention by UNFPA ensured a mechanism for continuity of services, enabled training provisions from the central to the peripheries and also provided a means for more cost effective trainings. The digital capacity of the offices of MOH and MOE  was strengthened through infrastructure support in providing laptops and video conferencing facilities based on a needs assessment. This enabled them to provide training from the central to the peripheries, even during lockdowns and COVID travel restrictions. Infrastructure support is also being rolled out to the Women's Bureau in the form of laptops, CDMA phones and other equipment. Digital Capacity enhancement of the six safe shelters run by three IPs were upgraded through providing ICT equipment and internet devices to contribute towards expanded opportunities and strengthened capacities of women and girls to be financially and emotionally independent when they are reintegrated in their community. Even for the shelters, the improvement of digital capacities ensured continued capacity building amidst the COVID-19 pandemic. The refurbishment work for the six safe shelters run by IPs (WIN, WDC and JSAC) has been completed, including improved living environment, upgraded internet facilities and ICT equipment, and improved safety measures for strengthening service quality for the Women and girls survivors of Gender Based Violence. In particular, the upgraded internet facilities enabled these clients to access to online training and any information available online.","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Thailand","United Nations Sustainable Development Cooperation Framework","2","Human capital development and digital transformation & inclusion as key enablers that will drive Thailand's transformation towards a more sustainable, innovative, inclusive and resilient future","2","Human capital needed for social and inclusive development is improved through strengthening of institutions, partnerships and the empowerment of people.","4","Digital transformation, digital inclusion, and innovation for human capital optimization are enabled.","Yes","1","Supporting digital skills development for the culture sector through assessment of digital-skill needs, mapping of digital skill gaps, strengthening digital capacity to address key digital gaps and innovative policy and strategy support to all stakeholders both public and private sectors	","82400","-","2022-01-01","2024-12-31","Closed","-","-","UNESCO","United Nations Educational, Scientific and Cultural Organisation","Government of the Republic of Korea","Creative Economy Agency, Thailand Ministry of Culture","8.3 Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services.,8.5 By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value.","8 Decent Jobs and Economic Growth","Thailand","Capacity Development/Technical Assistance","-","-","3 - Gender equality/ women’s empowerment is the principal objective","","1 - Limited contribution to realization of human rights","-","","-","-","-","-",,"120500","75500","17100","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","100000","55000","1600","-","15500","15500","15500","-","5000","5000","","-","","","","-","","","","-","","","","-","","","","-"
"Cambodia","Cambodia United Development Assistance Framework 2019-2023","1","Strategic Priority 1 - Women and men in Cambodia, in particular the marginalized and vulnerable, have their basic needs addressed equitably","2","Outcome 1.2 - Public and private sectors provide quality services and expanded coverage for marginalized and vulnerable populations in line with international standards and norms (including during emergencies)","1.2.8","The management and administration of national social security and social protection institutions are improved as well as capacity of national stakeholders from different sectors in the area of social protection, including social partners, is enhanced to ensure an effective, efficient, accountable and sustainable implementation of incluseive and gender responsive social protection, and promote the extension of coverage to uncovered women and men","Yes","10","Supporting the implementation of the new digitally enabled processes for NSSF to enhance the registration, contribution, and service provision of workers","36464","-","2020-04-01","2023-12-30","Finalisation","-","-","ILO","International Labour Organisation","European Commission, Swedish International Development Agency","National Social Security Fund","16.1 Significantly reduce all forms of violence and related death rates everywhere.","16 Peace and Justice - Strong Institutions","Phnom Penh, Cambodia","Policy Advice and Thought Leadership","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","","2 - Significant contribution to realization of human rights","-","","1 - Contributes to sustaining peace empowerment in a limited way","","-","-",,"454000","444560","0","","","","-","","","","-","","","","-","","","","-","","","","-","54000","54000","","-","100000","90560","","-","300000","300000","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Pacific","United Nations Sustainable Development Cooperation Framework","3","PROSPERITY: Promoting Inclusive and Sustainable Economic Growth","3","By 2027, more people, especially those at risk of being left behind, contribute to and benefit from sustainable, resilient, diversified, inclusive and human-centred socio-economic systems with decent work and equal livelihoods opportunities, reducing inequalities and ensuring shared prosperity.","36","3.4.1  Enhanced policy environment for promoting  entrepreneurship and business development, including for youth and women, in line with domestic, regional, and international standards.","Yes","104","RMI 114 Support capacity building of policy makers and regulators; and provide technical assistance in design, review, amendments and implementation of policies and regulations to address emerging trends in the Digital Economy","115480","Support capacity building of policy makers and regulators; and provide technical assistance in design, review, amendments and implementation of policies and regulations to address emerging trends in the Digital Economy","2023-01-01","2023-12-01","Implementation","-","-","UNCDF","United Nations Capital Development Fund","Australian Department of Foreign Affairs and Trade , European Union","-","-","-","Marshall Islands","Capacity Development/Technical Assistance","-","-","2 - Gender equality/ women’s empowerment is a significant objective","-","1 - Limited contribution to realization of human rights","-","-","0 - Not expected to contribute towards sustaining peace","-","-","-",,"9091","0","0","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","9091","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Pacific","United Nations Sustainable Development Cooperation Framework","3","PROSPERITY: Promoting Inclusive and Sustainable Economic Growth","3","By 2027, more people, especially those at risk of being left behind, contribute to and benefit from sustainable, resilient, diversified, inclusive and human-centred socio-economic systems with decent work and equal livelihoods opportunities, reducing inequalities and ensuring shared prosperity.","33","3.2.1 Strengthened institutional capacity to design and implement holistic policies to foster blue, green and creative economy at national and regional level","Yes","105","SAM 95 Building evidence-based capacity of trade policymakers for sustainable development through international trade in the digital economy (Trade, Investment and Innovation Division)","116273","Capacity Building
","2023-01-01","2024-12-31","Implementation","-","-","UN ESCAP","United Nations Economic and Social Commission for Asia and the Pacific","United Nations Economic and Social Commission for Asia and the Pacific","-","-","-","Samoa","Convening/Partnerships/Knowledge Sharing","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","-","1 - Limited contribution to realization of human rights","-","-","1 - Contributes to sustaining peace empowerment in a limited way","-","-","-",,"0","0","0","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","0","","-","","0","","-","","","","-","","","","-","","","","-","","","","-"
"Pacific","United Nations Sustainable Development Cooperation Framework","3","PROSPERITY: Promoting Inclusive and Sustainable Economic Growth","3","By 2027, more people, especially those at risk of being left behind, contribute to and benefit from sustainable, resilient, diversified, inclusive and human-centred socio-economic systems with decent work and equal livelihoods opportunities, reducing inequalities and ensuring shared prosperity.","36","3.4.1  Enhanced policy environment for promoting  entrepreneurship and business development, including for youth and women, in line with domestic, regional, and international standards.","Yes","105","SOI 1 Data collection, validation and reporting of Inclusive Digital Economy Scorecard (IDES)","115592","Policy makers have access to data and information that will enable evidence based decision making to support an inclusive digital economy
","2023-01-01","2023-12-31","Implementation","-","-","UNCDF","United Nations Capital Development Fund","Australian Department of Foreign Affairs and Trade , European Union","-","1.a Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions.,8.2 Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value-added and labour-intensive sectors.,9.1 Develop quality, reliable, sustainable and resilient infrastructure, including regional and transborder infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all.,10.2 By 2030, empower and promote the social, economic and political inclusion of all, irrespective of age, sex, disability, race, ethnicity, origin, religion or economic or other status.","1 No Poverty, 8 Decent Jobs and Economic Growth, 9 Industry, Innovation and Infrastructure, 10 Reduced Inequalities","Solomon Islands","Capacity Development/Technical Assistance","-","-","2 - Gender equality/ women’s empowerment is a significant objective","","1 - Limited contribution to realization of human rights","-","","0 - Not expected to contribute towards sustaining peace","","-","-",,"9090","0","0","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","9090","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Cambodia","United Nations Sustainable Development Cooperation Framework (2024-2028)","2","Economic Transformation","2","By 2028, people in Cambodia, especially those at risk of being left behind, benefit from and contribute to a productive, diversified, formalized and low carbon and climate adapted economy.","1","Agrifood systems are more efficient, climate-adapted, inclusive, formalised and safer.","Yes","109","National agricultural statistics systems are strengthened, leveraging digital tools to bridge the data gaps","156779","-","2024-01-01","2028-12-31","Implementation","-","-","FAO","Food and Agriculture Organization of the United Nations","Food and Agriculture Organization of the United Nations, The World Bank","Cambodia, Ministry of Agriculture, Forestry and Fishery, National Institute of Statistic of Cambodia","2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.","2 Zero Hunger","Cambodia","Capacity Development/Technical Assistance, Data Collection and Analysis","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","Gender equality is not the principal objective of the activity; however, the activity will collect agriculture related data and statistics that could contribute to the gender and women's empowerment in the agriculture sector in Cambodia.","1 - Limited contribution to realization of human rights","-","Three of the elements of the HR marker are met: (i) the activity contributes to SDG 1 and 2. and is grounded in the enjoyment or fulfilment of rights to food; (ii) the issues are identified based on a thorough human rights analysis in the CC; (iii) the activity will engage men and women, people with disabilities, children and adolescents, youth and LGBTI population, and other marginalized  population in the data collection.","0 - Not expected to contribute towards sustaining peace","","Peasants & Rural Workers","-",,"403640","403640","271130","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","280000","280000","271130","-","123640","123640","","-","","","","-","","","","-","","","","-"
"Thailand","United Nations Sustainable Development Cooperation Framework","2","Human capital development and digital transformation & inclusion as key enablers that will drive Thailand's transformation towards a more sustainable, innovative, inclusive and resilient future","2","Human capital needed for social and inclusive development is improved through strengthening of institutions, partnerships and the empowerment of people.","3","Accessibility, responsiveness, and quality of public services as enablers for Thailand’s transformation are improved.","Yes","11","Advancing the development of a Digital Competency Framework through assessments of teachers' digital capacities, including those for e-learning, and provisions of technical assistance.","82456","Development of Digital competency framework is supported through assessment of teachers' digital capacities (including for e-learning) and provisions of technical assistance. ","2022-03-01","2023-12-31","Closed","-","-","UNESCO, UNICEF","United Nations Children's Fund, United Nations Educational, Scientific and Cultural Organisation","United Nations Children's Fund, United Nations Educational, Scientific and Cultural Organisation","Thailand Ministry of Education, United Nations Children's Fund","4.c By 2030, substantially increase the supply of qualified teachers, including through international cooperation for teacher training in developing countries, especially least developed countries and small island developing States.","4 Quality Education","Thailand","Capacity Development/Technical Assistance, Normative Support, Convening/Partnerships/Knowledge Sharing, Data Collection and Analysis, Direct Support/ Service Delivery, Policy Advice and Thought Leadership","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","","2 - Significant contribution to realization of human rights","-","","-","-","Women & Girls, Youth, Children ","-",,"80000","80000","0","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","40000","40000","0","-","40000","40000","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Thailand","United Nations Sustainable Development Cooperation Framework","2","Human capital development and digital transformation & inclusion as key enablers that will drive Thailand's transformation towards a more sustainable, innovative, inclusive and resilient future","2","Human capital needed for social and inclusive development is improved through strengthening of institutions, partnerships and the empowerment of people.","4","Digital transformation, digital inclusion, and innovation for human capital optimization are enabled.","Yes","11","Digital rural transformation to combat hunger, poverty and inequality supported through 'Digital Village Initiative' and Agricultural Digitalization Policy Recommendation for Small Holders, by providing policy support and enhanced partnerships with government, private sector and institutional innovators, resource and multilateral partners – farmers to upscale digitalization","82414","-","2022-01-01","2023-12-31","Closed","-","-","FAO","Food and Agriculture Organization of the United Nations","Food and Agriculture Organization of the United Nations","Digital Economy Promotion Agency, Mekong Institute, Thailand Ministry of Agriculture and Cooperatives","1.5 By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters.","1 No Poverty","Thailand","Policy Advice and Thought Leadership, Capacity Development/Technical Assistance","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","","1 - Limited contribution to realization of human rights","-","","-","-","-","-",,"300000","300000","263612","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","150000","150000","150000","-","150000","150000","113612","-","","","","-","","","","-","","","","-","","","","-","","","","-"
