"Country","Plan name","Strategic priority code","Strategic priority","Outcome code","Outcome","Output code","Output","Sub-Output publication status","Sub-Output code","Sub-Output","ID","Description","Start date","End date","Status","Joint Programmes / Initiatives names","Joint Programmes / Initiatives types","Agency abbreviations","Agencies","Contributing partners","Implementation partners","SDG Targets","SDG Goals","Geography","QCPR function","Humanitarian marker","Humanitarian marker narrative","Gender marker","Gender marker narrative","Human rights marker","Suboutput also contributes to the following outputs","Human rights marker narrative","Sustaining peace marker","Sustaining peace marker narrative","LNOB groups targeted","Focal users","Non Monetary Assistance","Total required resources","Total available resources","Total expenditure resources","2016 Required","2016 Available","2016 Expenditure","2016 Narrative","2017 Required","2017 Available","2017 Expenditure","2017 Narrative","2018 Required","2018 Available","2018 Expenditure","2018 Narrative","2019 Required","2019 Available","2019 Expenditure","2019 Narrative","2020 Required","2020 Available","2020 Expenditure","2020 Narrative","2021 Required","2021 Available","2021 Expenditure","2021 Narrative","2022 Required","2022 Available","2022 Expenditure","2022 Narrative","2023 Required","2023 Available","2023 Expenditure","2023 Narrative","2024 Required","2024 Available","2024 Expenditure","2024 Narrative","2025 Required","2025 Available","2025 Expenditure","2025 Narrative","2026 Required","2026 Available","2026 Expenditure","2026 Narrative","2027 Required","2027 Available","2027 Expenditure","2027 Narrative","2028 Required","2028 Available","2028 Expenditure","2028 Narrative"
"Sri Lanka","UNSDF 2018 - 2022","3","Driver 3: Human security and socio-economic resilience","1","By 2022, people in Sri Lanka, especially the vulnerable and marginalised groups of children, youth, women, migrants, elderly and disabled, benefit equitably from dynamic and responsive social protection systems.","1","Health","Yes","10","Supporting Genomic sequencing of the SARS COV-2 virus to determine the major strain/s of the virus responsible for the pandemic at different    stages.","59544","Socioeconomic Advisory Paper Focus Area 1.1: Strengthening Health System Capacity and Preparedness for Emergencies
Socioeconomic Advisory Paper Recommendation Number 1.1.3.Sustain contributions to evidence generation and research by sharing Sri Lanka’s best practices and participating in clinical trials and studies, helping inform the global effort on COVID-19.
","2021-01-01","2022-12-31","Implementation","-","-","WHO","World Health Organization","European Union","Department of Immunology and Molecular Medicine - University of Sri Jayawardenepura","3.d Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks.","3 Good Health and Well-being","Sri Lanka","-","-","-","-","-","-","-","-","-","-","-","-",,"0","100000","225000","","","","-","","","","-","","","","-","","","","-","","","","-","","50000","175000","Laboratory facilities and expertise to perform  genomic sequencing of the SARS CoV-2 virus in Sri Lanka was enhanced. The laboratory consumables adequate to conduct seven rounds of genomic sequencing (658 sequences)  was supplied at the height of the 3rd wave. This  which facilitated  regular genomic surveillance in Sri Lanka enabling early detection of variants of concerns that resulted in timely  informed changes in national level policies and guidelines for of prevention and control. decisions and actions. Furthermore, the generated evidence/data were also shared with relevant global platforms and WHO contributing to the  scientific evidence base on variants of the SARS-CoV-2 virus.
","","50000","50000","WHO:  COVID-19 pandemic has exposed challenges in ensuring continiuty of genomic surveillance activities to monitor pathogens and analyze their genetic similarities and differences. The IHR Emergency Committee in January,July and October 2021 recommended to increase global and countries' sequencing capacities. In Sri Lanka only Sri Jayawardenapura University had sequencing capacities. Based on the request of the MoH , genomic sequencing capacity was established at the virology laboratory MRI, NH Kandy and TH Karapitiya in late 2021. During 2022, due to the change in the testing strategy only limited number of samples were received for sequencing. WHO provided the necessasry reagents for sequencing in 2022. All sequencing results have been uploaded to the GISAID platform. ","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Bhutan","United Nations Sustainable Development Cooperation Framework","1","Data and Policy","1"," Outcome 1: By 2023, there is enhanced access to and use of reliable and timely data for inclusive and evidence-based policy and decision-making  ","1.1","1.1 - Central agencies and local governments are better able to integrate, monitor and report on Five-Year Plans and the SDGs","Yes","1.1.5.5","Develop training materials/manuals on data collection methods, standards and quality control aspects, responsibilities and accountability, and management of the NSDS at different levels","45020","Develop training materials/manuals on data collection methods, standards and quality control aspects, responsibilities and accountability, and management of the NSDS at different levels","2021-07-01","2021-12-31","Implementation","-","-","UNFPA, UNICEF","United Nations Children's Fund, United Nations Population Fund","-","-","-","-","Bhutan","-","-","-","-","-","-","-","-","-","-","-","-",,"0","0","0","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Philippines","UN Socioeconomic and Peacebuilding Framework for COVID-19 Recovery in the Philippines 2020-2023","2","Prosperity and Planet","2","Urbanization, economic growth, and climate change actions are converging for a resilient, equitable, and sustainable development path for communities.","6","Output 6: Resilience strengthened in all sectors and all levels of government","Yes","12","Strengthened trade facilitation capacity to implement the Customs Modernisation and Tariffs Act (CMTA) and WTO Trade Facilitation Agreement (WTO TFA)	","44635","The support will target the Category C provisions notified by the Philippines under the WTO TFA relating to the training and other forms of technical assistance required to build the capacity of the human resources of the Bureau of Customs (BOC), as well as the Philippine Trade Facilitation Committee (PTFC), in strong coordination with government agencies such as the Bureau of International Trade Relations (BITR), and in alignment with the work ongoing at regional level (including ARISE Plus regional components). Support will also be provided for the implementation of the provisions contained in the CMTA in close collaboration with key relevant government agencies. In the context of the Philippines’ overall trade facilitation performance and taking into consideration the ongoing reforms of cross-border formalities in the framework of the Single Window initiative, ITC will adapt its interventions to support the Philippines in priority trade facilitation areas, in consultation with the BOC and other relevant public and private stakeholders. 

All proposed interventions are fully in line with the development priorities of the Philippines, including the PEDP 2018-2022, which requests removing unnecessary regulatory impediments and enhancing trade facilitation for improving the overall climate for export development. They also correspond to two pillars of the Philippines Inclusive Industrial strategy i.e. Pillar 2, which aims to ease doing business and investment environment through strengthening institutional and regulatory framework and addressing bureaucratic practices and Pillar 4 focused on capacity building and Human Resource development programmes, to enhance skills of government officials in their area of their responsibilities.

Overall, the activities under this cluster will contribute to enhanced cross-border trade environment in the Philippines and, in the longer-term, they will be instrumental for strengthening the country’s position in international rankings and positive perception of its procedural and regulatory framework. This facilitated environment in turn will be essential for supporting economic growth and attracting investments to the country.

","2021-03-01","2023-12-31","Implementation","-","-","ITC","International Trade Centre","EU Delegation","Philippines Department of Trade and Industry","8.1 Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries.","8 Decent Jobs and Economic Growth","Philippines","Capacity Development/Technical Assistance","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","","0 - Not expected to contribute to realization of human rights","-","","0 - Not expected to contribute towards sustaining peace","","-","-",,"670806","670806","484872","","","","-","","","","-","","","","-","","","","-","","","","-","223602","223602","116407","-","223602","223602","144863","Implemented in cooperation with the Bureau of Customs (BOC), with support from DTI’s BITR and PTTC.Technical briefing notes developed on Integrated Risk Management (IRM), Authorized Economic Operator (AEO), and E-commerce taxation and regulations in close coordination and consultation with key Philippine partners.3 technical validation workshops covering IRM, AEO and E-commerce clearance and taxation successfully delivered.Capacity Building Workshop for the PTFC conducted to support participants from BOC, TRGAs and the business sector in identifying measures in the WTO TFA that help resolve cross border inefficiencies and using best practices for public and private sector dialogue for conducive trade facilitation reform process.Ongoing development of an e-curriculum on export and import procedures for Philippine exporters and MSMEs.","223602","223602","223602","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Viet Nam","Viet Nam One Strategic Plan 2017-2021 (OSP)","1","FOCUS AREA 1: INVESTING IN PEOPLE","2","Outcome 1.2 - Equity in Health: By 2021, all people, particularly the most vulnerable, benefit from inclusive and equitable health systems, services and the promotion of healthy environments.","5","Output 1.2.1 - (RG1) Multi-sectoral policy dialogues and actions facilitated, to support the development and implementation of evidence-based and innovative strategies, policies and programmes that will address inequities in health.","Yes","1.2.1.24","1.2.1.24 - Support multi-sectoral collaboration and political commitment, raising awareness, and communications at different levels to tackled AMR","25014","With support from FAO and UNDP, WHO tackle AMR through multi-sectoral collaboration, political commitment, awareness and communications and stewardship in hospitals and communities.","2019-01-01","2021-12-31","Implementation","-","-","WHO","World Health Organization","Non-core funds, World Health Organization","North Macedonia Ministry of Health","3.d Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks.","3 Good Health and Well-being","Viet Nam","Capacity Development/Technical Assistance, Policy Advice and Thought Leadership","-","-","-","-","1 - Limited contribution to realization of human rights","-","-","-","-","-","-",,"313681.25","209008.32","112665","","","","-","","","","-","","","","-","157268.25","52595.32","76611","-","78206.5","36054","36054","-","78206.5","120359","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Pakistan","UNSDCF 2023 - 2027","-PAK-01","Basic Social Services","1","Outcome 1: By 2027, the people in Pakistan, especially the most vulnerable and deprived, have increased equitable access to and utilization of quality, sustainable basic social services (BSS).","1.4","Output 1.4: The education system in Pakistan has improved capacities to deliver more inclusive, equitable, gender-responsive, quality education and skills development, including lifelong learning opportunities and transferable skills, to children and youth, particularly girls and those residing in disadvantaged areas, including during humanitarian and emergency situations.","Yes","1.4.10","Improving quality and access to primary and secondary education through different learning modalities with integrated and cross sector service provision models.","109276","-","2023-01-01","2027-12-31","Implementation","-","-","UNESCO","United Nations Educational, Scientific and Cultural Organisation","United Nations Educational, Scientific and Cultural Organisation","Government of Pakistan","4.1 By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes.","4 Quality Education","Punjab, Khyber Pakhtunkhwa, Balochistan, Pakistan","Capacity Development/Technical Assistance, Direct Support/ Service Delivery","-","-","2 - Gender equality/ women’s empowerment is a significant objective","","2 - Significant contribution to realization of human rights","-","","-","-","-","-",,"3918290","3918290","3597587","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","3093687","3093687","3093687","","824603","824603","503900","UNESCO:UNESCO provided technical and financial assistance to  District Education Offices and Local Implementing Partners in Kohistan, Swat, Mohmand, Muzaffargarh, and Tharparkar to improve access, retention, and learning outcomes for girls transitioning to lower secondary education.  UNESCO provided and constructed 122 Water , Sanitation  and Hygiene (WASH) facilities which includes; latrines, handwashing stations, water storage systems, and renovation of washrooms which benefited 4991 girls. Additionally, to create a better learning environment and reduce dropout rates 150 schools were also equipped with furniture and science lab equipment to build an engaging educational atmosphere.Teacher training programs benefitted 260 educators from 200 schools, emphasizing interactive teaching methods for science, mathematics, and climate education. These efforts led to a 20%-28% improvement in teacher competency. Financial support provided cash incentives to 9,625 girls and transportation allowances to 30 teachers in remote areas.Capacity-building activities trained 40 education personnel in microplanning and school mapping, enabling gender-sensitive, data-driven resource allocation. Additionally, 191 community engagement sessions were held to address cultural norms and promote the importance of girls’ education","","","","-","","","","-","","","","-","","","","-"
"India","United Nations Sustainable Development Cooperation Framework 2023-2027","1","PEOPLE: A society that empowers its marginalised populations and provides sustained access to quality services","1","Health and well-being: By 2027, communities, especially the most disadvantaged, demand for and benefit from an inclusive, universal, affordable, accessible, accountable, and quality health care services, while adopting positive health practices","1.4","Sustainable Health Financing & Business Models: Financing and sustainable business models around health are strengthened.","Yes","1.4.2","Strengthen and evolve stronger and effective public private partnership models in different areas of public health, and health services","106289","-","2023-01-01","2027-12-31","Implementation","-","-","UNDP, UNFPA, UNICEF, WHO","United Nations Children's Fund, United Nations Development Programme, United Nations Population Fund, World Health Organization","ADMINISTRATIVE STAFF COLLEGE OF INDIA, Bill & Melinda Gates Foundation, FEDERATION OF OBSTETRIC AND GYNAECOLOGICAL SOCIETIES OF INDIA, INDIAN ACADEMY OF PEDIATRICS INDIA, NATIONAL NEONATOLOGY FORUM INDIA, United Nations Children's Fund, United Nations Development Programme, United Nations Population Fund, United States Agency for International Development, World Health Organization","FEDERATION OF OBSTETRIC AND GYNAECOLOGICAL SOCIETIES OF INDIA, INDIA MINISTRY OF HEALTH AND FAMILY WELFARE","3.1 By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.,3.2 By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births.","3 Good Health and Well-being","India","Convening/Partnerships/Knowledge Sharing","Appeal","","1 - Contributes to gender equality/women’s empowerment in a limited way","Services designed to be inclusive of all population groups including women and persons with diverse gender identities.Engaging civil society and private healthcare practitioners is crucial for capturing all immunization activities beyond government channels. This collaboration will provide a comprehensive view of immunization coverage, supported by real-time data that informs effective planning. UN fosters public-private partnerships with organizations like FOGSI to build capacity of obstetric care providers on evidence-based practices. Additionally, UNFPA collaborates with private donors to expand SRH awareness and access through health system improvements and digital innovations, ultimately enhancing women's agency over their reproductive rights and choices.","1 - Limited contribution to realization of human rights","-","","0 - Not expected to contribute towards sustaining peace","","Persons affected by chronic/long-term health conditions (e.g., HIV/AIDS, leprosy, diabetes, autoimmune disease, etc.), Youth, Women & Girls, Persons With Disabilities, Indigenous Peoples","-",,"2772773","2605543","413050","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","294000","126770","126770","WHO1.WHO Provided policy guidance through the generation of evidence at the request of the National Health Authority to review the health provider market in India with particular regard to the private providers. The goal was to investigate the determinants of private sector engagement with the scheme i.e. factors affecting empanellment, de-empanellment and the level of activity in the scheme. This work was accomplished and validated by the NHA. It has been published and is available at (Determinants of private sector engagement and empanelment under PMJAY : https://iris.who.int/handle/10665/375613). WHO has also supported evidence generation at the request of the Prime Minister s' Office (through NHA) on the preferred governance model for PMJAY. This investigated the use of the trust (mostly government operated health insurance) versus the insurance model (that involves contract private and at time public sector insurers and Third Party Administrators) to administer the scheme. The findings were used to inform the NHA on the choice of model to be employed. The study shows that neither model is superior. The advantages of the models are all affected by context and the state capacity to implement the scheme. This is also available at (An assessment of the trust and insurance models of AB PM-JAY implementation in six states : https://iris.who.int/handle/10665/363947)2.TB: Incentive based approach for private notification and outcome reporting and digitally supported contract management systems. ","1971422","1971422","286280","WHO:WHO TB team contributed to the development, piloting and dissemination of Ni-kshay contract management module for managing the contracting of PPSAs and PPM services. The team also supported establishment of private care provider network for TB elimination through Association of Health Providers in India (AHPI) in Delhi and formation of City Consortiums of private hospitals in Haryana, UP, Tamil Nadu and Kerala with the support of iDEFEAT TB project of The Union.UNFPA:1. UNFPA, in partnership with Laerdal, FOGSI, and NHM Government of Madhya Pradesh, conducted a competency-building Training of Trainers (ToT) on Alternative Birthing Positions, equipping a pool of 26 trainers comprising obstetricians, doctors, and nursing-midwifery professionals to deliver training within the state government system and FOGSI in Madhya Pradesh.2. A sensitization and brainstorming workshop held in Odisha with key stakeholders from public and private sectors, discussed emerging SRHR challenges driven by declining fertility and demographic transition. The event emphasized realigning health priorities to promote a people-centered approach to reproductive health and rights.UNDP: UWIN is a transformative step to digitalize Universal Immunization program of India, requires to capture vaccination of pregnant woman, infants, children and adolescents along with pregnancy outcome through delivery point module. This comprehensive approach is envisioned for both the public and private health sectors, ensuring a complete and accurate status of immunisation across the country. The integration of private sector in health program is crucial to ensure the effectiveness of the program for beneficiary tracking and identify zero dose children to reach the unreached. ","507351","507351","","-","","","","-","","","","-","","","","-"
"China","UNSDCF 2021 - 2025","1","Strategic Priority 1 - People and Prosperity","2","Outcome 2: People’s lives in China are improved further as headway is made in ensuring access to childcare, education, healthcare services, elderly care, housing and social assistance, and more people in China, including left-behind groups, benefit from equitable and high-quality public services and social protection systems as well as accelerated efforts to reduce gender inequality and other forms of social inequality throughout the life-course. ","1.4 & 2.6","Shared Output 1.4 and 2.6:  With UN analytical inputs and technical assistance, China is better able to deliver inclusive, adaptive and quality lifelong education, learning and skills development which is accessible to all and relevant for life and work in the context of a rapidly evolving economic and social transformation.","Yes","1.4.2 & 2.6.2","1.4.2 & 2.6.2 Assist national partners in identifying skills mismatches and future skill needs, and designing and implementing gender responsive quality apprenticeship schemes based on good practices from different provinces and other countries","37239","-","2021-06-01","2022-12-30","Closed","-","-","ILO","International Labour Organisation","International Labour Organisation, JP Morgan","Chinese Ministry of Human Resource and Social Security (MOHRSS)","8.5 By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value.,8.6 By 2020, substantially reduce the proportion of youth not in employment, education or training.","8 Decent Jobs and Economic Growth","China","Capacity Development/Technical Assistance, Policy Advice and Thought Leadership","-","-","2 - Gender equality/ women’s empowerment is a significant objective","","2 - Significant contribution to realization of human rights","-","","0 - Not expected to contribute towards sustaining peace","","-","-",,"1700000","50000","0","","","","-","","","","-","","","","-","","","","-","","","","-","200000","","","-","1500000","50000","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Sri Lanka","UNSDF 2018 - 2022","2","Driver 2: Strengthened innovative public institutions and engagement toward a lasting peace","1","By 2022, people in Sri Lanka, especially the marginalised and vulnerable, benefit from more rights-based, accountable, inclusive and effective public institutions, to enhance trust amongst communities and towards the State","5","Social Cohesion","Yes","15","Promote social cohesion and women’s economic empowerment including through the transfer of assets with particular attention to vulnerable groups from different ethnic and faith groups including female headed households and victims of violent extremism","60836","Promote social cohesion and women’s economic empowerment including through the transfer of assets with particular attention to vulnerable groups from different ethnic and faith groups including female headed households and victims of violent extremism","2020-01-01","2022-12-31","Implementation","-","-","UN Women","UN Women","Government of Japan","Chrysalis, Sri Lanka Central Environmental Authority","5.a Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws.","5 Gender Equality","Sri Lanka","-","-","-","3 - Gender equality/ women’s empowerment is the principal objective","-","3 - Principal contribution is to the realization of human rights","-","-","-","-","-","-",,"601328","0","14800","","","","-","","","","-","","","","-","","","","-","200442","0","14800","-","200443","0","","The needs assessment and value chain analysis were completed for the 3 districts in 2021. This is now informing the development of the training programmes for women entrepreneurs who are heads of households, which will be followed by the transfer of assets.","200443","0","","974 women owning or engaging in MSMEs, to strengthen their financial and business literacy on the basis of a needs assessment and value chain analysis through training, mentorship programmes, and access to markets. Of these, 525 women received in-kind assistance to support their livelihoods, on the basis of a competitive assessment of beneficiaries’ business proposals, and of these, 384 received relief packages of basic necessities. This has fed into UN Women's work on promoting women's engagement in peacebuilding and leadership, empowering women who are resettling from conflict related displacement, and preventing gender based violence. ","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Cambodia","Cambodia United Development Assistance Framework 2019-2023","1","Strategic Priority 1 - Women and men in Cambodia, in particular the marginalized and vulnerable, have their basic needs addressed equitably","2","Outcome 1.2 - Public and private sectors provide quality services and expanded coverage for marginalized and vulnerable populations in line with international standards and norms (including during emergencies)","1.2.5","Sustained elimination of new HIV infections through combination HIV prevention approaches, including new case detection, treatment coverage and retention ","Yes","2","Supporting optimization of new case detection through differentiated HIV testing, including scale up of HIV Self Testing; and HIV treatment","34203","-","2021-01-01","2023-12-30","Finalisation","-","-","UNAIDS","United Nations Joint Programme on HIV and AIDS Secretariat","United Nations Joint Programme on HIV and AIDS Secretariat","Civil Society Organizations (CSOs), National Center for HIV/AIDS, Dermatology and STD","3.3 By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.","3 Good Health and Well-being","Tboung Khmum, Takeo, Svay Rieng, Stung Treng, Siemreap, Ratanak Kiri, Pursat, Prey Veng, Preah Sihanouk, Preah Vihear, Kampot, Kampong Thom, Kandal, Kampong Speu, Kampong Cham, Kampong Chhnang, Kratie, Pailin, Koh Kong, Battambang, Banteay Meanchey, Oddar Meanchey, Mondul Kiri, Phnom Penh, Kep, Cambodia","Policy Advice and Thought Leadership","-","-","2 - Gender equality/ women’s empowerment is a significant objective","","2 - Significant contribution to realization of human rights","-","","0 - Not expected to contribute towards sustaining peace","","-","-",,"181330","148830","0","","","","-","","","","-","","","","-","","","","-","","","","-","36100","3600","","-","72114","72114","","-","73116","73116","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Cambodia","Cambodia United Development Assistance Framework 2019-2023","2","Strategic Priority 2 - Women and men in Cambodia, in particular those marginalized and vulnerable, benefit from expanded opportunities for decent work and technological innovations","3","Outcome 2.3 - Social norms, laws, policies and institutions promote economic inclusion, especially of women, persons with disabilities, women and men living in remote areas and the extreme poor","2.3.1","Barriers to participation of marginalized groups reduced; stigma and discrimination reduced","Yes","2","Support to strengthening responsive social protection:  - Assess the impact of government cash transfers on poor and vulnerable groups with a focus on the differential impacts on women using a longitudinal tracer study and financial diaries - technical assistance on the revisions of the IDPoor scoring mechanism which include vulnerability parameters such as gender, household burden and disability status  - Option for single registry using block chain","35436","-","2021-01-01","2022-12-31","Closed","-","-","UNDP","United Nations Development Programme","Australian Department of Foreign Affairs and Trade , United Nations Development Programme","Cambodia, Ministry of Economy and Finance, Cambodia, Ministry of Planning, National Social Protection Council","1.3 Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable.","1 No Poverty","Cambodia, Phnom Penh","Capacity Development/Technical Assistance","-","-","2 - Gender equality/ women’s empowerment is a significant objective","","2 - Significant contribution to realization of human rights","-","","2 - Sustaining Peace is a significant objective","","-","-",,"778890","778890","0","","","","-","","","","-","","","","-","","","","-","","","","-","518890","518890","","-","260000","260000","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
