"Country","Plan name","Strategic priority code","Strategic priority","Outcome code","Outcome","Output code","Output","Sub-Output publication status","Sub-Output code","Sub-Output","ID","Description","Start date","End date","Status","Joint Programmes / Initiatives names","Joint Programmes / Initiatives types","Agency abbreviations","Agencies","Contributing partners","Implementation partners","SDG Targets","SDG Goals","Geography","QCPR function","Humanitarian marker","Humanitarian marker narrative","Gender marker","Gender marker narrative","Human rights marker","Suboutput also contributes to the following outputs","Human rights marker narrative","Sustaining peace marker","Sustaining peace marker narrative","LNOB groups targeted","Focal users","Non Monetary Assistance","Total required resources","Total available resources","Total expenditure resources","2016 Required","2016 Available","2016 Expenditure","2016 Narrative","2017 Required","2017 Available","2017 Expenditure","2017 Narrative","2018 Required","2018 Available","2018 Expenditure","2018 Narrative","2019 Required","2019 Available","2019 Expenditure","2019 Narrative","2020 Required","2020 Available","2020 Expenditure","2020 Narrative","2021 Required","2021 Available","2021 Expenditure","2021 Narrative","2022 Required","2022 Available","2022 Expenditure","2022 Narrative","2023 Required","2023 Available","2023 Expenditure","2023 Narrative","2024 Required","2024 Available","2024 Expenditure","2024 Narrative","2025 Required","2025 Available","2025 Expenditure","2025 Narrative","2026 Required","2026 Available","2026 Expenditure","2026 Narrative","2027 Required","2027 Available","2027 Expenditure","2027 Narrative","2028 Required","2028 Available","2028 Expenditure","2028 Narrative"
"Sri Lanka","UNSDF 2018 - 2022","3","Driver 3: Human security and socio-economic resilience","1","By 2022, people in Sri Lanka, especially the vulnerable and marginalised groups of children, youth, women, migrants, elderly and disabled, benefit equitably from dynamic and responsive social protection systems.","4","Employment, Skills and Economic Recovery","Yes","1","COVID19 Risk Assessment for MSMEs conducted. Rapid Assessment on 600 Domestic workers were conduct to determine the impact of COVID 19 on their working conditions and psychological wellbeing  ","59486","Socioeonomic Advisory Paper
Focus Area 3.1: Protecting workers from COVID-19 related health risks in the workplace
Recommendation Number 3.1.1: Put in place industry-specific COVID-19 Standard Operating Procedures (SOPs) and compliance monitoring measures for workplaces for 6-18 months, with the active involvement of employers and workers’ organizations, to mitigate health risks.  ","2021-01-02","2021-04-20","Closed","-","-","ILO","International Labour Organisation","Swedish International Development Agency, The United Nations COVID-19 Response and Recovery Multi-Partner Trust Fund","Ministry of Labour","8.5 By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value.","8 Decent Jobs and Economic Growth","Sri Lanka","-","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","-","0 - Not expected to contribute to realization of human rights","-","-","-","-","-","-",,"50000","0","30000","","","","-","","","","-","","","","-","","","","-","","","","-","50000","","30000","Improving OSH is a key element of ILO’s response to COVID-19. The MSE sector is particularly vulnerable to the spread of disease due to cramped spaces and a lack of facilities that would otherwise help reduce the risk of exposure. To date, ILO has, in close coordination with the Ministry of Health, the Industrial Safety Division under the Ministry of Labour and the National Institute of Occupational Safety and Health (NIOSH), worked to determine the OSH requirements for selected 1100 MSEs beneficieries in Gampaha and Kaluthara. The project is also engaging with local-level actors, including the district secretariat, the District Chamber, MOL, NIOSH, and MOH officers, to provide specific psycho-social support to MSEs in both districts. At the same time, the project is in the process of creating a multidimensional communication campaign to reach nationwide MSEs on both the physical and psycho-social aspects of return to work. 

Through the ILO-UNOPS MPTF project, it was required to identify the baseline information of 1100 beneficiaries as per the target indicated in the ProDoc. To identify these ground-level beneficiaries, ILO partnered with the Small Enterprise Development Division under the Ministry of Youth Affairs and Sports. The officers of Small Enterprise Division, attached to the district and divisional secretariats, the were rigorously involved in mapping the data and selecting the beneficiaries. The ILO conducted two sessions in August for these officers on the data collection process. The questionnaire was developed in consultation with SED officers and then validated and converted to a digital questionnaire. The data collection was powered by the KoBoToolbox, developed by the Harvard Humanitarian Initiative, which is an open-source suite of tools for data collection and analysis in humanitarian emergencies. The data collected were finalized based on the recommendation on the selection of beneficiaries received by ILO ","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Sri Lanka","UNSDF 2018 - 2022","3","Driver 3: Human security and socio-economic resilience","1","By 2022, people in Sri Lanka, especially the vulnerable and marginalised groups of children, youth, women, migrants, elderly and disabled, benefit equitably from dynamic and responsive social protection systems.","1","Health","Yes","10","Supporting Genomic sequencing of the SARS COV-2 virus to determine the major strain/s of the virus responsible for the pandemic at different    stages.","59544","Socioeconomic Advisory Paper Focus Area 1.1: Strengthening Health System Capacity and Preparedness for Emergencies
Socioeconomic Advisory Paper Recommendation Number 1.1.3.Sustain contributions to evidence generation and research by sharing Sri Lanka’s best practices and participating in clinical trials and studies, helping inform the global effort on COVID-19.
","2021-01-01","2022-12-31","Implementation","-","-","WHO","World Health Organization","European Union","Department of Immunology and Molecular Medicine - University of Sri Jayawardenepura","3.d Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks.","3 Good Health and Well-being","Sri Lanka","-","-","-","-","-","-","-","-","-","-","-","-",,"0","100000","225000","","","","-","","","","-","","","","-","","","","-","","","","-","","50000","175000","Laboratory facilities and expertise to perform  genomic sequencing of the SARS CoV-2 virus in Sri Lanka was enhanced. The laboratory consumables adequate to conduct seven rounds of genomic sequencing (658 sequences)  was supplied at the height of the 3rd wave. This  which facilitated  regular genomic surveillance in Sri Lanka enabling early detection of variants of concerns that resulted in timely  informed changes in national level policies and guidelines for of prevention and control. decisions and actions. Furthermore, the generated evidence/data were also shared with relevant global platforms and WHO contributing to the  scientific evidence base on variants of the SARS-CoV-2 virus.
","","50000","50000","WHO:  COVID-19 pandemic has exposed challenges in ensuring continiuty of genomic surveillance activities to monitor pathogens and analyze their genetic similarities and differences. The IHR Emergency Committee in January,July and October 2021 recommended to increase global and countries' sequencing capacities. In Sri Lanka only Sri Jayawardenapura University had sequencing capacities. Based on the request of the MoH , genomic sequencing capacity was established at the virology laboratory MRI, NH Kandy and TH Karapitiya in late 2021. During 2022, due to the change in the testing strategy only limited number of samples were received for sequencing. WHO provided the necessasry reagents for sequencing in 2022. All sequencing results have been uploaded to the GISAID platform. ","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Cambodia","United Nations Sustainable Development Cooperation Framework (2024-2028)","1","Human Development","1","By 2028, people in Cambodia, especially those at risk of being left behind, are healthier and benefit from improved gender-responsive education and social protection.","5","Increased human security underpinned by mine action which expands access to safe land, livelihood opportunities, and victim assistance.","Yes","105","Mine-affected land for productive use and development released/cleared and mine-affected communities benefited from the mine clearance.","156619","-","2024-01-01","2028-12-31","Implementation","-","-","UNDP","United Nations Development Programme","Australian Department of Foreign Affairs and Trade , Government of New Zealand, Korea International Cooperation  Agency","Cambodian Mine Action and Victim Assistance Authority","1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance.,2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.,2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and nonfarm employment.","1 No Poverty, 2 Zero Hunger","Oddar Meanchey, Preah Vihear, Kampong Thom, Siemreap, Cambodia, Koh Kong, Pursat, Battambang, Pailin, Banteay Meanchey","Policy Advice and Thought Leadership, Other (including coordination), Capacity Development/Technical Assistance, Direct Support/ Service Delivery, Convening/Partnerships/Knowledge Sharing, Data Collection and Analysis","-","-","2 - Gender equality/ women’s empowerment is a significant objective","","2 - Significant contribution to realization of human rights","-","","1 - Contributes to sustaining peace empowerment in a limited way","","Children , Indigenous Peoples, Migrants, Minorities, Persons affected by chronic/long-term health conditions (e.g., HIV/AIDS, leprosy, diabetes, autoimmune disease, etc.), Women & Girls, Persons With Disabilities, Youth, Peasants & Rural Workers, Older Persons","-",,"7909511","6994511","2823511","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","2823511","2823511","2823511","-","5086000","4171000","","-","","","","-","","","","-","","","","-"
"Cambodia","United Nations Sustainable Development Cooperation Framework (2024-2028)","1","Human Development","1","By 2028, people in Cambodia, especially those at risk of being left behind, are healthier and benefit from improved gender-responsive education and social protection.","5","Increased human security underpinned by mine action which expands access to safe land, livelihood opportunities, and victim assistance.","Yes","106","Persons with disabilities including landmine/ERW survivors benefited from rehabilitation services provided by Battambang physical rehabilitation centers to enable them to actively participate in society. ","156621","-","2024-01-01","2028-12-31","Implementation","-","-","UNDP","United Nations Development Programme","Korea International Cooperation  Agency","United Nations Development Programme","1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance.,2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.,2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and nonfarm employment.","1 No Poverty, 2 Zero Hunger","Pursat, Battambang, Banteay Meanchey, Pailin, Oddar Meanchey, Cambodia","Data Collection and Analysis, Convening/Partnerships/Knowledge Sharing, Support Functions, Capacity Development/Technical Assistance, Direct Support/ Service Delivery, Other (including coordination)","-","-","2 - Gender equality/ women’s empowerment is a significant objective","","2 - Significant contribution to realization of human rights","-","","2 - Sustaining Peace is a significant objective","","Youth, Indigenous Peoples, Peasants & Rural Workers, Persons With Disabilities, Women & Girls, Minorities, Persons affected by chronic/long-term health conditions (e.g., HIV/AIDS, leprosy, diabetes, autoimmune disease, etc.), Children , Older Persons, Migrants","-",,"181637","181637","81637","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","81637","81637","81637","-","100000","100000","","-","","","","-","","","","-","","","","-"
"Cambodia","United Nations Sustainable Development Cooperation Framework (2024-2028)","1","Human Development","1","By 2028, people in Cambodia, especially those at risk of being left behind, are healthier and benefit from improved gender-responsive education and social protection.","5","Increased human security underpinned by mine action which expands access to safe land, livelihood opportunities, and victim assistance.","Yes","107","Landmine/ERW survivors or their families including women benefited from livelihood opportunities to improve their socio-economic status and quality of life.","156622","-","2024-01-01","2028-12-31","Implementation","-","-","UNDP","United Nations Development Programme","Korea International Cooperation  Agency","United Nations Development Programme","1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance.,2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.,2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and nonfarm employment.","1 No Poverty, 2 Zero Hunger","Pursat, Pailin, Banteay Meanchey, Siemreap, Cambodia, Battambang","Policy Advice and Thought Leadership, Support Functions, Normative Support, Capacity Development/Technical Assistance, Convening/Partnerships/Knowledge Sharing, Data Collection and Analysis, Direct Support/ Service Delivery","-","-","2 - Gender equality/ women’s empowerment is a significant objective","-","2 - Significant contribution to realization of human rights","-","-","2 - Sustaining Peace is a significant objective","-","Persons With Disabilities","-",,"943000","943000","29000","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","29000","29000","29000","-","914000","914000","","-","","","","-","","","","-","","","","-"
"Mongolia","UNDAF 2017-2022","1","SP 1 Inclusive growth and sustainable management of natural resources","1","Outcome 1.1 Promoting inclusive growth and sustainable management of natural resources","2","Output 1.1.2 - People based climate change adaptation and mitigation approaches tailored to the Mongolian context including national green economy strategies that generate new jobs and skills, promote clean technologies, and reduce environmental risks and poverty (in sectors such as agriculture, forestry, mining, industry).","Yes","1.1.2.12","1.1.2.12 - UNEP and UNIDO - GEF Gold Mongolia: Contribution Toward the Elimination of Mercury in the Artisanal and Small Scale Gold Mining Sector: From Miners To Refiners","22070","The Global Environment Facility Programme: Global Opportunities for Long-term Development of
ASGM Sector (“GEF GOLD”) aims to eliminate mercury from the supply chain of gold produced from
the artisanal and small-scale mining sector by:
• Supporting formalization, including the regulatory and policy environment,
• Piloting models for access to finance and investment for artisanal and small-scale miners and their
communities,
• Facilitating access to formal gold supply chains, in partnership with gold buyers and industrial
users,
• Introducing and facilitating access to mercury-free technologies and best practices, emphasizing
the benefits of more efficient, cleaner, non-mercury techniques.","2018-08-07","2022-12-31","Implementation","-","-","UNEP, UNIDO","United Nations Environment Programme, United Nations Industrial Development Organization","The Global Environment Facility","MON MoET, MON MoMHI","9.2 Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries.,12.4 By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment.","9 Industry, Innovation and Infrastructure, 12 Responsible Consumption and Production","Mongolia","Capacity Development/Technical Assistance","-","-","2 - Gender equality/ women’s empowerment is a significant objective","-","2 - Significant contribution to realization of human rights","-","-","-","-","-","Munkhbolor Gungaa",,"13674848.5","13075464.1","6342390.29","","","","-","","0.1","0","-","1950000","1950000","100000","-","4000000","4000000","708518.79","-","4598763.5","3999379","3907097.5","-","1393646","1393646","","UNIDO continued to support GEF Gold Mongolia: Contribution Toward the Elimination of Mercury in the Artisanal and Small-scale Gold Mining (ASGM) (The planetGOLD Mongolia project) with UNEP and MET to reduce the impact of artisanal mining operations in Mongolia as part of a global programme. The planetGOLD Mongolia project is working toward eliminating mercury in the ASGM sector by using a bottom-up approach, involving members of the ASGM sector directly in the creation and implementation of policies and practices to sustainably improve mining operations and livelihoods. In partnership with the national government, the project team is working to create an enabling environment for a formalized ASGM sector that enhances community development, improves productivity, and eliminates the use of mercury.
The project carried out number of interventions which contributed to the elimination of mercury in artisanal and small scale gold mining by applying a value chain approach from the miners to the refiners through reviewed and supported ASGM policy and legal environment; introduced Due Diligence Standard - OECD Due Diligence Guidance and CRAFT Code training to government officials and artisanal miners and developed training modules for government officials and artisanal miners. 
","1732439","1732439","1626774","Component 1The project continued to focus on capacity building, advocacy, and awareness raising activities for both policy makers and artisanal miners on the promotion of ASM formalization and better mining practices. In addition to formalization, due diligence, gola supply chain, estimation of mercury use and mercury impacts on health and environment were also covered in the training conducted at project target areas (Selenge, Khovd, Gobi-Altai Provinces). Training for government officials also included gender mainstreaming, gender sensitive policy planning and occupational safety and health in ASGM. The project also contributed and provided recommendations towards the revisions to ASM regulation, which was approved in August 2022.  Component 2The project organized trainings on knowledge and information related to planetGOLD criteria, traceability, the need for responsible ASGM and standards in order to improve access to finance and markets. The project adapted a business toolkit, developed by planetGOLD global, enabling the miners to record basic information of the partnership, the gold ore, income and costs of operation for potential investors. The project also successfully co-organized Mongolia's very first Precious Metal and Jewelry Forum and Expo with 60 representatives from BoM, MMHI, Ministry of Culture, MRPAM, FRB, PMAID, Customs Agency, Tax Agency, General Agency for Specialized Inspection, commercial banks, and Precious Metal Association. A total of more than 7,000 guests visited the Expo. To promote investment opportunities for the sector, the project continues to organize meetings and network with the financial sector. The Central Bank of Mongolia has agreed to conduct a combined discussion with the financial institutions in 2023 in order to provide information on the barriers faced by the ASGM sector in accessing financing.  Component 3 Preliminary work has been completed in 2022, including selection of sites, ore resource assessment, lab tests, and study of ASGM legal environment. Considerable progress was made within component 3, particularly the capacity building of ASGM stakeholders and MFPS installation.a. A series of capacity building activities took place to promote better mining practices in the project areas. In 2022, 438 people (63% male, 37% female) from the mining and local communities and government offices attended these training sessions on responsible mining, environmental practice, gender, and human rights, occupational safety and health, and business management. To sustain knowledge uptake as well as attitudinal and behavioral change, the project will conduct follow-up activities in the selected provinces. This includes follow-up training activities and experience-sharing events or study tours.b.  The project team has implemented a timely response to the national context, particularly in changing its strategy of building stand-alone MFPS in the province to supporting two existing plants in Selenge province, namely Shijir Khishig in Mandal and Tunkhel Manlai in Tunkhel. The COVID-19 pandemic, the Russia-Ukraine war, and the Chinese border issue have significantly delayed the equipment importation from China and Colombia until Q3 2022. The equipment availability has enabled the commencement of the installation and calibration of the MFPSs. In addition, the project completed resource assessments of the project sites. The MoUs signedbetween the project and Selenge province governor and Mandal soum governor are expected to improve political support for the formalization of these processing plants.c. To better secure pollical endorsement, meetings and workshops with central policymakers were organized in June 2022 to discuss the current implementation of the Minamata Convention in the country and define challenges and solutions regarding mercury use reduction in the ASGM sector. In total, 58 officials (15 male, 43 female) from different government agencies participated. The key interventions suggested by the participants were to improve intersectoral coordination and information exchange, enhance the legal environment to support the formalization and professionalization ASGM sector, upgrade technology and equipment of processing plants, control mercury import, and conduct training and advocacy on the impacts of mercury use on human health and environment.d.  The project has made significant progress in mainstreaming gender aspects into the project activities, such as training sessions, training materials, technical assessments. Remarkably, a Gender Committee – a voluntary network consisting of gender focal points, miners, and local government officials nominated by the ASM NF and local ASM organizations – was officially launched in Mandal soum on September 15, 2022. The launch event was conducted in a hybrid format with 25 participants (18 women and 5 men). Following the launch, a workshop on planning and community-building participatory exercises was organized to help the members take leading roles and ownership of this body. The participants defined the vision, mission, principles, and values of the Committee and discussed and agreed on further activities for 2022 and 2023. Their vision is “to make artisanal mining socially recognized and gender equitable workplaces” while the mission is “to improve the quality of life by respecting people and empowering artisanal miners”. The Members proposed to conduct activities to strengthen the capacity of the Gender Committee and mining communities, improve collaboration among local ASGM stakeholders, advocate gender and human rights and contribute to ASM formalization in the project provinces. This piloted committee is hoped to address gender equality issues and to further the economic empowerment of female miners, who have traditionally missed out on the benefits from the booming mining sector.Component 4The project regularly provides updates and information to stakeholders and the public through its website and social media accounts. In 2022, more than 100 posts were shared and reach over 150,000 people. Over 8,000 copies of materials were distributed to national and local stakeholders on gender mapping report in the ASGM sector, legal framework analysis, ASGM trade, brochure on planetGOLD criteria for environmentall and socially responsible operations, and income and costs registration booklet for ASGM partnerships and cooperations. In order to advocate for ASGM formalization and create awareness of sectoral challenges, the project organized a journalists meeting which was attended by more than 10 journalists from national media outlets. The project also started sending bilingual (English and Mongolian) quarterly online newsletters informing project activities to stakeholders.","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Mongolia","UNDAF 2017-2022","1","SP 1 Inclusive growth and sustainable management of natural resources","1","Outcome 1.1 Promoting inclusive growth and sustainable management of natural resources","2","Output 1.1.2 - People based climate change adaptation and mitigation approaches tailored to the Mongolian context including national green economy strategies that generate new jobs and skills, promote clean technologies, and reduce environmental risks and poverty (in sectors such as agriculture, forestry, mining, industry).","Yes","1.1.2.23","1.1.2.23 - UNDP - Nationally Determined Contribution (NDC) support","22174","1) Efforts coordinated for effective implementation of NDC and Partnership plan; 2) Inclusive sectoral transformation towards NDC implementation supported;","2020-01-01","2022-12-31","Implementation","-","-","UNDP","United Nations Development Programme","European Commission","MON MRTD, MON MoCUD, MON MoET","13.2 Integrate climate change measures into national policies, strategies and planning.","13 Climate Action","Mongolia","Capacity Development/Technical Assistance","-","-","2 - Gender equality/ women’s empowerment is a significant objective","-","2 - Significant contribution to realization of human rights","-","-","-","-","-","-",,"827824","827824","536119","","","","-","","","","-","","","","-","","","","-","149000","149000","106662","-","406614","406614","218220","-","272210","272210","211237","The country has systematically adopted the methodologies on the GHG inventory and MRV system under NDC support project. The project supported key stakeholders including the Ministry of Construction and Urban Development, the Ministry of Environment and Tourism and the Ministry of Road, Transport and Development as well as relevant agencies by organizing a series of consultations with key officials on improving and updating the MRV and GHG inventory systems and discussed challenges on data availability as well as policies and actions envisioned for the next NDC update. The project is developing a demo video customized for Mongolia using a simplified approach on conducting GHG inventories and strengthening the existing MRV online framework, which will be released at the Q1 of 2023. In this context, numerous consultative meetings held with the MCUD and MTRD on how to strengthen and enable the smooth operations of the GHG inventory platforms (https://www.ghgtransport.mn/ and http://ghgconstruction.gov.mn/). The project had conducted four extensive training to the key officials of the respective ministries and agencies which provides row data or activity data of the GHG inventory and conduct GHG inventory. The trainers of these training were the CCRCC (the agency that prepares the National Reports to UNFCCC on GHG inventory) and national consultants. The total of the participants of the training was 115 from that 54 were females and 61 were males. Besides, project has organized number of small hands-on training to the individuals who holds the activity data of the GHG inventory of the respective ministries and agencies to provide detailed instruction with examples on how use the platforms and estimate the GHG emissions. By adopting these platforms the government will enhanced GHG inventory cycle by improving the accuracy, consistency and transparency of the GHG inventory data which will contribute to the country’s commitment to the Paris Agreement. ","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Indonesia","UNPDF 2016-2020","1","Strategic Priority 1 - 1","1","Outcome 1.1 - Outcome 1 - Poverty reduction, equitable sustainable development, livelihoods and decent work","4","Output 1.1.4 - UN SERF Pillar III Economic Response and Recovery","Yes","1.1.4.18","1.1.4.18 - Review, align and update current Nationally Determined Contributions (NDCs) targets, policies and measures; incorporate additional sectors, including nature-based solutions; assess costs and investment opportunities for NDC enhancement in the context of green recovery.","19886","Review, align and update current Nationally Determined Contributions (NDCs) targets, policies and measures; incorporate additional sectors, including nature-based solutions; assess costs and investment opportunities for NDC enhancement in the context of green recovery.","2020-03-01","2020-12-31","Implementation","-","-","UNDP","United Nations Development Programme","United Nations Development Programme","Indonesia Ministry of Forestry","-","-","Indonesia","Policy Advice and Thought Leadership","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","-","2 - Significant contribution to realization of human rights","-","-","-","-","-","-",,"35875","35875","35875","","","","-","","","","-","","","","-","","","","-","35875","35875","35875","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Lao PDR","UNPF 2017-2021","1","Strategic Priority 1 - Pillar I - Inclusive Growth, Livelihoods and Resilience","1","Outcome 1.1 - Decent Livelihoods","5","Output 1.1.5 - UXO","Yes","1.1.5.5","1.1.5.5 - Support to the institutional strengthening of the National Regulatory Authority for the Unexploded Ordnance(UXO)/Mine Action Sector in Lao PDR (NRA) and to the Lao National Unexploded Ordnance Programme  (2013-2017)","13194","The Lao National Unexploded Ordnance Programme (UXO Lao) is able to effectively manage clearance and risk education programmes in communities at risk in support of achieving national development goals and fulfilling international treaty obligations.","2017-01-01","2017-05-31","Finalisation","-","-","UNDP","United Nations Development Programme","European Union, Government of Australia, Government of the Republic of Korea, IR, LX, NZ, Swiss Agency for Development and Cooperation","MOLSW, NRA","1.5 By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters.","1 No Poverty","Attapeu, Lao People's Democratic Republic, Champasack, Khammouan, Salavan, Xaignabouly, Louangphabang, Houaphan, Sekong, Xaisomboon, Vientiane","Data Collection and Analysis, Capacity Development/Technical Assistance","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","-","1 - Limited contribution to realization of human rights","-","-","-","-","-","-",,"992742","992739","988189","","","","-","992742","992739","988189","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Lao PDR","UNPF 2017-2021","1","Strategic Priority 1 - Pillar I - Inclusive Growth, Livelihoods and Resilience","1","Outcome 1.1 - Decent Livelihoods","5","Output 1.1.5 - UXO","Yes","1.1.5.6","1.1.5.6 - Support to the institutional strengthening of the National Regulatory Authority for the Unexploded Ordnance(UXO)/Mine Action Sector in Lao PDR (NRA) and to the Lao National Unexploded Ordnance Programme (2013-2017) v2","13195","Support to the Institutional Strengthening of the National Regulatory Authority (NRA) for the UXO/Mine Action Sector in Lao PDR for better coordination and regulation of the UXO (Unexploded Ordnance) sector","2017-01-01","2017-05-31","Finalisation","-","-","UNDP","United Nations Development Programme","European Union, IR, Korea International Cooperation  Agency, LX, NZ","MOLSW, NRA","1.5 By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters.","1 No Poverty","Lao People's Democratic Republic","Policy Advice and Thought Leadership, Convening/Partnerships/Knowledge Sharing, Capacity Development/Technical Assistance","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","-","1 - Limited contribution to realization of human rights","-","-","-","-","-","-",,"506647","489382","504588","","","","-","506647","489382","504588","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
