"Country","Plan name","Strategic priority code","Strategic priority","Outcome code","Outcome","Output code","Output","Sub-Output publication status","Sub-Output code","Sub-Output","ID","Description","Start date","End date","Status","Joint Programmes / Initiatives names","Joint Programmes / Initiatives types","Agency abbreviations","Agencies","Contributing partners","Implementation partners","SDG Targets","SDG Goals","Geography","QCPR function","Humanitarian marker","Humanitarian marker narrative","Gender marker","Gender marker narrative","Human rights marker","Suboutput also contributes to the following outputs","Human rights marker narrative","Sustaining peace marker","Sustaining peace marker narrative","LNOB groups targeted","Focal users","Non Monetary Assistance","Total required resources","Total available resources","Total expenditure resources","2017 Required","2017 Available","2017 Expenditure","2017 Narrative","2018 Required","2018 Available","2018 Expenditure","2018 Narrative","2019 Required","2019 Available","2019 Expenditure","2019 Narrative","2020 Required","2020 Available","2020 Expenditure","2020 Narrative","2021 Required","2021 Available","2021 Expenditure","2021 Narrative","2022 Required","2022 Available","2022 Expenditure","2022 Narrative","2023 Required","2023 Available","2023 Expenditure","2023 Narrative","2024 Required","2024 Available","2024 Expenditure","2024 Narrative","2025 Required","2025 Available","2025 Expenditure","2025 Narrative","2026 Required","2026 Available","2026 Expenditure","2026 Narrative","2027 Required","2027 Available","2027 Expenditure","2027 Narrative"
"Montenegro","United Nations Sustainable Development Cooperation Framework","3","Social cohesion, people-centered governance, rule of law and human rights","4","By 2027, all people, especially the vulnerable, benefit from improved social cohesion, increased realization of human rights and rule of law and accountable, gender-responsive institutions","4.6","4.6. Combating corruption and organized crime","Yes","1","Design and implement capacity building measures for enhancing protection of cultural heritage and fighting illicit trafficking of cultural property","111973","Foster intra-regional cooperation, dialogue, mutual respect and recognition among communities, contributing to an enabling environment for reconciliation, stability and sustainable development, by means of reinforcing the protection of cultural heritage and cultural diversity, by reducing illicit trafficking of cultural properties, through enhancement capacities, knowledge and skills of key institutional partners.
","2023-01-01","2025-05-31","Implementation","-","-","UNESCO","United Nations Educational, Scientific and Cultural Organisation","European Union","Ministry of Culture and Media Montenegro, Ministry of Interior Montenegro, Ministry of Interior/Border Police Sector Montenegro, Ministry of Justice Montenegro","11.4 Strengthen efforts to protect and safeguard the world's cultural and natural heritage.,16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.","11 Sustainable Cities and Communities, 16 Peace and Justice - Strong Institutions","Montenegro","Capacity Development/Technical Assistance","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","More than 50% of women will be represented at the capacity budilding activities.","0 - Not expected to contribute to realization of human rights","-","","1 - Contributes to sustaining peace empowerment in a limited way","","-","Alma Mrgan-Slipicevic",,"460000","460000","260000","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","35000","35000","35000","Final design of a capacity-building programme on fighting against illicit trafficking of cultural property aimed at relevant actors in the beneficiary area has been developed. It involves analysis of the current needs of the project beneficiaries at both institutional and professional levels (police units, customs, judiciary, etc.), and development of the programme including specific training topics, proposed lecturers and resources, and potential partner institutions, all aligned with the relevant international standards","225000","225000","225000","Thanks to the contribution of international and national resource persons, more than 50 participants from different institutions (including Ministry of Culture and Media, Ministry of Justice, Conservation Center, Customs, Municipality of Žabljak, as well as several museums) have been empowered with enhanced knowledge and skills to more effectively combat the illicit trafficking of cultural property within and beyond Montenegro. The training also provided a unique opportunity for aimed at strengthening inter-institutional cooperation at the national and regional level, essential to effectively addressing this major threat to our shared cultural heritage.","200000","200000","","-","","","","-","","","","-"
"Montenegro","UNDAF 2017-2022","1","Strategic Priority 1 - Democratic Governance","1","Outcome 1.1 - Democratic Governance","2","Output 1.1.2 - Enhanced capacity of the public administration, law enforcement and independent institutions to ensure security and deliver inclusive, people-centered services.","Yes","1.1.2.3","1.1.2.3 - Regional and inter-regional law enforcement, and multi-agency coordination and cooperation, to tackle illicit trafficking in drugs and other goods, and transnational organized crime","13790","Support participation of government officials in the work of the Western Balkans Integrative International Security Governance Initiative (WB IISG) and Paris Pact Initiative (PPI); establish regional network in areas with complex investigations","2017-01-01","2017-12-31","Finalisation","-","-","UNODC","United Nations Office on Drugs and Crime","Non-core funds","CEPOL, Rosfinmonitoring, SEESAC","16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.","16 Peace and Justice - Strong Institutions","Montenegro","Convening/Partnerships/Knowledge Sharing","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","-","-","-","-","-","-","-","-",,"5000","5000","0","5000","5000","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Montenegro","UNDAF 2017-2022","1","Strategic Priority 1 - Democratic Governance","1","Outcome 1.1 - Democratic Governance","2","Output 1.1.2 - Enhanced capacity of the public administration, law enforcement and independent institutions to ensure security and deliver inclusive, people-centered services.","Yes","1.1.2.32","1.1.2.32 - Regional and inter-regional law enforcement, and multi-agency coordination and cooperation, to tackle illicit trafficking in drugs and other goods, and transnational organized crime","13819","Support participation of government officials in the work of the UNODC Global Firearms Programme (GFP) and establish regional network in areas with complex investigations","2019-01-01","2019-12-31","Finalisation","-","-","UNODC","United Nations Office on Drugs and Crime","Non-core funds","-","16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.","16 Peace and Justice - Strong Institutions","Montenegro","Convening/Partnerships/Knowledge Sharing","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","-","-","-","-","-","-","-","-",,"17000","35000","0","","","","-","","","","-","17000","35000","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Montenegro","UNDAF 2017-2022","1","Strategic Priority 1 - Democratic Governance","1","Outcome 1.1 - Democratic Governance","2","Output 1.1.2 - Enhanced capacity of the public administration, law enforcement and independent institutions to ensure security and deliver inclusive, people-centered services.","Yes","1.1.2.34","1.1.2.34 - Capacity of customs and border control agencies enhanced to minimize the exploitation of sea, land and air cargo containers for illicit drug trafficking and other transnational organized crime","13821","Support capacity building for customs, Port Control Units (CPUs), and other border control agencies and implementation of Container Control Programme (CCP)
Organize Strategic Trade and Export Control Training, workshops, and Steering Committee meetings","2019-01-01","2022-12-31","Implementation","-","-","UNODC","United Nations Office on Drugs and Crime","European Union","World Customs Organisation","16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.","16 Peace and Justice - Strong Institutions","Montenegro","Capacity Development/Technical Assistance","-","-","2 - Gender equality/ women’s empowerment is a significant objective","-","1 - Limited contribution to realization of human rights","-","-","-","-","-","Shakhrukh Ishankhodjaev",,"368050","368050","171100","","","","-","","","","-","41000","41000","","-","125600","125600","","-","71450","71450","41100","Technical assistance level cooperation with the Port Control Unit (PCU) in Montenegro has been continued yet impacted by the travel restrictions and other COVID-19 related challenges.

The effectiveness of the border law enforcement agencies consisting of the inter-agency PCU at the Port of Bar has been particularly supported through online and in-person mentorship visits, advance Strategic Trade and Export Control Training-joint event with the PCU Bijaca, Bosnia and Herzegovina, as well as procurement of the Information Technology (IT) and other basic equipment and tools for the PCU Bar.

Support to building advance availability of relevant data, credible information and cooperation in tactical intelligence with the selection of high-risk containers and other shipments, among the customs administrations of Montenegro and neighboring countries was facilitated through organization of the joint operational activities with Bosnia and Herzegovina and coordination meetings among the customs focal points for information exchange.


Saradnja na nivou tehničke pomoći sa Jedinicom lučke kontrole (PCU) u Crnoj Gori je nastavljena, ali je pod uticajem ograničenja putovanja i drugih izazova vezanih za COVID-19.

Efikasnost agencija za provođenje graničnog zakona koje se sastoje od međuagencijskog PCU-a u Luci Bar posebno je podržana kroz online i individualne mentorske posjete, unapređenje obuke o strateškoj trgovini i kontroli izvoza – zajednički događaj sa PCU Bijača, Bosna i Hercegovina Hercegovina, kao i nabavka informacione tehnologije (IT) i druge osnovne opreme i alata za PCU Bar.

Organizovanjem zajedničkih operativnih aktivnosti sa Bosnom i Hercegovinom omogućena je podrška dostupnosti relevantnih podataka, kredibilnih informacija i saradnje u taktičkoj obaveštajnoj delatnosti pri odabiru rizičnih kontejnera i drugih pošiljki, između carinskih uprava Crne Gore i zemalja okruženja. i koordinacioni sastanci između carinskih fokalnih tačaka za razmjenu informacija.

","130000","130000","130000","The UNODC-WCO Container Control Programme (CCP) facilitated a study visit to the Port of Piraeus in Greece for 12 customs and police officers of the Port Control Unit (PCU) Bar, Montenegro, and the PCU Bijaca, Bosnia and Herzegovina. This study visit tackled all forms of trafficking and provided the necessary capacity building for the PCUs and customs and police administrations in the South Eastern European (SEE) region to combat this threat. During the three-day study visit, the Greek customs and police officers provided insight into their work at the Port of Piraeus to their counterparts from Montenegro and Bosnia and Herzegovina who had an opportunity to see the x-ray scanners used in the Port and their operation, in addition to the physical inspection of containers by specially trained dogs. Furthermore, the CCP conducted a mentoring visit to the Port Control Unit (PCU) at the Port of Bar, Montenegro, to support the PCU officers in further enhancing their personal and organizational capacities to face the challenges occurring in the containerized trade supply chain. The CCP continued the delivery of the Strategic Trade and Export Control Training (STECT) for frontline officers of the Port Control Unit (PCU) at the Port of Bar in Montenegro. ","","","","-","","","","-","","","","-","","","","-","","","","-"
"Montenegro","UNDAF 2017-2022","1","Strategic Priority 1 - Democratic Governance","1","Outcome 1.1 - Democratic Governance","2","Output 1.1.2 - Enhanced capacity of the public administration, law enforcement and independent institutions to ensure security and deliver inclusive, people-centered services.","Yes","1.1.2.4","1.1.2.4 - Capacity of customs and border control agencies enhanced to minimize the exploitation of sea, land and air cargo containers for illicit drug trafficking and other transnational organized crime","13791","Support capacity building for customs, Port Control Units (PCUs) and other border control agencies; implementation of Container Control Programme (CCP)","2017-01-01","2017-12-31","Finalisation","-","-","UNODC","United Nations Office on Drugs and Crime","Non-core funds","World Customs Organisation","16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.","16 Peace and Justice - Strong Institutions","Montenegro","Capacity Development/Technical Assistance","-","-","2 - Gender equality/ women’s empowerment is a significant objective","-","1 - Limited contribution to realization of human rights","-","-","-","-","-","-",,"20000","20000","0","20000","20000","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Montenegro","UNDAF 2017-2022","1","Strategic Priority 1 - Democratic Governance","1","Outcome 1.1 - Democratic Governance","2","Output 1.1.2 - Enhanced capacity of the public administration, law enforcement and independent institutions to ensure security and deliver inclusive, people-centered services.","Yes","1.1.2.53","1.1.2.53 - Support the Montenegro Authorities to adopt the Regional Anti-corruption and Illicit Finance Roadmap","13840","Carry out consultations with Montenegro authorities to identify outstanding recommendations (UNCAC Review, GRECO, MONEYVAL, etc.)  that could feed the list of most salient priority areas of anti-corruption and Illicit finance work that will be further discussed at the regional level.","2021-01-01","2021-12-31","Finalisation","-","-","UNODC","United Nations Office on Drugs and Crime","Gov. of UK","-","16.5 Substantially reduce corruption and bribery in all their forms.","16 Peace and Justice - Strong Institutions","Montenegro","Normative Support","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","-","2 - Significant contribution to realization of human rights","-","-","-","-","-","-",,"31450","31450","47920","","","","-","","","","-","","","","-","","","","-","31450","31450","47920","•	Consultations carried out with Montenegrin authorities.
•	Preliminary report on the outstanding recommendation and most salient priorities for Montenegro developed.  
Montenegrin authorities supported in development and adoption of the Regional Anti-Corruption and Illicit Finance Roadmap. The Roadmap was adopted by high-level officials from Montenegro on a Regional forum on June 25 in Ohrid, North Macedonia.
","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Albania","Government of Albania and UN Programme of Cooperation for Sustainable Development 2017-2021","1","Governance and Rule of Law","1","Outcome 1.1 - Governance and Rule of Law","2","Output 1.1.2 - Anti-Corruption and Rule of Law","Yes","1.1.2.9","1.1.2.9 - 1.2.9 Development of policies against cultural trafficking and strengthened cooperation, capacities and accountability of national institutions and international organizations to put effective measures in place to prevent illicit trafficking of cultural properties.","10147","-","2020-01-01","2020-12-31","Closed","-","-","UNESCO","United Nations Educational, Scientific and Cultural Organisation","United Nations Educational, Scientific and Cultural Organisation","MoC","16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.","16 Peace and Justice - Strong Institutions","Albania","Normative Support, Policy Advice and Thought Leadership","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","","3 - Principal contribution is to the realization of human rights","-","","-","-","-","-",,"210000","10000","5000","","","","-","","","","-","","","","-","210000","10000","5000","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Uzbekistan","United Nations Sustainable Development Cooperation Framework 2021-2025","1","Effective governance and justice for all","1","Outcome 1. By 2025 all people and groups in Uzbekistan, especially the most vulnerable, demand and benefit from enhanced accountable, transparent, inclusive and gender responsive governance systems and rule of law institutions for a life free from discrimination and violence","1.2","Output 1.2.  Capacities of the parliament, local governments, human rights institutions, justice and law enforcement actors, and other constitutional bodies are strengthened to implement improved people-oriented, peace-focused and gender-sensitive policies, legislation and practice in line with international human rights standards ","Yes","1.2.27","Border liaison offices (BLOs) are established at the key border crossing points (BCPs) to enhance national capacities in countering illicit trafficking of drugs","39111","-","2021-01-01","2024-03-31","Finalisation","-","-","UNODC","United Nations Office on Drugs and Crime","Government of Japan","Border Troops of State Security Service of the Republic of Uzbekistan, National Information-Analytical Center on Drug Control under the Cabinet of Ministers of the Republic of Uzbekistan, State Customs Committee of the Republic of Uzbekistan, Uzbekistan Ministry of Internal Affairs","16.a Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime.","16 Peace and Justice - Strong Institutions","Uzbekistan","Normative Support, Convening/Partnerships/Knowledge Sharing, Data Collection and Analysis, Direct Support/ Service Delivery, Capacity Development/Technical Assistance","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","","1 - Limited contribution to realization of human rights","-","","-","-","-","Uktam Nasirov",,"2200000","2211000","2203065","","","","-","","","","-","","","","-","","","","-","850000","850000","842065","The Border Cooperation Component supported law enforcement officers in Uzbekistan by providing them with the personal protection equipment (PPE) to protect officers, serving at the border on the amount of US 9,221.
During the reporting period Program staff continued holding training programs using blended or offline forms of learning with the involvement of both national and international instructors in the border control area. As a result 76 officers passed throught specialized trainings on  information processing and analysis using special software and modern control techniques in holding search operations at te border.
On 11 March 2021, the first cross-border meeting between the Tajik and Uzbek law enforcement officers was held at border crossing points Ayvaj and Gulbakhor. The meeting was conducted at the tri-border area where the boundaries of three countries: Afghanistan, Tajikistan, and Uzbekistan meet. 
On 18 May 2021, UNODC conducted the opening ceremony of two new BLOs located at Pakhtaobod and Kudukli railway BCPs with the signature of the handover documents in Tajikistan and in Uzbekistan. 
On 3 March 2021, the first Situation Center established with support of UNODC officially launched its functions at the Central Office of the State Customs Committee of the Republic of Uzbekistan. 
On 23 November 2021, the meeting of Representatives of the Border Services of Central Asian Countries with participantion of UNODC Executive Director was held in Tashkent, Uzbekistan. ","350000","361000","361000","(i) 2 regional and 4 national training courses on risk analysis, profiling, search operations, information processing and analysis using special and open programs, programming based on Java technology, and ArcGIS software were conducted for 100 law enforcement officers (95 men and 5 women). (ii) On March 10-15 and August 18-20, 2022, BLO monitoring missions were carried out at the “Kudukli” (auto)  “Gulbahor” BCPs (auto) on the Uzbek-Tajik border and ""Alat"" (auto) on the Uzbek-Turkmen border. During the missions, video surveillance kits were delivered to the indicated checkpoints and measurements and calculations for the elaboration of design estimates to announce a tender for the construction of a concrete basement for further installation of two 40-foot containers intended for BLO at BCP “Gulbakhor” were done. (iii) Equipment was handed over, including sets of video surveillance systems for the Border Troops of the State Security Service of the Republic of Uzbekistan and 2 units of biometric locks and 5 units of laptops for further use by the Situation Center of the State Customs Committee of the Republic of Uzbekistan. Inspection equipment and drug test kits intended for BCPs ""Alat"" and ""Gulbahor"", as well as a computer class for the Ministry of Interior are in the process of delivery. (iv) Large seizures were done by BLOs at BCPs ""Ayritom"" and ""Oybek"": 230 kg. heroin, 154 kg., 90 gr. hashish., and 16 kg of methamphetamine. (v) 1 national working meeting of the Working Group and 2 regional meetings of Project Steering Committees to discuss Project implementation and elaborate the recommendations for enhancement of cross-border law enforcement cooperation in the region. (vi) Regional expert meetings of law enforcement analysts was conducted on 10 February and 2-3 August 2022 to develop the action plan to create an integrated information and communication system for information collecting and data exchange between law enforcement authorities of the states of Central Asia. On September 19 to 30, 2022- Regional training course on risk analysis and methods for detecting smuggling at airports for two groups of Central Asian competent authorities, Istanbul, Istanbul International Airport, Turkey. Total 6 participants representing Customs and Border control agencies participated from Uzbekistan. (vii) On June 27, 2022, a regional information campaign dedicated to the World day Combating Drug Abuse at ""Gisht Kuprik"" ""Sariosiyo"" and in Tashkent International Airport named after Islam Karimov was conducted.(viii) In cooperation with the Strategic Affairs Division of the Ministry of Foreign Affairs of the State of Israel a working study visit was conducted to the state of Israel on December 19-21, 2022. During the visit, 4 participants from Uzbekistan got acquainted with the best practices of law enforcement agencies of the State of Israel for effective implementation of border control and interagency cooperation, as well as exchanged knowledge and experience on enhancing cross-border cooperation in combatting smuggling and illicit drug trafficking. ","500000","500000","500000","UNODC Regional Initiative on Enhancing Cross-Border Cooperation in Central Asia and the EU-funded ""Border Management Programme in Central Asia, Phase 10"" (BOMCA 10) organized a study visit to the European Border and Coast Guard Agency - FRONTEX (Warsaw, Poland) and the Polish Border Guard for 15 representatives of the border control authorities from Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan.The UNODC Vienna Border Management Branch delegation visited Kazakhstan, Tajikistan, and Uzbekistan to discuss the UNODC’s efforts in enhancing integrated border management and regional security with counterparts in Central Asia and explore the prospect of deepened cooperation in these areas. The mission conducted several constructive meetings with the relevant counterparts and visited strategic border outposts and crossing points, and newly established Border Liaison Offices at the border crossing points.UNODC conducted an annual regional meeting of the Steering Committees established under the UNODC Regional Project on Enhancing Cross-Border Cooperation. The event brought together over 35 representatives from Central Asian law enforcement agencies, Ministries of Foreign Affairs, the Central Asian Regional Information and Coordination Centre for Combatting Illicit Trafficking of Narcotic Drugs, Psychotropic Substances and their Precursors (CARICC), and UNODC. During the representatives of the law enforcement agencies updated the participants on the implementation of the project in their respective countries. They highlighted the importance of strengthening further cross-border cooperation and coordination of activities to address threats posed by transnational organized crime in the region more effectively.On 13-16 February 2023, a technical needs assessment mission to the BCPs Ayritom, Yallama, and Termez River Port was conducted with the purpose of monitoring the activity of the Border Liaison Office (BLO), including the functional status of the equipment provided by UNODC, as well as to conduct BCP’s technical needs’ assessment in terms of infrastructure development and provision of training courses to the designated BLO officers. On 11 May 2023, a new BLO at the Alat border checkpoint (Uzbekistan) on the Uzbek-Turkmen border was inaugurated with the participation of H.E. Ambassador Extraordinary and Plenipotentiary of Japan to Uzbekistan, UNODC Regional Representative for Central Asia, Director of the National Center on Drug Control and other senior law enforcement officers of the Republic of Uzbekistan. During the opening ceremony, the representatives of the participating parties signed handover reports on the equipment donated to the Alat BCP.As part of the Project, the Border Troops of the State Security Service of Uzbekistan received the equipment including two Toyota off-road vehicles inspection search kits, CCTV, and a 40-ft Container transformed to the BLO office for the BCPs Ayritom, Yallama, Alat, and Gulbakhor. The procurement of passport readers and inspection search kits for the Border Troops of the State Security Service of the Republic of Uzbekistan as a part of larger regional bidding within the project’s scope for four Central Asian countries is in progress and expected to be completed by the end of 2024. The delivery is expected in early 2024. The contract for procurement of CCTV for the BCP Ayritom was signed in December 2023. The delivery is expected in early 2024.The Working Group meeting was conducted on 14 April 2023, where participants discussed the outcomes of the assessment and monitoring missions conducted at the Ayritom, Yallama, Termez River Port, Sariosiyo, Kudukli, and Gulbahor BCPs. During the meeting, participants also reviewed and approved the Project Work Plan for 2023, including the finalization of the list of equipment to be procured for the Ayritom and Yallama BCPs.n 21-26 June 2023, in support of the global campaign “PEOPLE FIRST” as part of the initiative to strengthen cross-border cooperation in the region and the establishment of border liaison offices of the UNODC Programme for Central Asia 2022-2025, an awareness-raising campaign was organized among persons crossing the border crossing points on the Kazakh-Kyrgyz and Uzbek-Tajik borders to raise awareness on the methods to combat drug trafficking and to prevent the use of narcotic drugs by children and young people. On 3-4 August 2023, UNODC, in cooperation with the Central Asian Regional Information and Coordination Centre for Combating Illicit Trafficking of Narcotic Drugs, Psychotropic Substances and their Precursors (CARICC), convened the Regional Working Group Meeting of Law Enforcement Agencies of Central Asia on development of Regional Information and Communication System in Almaty, Kazakhstan. On 24 - 25 October, UNODC conducted an annual regional meeting of the Steering Committees established under the UNODC Regional Project on Enhancing Cross-Border Cooperation. The event brought together over 35 representatives from Central Asian law enforcement agencies, Ministries of Foreign Affairs, the Central Asian Regional Information and Coordination Centre for Combatting Illicit Trafficking of Narcotic Drugs, Psychotropic Substances and their Precursors (CARICC), and UNODC. The representatives of the law enforcement agencies updated the participants on the implementation of the project in their respective countries. On 22 - 26 May 2023, a regional training on risk analysis and detection of the new psychoactive substances (NPS) was organized for 23 officers of the Ayritom, Ruzvai, Tem, Panji Poyon, Serhetabat, Imamnazar, Garabogaz, and Yallama BCPs from Tajikistan, Turkmenistan and Uzbekistan in Dushanbe.On 12-16 June 2023, the project conducted a five-day regional training course on organizing border control at checkpoints on the border with Afghanistan at the Ayritom BCP bordering Afghanistan. The training was attended by 27 law enforcement officers from five Central Asian states. Practical sessions of the training were conducted at the Ayritom BCP on the Uzbek-Afghan border and permitted participants to inspect and hold search operations directly on the Uzbek-Afghan border and share their experiences on drug trafficking trends in Central Asia and Europe.On 7-11 August 2023, UNODC conducted a regional training for 23 law enforcement officers from the Republic of Kazakhstan, the Kyrgyz Republic, the Republic of Tajikistan, Turkmenistan, and the Republic of Uzbekistan on Joint Transborder Operations at the premises of CARICC in Almaty, the Republic of Kazakhstan.On 28 - 29 March 2023, UNODC, jointly with the OSCE Centre in Ashgabat, organized a regional training workshop on countering the illicit trafficking of drugs and new psychoactive substances in Ashgabat, Turkmenistan. The two-day event aimed to share effective ways to combat drug trafficking at the border. Around 100 officers from the respective border and anti-drug agencies of the five Central Asian countries took part in the regional event online and in person. ","500000","500000","500000","Monitoring Missions: Conducted at eight Border Crossing Points (BCPs)—Ayritom, Sariosiyo, Kudukli, Gulbakhor, Yallama, Dustlik, Alat, and Oybek. Equipment valued at USD 377,000 was procured and delivered to the Border Troops of the State Security Service, the Customs Committee, and the Ministry of Internal Affairs. Items included interactive and office equipment, furniture, CCTV systems, contraband search kits, inspection tools, and passport readers.An interactive, computer-based training classroom was inaugurated at the Faculty for Advanced Training of the Customs Institute in Uzbekistan on 25 June 2024. Regional Training Courses: In 2024, seven (7) officers from the Border Troops of the SSS attended two regional training courses: one on risk profiling and drug courier detection in Astana (19-21 June 2024) and another on advanced travel document verification techniques in Ashgabat (11-13 March 2024).","","","","-","","","","-","","","","-"
"Belarus","UNDAF for the Republic of Belarus","1","Strategic Priority 1 - Inclusive, Responsive and Accountable Governance","2","Outcome 1.2 - By 2020, state institutions will ensure responsive, accountable and transparent governance to enable citizens to benefit from all human rights in line with international principles and standards","7","Output 1.2.3 - Capacities are developed for efficient, transparent and accountable public service delivery (especially at the local level) in accordance with the rule of law and human rights principles","Yes","1.2.3.10","1.2.3.10 - Strengthening Capacity of the State Border Committee of the Republic of Belarus in Combatting Illicit Trafficking of Weapons and Ammunition","11235","-","2019-01-01","2020-12-31","Implementation","-","-","UNDP","United Nations Development Programme","-","State Border Committee","16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all.,16.6 Develop effective, accountable and transparent institutions at all levels.","16 Peace and Justice - Strong Institutions","Belarus","Capacity Development/Technical Assistance","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","-","1 - Limited contribution to realization of human rights","-","-","-","-","-","-",,"782158","782158","0","","","","-","","","","-","10846","10846","","-","771312","771312","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Uzbekistan","United Nations Sustainable Development Cooperation Framework 2021-2025","1","Effective governance and justice for all","1","Outcome 1. By 2025 all people and groups in Uzbekistan, especially the most vulnerable, demand and benefit from enhanced accountable, transparent, inclusive and gender responsive governance systems and rule of law institutions for a life free from discrimination and violence","1.2","Output 1.2.  Capacities of the parliament, local governments, human rights institutions, justice and law enforcement actors, and other constitutional bodies are strengthened to implement improved people-oriented, peace-focused and gender-sensitive policies, legislation and practice in line with international human rights standards ","Yes","1.2.46","National capacities are strengthened to prevent and combat the illicit trafficking of small-arms and light weapons and their illicit supply to terrorists","105898","-","2022-01-01","2025-06-30","Implementation","-","-","UNODC","United Nations Office on Drugs and Crime","Government of Canada","Uzbekistan General Prosecutor's Office, Uzbekistan Ministry of Internal Affairs, Uzbekistan State Customs Committee, Uzbekistan State Security Service, Uzbekistan Supreme Court","16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.","16 Peace and Justice - Strong Institutions","Uzbekistan","Capacity Development/Technical Assistance","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","","1 - Limited contribution to realization of human rights","-","","-","-","-","Uktam Nasirov",,"470886","470886","300000","","","","-","","","","-","","","","-","","","","-","","","","-","100000","100000","100000","-","100000","100000","100000","Within the past period the UNODC and UNOCT joint project has achieved significant progress towards meeting its set targets. Specifically, the project: - Provided support for data collection and analysis in Central Asian states, including Uzbekistan, through conducting the Regional Study on firearms trafficking and terrorism-arms-organized crime nexus in the region. The report is completed in December of 2023 and will be published in the beginning of 2024. - Organized the Regional Meeting of the community of practitioners (COP) on data collection and information sharing for operational use in cases of small arms and light weapons (SALW) trafficking and terrorism in Central Asia, including Uzbekistan, in June 2023. Regional meeting was held in Ankara, Turkey at the premises of and through engaging of the experts from the Turkish International Academy Against Drugs and Organized Crime (TADOC). - Jointly with UNODC Research and Analysis Branch (RAB) conducted the Regional Workshop on illicit arms flows in Central Asia and Caucasus and completing the Illicit Arms Flows Questionnaire (UN-IAFQ) in September 2023. Representatives from five Central Asian, including Uzbekistan and three Caucasus countries attended the workshop and enhanced their knowledge and skills on collection and analysis of firearms-related data to monitor the trafficking of illicit firearms in the region. - Currently translating the Handbook on firearms for border guards and customs by Frontex into five Central Asian languages: Kazakh, Kyrgyz, Tajik, Turkmen and Uzbek languages. The handbook in five languages will be further disseminated among the border guards and customs officers of Central Asian states during the project events.","100000","100000","100000","Benefitted 66 law enforcement and judicial officers ( 7 women) through a series of national trainings on advanced investigation techniques and technologies for countering SALW trafficking, illicit production, and diversion to terrorists.Provided ongoing support for data collection and analysis by conducting the Regional Study on firearms trafficking and the terrorism-arms-organized crime nexus in the region. Benefitted 42 law enforcement and judicial officers (including 1 woman) through national trainings on the collection and use of specific evidence in SALW trafficking and terrorism cases. Conducted a cost-benefit analysis in collaboration with the General Prosecutor’s Office of Uzbekistan on the country’s accession to/ratification of the Firearms Protocol. Completed procurement of specialized equipment worth $81,000 to enhance the capacities of forensic labs.Translated, edited, and designed the Handbook on Firearms for border guards and customs officers by Frontex into Uzbek.","170886","170886","","-","","","","-","","","","-"
