"Country","Plan name","Strategic priority code","Strategic priority","Outcome code","Outcome","Output code","Output","Sub-Output publication status","Sub-Output code","Sub-Output","ID","Description","Start date","End date","Status","Joint Programmes / Initiatives names","Joint Programmes / Initiatives types","Agency abbreviations","Agencies","Contributing partners","Implementation partners","SDG Targets","SDG Goals","Geography","QCPR function","Humanitarian marker","Humanitarian marker narrative","Gender marker","Gender marker narrative","Human rights marker","Suboutput also contributes to the following outputs","Human rights marker narrative","Sustaining peace marker","Sustaining peace marker narrative","LNOB groups targeted","Focal users","Non Monetary Assistance","Total required resources","Total available resources","Total expenditure resources","2017 Required","2017 Available","2017 Expenditure","2017 Narrative","2018 Required","2018 Available","2018 Expenditure","2018 Narrative","2019 Required","2019 Available","2019 Expenditure","2019 Narrative","2020 Required","2020 Available","2020 Expenditure","2020 Narrative","2021 Required","2021 Available","2021 Expenditure","2021 Narrative","2022 Required","2022 Available","2022 Expenditure","2022 Narrative","2023 Required","2023 Available","2023 Expenditure","2023 Narrative","2024 Required","2024 Available","2024 Expenditure","2024 Narrative","2025 Required","2025 Available","2025 Expenditure","2025 Narrative","2026 Required","2026 Available","2026 Expenditure","2026 Narrative","2027 Required","2027 Available","2027 Expenditure","2027 Narrative"
"Turkiye","United Nations Sustainable Development Cooperation Framework","3","Climate change, sustainable environment and livable cities","3.1","3.1 By 2025, all relevant actors take measures to accelerate climate action, to promote responsible production and consumption, to improve the management of risks and threats to people, to ensure sustainable management of the environment and natural resources in urban and ecosystem hinterlands.","3.1.2","Output 3.1.2 Nature-based integrated solutions adopted by public institutions, CSOs and private sector, and scaled up for sustainable management of biodiversity and natural resources and ecosystems at sector, urban and rural context","Yes","1","3.1.2.1 Territorial Diagnostic Analysis of the Bodrum city and urban area to determine the most appropriate Nature-based Solutions and green infrastructure to include in urban planning policy to promote climate change adaptation, sustainable tourism and ecosystem management. ","33544","-","2021-05-01","2021-09-30","Cancelled","-","-","UNEP","United Nations Environment Programme","United Nations Environment Programme","Bodrum Municipality","11.1 By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums.,11.5 By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations.,11.6 By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management.,11.a Support positive economic, social and environmental links between urban, peri-urban and rural areas by strengthening national and regional development planning.,11.b By 2020, substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion, resource efficiency, mitigation and adaptation to climate change, resilience to disasters, and develop and implement, in line with the Sendai Framework for Disaster Risk Reduction 2015-2030, holistic disaster risk management at all levels.,12.2 By 2030, achieve the sustainable management and efficient use of natural resources.,12.5 By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse.,15.9 By 2020, integrate ecosystem and biodiversity values into national and local planning, development processes, poverty reduction strategies and accounts.,15.a Mobilize and significantly increase financial resources from all sources to conserve and sustainable use biodiversity and ecosystems.","11 Sustainable Cities and Communities, 12 Responsible Consumption and Production, 15 Life on Land","Turkiye","Data Collection and Analysis","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","","1 - Limited contribution to realization of human rights","-","","-","-","-","-",,"10000","10000","0","","","","-","","","","-","","","","-","","","","-","10000","10000","0","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Ukraine","United Nations Transitional Framework","3","Strengthening Systems","2.1","Community Recovery interventions and nexus approaches in key sectors address displacement and strengthen individual and community resilience","2.1.2","Mine Action and Debris Removal","Yes","1_1.1.25","Capacity development support for Integrated Mine Action in Eastern Ukraine","98796","-","2022-10-01","2022-10-31","Closed","-","-","UNDP","United Nations Development Programme","Government of Canada","Ukraine Donetsk Oblast Civil - Military Administration, Ukraine Luhansk Oblast Civil-Military Administration","16.1 Significantly reduce all forms of violence and related death rates everywhere.,16.a Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime.","16 Peace and Justice - Strong Institutions","Donetska, Luhanska, Ukraine","Capacity Development/Technical Assistance","-","-","2 - Gender equality/ women’s empowerment is a significant objective","","2 - Significant contribution to realization of human rights","-","","-","-","-","-",,"351469","351469","349871","","","","-","","","","-","","","","-","","","","-","","","","-","351469","351469","349871","No updates in 2022. Project was in wrap-up phase, ensuring sustainability of results with the start of the full-scale war.","","","","-","","","","-","","","","-","","","","-","","","","-"
"Azerbaijan","UN Azerbaijan Partnership Framework (UNAPF)","1","Strategic Priority 1 - Promoting sustainable and inclusive economic development underpinned by increased diversification and decent work","1","Outcome 1.1 - By 2020, the Azerbaijan economy is more diversified and generates enhanced sustainable growth and decent work, particularly for youth, women, persons with disabilities and other vulnerable groups","3","Output 1.1.3 - Mine clearance and mine victim assistance programme are maintained to enhance economic activity on the conflict-affected territories of Azerbaijan","Yes","1.1.3.1","1.1.3.1 - Support ANAMA in demining and further strengthening its capacity as the International Centre for Mine Action. Assistance by facilitating internationally recognized assessment for ANAMA and its promotion and awareness raising among mine affected countries","10492","-","2019-01-01","2020-12-31","Implementation","-","-","UNDP","United Nations Development Programme","Government of Azerbaijan, United Nations Development Programme","Azerbaijan National Agency for Mine Action (ANAMA)","11.5 By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations.","11 Sustainable Cities and Communities","Goygol, Azerbaijan","Capacity Development/Technical Assistance","-","-","2 - Gender equality/ women’s empowerment is a significant objective","-","-","-","-","-","-","-","-",,"1884140","1180214","2371497","","","","-","","","","-","1136206","1136206","825401","-","747934","44008","1546096","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-"
"Ukraine","United Nations Transitional Framework","3","Strengthening Systems","2.1","Community Recovery interventions and nexus approaches in key sectors address displacement and strengthen individual and community resilience","2.1.2","Mine Action and Debris Removal","Yes","1_2.1.42","Enhanced Mine Action management in Ukraine","98828","-","2022-10-01","2024-12-31","Implementation","-","-","UNDP","United Nations Development Programme","Agence Espagnole de Coopération pour le Développement, Government of Belgium, Government of Croatia, Government of Denmark, Government of France, Government of Luxembourg, Government of Malta, Government of New Zealand, Government of Sweden, Government of the Netherlands, Swiss Agency for Development and Cooperation, United Kingdom Foreign, Commonwealth & Development Office","United Nations Mine Action Service","16.6 Develop effective, accountable and transparent institutions at all levels.","16 Peace and Justice - Strong Institutions","Ukraine, Kyivska","Capacity Development/Technical Assistance, Convening/Partnerships/Knowledge Sharing, Data Collection and Analysis","-","-","2 - Gender equality/ women’s empowerment is a significant objective","","2 - Significant contribution to realization of human rights","-","","-","-","-","-",,"38264848","38264845","28465621","","","","-","","","","-","","","","-","","","","-","","","","-","","","5397","-","9230859","9230858","4784996","Through enhanced demining capacity of Mine Action government institutions (equipment for pyrotechnic teams), in particular the State Emergency Service of Ukraine (SESU), the Project contributed to a safe environment for both internally displaced people (IDPs) and those who did not leave their place of origin in conflict-affected areas. By clearing de-occupied territories contaminated by explosive remnants of war, demining government institutions remove EO-related hazards from such areas, and the risk of population accidental injuries or deaths is being significantly reduced. It allowed conflict-affected people to feel safe outside the home and to move about their communities without fear of stepping on or encountering explosive devices. ","29033989","29033987","23675228","Key accomplishments include empowering responders, advancing inclusive growth, supporting victim assistance, and championing Ukrainian innovation. These efforts contributed to 20 activities under the National Mine Action Strategy for 2024–2033, with UNDP's technical expertise playing a significant role.The provision of equipment to 202 State Emergency Service of Ukraine (SESU) demining teams boosted the operational capacity of national mine action efforts. MAP deployed 7 Non-Technical Survey (NTS) teams to survey 11.7 million m² of war-affected land, releasing 3.91 million m², benefitting 1,369 individuals in Chernihiv and Kharkiv oblasts, in communities with a population of 73,092.To enhance Explosive Ordnance Disposal (EOD) capabilities, 16 National Police of Ukraine (NPU) specialists received training on Hook and Line (HL) systems. Additionally, 8 NPU and 2 SESU EOD specialists completed a joint HL training of trainers course. MAP also conducted underwater EOD training for 6 specialists with Lithuanian Anti-Terrorist Operations Unit 'ARAS.'Animal detection systems (ADS) progressed with the introduction of Technical Survey Dog (TSD) methodology in Ukraine. 8 women dog handlers were trained, deploying 12 TSDs for rapid land release. The second phase of unmanned technologies testing in humanitarian demining, focusing on sensors, drones, and AI to detect explosives, was completed with 7 Ukrainian companies involved. This testing will contribute to developing a unified standard for using unmanned technologies.UNDP’s report on innovative financing proposed mechanisms like Sustainability-Linked Bonds and Outcome-Based Public-Private Partnerships to address a $34.6 billion funding gap and align mine action with agriculture and renewable energy.A strengthened Information Management System for Mine Action (IMSMA) was established, training 58 Information Management Officers (IMOs), including 10 veterans with disabilities, in mapping, spatial analysis, and geospatial data management. This improved operational efficiency and informed decision-making for key Ukrainian institutions. Additionally, MAP is developing a debris removal system tailored for SESU, focusing on monitoring casualties from explosive remnants of war (ERW). A second training session for 12 veterans on mechanical demining provided practical knowledge on equipment, and 4 veterans secured jobs in humanitarian demining.MAP has made incremental progress in mainstreaming disability inclusiveness and advancing the UNDP Model of victim assistance in Ukraine. Trainings have strengthened the EO victim assistance system at both national and local levels. These include:•	Workshops on ""National Standards for Medical Support to Demining Operations,"" contributing to recommendations for national standards.•	15 healthcare professionals trained in advanced rehabilitation techniques for EO victims in Denmark.•	68 health professionals trained in Post-Amputation Mobility Aid (PPAM) for EO victims.•	415 professionals from NGOs, the Ministry of Social Policy (MoSP), and State Employment Services (SES) received training on social support services for EO victims and PWDs.•	167 local authorities and NGOs from Kharkiv, Kherson, Mykolaiv, Kyiv, and Chernihiv oblasts participated in workshops to build local support networks for EO victims.•	92 local authorities from Kharkiv, Kherson, and Mykolaiv participated in a workshop on the new National Mine Action Strategy.•	24 NPU participants enhanced skills in service provision for people with impairments, including EO survivors, considering PWD protection and human rights in policing.•	25 psychologists from SESU received training on mental health and psychosocial support for war-affected populations, including EO victims.•	101 specialists trained in trauma-informed communication and service provision.•	81 social workers trained to provide quality social services to vulnerable communities, including EO victims.MAP also organized the TECH4Life Congress, showcasing innovative assistive technology, with over 350 in-person and 3,500 online participants.To ensure knowledge sharing in global forums, MAP secured the participation of 3 NMAA official, a representative from the MoEC, and a veteran who had completed IM training, in the Fifth Review Conference of the Anti-Personnel Mine Ban Convention (APMBC) on a Mine-Free World, held in Siem Reap, Cambodia. UNDP presented on two panels, including Victim Assistance and innovation in mine action.","","","","-","","","","-","","","","-"
"Ukraine","United Nations Transitional Framework","3","Strengthening Systems","2.1","Community Recovery interventions and nexus approaches in key sectors address displacement and strengthen individual and community resilience","2.1.2","Mine Action and Debris Removal","Yes","1_2.1.44","Enhanced Ukraine Mine action Sub-cluster coordination","98829","-","2022-11-01","2024-03-31","Closed","-","-","UNDP","United Nations Development Programme","United Kingdom Foreign, Commonwealth & Development Office","State Emergency Management Agencies, Ukraine Ministry of Internal Affairs of Ukraine","16.6 Develop effective, accountable and transparent institutions at all levels.","16 Peace and Justice - Strong Institutions","Ukraine","Capacity Development/Technical Assistance","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","","1 - Limited contribution to realization of human rights","-","","-","-","-","-",,"605311","605311","602228","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","605311","605311","602228","The Project contributed to the transition from the Mine Action Subcluster (MASC) to the Mine Action Area of Responsibility (MA AoR). MA AoR offers a platform to MA humanitarian operators to coordinate their activities and offer a platform for exchange of the experience in the sphere. ","","","","-","","","","-","","","","-","","","","-"
"Albania","United Nations Sustainable Development Cooperation Framework","3","Effective, people-centred governance, rule of law, human rights and gender equality ","3","Outcome 3 - Governance, Rule of Law, and Human Rights ","17","3.6 Migration and asylum","Yes","14","2023 Culturally and linguistically (including braille and sign language when necessary) adapted, child friendly safe reporting mechanism of child protection risks, referral, and information sharing are made accessible for groups of children and families at the places determined as their mid-term to long-term residence ","98845","-","2023-01-01","2023-12-31","Finalisation","-","-","UNICEF","United Nations Children's Fund","United States Agency for International Development","Albania Civil Society Organisations, Albania State Agency for Child Rights Protection, Albania State Police, Albania State Social Service, Local Government Unit of Albania","16.2 End abuse, exploitations, trafficking and all forms of violence against and torture of children.","16 Peace and Justice - Strong Institutions","Bashkia Durres, Bashkia Lezhe, Lezhe, Durres, Albania","Capacity Development/Technical Assistance","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","","3 - Principal contribution is to the realization of human rights","-","","-","-","-","-",,"125000","125000","50000","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","125000","125000","50000","-","","","","-","","","","-","","","","-","","","","-"
"Kazakhstan","UN Sustainable Development Cooperation Framework 2021-2025","3","Strategic Priority 3: Prosperity and Planet - Inclusive Economic Growth and Environmental Sustainability","3.1.","Outcome 3.1: By 2025, all people in Kazakhstan, especially the most vulnerable, benefit from inclusive, resilient, and sustainable economic development with improved productive capacities, skills and equal opportunities for sustainable and decent jobs, livelihoods, and businesses.","3.1.3","Output 3.1.3: Increased capacities of MMSEs and enterpenuers to create a conducive environment, to better integrate into the value chains, develop innovative approaches for enterpeneurial activities, and create decent job opportunities","Yes","14","Leveraging Nationally Determined Contributions (NDCs) to achieve net-zero emissions and climate-resilient development, in response to the climate emergency","98848","The Project aims to introduce new climate smart technologies that can be scaled up on most of the farms, in the field of renewable energy, digitalization for water use, and proper drought control for small- and medium-size agriculture enterprises facing both COVID-19 and climate crises at the same time. In addition, the Project will improve the existing meteorological surveillance system, which will increase the resilience to droughts. Capacity building activities envisages gender perspective by empowering emerging women scholars, practitioners and women-led SMEs in climate smart mechanization sector in partnership with UNDP STEM4All platform.","2022-08-31","2023-03-31","Closed","-","-","UNDP","United Nations Development Programme","Government of Japan","United Nations Development Programme","5.5 Ensure women's full and effective participation and equal opportunities for leadership at all levels of decision-making in political, economic and public life,7.2 By 2030, increase substantially the share of renewable energy in the global energy mix.","5 Gender Equality, 7 Affordable and Clean Energy","Astana, Kazakhstan","Capacity Development/Technical Assistance","-","-","2 - Gender equality/ women’s empowerment is a significant objective","","1 - Limited contribution to realization of human rights","-","","-","-","-","Dosbol Tursumuratov",,"1082941","1082941","964415","","","","-","","","","-","","","","-","","","","-","","","","-","267116","267116","148934","-","815825","815825","815481","the project focused on water-saving technologies and drought-resistant crops to ensure efficient water resource usage. The installation of water-saving equipment on farms contributed to water conservation and increased crop areas. The project aimed to scale up the adoption of low-carbon technologies and approaches in the agricultural sector. This was achieved through capacity-building programs designed to empower farmers with the knowledge and skills necessary to implement sustainable practices. Additionally, the project focused on developing five standardized solutions specifically tailored to the agricultural sector. It also prioritized gender perspective and empowering women in the climate-smart mechanization sector through collaboration with the UNDP STEM4All platform. Monitoring and knowledge on drought forecasting and mitigation were improved and the understanding of climate-related vulnerability to drought advanced. Demonstrated climate-smart agriculture technologies for renewable energy, and water management allowed to increase resilience of the farmers on the ground.The project systematically approached the issue of resilience of the agricultural sector to climate change by improving the processing capacity of the meteorological surveillance system and expert capacity on forecasting and response to mitigate the impact of droughts in Kazakhstan.The project envisaged raising public awareness about climate change through various means. This included educational trainings conducted for farmers across Kazakhstan, emphasizing the significance of alternative energy sources in combating climate change. ","","","","-","","","","-","","","","-","","","","-"
"Turkiye","United Nations Sustainable Development Cooperation Framework","4","Good governance and quality of judiciary services","4.2","4.2 By 2025, the effectiveness of the international protection and migration management system is improved.","4.2.1","Output 4.2.1. National/local institutions are supported to ensure that protection-sensitive access to international protection and management of entry, stay and exit pathways are improved in line with the LFIP","Yes","19","4.2.1.19 Awareness raising on mine action among the communities","33165","-","2021-01-01","2023-01-21","Finalisation","-","-","UNDP","United Nations Development Programme","European Union","National Mine Action Center (TURMAC)","1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance.,16.1 Significantly reduce all forms of violence and related death rates everywhere.","1 No Poverty, 16 Peace and Justice - Strong Institutions","Turkiye","Convening/Partnerships/Knowledge Sharing","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","","3 - Principal contribution is to the realization of human rights","-","","-","-","-","-",,"220546","220546","0","","","","-","","","","-","","","","-","","","","-","120301","120301","0","Under the Anti-Personnel Mine Ban Convention, Turkey has committed itself to destroy all landmines and improve its institutional capacity towards mine action with the primary goal of humanitarian dimension and has been fulfilling the requirements of the agreement by clearing the mines and strengthens its border security with humanitarian and modern systems. UNDP managed the two phases of the project, and in Phase I and Phase II, approximately 45,600 anti-personnel mines were destroyed and 4.7 million m2 of land along a 34 km stretch of the border was released. 
Being the only ongoing project in integrated border management and the largest scale project of UNDP CO, Demining Phase 3 started in January 2021 and following results were achieved by the end of 2021:
Component 1: Clearance of up to 4.2 million m² of land
Demining Contractor and Quality Management Service Provider procurement processes were completed, and demining operations started in June 2021. 346,854 sqm out of 883.000 (25% of 3.6m sqm) has been manually cleared and 18444 mines were found and removed. These cleared areas are to be handed over to TURMAC after completion of verification. 
Component 2: Capacity building activities for TURMAC
Training programs have been designed in coordination with TURMAC to cover Technical Survey GICHD online Training Course, QM ISO 9000/9001 Lead Auditor Training Turkish Commercial Organisation and a follow up GICHD Quality Management Training Course, MDD Training/Accreditation Procedures Agreed Training Program with TURMAC, IMSMA Core User Training GICHD follow up visit to TURMAC and EORE GICHD online Training Course. 
ISO9001 training was delivered to 8 key experts of TURMAC and other trainings will be delivered in 2022.
Component 3: Mine Risk Education
Mine Risk Education was originally planned to be conducted after an Impact Assessment Base Line Study, which is under discussion with the EUD for replacement with a mid-term evaluation due to lack of experts to conduct such and Impact Assessment. 14 MRE sessions are planned to be conducted in 2022 after approval of the Impact Assessment by the EUD. 
On the other hand, education and awareness raising materials were produced for the MRE sessions to be delivered by the Gendarmerie in 900 villages. 
Component 4: Non-Technical Survey
Procurement process for the NTS Contractor was completed and operations started in June 2021. On-site surveys of 955 minefields were completed and NTS reports of 200 hazardous areas were approved by TURMAC. ","53649","53649","","-","46596","46596","","-","","","","-","","","","-","","","","-","","","","-"
"Turkiye","United Nations Sustainable Development Cooperation Framework","4","Good governance and quality of judiciary services","4.2","4.2 By 2025, the effectiveness of the international protection and migration management system is improved.","4.2.1","Output 4.2.1. National/local institutions are supported to ensure that protection-sensitive access to international protection and management of entry, stay and exit pathways are improved in line with the LFIP","Yes","20","Capacity development of the national institutions in mine action programmes including gender mainstreaming","33166","The Capacity Development initiative  will support the limited strengthening of the TURMAC to manage Mine Action functions and responsibilities. Specific support, to include Gender Mainstreaming will be dedicated for further enhancement of TURMAC’s operations and QM of the Mine Action sector.","2021-01-01","2025-12-21","Implementation","-","-","UNDP","United Nations Development Programme","European Union","National Mine Action Center (TURMAC)","16.6 Develop effective, accountable and transparent institutions at all levels.","16 Peace and Justice - Strong Institutions","Turkiye","Capacity Development/Technical Assistance","-","-","1 - Contributes to gender equality/women’s empowerment in a limited way","","3 - Principal contribution is to the realization of human rights","-","","-","-","-","-",,"220918","220918","0","","","","-","","","","-","","","","-","","","","-","110136","110136","0","Under the Anti-Personnel Mine Ban Convention, Turkey has committed itself to destroy all landmines and improve its institutional capacity towards mine action with the primary goal of humanitarian dimension and has been fulfilling the requirements of the agreement by clearing the mines and strengthens its border security with humanitarian and modern systems. UNDP managed the two phases of the project, and in Phase I and Phase II, approximately 45,600 anti-personnel mines were destroyed and 4.7 million m2 of land along a 34 km stretch of the border was released. 
Being the only ongoing project in integrated border management and the largest scale project of UNDP CO, Demining Phase 3 started in January 2021 and following results were achieved by the end of 2021:
Component 1: Clearance of up to 4.2 million m² of land
Demining Contractor and Quality Management Service Provider procurement processes were completed, and demining operations started in June 2021. 346,854 sqm out of 883.000 (25% of 3.6m sqm) has been manually cleared and 18444 mines were found and removed. These cleared areas are to be handed over to TURMAC after completion of verification. 
Component 2: Capacity building activities for TURMAC
Training programs have been designed in coordination with TURMAC to cover Technical Survey GICHD online Training Course, QM ISO 9000/9001 Lead Auditor Training Turkish Commercial Organisation and a follow up GICHD Quality Management Training Course, MDD Training/Accreditation Procedures Agreed Training Program with TURMAC, IMSMA Core User Training GICHD follow up visit to TURMAC and EORE GICHD online Training Course. 
ISO9001 training was delivered to 8 key experts of TURMAC and other trainings will be delivered in 2022.
Component 3: Mine Risk Education
Mine Risk Education was originally planned to be conducted after an Impact Assessment Base Line Study, which is under discussion with the EUD for replacement with a mid-term evaluation due to lack of experts to conduct such and Impact Assessment. 14 MRE sessions are planned to be conducted in 2022 after approval of the Impact Assessment by the EUD. 
On the other hand, education and awareness raising materials were produced for the MRE sessions to be delivered by the Gendarmerie in 900 villages. 
Component 4: Non-Technical Survey
Procurement process for the NTS Contractor was completed and operations started in June 2021. On-site surveys of 955 minefields were completed and NTS reports of 200 hazardous areas were approved by TURMAC. ","33766","33766","","-","77016","77016","","-","","","","-","","","","-","","","","-","","","","-"
"Bosnia and Herzegovina","United Nations Sustainable Development Cooperation Framework","1","Sustainable, resilient and inclusive growth","1","1 By 2025, people benefit from resilient, inclusive and sustainable growth ensured by the convergence of economic development, and management of environment and cultural resources","2023-2025 1.1","2023-2025 1.1 Authorities and communities have capacities and instruments to effectively address risks posed by climate change, especially policies and measures to promote green and just transition","Yes","2023-2025 1.1.4","2023-2025 1.1.4 Capacity of authorities to develop and support implementation of key climate change and green transition frameworks (i.e. the National Determined Contribution to UNFCCC, Circular Economy Roadmap, etc.) is strengthened","98215","Develop and support implementation of key climate change and green transition strategic frameworks (i.e. the National Determined Contribution to UNFCCC, Circular Economy Roadmap, etc.) and further test green financing instruments, in partnership with authorities at all levels, communities and financing institutions. Support authorities to design strategic climate action measures and investments. ","2023-01-01","2025-12-31","Implementation","-","-","UNDP","United Nations Development Programme","Government of Japan, The Global Environment Facility","BiH Ministry of Foreign Trade and Economic Relations, FBiH Environmental Fund, FBiH Ministry of Environment and Tourism, RS Environmental Fund, RS Ministry of Spatial Planning, Construction and Ecology","13.2 Integrate climate change measures into national policies, strategies and planning.","13 Climate Action","Bosnia and Herzegovina","Policy Advice and Thought Leadership, Data Collection and Analysis, Capacity Development/Technical Assistance","-","-","2 - Gender equality/ women’s empowerment is a significant objective","","1 - Limited contribution to realization of human rights","-","","-","-","-","Alisa Grabus",,"1354003","1224503","645611","","","","-","","","","-","","","","-","","","","-","","","","-","","","","-","501012","371512","345611","-","359134","359134","300000","-","493857","493857","","-","","","","-","","","","-"
