Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399827.0,1399827.0,1008425.0,0.0,1226148.0,1225530.0,1195530.0,618.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79000.0,74000.0,0.0,5000.0,110000.0,5000.0,0.0,105000.0,195000.0,195000.0,0.0,0.0,308998.0,188998.0,0.0,120000.0,1468581.0,1307781.0,774207.0,160800.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117690.0,1117690.0,366991.0,0.0,1000000.0,0.0,292956.0,0.0,1600000.0,0.0,39338.0,0.0,1400000.0,1100000.0,553141.0,300000.0,332700.0,309710.0,269710.0,22990.0,1422174.0,1379474.0,1352100.0,42700.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155000.0,35000.0,25000.0,120000.0,565000.0,360960.0,208789.0,204040.0
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112805.0,1112805.0,877727.0,0.0,1679973.0,1669973.0,1595308.0,10000.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603589.0,563589.0,556182.0,40000.0,20905050.0,20905050.0,20905050.0,0.0
Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35858.0,35858.0,35858.0,0.0,0.0,0.0,0.0,0.0,201865.0,161365.0,107329.0,40500.0,446693.0,416693.0,389693.0,30000.0,130000.0,85000.0,75000.0,35000.0
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859450.0,0.0,0.0,0.0,480000.0,480000.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,250000.0,15000.0,15000.0,0.0,0.0
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220000.0,220000.0,220000.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3013488.0,1059488.0,691000.0,1954000.0
Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,4023000.0,3978000.0,0.0,0.0
Cote d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312031.0,312031.0,236794.0,0.0,401555.0,401555.0,285678.0,0.0,317458.0,317458.0,245986.0,0.0,4489681.0,3297994.0,2309195.0,1191687.0
Democratic Republic of the Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305000.0,264800.0,64800.0,40200.0
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3184984.0,3084984.0,0.0,100000.0,3605000.0,4922442.0,0.0,-1467442.0,7531397.0,7469788.0,3955338.0,61609.0,8522570.0,8121570.0,0.0,401000.0
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735000.0,665000.0,0.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,200000.0,0.0,1300000.0
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9066507.0,3704729.0,2492970.0,5361778.0,4586613.0,2408512.0,65642.0,2178101.0,3122563.0,822563.0,707034.0,300000.0
Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,485654.0,485654.0,0.0,0.0,975381.0,975381.0,0.0,0.0,1340955.0,1340955.0,260945.0,0.0,2329050.0,2299050.0,531837.0,30000.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58297.0,58297.0,58297.0,0.0,63297.0,63297.0,63297.0,0.0,14275.0,14275.0,6944.0,0.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,449860.0,340000.0,221231.0,109860.0,616770.0,616730.0,381566.0,40.0
Gambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101000.0,96000.0,85568.0,5000.0,487000.0,487000.0,375000.0,0.0,250000.0,275000.0,0.0,0.0,200000.0,200000.0,0.0,0.0
Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949447.0,1259427.0,1314047.0,690020.0,2672583.0,1291330.0,1497351.0,1361253.0,11428460.0,9963554.0,6778631.0,1344906.0,7549810.0,6134929.0,4260815.0,1314881.0
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77500.0,77500.0,80000.0,0.0,322837.0,277837.0,429768.0,45000.0,447021.0,260021.0,257671.0,187000.0,799500.0,747500.0,263954.0,52000.0,845336.0,608842.0,578842.0,236494.0
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,70000.0,0.0,0.0,844903.0,844903.0,844903.0,0.0
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830000.0,200000.0,755140.48,80000.0,6896401.0,4490514.0,6980323.0,2295887.0,0.0,0.0,3559000.0,0.0,25412816.0,6382771.0,5995366.0,19030045.0,5639070.0,3510671.0,1940357.0,2128399.0,6738941.0,3855271.0,3250396.0,2883670.0,5461218.0,3410095.0,3232359.0,2051123.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83000.0,83000.0,83000.0,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,15000.0,0.0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23000.0,23000.0,23000.0,0.0,23174426.0,8361287.0,8338287.0,14813139.0,180000.0,110000.0,110000.0,70000.0,0.0,0.0,0.0,0.0
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327293.0,404530.0,403742.0,-77237.0,700000.0,220000.0,0.0,130000.0
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,24388367.0,12782304.0,11659933.0,11606063.0
Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,100000.0,0.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85013104.0,74767482.0,22386541.0,10245622.0
Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,45000.0,0.0,0.0,799090.0,79090.0,0.0,0.0,1528000.0,1438000.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
