Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Algeria,1415000.0,1184689.69,861716.88,230310.30999999997,1415000.0,1055990.43,764047.02,359009.57,1415000.0,1155023.0899999999,759050.9100000001,259976.91000000006,1415000.0,991021.8,871340.17,423978.2,1415000.0,1012618.27,910637.0900000001,402381.73,1415000.0,1130978.2,800144.44,284021.80000000005,1415000.0,1142862.8,892422.6900000001,272137.19999999995,1415000.0,1090650.42,780370.3200000001,324349.57999999996,1306000.0,900551.88,679136.4,405448.12
Angola,4912040.0,3582299.88,2777810.02,1329740.1199999999,4912040.0,3730099.2600000002,2638880.42,1181940.74,4912040.0,3945361.13,3051352.28,966678.8700000001,4912040.0,3646924.46,2767837.2600000002,1265115.54,4912040.0,3280511.27,2460307.54,1631528.73,4912040.0,3981229.83,3071162.66,930810.17,4912040.0,4008108.2199999997,3106273.56,903931.78,4712040.0,3629467.82,2966668.77,1082572.18,4712040.0,3745231.12,2883039.12,966808.8799999999
Benin,4109863.0,2541330.82,1860263.53,1568532.1800000002,4109863.0,3514592.75,3133428.16,595270.25,4109863.0,3568920.37,2809845.5000000005,540942.6300000001,4109863.0,3722783.93,3323042.31,387079.06999999983,4197363.0,3241552.2100000004,2943222.2600000002,955810.7899999998,4121863.0,3380756.13,2095538.3100000003,741106.8700000001,4436758.0,4145185.6,3758184.9499999997,291572.39999999985,4204560.5,3607501.15,2424708.83,597059.35,4653354.0,3261045.58,2521603.5900000003,1392308.42
Botswana,1678541.0,1390841.82,945816.28,287699.17999999993,1678541.0,1279053.95,943148.02,399487.05,1678541.0,1285429.9100000001,946192.47,393111.08999999997,1678541.0,1173286.5,863033.22,505254.5,1678541.0,1292823.79,862764.84,385717.20999999996,1678541.0,1225820.26,1090028.79,452720.74,1678541.0,1300588.15,1001558.6400000001,377952.85000000003,1640331.25,1264391.08,926889.95,375940.17000000004,1452822.0,1282103.91,942983.26,170718.09000000003
Burkina Faso,17690448.0,13125280.31,9550871.309999999,4565167.6899999995,17690448.0,13856166.180000002,10777003.17,3834281.8199999994,17690448.0,13156991.549999999,9541435.25,4533456.45,17690448.0,14399974.32,11841256.06,3290473.68,17690448.0,13154437.42,10150809.85,4536010.58,17690448.0,13745662.49,11713870.120000001,3944785.5100000002,17690448.0,13675570.96,10638411.809999999,4014877.0399999996,17690448.0,13961805.19,10006778.01,3728642.81,14687568.0,10986603.0,9488834.26,3700964.9999999995
Burundi,5951698.0,4865931.59,3421670.58,1085766.41,5951698.0,4058063.0,3217682.9299999997,1893635.0,5951698.0,4992445.11,3565506.02,959252.8900000001,5951698.0,4813164.17,3951135.75,1138533.83,5951698.0,4520043.42,3733596.62,1431654.58,5951698.0,4508107.09,3463309.55,1443590.9100000001,5951698.0,4659402.12,3663363.28,1292295.8800000001,5951698.0,4841906.62,4077418.85,1109791.3799999997,4800161.0,3746410.8899999997,3019899.77,1053750.1099999999
Cabo Verde,1573974.0,1249219.41,1035415.02,324754.58999999997,1573974.0,1259199.71,987310.05,314774.29,1573974.0,1167459.3,954816.22,406514.7,1513974.0,1223259.73,950100.03,290714.26999999996,1430251.0,1113287.6,902075.83,316963.4,1245911.56,960801.9,750413.69,285109.66000000003,1105867.56,888064.43,700006.33,217803.13,1095867.56,908514.77,683578.03,187352.78999999998,1097867.56,845591.6,634053.96,252275.96000000002
Cameroon,2926895.0,2409264.3,1758964.85,517630.70000000007,2926895.0,2375385.47,1778958.98,551509.53,2926895.0,2445999.59,1998574.8399999999,480895.41000000003,2926895.0,2287573.31,1982139.04,639321.69,2926895.0,2307348.25,1560498.17,619546.75,2926895.0,2461352.4699999997,2034557.69,465542.53,2926895.0,2125295.12,1653366.11,801599.8799999999,2926895.0,2257876.09,1741624.73,669018.9099999999,2726895.0,2220249.44,1821388.34,506645.55999999994
Central African Republic,2111100.0,1807653.73,1389072.52,303446.27,2111100.0,1751483.9,1368753.74,359616.1,2111100.0,1569827.82,1202236.01,541272.1799999999,2111100.0,1642843.57,1313074.17,468256.43,1699230.6666666665,1159308.56,917413.03,539922.1066666666,1699230.6666666665,1119241.21,937321.53,579989.4566666667,1699230.6666666665,1261912.69,953507.13,437317.9766666666,1699230.6666666665,1312839.6199999999,1010099.16,386391.04666666663,1659230.6666666665,1348861.8699999999,1081155.47,310368.79666666663
Chad,7859100.6,5610929.06,4562119.33,2248171.54,7859100.6,6124255.62,4622170.04,1734844.9799999997,7859100.6,5865530.42,4392294.82,1993570.1800000002,7859100.6,5536979.29,4728739.79,2322121.31,7859100.6,5927584.26,4645172.16,1931516.34,7679766.6,6097957.95,5081755.41,1581808.6500000001,7985750.625,6097516.0,4518332.59,1888234.625,7985750.625,6294521.2299999995,4496216.41,1691229.395,8098174.565217391,6193581.14,4533124.12,1904593.4252173912
