Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Angola,120000.0,107194.02,83844.94,12805.979999999996,120000.0,97026.41,87480.86,22973.589999999997,120000.0,96282.38,88265.35,23717.619999999995,120000.0,85228.1,55131.66,34771.899999999994,120000.0,101326.22,83762.19,18673.78,120000.0,79073.1,60437.67,40926.899999999994,120000.0,85283.88,75207.97,34716.119999999995,120000.0,93968.54,65157.38,26031.460000000006,120000.0,99924.77,66187.84,20075.229999999996
Benin,600000.0,551495.77,411649.64,48504.22999999998,600000.0,437738.36,415048.5,162261.64,600000.0,418908.72,287472.96,181091.28000000003,600000.0,536078.64,389440.89,63921.359999999986,600000.0,504344.8,361804.06,95655.20000000001,600000.0,440829.56,403297.05,159170.44,629510.0,431705.0,323409.17,197805.0,209836.6666666667,131012.72,78675.33,78823.94666666668,72764.1,58137.62,39435.0,14626.480000000003
Botswana,1222021.0,920677.94,645374.81,301343.06,1222021.0,946854.28,828851.04,275166.72000000003,1222021.0,804998.8999999999,582965.66,417022.10000000003,1222021.0,1047839.8099999999,900361.24,174181.19000000003,1222021.0,821202.1599999999,682263.5,400818.84,1222021.0,989196.88,844787.63,232824.12,1222021.0,1098345.52,892345.0700000001,123675.48000000001,1222021.0,985445.6100000001,609526.85,236575.38999999996,1222021.0,943435.03,827977.63,278585.97000000003
Burkina Faso,1520324.0,1188227.9,833215.7799999999,332096.10000000003,1520324.0,1217332.8699999999,972534.7199999999,302991.13,1520324.0,1089106.18,889281.19,431217.82000000007,1520324.0,1377347.41,1172243.9000000001,142976.59000000003,1520324.0,1116077.28,767466.1900000001,404246.72,1520324.0,1170972.96,1063960.68,349351.04000000004,1520324.0,1319196.31,1029655.89,201127.69000000006,1520324.0,966925.3100000002,736710.74,553398.69,1352051.0,999204.78,737696.07,352846.22
Cameroon,2086710.0,1693860.4900000002,1142147.66,392849.50999999995,2086710.0,1492154.26,1285389.11,594555.74,2086710.0,1779762.5,1490105.23,306947.5,2086710.0,1448230.42,1141896.58,638479.58,2086710.0,1697887.96,1462113.81,388822.04,2086710.0,1482404.13,1181527.8599999999,604305.8700000001,2086710.0,1601917.75,1247594.13,484792.25,2086710.0,1495343.06,1270152.18,591366.9400000001,2086710.0,1822529.8399999999,1539801.06,264180.16
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,11678254.25,8851930.33,7056942.59,2826323.9200000004,11678254.25,8732739.49,6301137.19,2945514.76,17138341.0,12513765.92,9175820.309999999,4624575.08,26675962.0,21223484.78,18487032.03,5452477.219999999,36213583.0,25323921.26,20445660.79,10889661.74,14102345.0,9908092.870000001,6535629.0600000005,4194252.13,12533711.0,10317469.02,8521051.58,2216241.98,20044490.0,14553148.31,11626720.54,5491341.69,17481490.0,12218332.99,9218185.28,5263157.01
Comoros,48945.0,38653.600000000006,31412.63,10291.399999999998,48945.0,37253.619999999995,26126.32,11691.380000000001,48945.0,36648.63,26156.68,12296.37,48945.0,34418.11,28061.92,14526.890000000001,48490.0,43819.630000000005,29370.78,4670.369999999999,48490.0,38233.5,26990.35,10256.499999999998,48490.0,45377.149999999994,36308.43,3112.850000000002,48490.0,32424.58,27773.0,16065.42,48490.0,42126.86,34438.51,6363.140000000003
Congo,2308122.0,1820449.67,1518208.32,487672.3300000001,2308122.0,1843299.16,1447580.51,464822.84,2308122.0,1755361.28,1380966.03,552760.7200000001,2308122.0,1792408.97,1474893.67,515713.0299999999,2308122.0,2039692.96,1442002.53,268429.04000000004,2308122.0,1586962.63,1127556.22,721159.37,1696998.0,1450734.71,1141914.24,246263.28999999995,1696998.0,1327569.88,978165.41,369428.12,2732665.0,1812205.8900000001,1316084.02,920459.11
Cote d'Ivoire,3467482.0,2380620.31,1817065.59,1086861.69,3467482.0,2644702.4200000004,2267279.57,822779.5799999998,3467482.0,2948869.29,2044711.8399999999,518612.70999999996,3467482.0,2632548.76,2149803.41,834933.24,3467482.0,3041718.62,2129953.65,425763.3799999999,3467482.0,2419598.9,2078950.98,1047883.1000000001,3428008.0,3026109.6899999995,2375017.6799999997,401898.31000000006,3132192.0,2591027.67,2445031.17,541164.33,2367192.0,1757926.81,1391851.15,609265.1900000001
