Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Angola,4492808.0,3387942.02,2728002.7,1104865.98,4492808.0,3592747.79,2849783.1,900060.2100000001,4492808.0,3918359.66,3213884.25,574448.34,4492808.0,3746631.09,3282266.38,746176.91,4487058.0,3579523.35,2911275.7600000002,907534.6499999999,4498558.0,3453425.21,2845867.93,1045132.79,4531383.76,3858373.3000000003,3233103.13,673010.46,4464380.5600000005,3173506.44,2512093.31,1290874.1199999999,4494076.54,3652301.17,3109130.18,841775.37
Botswana,2123749.3333333335,1623168.19,1265108.24,500581.1433333333,2123749.3333333335,1506011.2,1178693.59,617738.1333333333,2123749.3333333335,1668298.2300000002,1356156.62,455451.1033333333,2123749.3333333335,1635942.85,1321022.29,487806.4833333334,2123749.3333333335,1582370.47,1346784.16,541378.8633333333,2137702.993333333,1687124.02,1291210.0499999998,450578.9733333333,2031452.9933333334,1671603.8699999999,1370808.69,359849.1233333333,2285319.66,1754982.78,1500830.53,530336.88,2169769.66,1847308.22,1459308.47,322461.44000000006
Cabo Verde,1625000.0,1335219.47,1096317.84,289780.53,1625000.0,1047318.91,881004.56,577681.09,1625000.0,1234237.56,866996.95,390762.44000000006,1625000.0,1431670.17,1194930.87,193329.83,1625000.0,1480207.44,1032769.91,144792.55999999997,1625000.0,1190711.25,925123.61,434288.75000000006,1625000.0,1327759.8499999999,1095297.39,297240.15000000014,1625000.0,1182251.8099999998,1008044.52,442748.1900000001,1625000.0,1527775.29,1140975.2999999998,97224.71
Cameroon,36660000.0,32265172.36,22216949.55,4394827.639999999,36660000.0,30780825.39,22400149.22,5879174.6099999985,36660000.0,27014488.61,25281724.59,9645511.39,36660000.0,33315043.25,27486541.82,3344956.75,36660000.0,30185006.43,23184593.08,6474993.570000001,36660000.0,34574063.66,29281612.34,2085936.340000003,36660000.0,22948826.13,15649260.64,13711173.870000001,36660000.0,24909497.36,20280986.38,11750502.64,36660000.0,32512106.880000003,26386224.189999998,4147893.1199999987
Chad,130000.0,92598.53,79261.24,37401.47,130000.0,95116.39,67658.86,34883.61,130000.0,116662.73,92099.54000000001,13337.270000000004,130000.0,94651.05,75640.94,35348.95,130000.0,95091.91,74816.56999999999,34908.090000000004,130000.0,110758.51000000001,87421.73999999999,19241.489999999998,130000.0,109870.34,88183.01999999999,20129.659999999996,130000.0,98179.69,77624.93,31820.31,130000.0,110420.78,83094.72,19579.219999999994
Cote d'Ivoire,250810.66666666663,238270.13,217588.8,12540.536666666623,250810.66666666663,198088.56,141206.6,52722.10666666663,250810.66666666663,175887.45,122924.6,74923.21666666662,250810.66666666663,174977.91,130671.5,75832.75666666662,250810.66666666663,181876.15,146713.15,68934.51666666663,250810.66666666663,174504.95,143953.94,76305.71666666662,100000.0,77992.03,63558.39,22007.97,235616.0,208350.1,152610.07,27265.899999999994,416816.0,320483.65,263538.29,96332.34999999998
Egypt,24311237.0,19119047.16,15579273.73,5192189.84,24311237.0,20949142.46,16443600.9,3362094.54,24311237.0,20110949.259999998,15965595.99,4200287.74,24311237.0,20516529.669999998,16501605.15,3794707.3300000005,24311237.0,20947293.53,17473236.19,3363943.4699999997,24627476.0,20139614.43,16564335.3,4487861.57,24498499.86,20475882.01,16430824.88,4022617.85,26969414.83714286,21433208.39,16776543.48,5536206.447142857,21796916.83714286,17940032.32,15108799.78,3856884.517142857
Eritrea,1157766.5,1013455.15,860207.5,144311.34999999998,1157766.5,1050560.67,903852.1000000001,107205.83000000005,1157766.5,1008548.9199999999,736843.26,149217.58000000002,1157766.5,833451.87,606631.5700000001,324314.63,1157766.5,894768.1,726818.17,262998.4,1157766.5,924799.96,726295.79,232966.54,1982923.0,1697209.03,1295757.26,285713.96999999986,332610.0,274387.92,202408.37,58222.08,1157766.5,961911.62,779129.42,195854.87999999998
Eswatini,1154053.5,1072439.22,917166.05,81614.28,1154053.5,848166.4199999999,679967.71,305887.08,1154053.5,885648.5800000001,675344.83,268404.92,1154053.5,895288.65,699325.57,258764.84999999995,1154053.5,878859.58,639585.36,275193.92000000004,1110000.0,745027.36,666808.9600000001,364972.64,1154053.5,1002374.54,771691.87,151678.96000000002,1154053.5,1009796.09,887296.5800000001,144257.41000000003,1154053.5,884469.8200000001,726039.0499999999,269583.67999999993
Ethiopia,6087617.083333333,4346518.82,3234932.2399999998,1741098.2633333332,6087617.083333333,4847935.9799999995,4021672.9099999997,1239681.1033333335,6087617.083333333,5042049.109999999,3937752.18,1045567.9733333335,6087617.083333333,5439964.54,4519226.96,647652.5433333332,5371339.126666667,4651545.2,3888235.1799999997,719793.9266666666,3846981.9,2955111.2399999998,2368129.7199999997,891870.66,4044232.36,3207101.82,2331921.41,837130.54,6208679.48,4987143.89,3620612.31,1221535.5899999999,13162892.18,10472297.040000001,9483927.99,2690595.14
Gabon,706361.0,530683.51,463155.81,175677.49,706361.0,640347.87,524757.59,66013.13000000002,706361.0,587709.2000000001,472501.72,118651.79999999997,706361.0,531985.8200000001,412598.52999999997,174375.18,706361.0,567837.75,523700.25999999995,138523.24999999997,706361.0,581720.03,520843.21,124640.97,706361.0,580738.23,488757.88,125622.76999999999,1069438.0,807799.38,673360.09,261638.62000000002,343284.0,296407.1,252386.75,46876.9
Gambia,6183685.166666667,5174282.03,4019414.36,1009403.1366666668,6183685.166666667,5244413.45,3928186.26,939271.7166666669,6183685.166666667,5023504.21,3655899.64,1160180.9566666668,6183685.166666667,4484752.13,3502260.98,1698933.0366666669,6183685.166666667,4944463.14,4031328.34,1239222.0266666668,8178342.02,6973910.28,5930361.9,1204431.7399999998,5446864.84,4612312.68,3326047.58,834552.1599999999,4956341.994285714,4030654.98,2975674.2199999997,1008687.0142857142,5860168.550952381,4590302.22,3801746.93,1269866.330952381
Ghana,16038824.833333334,12727240.95,10569852.51,3311583.8833333333,16038824.833333334,12957654.55,10581778.88,3081170.2833333337,16038824.833333334,13210878.82,9690610.36,2827946.0133333337,16038824.833333334,12816901.55,10003348.17,3221923.2833333337,16038824.833333334,13076091.709999999,9872442.18,2962733.1233333335,15956827.833333334,12727965.32,10485692.64,3228862.5133333337,16120821.833333334,12119709.0,9901912.33,4001112.833333334,9774376.03,7640824.73,6618715.94,2133551.3,24335456.46,19869214.03,16410416.31,4466242.43
Guinea,154000.0,134992.83,120251.98999999999,19007.170000000006,154000.0,134462.5,111793.64,19537.499999999996,154000.0,112968.76,92104.01,41031.240000000005,154000.0,110063.22,90065.72,43936.78,144000.0,109427.78,88155.98000000001,34572.22,164000.0,136018.12,110012.91,27981.879999999997,154000.0,126298.62,113717.44,27701.379999999997,154000.0,126622.64000000001,97644.47,27377.359999999993,154000.0,136175.99,116123.94,17824.009999999995
Guinea-Bissau,6249306.0,5183482.9,4116623.1500000004,1065823.0999999999,6249306.0,4984021.04,3838593.98,1265284.96,6249306.0,4821487.09,3754995.1199999996,1427818.91,6249306.0,5436247.670000001,4074466.8,813058.3299999998,6249306.0,5509464.1,4519066.01,739841.9000000001,6249306.0,4432916.3,3585135.0100000002,1816389.7000000002,4032569.6666666665,3165134.6500000004,2696021.91,867435.0166666665,7370531.0,5536774.87,4426936.31,1833756.1299999997,7475053.0,5842771.329999999,5035999.04,1632281.6700000002
Kenya,59971172.75,47708584.65,39864102.52,12262588.1,59971172.75,45985697.63,37167480.86,13985475.12,59948509.75,53002569.78,40376566.43,6945939.97,61943479.75,52015628.06,44913660.239999995,10027851.690000001,59823672.75,47013230.39,36643658.01,12810442.36,58537662.12,42101267.85,34979025.89,16436394.270000001,46254089.38666667,35869388.93,27788484.49,10384700.456666667,60491980.38666667,50766483.35,41067680.01,9725497.036666665,77897719.38666667,63013365.629999995,50279266.699999996,14884353.75666667
Lesotho,8191789.0,6898647.17,5290152.51,1293141.83,8191789.0,5916589.99,5106735.87,2275199.01,8191789.0,7404853.0,6087705.21,786935.9999999995,8191789.0,5709099.63,4614461.399999999,2482689.3699999996,8191789.0,6965300.430000001,5369112.69,1226488.5699999998,8191789.0,6504413.1899999995,5713773.45,1687375.8100000005,8199220.46,5638651.97,4633855.41,2560568.49,8199220.46,6636751.37,5212907.45,1562469.0900000005,8199220.46,5866904.06,4434254.28,2332316.4000000004
Liberia,18119919.583333332,15774505.34,11609993.32,2345414.2433333336,18119919.583333332,14104601.370000001,11430932.7,4015318.213333333,18119919.583333332,14333474.46,11297123.91,3786445.1233333335,18119919.583333332,14999733.23,12557993.299999999,3120186.3533333335,18119919.583333332,14843396.04,12118165.55,3276523.543333333,15034988.666666668,11724678.770000001,9092208.43,3310309.8966666665,27110198.666666668,21981120.31,17417667.93,5129078.356666667,11447873.666666666,10188557.959999999,8618042.95,1259315.706666667,27221289.25,22288121.83,18929982.1,4933167.42
Libya,9124008.333333334,7784431.61,6581182.53,1339576.7233333334,9124008.333333334,7401380.34,5957135.07,1722627.9933333336,9124008.333333334,7296690.35,5884127.95,1827317.9833333334,9124008.333333334,7748203.44,6303853.96,1375804.8933333335,9124008.333333334,7257407.0,5975986.82,1866601.3333333335,9124008.333333334,6955180.39,5465017.99,2168827.9433333334,9124008.333333334,7575915.37,5864634.13,1548092.9633333336,8655228.0,6579040.09,5453785.53,2076187.9099999997,9543403.0,7725349.9,6119409.54,1818053.1
Malawi,31992340.0,26621059.31,20476561.73,5371280.6899999995,31992340.0,23595343.56,20348834.32,8396996.440000001,31992340.0,25252557.9,21113717.18,6739782.1,31992340.0,25374598.18,19797012.79,6617741.82,31058827.0,24555702.9,19854031.05,6503124.1,32624343.0,25472087.53,20896985.75,7152255.47,31494451.0,24491405.279999997,20485799.28,7003045.720000001,32791739.0,26057441.8,20507280.35,6734297.2,33121840.0,24526599.35,20756568.080000002,8595240.649999999
Mauritius,175000.0,133237.27,107882.39,41762.73,175000.0,130700.20999999999,109231.67,44299.79,175000.0,140875.12,113633.31,34124.880000000005,175000.0,143032.9,108469.97,31967.100000000006,175000.0,135103.7,116842.01,39896.299999999996,175000.0,137057.47999999998,109462.70999999999,37942.520000000004,175000.0,145220.47,117524.35,29779.53,175000.0,148712.62,115542.44,26287.379999999997,175000.0,144873.22999999998,112444.21,30126.770000000004
Mozambique,14522264.066666666,10172626.52,7548600.85,4349637.546666667,14522264.066666666,11544375.239999998,9501941.280000001,2977888.8266666667,14522264.066666666,10933368.36,8554655.13,3588895.7066666665,14522264.066666666,11205540.14,9553921.59,3316723.9266666668,16575517.396666666,13635223.469999999,10434226.69,2940293.9266666668,12985498.036666667,11305385.68,8770635.74,1680112.3566666667,14014350.386666667,11314335.06,8473637.26,2700015.3266666667,15723344.886666667,11668628.45,9162463.24,4054716.4366666665,14623909.386666667,12240833.97,9661176.620000001,2383075.4166666665
Namibia,1156047.0,918405.51,658148.4800000001,237641.48999999996,1156047.0,898169.06,772617.3699999999,257877.94000000003,1156047.0,938867.9800000001,830979.11,217179.01999999996,1156047.0,999043.3500000001,919936.66,157003.64999999997,1156047.0,980520.57,872885.41,175526.43000000005,1156047.0,1000410.01,728333.8799999999,155636.99,583797.0,453958.12,371968.85,129838.87999999999,1728297.0,1489469.5799999998,1059042.96,238827.42000000007,1156047.0,889577.5399999999,688941.01,266469.45999999996
