Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Algeria,300000.0,252910.09,202705.88,47089.91,300000.0,231057.39,213444.92,68942.60999999999,300000.0,219091.07,168538.78,80908.93,300000.0,285000.0,263633.97,15000.0,300000.0,216799.37,196851.53,83200.63,300000.0,226240.63,173961.14,73759.37,300000.0,259776.73,233097.45,40223.26999999999,300000.0,269622.15,183662.32,30377.849999999977,300000.0,228976.76,170733.64,71023.23999999999
Angola,3149335.0,2570791.69,1983875.5,578543.3099999999,3149335.0,2602272.46,2195470.43,547062.5399999999,3149335.0,2501070.9,2100519.94,648264.1000000001,3149335.0,2355356.48,1787044.72,793978.52,3149335.0,2552576.7,2077885.45,596758.2999999999,3149335.0,2379853.85,1909740.7999999998,769481.15,3149335.0,2637365.4699999997,2151392.0,511969.5300000001,3149335.0,2757740.38,1971340.53,391594.61999999994,3149335.0,2632093.7,1902279.53,517241.30000000005
Botswana,1149792.5,1070107.37,872018.76,79685.13,1149792.5,948903.51,752366.4,200888.98999999993,1149792.5,940114.1100000001,734174.71,209678.38999999996,1149792.5,833993.21,699939.03,315799.29000000004,1149792.5,967742.1699999999,771654.99,182050.33000000002,1149792.5,955680.25,743726.11,194112.25,1149792.5,1015389.65,706982.02,134402.85000000003,1422441.0,1319970.64,1086152.3900000001,102470.36000000004,1112822.0,902213.02,714187.17,210608.98000000004
Burkina Faso,247505.0,191357.57,138074.96000000002,56147.43,247505.0,195436.59,139634.66999999998,52068.41,247505.0,204868.91999999998,166547.1,42636.08,247505.0,199789.42,144283.69,47715.58,247505.0,221003.2,191238.9,26501.800000000003,247505.0,197064.26,151805.51,50440.73999999999,247505.0,200815.45,161365.72999999998,46689.549999999996,247505.0,196988.11,146415.02,50516.89,247505.0,185198.19,148719.49,62306.810000000005
Cabo Verde,1574974.0,1339114.26,1109400.52,235859.74,1574974.0,1266110.9,1009845.71,308863.1,1703812.22,1490903.56,1189260.96,212908.66,1808806.46,1330493.09,1087292.1,478313.37,1900962.802,1634009.56,1367362.54,266953.242,1577414.8800000001,1265338.65,992865.0,312076.23,1191666.3836666667,980925.86,780051.93,210740.52366666665,1663164.0410952382,1430934.01,1144740.07,232230.03109523808,1931097.371095238,1671042.18,1196240.6,260055.1910952381
Cameroon,500000.0,475000.0,385516.53,25000.0,500000.0,457873.26,434979.59,42126.73999999999,500000.0,344897.64,260329.38,155102.36,500000.0,309847.19,215922.68,190152.81,500000.0,406424.14,310465.98,93575.85999999999,500000.0,430289.08,371004.5,69710.91999999998,500000.0,436800.2,362477.06,63199.79999999999,500000.0,350263.1,300673.03,149736.90000000002,500000.0,330852.94,278589.81,169147.06
Central African Republic,346227.0,285056.49,210947.22,61170.51000000001,346227.0,199622.04,143503.29,146604.96,346227.0,303429.4,240753.82,42797.59999999998,346227.0,250539.73,166165.81,95687.26999999999,346227.0,297861.2,259094.16,48365.79999999999,346227.0,316190.25,216808.71,30036.75,346227.0,288039.51,229480.95,58187.48999999999,346227.0,307889.22,212242.76,38337.78000000003,346227.0,231120.61,187326.59,115106.39000000001
Chad,40000.0,33341.86,30101.23,6658.139999999999,40000.0,31635.52,20922.95,8364.48,40000.0,30937.48,24914.9,9062.52,40000.0,28043.56,20596.46,11956.439999999999,40000.0,37968.66,33870.87,2031.3399999999965,40000.0,37612.36,35731.74,2387.6399999999994,40000.0,32141.37,28524.66,7858.630000000001,40000.0,32444.56,22187.24,7555.439999999999,40000.0,35032.38,24010.58,4967.620000000003
Cote d'Ivoire,833333.0,691975.39,556062.1,141357.61,833333.0,601602.57,554075.55,231730.43000000005,833333.0,697057.86,535095.92,136275.14,833333.0,772267.68,648128.88,61065.31999999995,833333.0,711386.23,577591.26,121946.77000000002,833333.0,709537.46,632659.34,123795.54000000004,833333.0,708442.45,618931.66,124890.55000000005,833333.0,617436.9,467031.26,215896.09999999998,833333.0,662651.8,545532.56,170681.19999999995
Democratic Republic of the Congo,617000.0,508794.81,354291.85,108205.19,617000.0,459264.29000000004,414010.4,157735.70999999996,617000.0,504984.39,380874.07,112015.61000000002,617000.0,424510.79000000004,368119.76,192489.21,617000.0,473358.51,413477.39,143641.48999999996,617000.0,447358.33999999997,333001.26,169641.66,617000.0,503501.95999999996,450739.49,113498.04000000001,617000.0,497301.96,441093.02,119698.03999999998,617000.0,530253.36,480187.88,86746.63999999998
