Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,24304042.259999998,20305248.16,16499384.27,3998794.1,24304042.259999998,18835521.43,15485882.620000001,5468520.83,24304042.259999998,18529828.310000002,14760480.57,5774213.95,24304042.259999998,18660987.9,15282284.59,5643054.359999999,17193507.42,14731600.31,10698294.11,2461907.11,29535647.79,24163431.22,17481029.45,5372216.57,23990887.375,19228734.44,15312239.47,4762152.935,23990887.375,17794666.72,14767317.01,6196220.654999999,24447739.375,18597941.11,13898106.48,5849798.265
Botswana,1201570.3333333333,912447.49,713863.03,289122.84333333327,1201570.3333333333,928386.29,767968.08,273184.04333333333,1201570.3333333333,968394.1000000001,733088.6,233176.23333333328,1201570.3333333333,1028760.3900000001,748869.05,172809.94333333327,1201570.3333333333,1015027.91,816972.1,186542.42333333328,1201570.3333333333,936897.6799999999,717059.2,264672.6533333333,1850000.0,1461633.83,1123117.98,388366.1699999999,874711.0,648176.48,534314.0900000001,226534.52,830573.0,665619.6499999999,565591.6799999999,164953.35000000003
Burkina Faso,297000000.0,204489528.45,156468824.9,92510471.55000001,297000000.0,238573252.12,194715807.92,58426747.879999995,297000000.0,227944191.66,187156091.37,69055808.34,297000000.0,266007828.78,191254998.35,30992171.22,297000000.0,223096346.82,188483214.2,73903653.18,297000000.0,208461563.01,181724435.28,88538436.99000001,297000000.0,253854552.91,218503472.16,43145447.09,297000000.0,235805697.9,219319138.53,61194302.099999994,297000000.0,243954669.79,172388525.98,53045330.21000001
Cote d'Ivoire,2512838.0,1913434.5499999998,1366815.8,599403.4500000001,2512838.0,1826680.48,1493299.76,686157.52,2512838.0,2151834.02,1517006.83,361003.9800000001,2512838.0,2001119.4500000002,1679038.81,511718.54999999993,2512838.0,2023030.9,1700814.52,489807.1,2512838.0,2150553.71,1945148.1600000001,362284.29000000004,2186764.0,2027617.48,1448143.05,159146.52000000002,2838912.0,2516881.47,1697063.7400000002,322030.52999999997,2353167.0,1604181.56,1476137.94,748985.4400000001
Egypt,49561964.5,38371632.15,31084418.05,11190332.35,49561964.5,42947431.78,31705393.81,6614532.72,49561964.5,38610942.2,32594365.67,10951022.299999999,49561964.5,40438339.2,34101932.800000004,9123625.299999999,49561964.5,40908885.86,31557527.23,8653078.639999999,49226964.5,40886692.0,33140434.9,8340272.5,49896964.5,40948606.36,31541476.85,8948358.139999999,45600078.0,38864170.88,30043236.7,6735907.119999999,53523851.0,44108869.39,33388304.29,9414981.61
Equatorial Guinea,300000.0,232453.29,162418.47,67546.70999999999,300000.0,238243.01,182632.81,61756.98999999999,300000.0,245386.5,206497.05,54613.5,300000.0,234907.44,191112.07,65092.56,300000.0,231180.56,180226.71,68819.44,300000.0,223738.25,150404.82,76261.75,300000.0,244333.0,200668.94,55667.0,300000.0,238117.02,166832.61,61882.98000000001,300000.0,268003.85,204346.55,31996.150000000023
Eritrea,14928160.416666666,12104177.97,9296164.19,2823982.4466666663,14928160.416666666,10848784.819999998,8098576.2,4079375.596666667,14928160.416666666,10993527.62,9420438.100000001,3934632.7966666664,14928160.416666666,13022174.14,9859731.64,1905986.2766666666,14928160.416666666,11702805.069999998,10360402.82,3225355.3466666667,14928160.416666666,11665256.61,9229354.040000001,3262903.806666667,13479349.0,11089500.58,8141594.71,2389848.42,12122388.0,9322011.31,7603363.67,2800376.6900000004,16163926.0,15016244.209999999,13038054.370000001,1147681.79
Ethiopia,667063707.6666666,516424817.10999995,388906903.21,150638890.55666667,667063707.6666667,466665905.87,416243702.98,200397801.79666668,667063707.6666667,517039495.6,432734430.02,150024212.0666667,667063707.6666666,562126498.61,413820793.93,104937209.05666667,353366827.2033333,272055218.98,198863355.22,81311608.22333333,721071251.6933334,559301886.02,459582123.77,161769365.67333335,1038072191.6783334,777581975.28,605755439.68,260490216.39833334,1598614362.8278573,1333385172.79,962922646.07,265229190.03785712,626777822.8753572,450114791.04,325098093.49,176663031.83535713
Gambia,9563560.333333334,7170270.199999999,5616552.59,2393290.133333334,9563560.333333334,7569071.359999999,6353303.07,1994488.9733333334,9563560.333333334,7071335.4799999995,5967717.149999999,2492224.8533333335,9563560.333333334,7908347.36,6254310.42,1655212.9733333334,9563560.333333334,7876441.64,5910601.63,1687118.6933333336,9310057.69,7256634.739999999,5648191.01,2053422.9500000002,10300706.25,8029170.48,6249106.34,2271535.77,9807430.99857143,9042729.629999999,6160416.63,2085021.3685714286,10763480.881904762,9211859.87,7635729.57,1551621.0119047621
Ghana,56516672.16666667,44723936.72,33248316.34,11792735.446666667,56516672.16666667,43539224.8,33499982.27,12977447.366666667,56516672.16666667,44390212.11,34996445.65,12126460.056666669,56516672.16666667,43685950.09,32971438.17,12830722.076666668,56516672.16666667,45662473.4,34477172.7,10854198.766666668,52814151.16666667,42677093.73,33214360.9,10137057.436666667,60219193.16666667,49636522.41,38004107.79,10582670.756666668,55267697.84,40466414.78,30872785.14,14801283.06,50893606.11,41660646.510000005,31251412.87,9232959.599999998
Guinea-Bissau,11184589.5,9557036.92,8195144.0200000005,1627552.58,11184589.5,8927672.5,7225700.83,2256917.0,11184589.5,8930151.16,6837606.21,2254438.3400000003,11184589.5,7955216.569999999,5952228.880000001,3229372.93,11184589.5,7524432.39,5984546.569999999,3660157.1100000003,11184589.5,10015858.1,7642812.93,1168731.3999999997,7997437.0,6388800.93,5508465.16,1608636.0700000003,9641977.0,8359164.57,6850564.99,1282812.4299999997,8983787.0,7239310.25,6048454.06,1744476.7500000005
Kenya,330937118.25,256548357.11,211683972.87,74388761.13999999,330937118.25,249779152.92000002,185827218.92,81157965.32999998,330220105.65,242914873.24,201525487.85,87305232.41,332929571.84000003,238950343.22000003,206598644.22,93979228.61999999,329774930.84000003,237608080.87,203304551.0,92166849.96999998,332945595.74,295908409.92,222240219.95999998,37037185.82,327574053.46500003,254388683.91,200091314.18,73185369.555,332148471.46500003,293475846.58000004,252323018.77,38672624.88499999,329780705.46500003,259983832.09,201375547.51,69796873.37499999
Lesotho,24540958.0,17944619.25,15093795.16,6596338.749999999,24540958.0,17046476.29,10912838.06,7494481.71,24540958.0,18988759.73,15718384.82,5552198.2700000005,24540958.0,18689637.14,15590172.97,5851320.859999999,24540958.0,20325360.37,15234665.86,4215597.63,24540958.0,18291718.15,15327813.55,6249239.850000001,24540958.0,18533600.009999998,15655247.65,6007357.990000001,24540958.0,20448713.38,17627765.0,4092244.619999999,24540958.0,20758884.97,15336144.11,3782073.0300000007
Liberia,30889153.933333334,24778054.09,18901495.63,6111099.843333334,30889153.933333334,22771447.31,17198295.2,8117706.623333333,30889153.933333334,24717749.49,21346970.7,6171404.443333334,30889153.933333334,26036588.2,20835838.2,4852565.733333332,30889153.933333334,21771900.87,16334941.33,9117253.063333333,59867369.0,50464273.58,36868011.66,9403095.42,37819420.0,24714463.16,20917822.16,13104956.84,19704619.333333332,14492943.66,10734960.35,5211675.673333333,21872828.333333332,18465636.07,16093961.11,3407192.263333333
Libya,19041793.666666668,14373607.01,11584955.76,4668186.656666667,19041793.666666668,15112390.760000002,13794703.83,3929402.9066666663,19041793.666666668,14836326.36,11288811.25,4205467.306666668,19041793.666666668,16106030.29,14565698.430000002,2935763.376666667,19041793.666666668,16764791.84,13666501.600000001,2277001.8266666667,19041793.666666668,14777460.040000003,12434227.39,4264333.626666666,19041793.666666668,16277879.16,13994825.88,2763914.5066666664,10467350.0,8898613.1,7073643.73,1568736.9,26070896.0,19358288.009999998,15101610.040000003,6712607.99
Malawi,47043206.5,37419740.86,28675553.599999998,9623465.64,47043206.5,38946503.4,30058509.59,8096703.1000000015,47043206.5,38250589.19,31840569.7,8792617.309999999,47043206.5,34764152.21,29923565.71,12279054.29,47045706.5,34803908.94,26905379.63,12241797.560000002,47040706.5,36676254.57,27791147.22,10364451.93,47043206.5,34892650.29,27858101.889999997,12150556.21,47043206.5,37141797.04,29940580.44,9901409.459999999,50893417.0,42204635.489999995,32585549.17,8688781.51
Mauritania,193250.0,150005.24,127014.1,43244.76000000001,193250.0,152356.92,124808.78,40893.07999999999,193250.0,158048.63,127073.58,35201.369999999995,193250.0,125447.35,109880.64,67802.65,193250.0,157891.1,124338.84,35358.899999999994,193250.0,156976.94,149032.17,36273.06,250000.0,224373.38,191195.49,25626.619999999995,136500.0,117141.47,93030.79,19358.53,193250.0,122758.78,97671.42,70491.22
Mauritius,270000.0,227399.5,185552.13,42600.49999999999,270000.0,208143.67,157335.82,61856.33,270000.0,227158.85,170374.69,42841.15,270000.0,212306.73,165902.6,57693.26999999999,270000.0,230514.90000000002,165976.24,39485.09999999999,270000.0,223016.32,184249.2,46983.67999999999,270000.0,230261.34000000003,187376.37,39738.659999999996,270000.0,236206.13,207046.91,33793.869999999995,235000.0,185580.40000000002,129680.23999999999,49419.59999999999
Morocco,100000.0,82281.05,57762.2,17718.949999999997,100000.0,73691.91,65228.45,26308.089999999997,100000.0,90958.32,65903.32,9041.679999999993,100000.0,88899.94,59927.39,11100.059999999998,100000.0,83741.34,74432.13,16258.660000000003,100000.0,83125.74,60756.0,16874.259999999995,100000.0,71768.31,60330.41,28231.690000000002,100000.0,74644.62,56158.98,25355.380000000005,100000.0,83329.8,69177.85,16670.199999999997
