Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Angola,1456680.0,1143056.52,869001.99,313623.48,1456680.0,1063183.6,860150.7899999999,393496.4,1456680.0,1091321.26,925552.85,365358.74000000005,1456680.0,1114426.0899999999,882648.92,342253.91000000003,1456680.0,1241340.85,1065907.23,215339.14999999997,1456680.0,1091330.45,858726.3300000001,365349.55000000005,1456680.0,1088428.28,846691.2,368251.72,1456680.0,1063258.09,891216.19,393421.91,1456680.0,1194724.4100000001,832895.95,261955.59
Botswana,170000.0,136946.74,110269.83,33053.259999999995,170000.0,152205.41,114210.69,17794.589999999997,170000.0,128191.37,111924.96,41808.630000000005,170000.0,151489.13,116132.26999999999,18510.869999999995,170000.0,139972.28,120065.59,30027.719999999994,170000.0,129977.66,100723.8,40022.340000000004,170000.0,135159.91999999998,107816.63,34840.08,170000.0,135820.84,116111.0,34179.159999999996,170000.0,144614.0,107961.17,25385.999999999993
Cameroon,300000.0,214460.57,171048.63,85539.43,300000.0,285000.0,259458.72,15000.0,300000.0,221895.07,167518.96,78104.93,300000.0,259958.86,185937.05,40041.140000000014,300000.0,228607.73,172869.62,71392.26999999999,300000.0,257576.53,204678.98,42423.47,300000.0,242231.41,208906.12,57768.59,300000.0,232643.49,209011.49,67356.51000000001,300000.0,281366.48,263054.33,18633.52000000002
Democratic Republic of the Congo,150000.0,102105.49,70842.19,47894.509999999995,150000.0,124785.88,106826.35,25214.119999999995,150000.0,122988.32,103412.91,27011.679999999993,150000.0,107713.04,101678.37,42286.96000000001,150000.0,102068.34,71323.35,47931.66,150000.0,121194.71,86228.23,28805.289999999994,150000.0,121758.24,112476.9,28241.759999999995,150000.0,119185.02,97467.76,30814.979999999996,150000.0,122195.04,108178.69,27804.960000000006
Egypt,5675383.5,4654225.0,3561623.81,1021158.5000000001,5675383.5,4343576.12,3387973.37,1331807.38,5675383.5,4305651.83,3553560.29,1369731.67,5675383.5,4303523.52,3404657.06,1371859.98,5675383.5,4389996.88,3769375.16,1285386.6199999999,5824883.5,4485512.54,3444615.43,1339370.96,5525883.5,4969118.69,3632628.1199999996,556764.81,4820021.41,3889733.41,3236222.7399999998,930288.0,6189267.0,5111735.72,4078008.88,1077531.28
Eritrea,9269595.5,7602491.6,6455642.46,1667103.9000000001,9269595.5,7035606.07,6062956.94,2233989.43,9269595.5,7263487.13,5486610.73,2006108.37,9269595.5,6698890.03,5699483.56,2570705.47,9269595.5,6096650.5,5468587.46,3172945.0,9269595.5,7089240.55,6563218.11,2180354.95,9006639.56,7783263.79,5639835.29,1223375.77,10403558.61,7458463.81,5951842.88,2945094.8,9290529.085,7980952.88,6143579.78,1309576.2049999996
Eswatini,1321079.0,956387.55,852451.86,364691.44999999995,1321079.0,1023450.64,780053.81,297628.36,1321079.0,916072.65,676073.77,405006.35000000003,1321079.0,992251.92,773553.73,328827.08,1321079.0,1229748.52,905612.62,91330.47999999995,1321079.0,873324.15,701307.63,447754.85,1321079.0,1185326.49,1024115.1900000001,135752.50999999998,1321079.0,1072081.79,791111.82,248997.21000000002,1321079.0,884572.34,720584.08,436506.66000000003
Ethiopia,66776210.83333333,53565097.31,40611591.11,13211113.523333333,66776210.833333336,54126097.69,39203634.78,12650113.143333336,66776210.833333336,58944909.6,43197362.89,7831301.233333336,66776210.83333333,58259747.43,48149626.58,8516463.403333332,38949795.0,31025144.94,26197947.84,7924650.059999999,60636382.059999995,50063356.010000005,44042553.54,10573026.05,73098483.5,60260432.1,48853654.71,12838051.399999999,76771991.86571428,63118195.919999994,54639786.11,13653795.945714287,82644292.86571428,71543651.47,57122427.879999995,11100641.395714289
Gambia,4638782.0,3858803.5300000003,3220379.46,779978.4700000001,4638782.0,3580184.35,2973652.43,1058597.65,4638782.0,3999853.84,3330840.48,638928.16,4638782.0,3795573.16,3002264.01,843208.84,4638782.0,3823605.14,3189885.34,815176.86,4393787.0,3628652.13,3177165.34,765134.87,4624253.0,3662743.99,3027092.84,961509.01,4898306.0,3940649.6100000003,3275732.48,957656.3899999999,4466782.0,3785196.83,3185518.14,681585.17
Ghana,12854651.5,9623534.55,7305285.45,3231116.9499999997,12854651.5,9805561.74,7369697.83,3049089.7600000002,12854651.5,11162805.059999999,9440274.56,1691846.4400000004,12854651.5,10068431.02,8830787.94,2786220.48,12854651.5,10594595.93,7738956.27,2260055.5700000003,15480770.5,12887525.88,10437211.14,2593244.62,10228532.5,8081026.43,6680295.66,2147506.07,10239659.0,8558820.9,7077692.96,1680838.1000000003,11780801.59,9463208.07,6745731.0200000005,2317593.5200000005
Guinea-Bissau,1835130.1666666665,1420030.53,1102403.29,415099.6366666666,1835130.1666666665,1579904.58,1203767.37,255225.58666666655,1835130.1666666665,1415524.87,1155959.8,419605.2966666667,1835130.1666666665,1460721.87,1290563.06,374408.29666666663,1835130.1666666665,1499402.8399999999,1147916.33,335727.3266666666,1835130.1666666665,1440061.0899999999,1035100.31,395069.07666666666,1471709.5,1144170.5,974628.9,327539.0,1971612.0,1525683.26,1003156.8,445928.74,2062069.0,1668034.44,1406835.94,394034.55999999994
Kenya,10429788.5,8535609.12,6681643.32,1894179.3800000001,10429788.5,7985945.73,6189722.91,2443842.77,9691099.0,7409063.87,6043960.21,2282035.13,12458530.45,10113908.6,7518354.39,2344621.85,11467604.346,8752730.68,7606348.39,2714873.6659999997,12492287.85,10336280.12,7620360.39,2156007.7300000004,11607362.602666667,9767045.65,7307383.28,1840316.9526666661,11607362.602666667,9720189.83,8061664.03,1887172.7726666664,11607362.602666667,8830906.95,7505381.32,2776455.652666667
Lesotho,1860975.0,1537337.4000000001,1233676.05,323637.60000000003,1860975.0,1438048.1199999999,1245426.7,422926.88,1860975.0,1600690.98,1224995.87,260284.01999999996,1860975.0,1541505.3800000001,1273843.07,319469.62,1860975.0,1424597.1,1197307.97,436377.89999999997,1860975.0,1540701.94,1358543.9000000001,320273.06,1860975.0,1476726.74,1167020.12,384248.25999999995,1860975.0,1573250.28,1208693.34,287724.72,1860975.0,1463393.21,1251689.88,397581.79
Liberia,1298961.4,941344.54,770769.79,357616.85999999987,1298961.4,949246.72,700192.13,349714.67999999993,1298961.4,1075516.57,1021740.74,223444.82999999984,1298961.4,1228466.6,925540.68,70494.79999999981,1298961.4,1062963.99,864524.93,235997.40999999992,791250.0,631697.69,570004.91,159552.31000000006,2820186.0,2371321.02,2037451.94,448864.98,1920186.0,1628823.97,1073824.5,291362.03,463185.0,364355.12,292731.0,98829.88
Libya,5075850.0,3398680.45,3014147.88,1677169.55,5075850.0,4425535.83,3958972.55,650314.1700000003,5075850.0,4451633.609999999,3226388.8,624216.3900000002,5075850.0,4105036.31,3573092.36,970813.69,5075850.0,3779682.12,3200785.91,1296167.88,5075850.0,4521511.96,3983339.08,554338.0400000002,5075850.0,4489691.13,3944643.0900000003,586158.8700000001,5075850.0,4541816.569999999,3433248.4299999997,534033.4300000002,5075850.0,3691269.1,2856349.2699999996,1384580.9000000001
Malawi,24141802.5,19066723.0,17003304.92,5075079.5,24141802.5,20760134.9,14605791.559999999,3381667.6,24141802.5,20342322.5,15543479.649999999,3799480.000000001,24141802.5,19999810.630000003,16954469.259999998,4141991.87,24141802.5,19327825.78,14207913.309999999,4813976.720000001,24491802.5,19323120.58,15713750.36,5168681.920000001,23841802.5,21100756.44,15696173.32,2741046.0599999996,24091802.5,19815925.970000003,15114975.719999999,4275876.529999999,23005221.0,16005009.9,13628654.73,7000211.1
Mali,100000.0,77874.17,63812.33,22125.83,100000.0,89393.26,77638.25,10606.740000000005,100000.0,78551.12,60112.74,21448.880000000005,100000.0,91864.18,69768.16,8135.820000000007,100000.0,73836.98,52600.82,26163.020000000004,100000.0,81934.84,58873.38,18065.160000000003,100000.0,84262.93,75399.81,15737.070000000007,100000.0,74464.59,45087.01,25535.410000000003,100000.0,76713.14,69946.09,23286.86
Mauritius,165000.0,120422.89,87376.67000000001,44577.11,165000.0,136450.56999999998,120338.18,28549.430000000004,165000.0,125488.55,94427.45,39511.45,165000.0,124714.44,100978.7,40285.56,165000.0,145534.96,108708.04,19465.04,165000.0,123726.99,90873.18000000001,41273.009999999995,165000.0,141067.79,112884.55,23932.21,165000.0,127835.22,100143.97,37164.77999999999,165000.0,112967.61,100562.12000000001,52032.39
Morocco,260000.0,206076.21,173279.5,53923.79000000001,260000.0,191873.03,142007.79,68126.97,260000.0,206379.6,156588.91,53620.399999999994,220000.0,188119.81,169842.67,31880.190000000002,300000.0,254522.2,197859.52,45477.79999999999,260000.0,179291.93,169539.4,80708.07,260000.0,170278.49,135824.4,89721.51000000001,260000.0,202578.59,170391.13,57421.41,260000.0,201365.19,177088.35,58634.81
