Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Bangladesh,5471152.666666667,4308822.04,3678385.16,1162330.6266666665,5471152.666666667,4324164.56,3161130.69,1146988.1066666667,5471152.666666667,3859832.33,2982464.63,1611320.3366666667,5471152.666666667,4912399.83,3666854.54,558752.8366666664,5471152.666666667,4473951.17,3794813.3800000004,997201.4966666667,5471152.666666667,3975513.59,3061572.77,1495639.0766666667,4811912.0,4111944.75,3137822.55,699967.25,5323912.0,4170100.64,3232446.5100000002,1153811.3599999999,5378912.0,4654742.29,3939771.2600000002,724169.7100000001
Bhutan,1288857.0,946747.14,793135.59,342109.86,1288857.0,1020739.76,822719.52,268117.24,1288857.0,908192.8200000001,735940.61,380664.18,1288857.0,999997.4700000001,865297.86,288859.52999999997,1288857.0,961657.44,764509.32,327199.56,1288857.0,996708.47,788593.9400000001,292148.52999999997,1288857.0,1102092.14,839128.82,186764.86000000002,1288857.0,1030776.29,795190.16,268080.70999999996,1499021.0,1175852.41,1023194.4400000001,323168.59
Cambodia,6118009.833333333,4775987.01,3715957.04,1342022.8233333335,6118009.833333333,4704770.87,3791436.76,1413238.9633333334,6118009.833333333,5061913.08,4146208.31,1056096.7533333334,6118009.833333333,4947444.68,3927194.57,1170565.1533333336,6118009.833333333,4867360.37,4195777.859999999,1250649.4633333334,5809809.61,4519697.2,3665125.21,1290112.41,5695299.0,4656659.92,3767499.72,1038639.0800000001,5965731.54,4867659.75,3952872.06,1098071.79,6548316.164583334,5166970.56,4050236.8699999996,1381345.6045833335
China,2419796.5,1969143.9000000001,1701630.8,450652.6,2419796.5,1994251.6600000001,1595771.88,425544.83999999997,2419796.5,1992109.55,1655645.28,427686.94999999995,2419796.5,1898703.46,1395766.5,521093.04000000004,2419796.5,2054725.5900000003,1563870.43,365070.9099999999,2470323.42,2135959.55,1608149.1400000001,334363.87000000005,2325441.99,1903085.42,1436251.26,422356.57,2274741.7800000003,1804822.51,1389537.23,469919.27,2607408.85,2016652.28,1677053.0499999998,590756.5700000001
India,55587909.0,42886192.51,37506436.4,12701716.49,55587909.0,41836457.08,30343983.52,13751451.919999998,55587909.0,43888337.08,35470864.690000005,11699571.92,55587909.0,48303561.91,34229509.4,7284347.09,55587909.0,46653788.160000004,32944478.96,8934120.839999998,55587909.0,42618868.54,37044549.49,12969040.46,55587909.0,49531681.94,39899000.37,6206552.059999998,95423176.0,86504120.0,75882675.47,8919056.000000002,50498526.0,39559006.54,30104672.52,10939519.46
Indonesia,6321396.0,4794110.569999999,3868078.0300000003,1527285.43,6321396.0,5549681.45,4981508.2,771714.55,6321396.0,5110063.09,4340122.859999999,1211332.9100000001,6321396.0,5117801.01,4371785.88,1203594.9900000002,6321396.0,4932948.3,4062099.42,1388447.6999999997,6276866.9,4737097.41,3789566.27,1539769.4900000002,6437991.74,5201878.03,4772518.54,1236113.7100000002,6288616.2,5786589.2,5420321.41,502026.9999999999,5565837.105,4812693.87,4260442.37,753143.2350000001
Iran,85369.0,65155.76,55548.31,20213.239999999998,85369.0,77887.44,58511.63,7481.560000000001,85369.0,60827.2,48860.729999999996,24541.8,85369.0,66045.79,53428.28999999999,19323.210000000003,85369.0,65915.92,51289.7,19453.08,85369.0,62348.46,52452.64,23020.54,85369.0,69003.23,53742.03,16365.77,85369.0,65323.47,54095.78,20045.53,85369.0,71928.52,56750.97,13440.48
Lao PDR,1909693.5,1463033.57,1134484.79,446659.93,1909693.5,1376857.96,1037661.79,532835.54,1909693.5,1601309.41,1216210.99,308384.09,1909693.5,1555091.63,1184205.26,354601.87,1909693.5,1504405.7,1230360.34,405287.8,1909693.5,1507779.1099999999,1222509.92,401914.3900000001,1995422.5,1598130.13,1269791.1199999999,397292.37000000005,1774361.0,1415892.48,1178645.78,358468.51999999996,1969297.0,1622688.8099999998,1202975.39,346608.19000000006
Malaysia,231000.0,195305.47999999998,154858.0,35694.520000000004,231000.0,189232.58,153652.95,41767.420000000006,231000.0,159190.73,122496.64,71809.26999999999,231000.0,169280.97,134253.43,61719.03,231000.0,174505.43,131010.82999999999,56494.57,231000.0,190144.25,137883.63,40855.75,231000.0,180059.33000000002,143503.56,50940.67,231000.0,175534.59,143019.9,55465.40999999999,231000.0,173609.45,139455.02000000002,57390.54999999999
Maldives,6412238.166666667,5642019.43,4843948.2700000005,770218.7366666667,6412238.166666667,4791701.25,3825280.29,1620536.9166666667,6412238.166666667,4749441.0200000005,3959719.52,1662797.1466666667,6412238.166666667,5340812.26,4525523.0,1071425.9066666667,6412238.166666667,4956035.94,3867510.74,1456202.2266666666,6412238.166666667,4949874.73,3689423.0,1462363.4366666668,6107359.0,4363203.71,3935539.5,1744155.2899999998,6166808.0,4270990.34,3503155.4099999997,1895817.6599999997,7821297.5,5743718.08,4437351.12,2077579.42
Mongolia,4899700.666666666,4303748.81,3274197.65,595951.8566666667,4899700.666666666,4128834.41,3300971.86,770866.256666667,4899700.666666666,3783943.59,3171448.88,1115757.0766666667,4899700.666666666,3779402.33,3000877.46,1120298.3366666667,4899700.666666666,4006482.4899999998,2827867.03,893218.1766666666,4899700.666666666,3874363.74,3410644.1100000003,1025336.9266666666,4899700.666666666,3357481.64,2699317.64,1542219.0266666666,8114666.91,6950894.239999999,5196160.11,1163772.6700000002,8329457.85,6247203.850000001,5144702.28,2082253.9999999998
Nepal,1719333.3333333333,1620638.65,1199899.24,98694.68333333335,1719333.3333333333,1347036.1700000002,897128.74,372297.1633333333,1719333.3333333333,1573201.6199999999,1312190.5899999999,146131.71333333338,1719333.3333333333,1176181.98,798771.37,543151.3533333334,1719333.3333333333,1393835.3699999999,1184170.4500000002,325497.96333333344,1719333.3333333333,1443813.1600000001,1127687.01,275520.17333333334,1719333.3333333333,1462006.28,1297339.87,257327.05333333343,1258000.0,1004772.7000000001,706581.6,253227.3,2305000.0,2006257.77,1732665.7999999998,298742.23
