Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Afghanistan,955427339.0,795644900.48,643773008.98,159782438.52,955427339.0,829613647.74,665668466.96,125813691.25999998,955427339.0,677648639.81,522895418.96999997,277778699.19,955427339.0,713285316.01,518823850.90999997,242142022.99,955427339.0,886820188.16,810173233.7099999,68607150.83999996,955427339.0,749196081.9200001,654952250.28,206231257.07999998,955427339.0,718428341.0600001,533064783.71999997,236998997.93999997,311657350.5,226312938.95,196455372.29,85344411.55,391108968.0,295410678.02,247531929.04999998,95698289.98
Bangladesh,24875002.0,17873756.61,13475891.59,7001245.390000001,24875002.0,19231371.72,14511468.709999999,5643630.279999999,24875002.0,20726007.11,17045008.240000002,4148994.8900000006,24875002.0,21791960.59,17363262.990000002,3083041.409999999,24875002.0,19996877.939999998,14219621.97,4878124.0600000005,24875002.0,20293554.130000003,16855999.02,4581447.869999999,24875002.0,17524224.25,15273977.07,7350777.749999999,32706552.0,29866609.25,27139640.160000004,2839942.750000001,18619252.0,13168294.64,10709581.129999999,5450957.359999999
Bhutan,3711838.0,3029899.6799999997,2546727.04,681938.3200000001,3711838.0,3013664.42,2452069.67,698173.58,3711838.0,2925302.1399999997,2155355.95,786535.8600000001,3711838.0,2783221.48,2205525.18,928616.52,3711838.0,2921405.35,2162781.02,790432.65,3711838.0,3142493.0100000002,2308262.67,569344.99,3301807.0,2754399.56,2249088.5,547407.44,2931807.0,2535023.24,2034833.32,396783.7599999999,2628437.0,1867859.85,1516518.2,760577.15
Cambodia,33958294.97142857,29292546.78,21851048.21,4665748.191428572,33958294.97142857,27693581.62,20744836.8,6264713.35142857,33958294.97142857,28245902.76,21747366.68,5712392.211428571,33958294.97142857,24858469.33,19058133.27,9099825.641428571,33415009.0,26999526.669999998,21669222.42,6415482.33,34015009.0,27475733.169999998,21811596.3,6539275.83,29814376.0,23210957.509999998,17581968.47,6603418.49,19442810.0,16457703.610000001,12822461.07,2985106.3899999997,18216574.0,15053140.89,12646075.66,3163433.1100000003
China,11706657.764705881,8351336.88,7319328.15,3355320.8847058825,11706657.764705881,8572803.27,6496189.5200000005,3133854.4947058824,11706657.764705881,9292759.879999999,6506854.16,2413897.8847058825,11706657.764705881,9879061.59,8737936.38,1827596.1747058826,11706657.764705881,10505132.5,8708558.530000001,1201525.2647058824,11706657.764705881,9474534.92,8324161.78,2232122.8447058825,10423490.529411765,7406400.3,5537336.68,3017090.229411765,10339667.0,8275494.55,6137858.3,2064172.4499999997,12183531.5,10223356.03,8185605.39,1960175.47
India,17501484.0,13353385.82,10479813.49,4148098.1799999997,17501484.0,14599288.94,12063142.82,2902195.06,17501484.0,15123713.75,12340836.370000001,2377770.25,20751846.25,16302715.34,13023174.36,4449130.91,17700600.59888889,14006525.66,10923316.29,3694074.938888889,16467787.582222221,12315546.11,10197012.15,4152241.472222222,17244552.515555557,13924822.06,10724190.32,3319730.455555556,16957408.96,13950624.39,11499317.34,3006784.57,17342115.96,12566104.790000001,10191242.27,4776011.17
Indonesia,3017130.0,2331043.62,1802627.98,686086.38,3017130.0,2544066.27,2013648.21,473063.73,3017130.0,2309577.89,1757060.25,707552.1100000001,3017130.0,2277437.5,1916261.58,739692.5,3017130.0,2589458.3899999997,2148127.88,427671.6100000001,3017130.0,2448294.19,1967325.08,568835.81,3532482.0,2569575.17,2013869.7400000002,962906.83,6724323.0,5785137.39,4559024.140000001,939185.6100000001,3876944.0,2781387.73,2067998.7899999998,1095556.27
Iran,5463057.0,4411077.65,3806485.9899999998,1051979.35,5463057.0,4327809.59,3524552.85,1135247.4100000001,5463057.0,4278857.88,3319890.04,1184199.12,5463057.0,4589089.13,3306362.12,873967.8699999999,5463057.0,4422704.97,3172610.4099999997,1040352.03,5463057.0,4390708.7700000005,3391175.73,1072348.2299999997,5463057.0,4251095.26,3120839.75,1211961.74,5463057.0,4544142.22,3655749.86,918914.78,5085060.352941176,3828772.09,3112581.9,1256288.2629411763
Lao PDR,4118476.0,3130725.8,2435203.89,987750.2000000001,4118476.0,3017275.61,2561617.19,1101200.3900000001,6799458.0,5599711.81,4658828.1,1199746.19,6122444.0,5282207.15,4112293.18,840236.85,6022444.0,5104059.55,4377436.09,918384.4499999998,5852514.0,4707588.32,3944816.14,1144925.68,8660147.0,7055138.38,6182457.2,1605008.6199999999,10056012.0,8301369.9399999995,6472708.16,1754642.0599999998,10735355.0,7971891.57,6501178.12,2763463.4299999997
Malaysia,3001611.0,2419482.1,2025306.06,582128.9,3001611.0,2425672.82,2056936.3800000001,575938.1799999999,3001611.0,2547767.91,2180037.11,453843.08999999997,3001611.0,2481945.21,2153138.19,519665.79000000004,3001611.0,2399391.02,2180192.2,602219.98,3001611.0,2506042.77,2241038.0300000003,495568.2300000001,2662600.0,2082368.83,1747959.23,580231.1699999999,2107779.0,1851030.17,1407976.54,256748.83000000005,2300860.0,1616299.52,1333197.72,684560.48
Maldives,1394977.5,1185298.57,936928.16,209678.93000000005,1394977.5,1157216.67,865838.44,237760.83,1394977.5,1011262.26,772420.79,383715.24,1394977.5,971485.66,742565.1900000001,423491.84,1394977.5,1111036.38,949821.34,283941.12000000005,1394977.5,1091711.0,873354.3099999999,303266.49999999994,1394977.5,1174924.81,857710.3099999999,220052.69,1612665.0,1228595.76,1088061.84,384069.24,1895233.5,1391618.37,1167915.8599999999,503615.12999999995
