Country,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Afghanistan,5001000.0,4255731.13,3266789.48,745268.8700000002,5001000.0,3154148.98,2399467.1500000004,1846851.02,5001000.0,3480669.4,2640220.35,1520330.6,5001000.0,3663562.51,3019039.41,1337437.4900000002,5001000.0,3431667.02,2333701.15,1569332.9799999997,5001000.0,3397905.73,2591691.6700000004,1603094.2700000003,10008110.0,8107188.45,6500598.74,1900921.55
Bangladesh,2520000.0,1908664.82,1440035.22,611335.1799999999,2520000.0,2019851.03,1502094.3399999999,500148.97000000003,2520000.0,2023219.32,1538483.9500000002,496780.68,2520000.0,2166419.86,1633905.72,353580.14,2520000.0,1787712.32,1227564.25,732287.6799999999,2166065.0,1645254.24,1419976.5999999999,520810.75999999995,2192511.0,1756264.35,1267591.7,436246.65
Bhutan,717972.5,561673.72,392415.05,156298.77999999997,717972.5,497078.21,380611.24,220894.29,717972.5,479631.13,415430.87,238341.37000000002,717972.5,532051.77,383979.13,185920.73,717972.5,607651.38,492744.12,110321.12,336890.0,226584.6,192456.89,110305.4,316513.75,221245.55,187197.07,95268.2
Cambodia,2998282.0,2103967.54,1482879.92,894314.46,2998282.0,2271844.64,1938078.63,726437.36,2998282.0,2392251.86,1681550.49,606030.14,2998282.0,2542191.23,1821421.87,456090.76999999996,2775406.0,2141217.14,1608441.17,634188.86,2776408.0,2219185.3200000003,1635900.86,557222.6799999999,2776408.0,2337025.51,1958712.8499999999,439382.49000000005
China,7888000.0,6636530.5600000005,5100054.42,1251469.44,7888000.0,6555319.22,5641358.8100000005,1332680.78,7888000.0,5858100.220000001,4709808.89,2029899.78,7888000.0,6076530.43,5469415.9,1811469.57,8995000.0,6943994.64,5479342.2700000005,2051005.36,7545000.0,6220571.83,4357748.109999999,1324428.17,7557000.0,5139498.260000001,3798130.73,2417501.7399999998
India,3227842.0,2569307.96,1836995.8299999998,658534.0399999999,2518439.0,1965881.25,1388789.73,552557.7500000001,2338982.125,1766534.46,1320241.11,572447.665,2300614.5,1786016.2599999998,1469625.89,514598.2400000001,2247246.875,1560920.69,1167936.8199999998,686326.185,2237791.0,1842032.55,1464671.3499999999,395758.44999999995,4043471.0,3048957.8600000003,2506385.4,994513.1399999999
Indonesia,2848057.0,2375017.39,2060544.44,473039.6099999999,2848057.0,2233745.48,2057441.2,614311.52,2848057.0,2270334.18,1549835.35,577722.82,2848057.0,2519785.46,1802170.33,328271.54000000004,1571073.0,1086572.99,828284.26,484500.01,1536073.0,1174536.23,906488.08,361536.77,1814073.0,1275028.52,994789.0800000001,539044.48
Iran,480000.0,345092.06,257564.38999999998,134907.93999999997,480000.0,341960.97,288260.14,138039.03000000003,480000.0,354616.45,321068.22000000003,125383.55000000002,480000.0,399006.91,365015.12,80993.09000000001,480000.0,411755.73,276084.5,68244.26999999999,480000.0,418361.08,371299.62,61638.91999999999,1026666.6666666667,897289.24,739034.74,129377.42666666672
Lao PDR,928758.0,754064.12,557620.94,174693.88,1647358.0,1230627.39,834286.23,416730.61,1503653.0,1209316.92,970076.84,294336.07999999996,2752538.0,2198104.0700000003,1799924.8900000001,554433.9299999999,2643833.0,1847587.74,1331586.58,796245.26,2566500.0,1783732.56,1289784.47,782767.44,2432000.0,1853120.74,1622851.77,578879.26
Malaysia,1036050.0,798979.73,669874.33,237070.26999999996,1036050.0,900524.79,705367.5499999999,135525.21,1036050.0,866526.47,641620.8200000001,169523.53000000003,1036050.0,801362.13,673021.48,234687.87,1059954.0,880634.35,758571.16,179319.65,1081954.0,798177.77,585120.49,283776.23,1215754.0,981790.21,839723.48,233963.78999999995
