Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Afghanistan,17553660.0,13362167.15,10254963.95,4191492.8499999996,17553660.0,12213482.24,9374483.42,5340177.76,17553660.0,13800706.43,9896598.73,3752953.5700000003,17553660.0,13115613.46,10374344.06,4438046.54,17553660.0,14213060.23,10030598.89,3340599.7700000005,17553660.0,13009336.46,10323586.12,4544323.54,17553660.0,13805335.559999999,10587444.26,3748324.4400000004,8776830.0,7739530.949999999,6328870.119999999,1037299.0500000003,1358226.0,953736.84,801634.11,404489.16000000003
Bhutan,605645.0,464247.63,302127.02999999997,141397.36999999997,605645.0,388116.2,275703.2,217528.8,605645.0,426236.23000000004,291660.02,179408.77,605645.0,438595.83,287370.52999999997,167049.16999999998,605645.0,507599.64999999997,341198.61000000004,98045.35000000002,605645.0,563920.82,416710.79,41724.18000000004,605645.0,388034.44,354495.23000000004,217610.56000000003,605645.0,371226.52,316238.22,234418.47999999998,425166.0,317822.81,277980.8,107343.19
Cambodia,8611371.0,6559630.1,4667076.68,2051740.9000000001,8611371.0,7228854.790000001,4592719.13,1382516.2099999997,8611371.0,6142192.62,5107958.85,2469178.38,8611371.0,6258864.73,5358102.859999999,2352506.27,8611371.0,5866551.9,4410487.99,2744819.1,8611371.0,6722507.84,4822266.2,1888863.16,8611371.0,6751230.6899999995,4961049.27,1860140.31,6946918.0,5185447.390000001,3642560.84,1761470.6099999999,6646918.0,4972914.779999999,4278382.58,1674003.22
Indonesia,35875.0,26875.95,24074.59,8999.05,35875.0,23881.56,14422.64,11993.439999999999,35875.0,33766.05,21636.96,2108.949999999997,35875.0,28456.6,19473.53,7418.4000000000015,35875.0,28213.95,18938.25,7661.049999999999,35875.0,31996.39,20447.11,3878.6100000000006,35875.0,31906.04,20348.9,3968.959999999999,35875.0,24022.59,15127.67,11852.41,35875.0,28743.0,21937.03,7132.0
Lao PDR,1679489.0,1384714.71,989358.96,294774.29,1679489.0,1353512.12,1086495.75,325976.87999999995,1569129.0,1366270.74,958610.5,202858.25999999995,1568615.0,1073700.8699999999,792486.94,494914.13000000006,1568615.0,1289087.97,868736.76,279527.02999999997,1568615.0,1344169.8699999999,1103024.15,224445.13000000003,1594666.0,1263847.34,1074367.5,330818.6599999999,1594666.0,1286794.13,917660.27,307871.87000000005,1594666.0,1323266.7,994910.7100000001,271399.29999999993
Mongolia,1264129.1,802978.23,613202.66,461150.87,1264129.1,1027753.43,894347.71,236375.66999999998,3214129.0,2483553.93,1768050.48,730575.0699999998,5264129.0,4324874.42,3085195.6300000004,939254.58,5862892.5,3679913.5,2646356.23,2182979.0,2915389.0,2293364.92,1539287.7999999998,622024.0800000001,3119778.0,2679281.46,1938918.69,440496.5399999998,2953140.0,2519386.9000000004,1842726.49,433753.09999999986,2945200.0,2187262.85,1783869.81,757937.15
Pakistan,15411067.0,14183745.3,11427156.98,1227321.6999999993,15411067.0,10646284.06,9430417.29,4764782.9399999995,15411067.0,14045624.82,9404435.85,1365442.1799999997,15411067.0,13221431.37,12439608.28,2189635.630000001,15411067.0,12345474.97,11646340.77,3065592.0299999993,15411067.0,9803706.96,7461222.89,5607360.039999999,15411067.0,11362578.31,9764404.83,4048488.6899999995,15411067.0,10202006.28,6650498.78,5209060.720000001,14255390.0,11262053.51,9934022.49,2993336.49
Papua New Guinea,3492711.0,2405808.65,1721003.04,1086902.35,3492711.0,2397668.38,1760718.85,1095042.6199999999,3492711.0,2898830.45,2082482.21,593880.55,3492711.0,2881596.5500000003,1888033.02,611114.4499999998,3492711.0,2539837.98,1597302.73,952873.02,3504391.0,2775991.51,2346853.7800000003,728399.49,3494391.0,2471730.43,1784289.37,1022660.57,3494391.0,2787993.56,2328242.31,706397.44,3494391.0,2829632.01,2221954.83,664758.99
Philippines,6472327.0,3990283.38,3444547.09,2482043.6199999996,6472327.0,4331474.84,3332809.03,2140852.16,6472327.0,4762528.55,3406308.65,1709798.4500000002,6472327.0,5526175.45,4862712.25,946151.5499999997,6472327.0,4329271.91,4043028.54,2143055.0900000003,6477162.0,4717111.1,3265377.6,1760050.9,6488712.0,4837640.43,3187113.67,1651071.5700000003,2084995.0,1826615.6099999999,1513691.51,258379.3900000001,1648474.0,1280838.46,950428.21,367635.54000000004
Sri Lanka,968315.0,601085.56,544786.46,367229.44,968315.0,687104.9600000001,430477.52999999997,281210.0399999999,968315.0,822203.12,596356.82,146111.88000000003,968315.0,710506.98,449773.01,257808.02,968315.0,887939.19,646658.6799999999,80375.81000000001,968315.0,720619.47,583513.92,247695.53,1010815.0,683004.93,539170.89,327810.06999999995,948315.0,756332.36,549800.25,191982.64,1054627.0,741920.8500000001,671000.4,312706.14999999997
