Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58200062.0,2978034.0,2978034.0,55222028.0,4307814.0,22080402.0,9619329.0,15949.0,16675973.0,7769496.0,7396058.0,8906477.0
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8917960.0,6038867.0,4459726.0,2379093.0,11492761.0,8068638.0,6886635.0,3424123.0,8443410.0,5970597.0,5018518.0,2472813.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247720.0,247720.0,140013.0,0.0,1020972.0,1031972.0,0.0,0.0,676691.0,686822.0,551411.0,-10131.0,598000.0,545668.0,516958.0,52332.0
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2127037.0,1632365.0,0.0,494672.0,1406659.0,1147153.0,0.0,259506.0,1379431.0,1076213.0,0.0,303218.0,4315635.0,3654292.0,3298133.0,661343.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10745000.0,6816000.0,0.0,4000.0,23782700.0,23557700.0,0.0,100000.0,1651567.0,1651567.0,0.0,0.0,1741879.0,1491879.0,0.0,250000.0
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1488124.0,1433124.0,1336531.0,55000.0,4948700.0,4427000.0,2403682.96,521700.0,2339181.0,2137267.0,1380762.5899999999,201914.0,2847056.0,2029621.0,1104636.0,817435.0,390857.0,5373496.0,5206448.0,87094.0,12219315.0,9847054.0,7635953.0,2372261.0,12164241.0,9900562.0,6906451.0,2263679.0
Indonesia,0.0,0.0,0.0,0.0,1650000.0,1550000.0,1550000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114841.0,114841.0,115021.0,0.0,10891888.0,10427377.0,782479.0,464511.0,10348363.0,9751607.0,6272493.0,621756.0,8901223.0,8519656.0,8343189.0,381567.0,7125050.0,7005050.0,499923.0,120000.0
Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2670009.0,0.0,0.0,0.0,250355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524657.0,929657.0,929167.0,35000.0,949436.0,1314436.0,814436.0,135000.0
Lao PDR,0.0,0.0,0.0,0.0,10000.0,10000.0,9000.0,0.0,20000.0,20000.0,18000.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700356.0,1540353.0,1262643.0,0.0,1221562.0,1322729.0,938236.0,-101167.0,261500.0,227000.0,178766.0,34500.0,0.0,0.0,0.0,0.0
Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1240000.0,1240000.0,0.0,0.0,130000.0,130000.0,0.0,0.0,1148400.0,1341533.0,824905.0,-193133.0,577170.0,1319553.0,76091.0,-742383.0
Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211668.0,136668.0,0.0,75000.0,2927650.0,2513000.0,41500.0,414650.0,164000.0,145986.0,140055.0,18014.0
Mongolia,0.0,0.0,0.0,0.0,1252195.0,1252195.0,1215899.0,0.0,630050.0,630050.0,528018.0,0.0,932830.0,909570.0,866906.0,23260.0,1353265.24,1217299.97,1152191.0,135965.27000000002,421588.0,421588.0,414395.0,0.0,421551.0,421551.0,413700.0,0.0,593099.0,453099.0,411503.0,140000.0,822839.0,615889.0,0.0,206950.0
Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8735011.0,7085011.0,0.0,1650000.0,15727825.0,7499113.0,2594808.0,8228712.0,0.0,0.0,0.0,0.0
Nepal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,30000.0,30000.0,20000.0,50000.0,30000.0,10000.0,20000.0
Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13157670.0,10014289.0,4113765.0,-234114.0,5863997.0,4491030.0,2000.0,417821.0
Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1868750.0,348664.0,0.0,1520086.0,2750000.0,848616.0,0.0,1251384.0,1745000.0,1061663.0,0.0,683337.0,1700000.0,2266737.0,1929989.0,958215.0,2300000.0,2816678.0,1737198.0,1931000.0,16442626.0,7246598.0,7246598.0,9196028.0,11730889.0,9299317.0,9266655.0,2431572.0
Papua New Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871864.0,656075.52,820178.52,13793.479999999996,2162541.7199999997,904359.0,899196.1499999999,65385.0,1888909.0,1410263.0,646670.65,-35000.0,1275374.0,410156.0,0.0,-50000.0,6492348.0,4368732.0,1145693.0,317738.0,3781027.0,3794320.0,2682492.0,-13293.0,570600.0,350000.0,221799.0,220600.0
Philippines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474900.0,291900.0,0.0,183000.0,1892769.0,1892770.0,1854044.0,-1.0,1840490.0,1870764.0,1271313.0,-30274.0,9023996.0,8140887.0,6863955.0,883109.0
Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148500.0,148500.0,0.0,0.0,177500.0,988500.0,1425213.0,60000.0,2569234.0,1833346.0,593074.0,127809.0,54000.0,54000.0,54000.0,0.0,97176.0,97176.0,97176.0,0.0
Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4408454.0,2866498.0,1569114.0,1541956.0,3817556.0,3021815.0,3014936.0,795741.0,3898634.0,2828635.0,2707550.0,1059999.0
