Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Afghanistan,1000.0,746.95,612.89,253.04999999999995,1000.0,922.93,775.03,77.07000000000005,1000.0,686.85,607.41,313.15,1000.0,739.23,622.37,260.77,1000.0,902.54,744.37,97.46000000000004,1000.0,910.15,771.49,89.85000000000002,1000.0,797.85,697.06,202.14999999999998,1000.0,688.36,496.96,311.64,1000.0,809.9,686.81,190.10000000000002
Bangladesh,2100000.0,1624563.8399999999,1209026.43,475436.16,2100000.0,1491147.82,1156486.8499999999,608852.1799999999,2100000.0,1840721.03,1376899.9100000001,259278.96999999997,2100000.0,1752390.6600000001,1431878.56,347609.33999999997,2100000.0,1820549.26,1334085.02,279450.74000000005,2100000.0,1561908.69,1077015.51,538091.31,2250000.0,1644095.3800000001,1281965.77,605904.62,2200000.0,1638133.25,1316550.24,561866.75,2450000.0,2004331.88,1538914.95,445668.12
Cambodia,2308000.0,1782645.62,1555529.88,525354.3799999999,2308000.0,1961378.17,1537058.56,346621.83,2308000.0,1787324.5599999998,1457191.81,520675.4400000001,2308000.0,1987721.78,1726441.5499999998,320278.22000000003,2308000.0,1708128.26,1322588.98,599871.74,2308000.0,2044348.69,1649467.3499999999,263651.31,2308000.0,2032113.0300000003,1549467.89,275886.9699999999,2308000.0,2016935.81,1584127.3399999999,291064.19000000006,2242000.0,2039027.03,1555593.31,202972.97
India,175160.0,150865.56,116954.36000000002,24294.44000000001,175160.0,145250.39,110703.79999999999,29909.609999999986,175160.0,151283.46000000002,114659.20000000001,23876.539999999994,175160.0,163257.29,132752.24,11902.71,175160.0,138149.34999999998,95708.5,37010.65000000001,175160.0,152569.52000000002,115353.68,22590.479999999996,175160.0,132248.52000000002,101256.45999999999,42911.479999999996,175160.0,131104.13,101962.1,44055.87,175160.0,133168.14,106839.0,41991.86
Indonesia,2306065.0,1862346.1600000001,1418623.82,443718.83999999997,2306065.0,1847520.51,1338042.19,458544.49000000005,2306065.0,2156724.67,1630888.76,149340.33000000002,2306065.0,1723730.7400000002,1243884.21,582334.26,2306065.0,1926233.6199999999,1359092.63,379831.38,2922057.0,2211259.31,1596627.9,710797.69,1645073.0,1317269.83,925793.6799999999,327803.1699999999,2202065.0,1904018.5899999999,1608218.71,298046.4100000001,2480065.0,2022646.73,1636741.27,457418.26999999996
Lao PDR,1437225.0,1150476.82,952928.3400000001,286748.18,869225.0,691503.54,543629.15,177721.45999999996,794925.0,639953.92,506318.25,154971.08000000002,1513525.0,1218781.14,962365.26,294743.86,1329225.0,1053321.57,777699.65,275903.43,2679225.0,1967266.37,1629224.95,711958.6299999999,1512225.0,1186595.42,991586.02,325629.57999999996,1412225.0,1215229.58,994200.69,196995.41999999995,1312225.0,998762.61,836100.14,313462.39
Malaysia,1073316.6666666665,786109.1,661133.5800000001,287207.56666666665,1073316.6666666665,869776.7100000001,748447.38,203539.95666666658,1073316.6666666665,923195.49,798696.5900000001,150121.1766666666,1073316.6666666665,874892.76,638829.81,198423.90666666665,1073316.6666666665,872250.52,742366.6699999999,201066.14666666664,1075916.6666666665,762913.64,564364.35,313003.0266666666,1108916.6666666665,906266.49,783368.62,202650.17666666667,1091050.0,903520.7,711985.9099999999,187529.30000000002,1224850.0,898079.8200000001,755709.31,326770.17999999993
Maldives,3444425.0,2911698.8899999997,2542945.8000000003,532726.1100000001,3444425.0,2860934.23,2050465.15,583490.7700000001,3444425.0,2833898.87,2313505.7,610526.13,3444425.0,3115649.4399999995,2408605.9499999997,328775.5600000002,3444425.0,2554640.08,2195383.08,889784.9200000002,3444425.0,2475691.68,1878714.04,968733.3199999998,3445308.0,2686997.13,2015795.19,758310.87,3598319.0,2533743.16,1817457.86,1064575.84,3288765.0,3007286.7099999995,2243826.68,281478.29000000004
Mongolia,488725.0,381065.89,307430.85,107659.10999999999,488725.0,408356.69,327611.97,80368.31,488725.0,441932.72,357429.07,46792.28000000003,488725.0,389878.23,325748.54,98846.77000000002,488725.0,324919.85,256127.38,163805.15000000002,488725.0,354693.67,241955.71,134031.33000000002,488725.0,419629.53,305403.17,69095.46999999997,488725.0,360775.31,312592.98,127949.69,403727.0,320074.54,275494.25,83652.46000000002
Myanmar,2035249.0,1910876.62,1692395.11,124372.37999999989,2035249.0,1569982.62,1303058.44,465266.3799999999,2035249.0,1582630.02,1335150.24,452618.98,2035249.0,1431829.59,1119060.04,603419.4099999999,2035249.0,1921781.02,1330183.49,113467.97999999998,2035249.0,1565287.29,1429290.52,469961.70999999996,2035249.0,1305565.79,1153392.63,729683.21,2035249.0,1845844.02,1531931.2,189404.97999999998,2035249.0,1447530.41,1087464.48,587718.5900000001
Nepal,25000.0,19925.58,14043.23,5074.419999999998,25000.0,20598.19,14641.0,4401.810000000001,25000.0,19161.26,15590.04,5838.740000000002,25000.0,22009.34,20595.26,2990.66,25000.0,20630.43,19598.91,4369.57,25000.0,20532.06,18468.3,4467.939999999999,25000.0,21188.72,17679.68,3811.279999999999,20000.0,16628.77,11358.48,3371.2299999999996,30000.0,23087.21,17258.8,6912.790000000001
