Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Afghanistan,1189128889.6666667,983002218.72,774356908.26,206126670.9466667,1189128889.6666667,935373998.38,798078591.9300001,253754891.2866667,1189128889.6666667,935730853.5999999,712764695.74,253398036.06666672,1189128889.6666667,999078355.0500001,792439390.16,190050534.61666667,1189128889.6666667,1012276208.62,840428393.74,176852681.04666668,1189128889.6666667,1025071125.71,850073049.41,164057763.95666668,1189128889.6666667,2074705214.14,1779012721.14,186414799.52666667,1141056601.0,1331220267.76,1029065287.15,268184918.24,1254467918.0,1063332469.64,866367774.34,191135448.35999998
Bangladesh,16983985.5,13682465.3,11783110.26,3301520.2,16983985.5,14716352.51,12273865.8,2267632.9899999998,16983985.5,14036270.06,10905561.42,2947715.44,16983985.5,11991988.77,9693297.42,4991996.73,16983985.5,13881801.92,10479268.19,3102183.58,16983985.5,13257469.15,10327970.1,3726516.3499999996,16253654.0,13846796.71,12053849.52,2406857.2899999996,15731700.0,11725305.34,9188872.58,4006394.66,18301783.0,16066643.82,13275570.3,2235139.18
Bhutan,2796224.5,2293190.64,1793694.42,503033.8599999999,2796224.5,2356897.85,1956933.83,439326.65,2796224.5,2277484.66,1887588.71,518739.84,2796224.5,2232831.08,1766754.3800000001,563393.4199999999,2796224.5,2204198.2399999998,1860038.15,592026.26,2442152.88,2047682.34,1587264.6,394470.54,3675128.75,3032070.01,2375931.93,643058.7400000001,2850175.25,2156919.81,1798594.08,693255.4400000001,2395120.9225,1997781.91,1554482.92,397339.0125
Cambodia,6658485.0,5277765.68,4137071.91,1380719.32,6658485.0,5635514.22,4848096.54,1022970.7799999999,6658485.0,5748166.94,4517056.26,910318.0599999999,6658485.0,5608136.27,4800087.55,1050348.7300000002,6636388.96,5514732.89,4273389.81,1121656.07,7789044.95,6333831.91,5013118.34,1455213.04,8135326.78,6569136.01,5147791.95,1566190.77,5016772.29,4021124.04,3022886.49,995648.25,6584508.6225,5496077.05,4165355.0100000002,1088431.5725
China,16701228.5,13703259.549999999,10503266.25,2997968.95,16701228.5,14367273.35,11981184.040000001,2333955.1499999994,16701228.5,11412787.68,8647009.52,5288440.82,16701228.5,13752817.74,10473296.16,2948410.76,16701228.5,13272347.16,9645050.83,3428881.340000001,15356490.14,12865601.49,10101487.81,2490888.65,15759285.36,13475293.790000001,9499759.88,2283991.57,25212545.29,21233179.38,17494419.52,3979365.91,27927059.84125,24761496.2,19298443.98,3165563.6412500003
India,17273658.333333332,14012577.799999999,10817711.34,3261080.5333333337,17273658.333333332,14161792.3,11147306.68,3111866.033333333,16576677.313333333,13668073.99,10972532.09,2908603.3233333332,12538968.453333333,9346304.18,7425201.470000001,3192664.2733333334,12128804.263333334,9478909.25,7427338.49,2649895.0133333337,10617771.423333334,8823400.29,6811367.77,1794371.1333333335,25618637.063333333,19535887.06,16298988.22,6082750.003333334,15001651.361428572,12726742.83,10650522.280000001,2274908.531428572,13216575.361428572,10229793.48,8500523.97,2986781.8814285714
Indonesia,8483500.15,7163455.57,5586984.58,1320044.5800000003,8983500.15,6706168.0,5575083.109999999,2277332.15,8983500.15,7375864.41,5935208.180000001,1607635.74,8983500.15,7493716.22,6224697.27,1489783.9300000002,8483500.15,6665686.91,5478235.67,1817813.2399999998,8138076.453333333,6854609.91,5144795.62,1283466.5433333332,7446172.62,5512889.62,4482800.64,1933283.0,5639541.84,4804168.7299999995,3588448.67,835373.1100000001,11688964.473333333,9570037.32,8272379.77,2118927.153333334
Iran,3158166.666666667,2302592.02,1895180.81,855574.6466666666,3158166.666666667,2684002.21,2193212.96,474164.45666666655,3158166.666666667,2688088.5,2271997.33,470078.1666666666,3158166.666666667,2737821.38,2019517.8900000001,420345.2866666667,3158166.666666667,2874998.28,2252032.05,283168.38666666666,3158166.666666667,2496561.58,2164308.31,661605.0866666667,3158166.666666667,2552046.3200000003,2018671.3200000003,606120.3466666666,3226500.0,2814650.69,2025717.6099999999,411849.31,3348375.83,2768144.09,2044471.42,580231.7400000001
Lao PDR,41938153.494666666,34212012.76,29251608.78,7726140.734666666,74311536.76333334,58850597.74,45725845.9,15460939.023333332,58598109.06333333,48057498.69,38435489.51,10540610.373333333,51776290.083333336,44656165.7,34666852.71,7120124.383333335,40323570.17333333,29342288.91,23340558.09,10981281.263333334,61916764.083333336,47298707.25,38295622.94,14618056.833333332,52761996.526888885,38823580.07,29340179.13,13938416.456888888,51277273.193555556,39461293.2,32073716.099999998,11815979.993555555,62364680.193555556,47185420.71,39233643.53,15179259.483555555
Malaysia,187352.2,140132.61,123639.76000000001,47219.59,187352.2,147648.36,113378.95999999999,39703.84,187352.2,151881.46000000002,129366.4,35470.73999999999,187352.2,138830.18,113161.9,48522.02,187352.2,151518.21,121236.9,35833.99,237537.0,172138.21,145311.2,65398.79000000001,174065.0,295876.3,279729.13,23188.700000000004,176007.0,134498.24,98933.79000000001,41508.759999999995,172639.0,141766.82,112787.35,30872.179999999997
