Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Afghanistan,832879105.3333334,627485137.42,514958986.99,205393967.91333333,832879105.3333334,595741809.21,506761419.73,237137296.12333333,832879105.3333334,610248711.0,522981777.21000004,222630394.33333334,832879105.3333334,607719978.35,461547186.42,225159126.98333332,832879105.3333334,656175689.64,544475349.4399999,176703415.69333333,832879105.3333334,624191640.1899999,526400220.13,208687465.14333335,832879105.3333334,714608911.86,599322127.48,118270193.47333331,747950190.79,616857838.52,532442746.88,131392352.26999998,957703575.0,787878236.21,660779974.14,169825338.79000002
Bangladesh,18272577.333333332,13563658.36,11014650.260000002,4708918.973333333,18272577.333333332,13287339.7,9780459.92,4985237.633333333,18272577.333333332,14229720.18,12375357.15,4042857.1533333333,18272577.333333332,15473720.719999999,13307365.88,2798856.6133333333,18272577.333333332,15942209.350000001,11850296.95,2330367.9833333325,18272577.333333332,14577683.44,11596061.25,3694893.8933333335,19894870.05,16252659.82,13681150.4,3642210.23,14449989.0,12364352.07,8671412.84,2085636.9299999995,20594500.0,14422177.5,12260829.89,6172322.5
Bhutan,10181359.0,8447790.41,5866173.34,1733568.59,10181359.0,8160402.66,6551627.06,2020956.3400000003,10181359.0,9066862.84,8081687.98,1114496.1599999997,10181359.0,8440830.48,7309557.23,1740528.52,10181359.0,7871855.779999999,6492007.08,2309503.22,10181359.0,8572813.64,5882898.96,1608545.36,11311279.5,8089083.51,6644268.42,3222195.99,9051438.5,6541416.01,4713296.87,2510022.49,10068526.5,8289352.43,6709050.220000001,1779174.0699999998
Cambodia,8409141.333333332,6637457.57,5023129.78,1771683.763333333,8409141.333333332,6654804.0600000005,5269629.67,1754337.273333333,8409141.333333332,7266016.63,5557894.140000001,1143124.7033333331,8409141.333333332,7043689.02,5623170.28,1365452.3133333335,8409141.333333332,6606025.379999999,4726961.51,1803115.9533333336,9545362.5,7421362.88,5588927.3100000005,2123999.62,9686792.5,7837467.33,6188354.63,1849325.17,5995269.0,4664604.49,3415579.33,1330664.5099999998,8544040.833333332,7060168.03,6065357.38,1483872.803333333
China,1207400.0,967849.45,752740.28,239550.55,1207400.0,934176.55,809315.79,273223.45,1207400.0,851440.6900000001,715160.03,355959.31,1207400.0,951124.01,775048.25,256275.99000000002,1207400.0,967770.45,714991.59,239629.55,898543.2,758074.85,645542.03,140468.34999999998,726932.55,621014.09,561730.34,105918.45999999996,1835417.19,1384128.7,1039934.82,451288.48999999993,918318.33,685666.8099999999,543615.0700000001,232651.52000000002
India,13078166.5,10434077.5,8077949.600000001,2644089.0,13078166.5,10418975.89,7175035.29,2659190.6100000003,16046769.333333334,12214412.93,9966425.81,3832356.4033333333,11593680.333333334,9869221.14,8319994.13,1724459.1933333334,13850305.263333334,11227143.46,9820941.47,2623161.803333333,8569977.11,6485001.799999999,5504080.15,2084975.3100000005,16994724.76,14081806.559999999,10624521.870000001,2912918.2000000007,13623956.026666667,10900508.03,8160835.040000001,2723447.9966666666,13884062.026666667,11486480.83,9349694.44,2397581.1966666663
Indonesia,5255431.2,3835220.59,2991000.44,1420210.61,5255431.2,4649612.75,4251880.67,605818.4499999998,5155431.2,4468331.28,3383494.18,687099.92,5355431.2,4304598.68,3513786.53,1050832.52,5255431.2,4449128.350000001,3556107.04,806302.8499999997,4802237.0,3556188.3600000003,2750527.77,1246048.64,5769284.0,4687045.93,4043964.8400000003,1082238.07,6003729.0,5149948.36,4301759.6,853780.6400000001,5367581.0,4190116.41,3271701.7199999997,1177464.59
Iran,5135000.0,4083107.17,3039040.68,1051892.83,5135000.0,3785204.54,3116769.72,1349795.4600000002,5135000.0,3821649.34,3247576.2100000004,1313350.66,5135000.0,4429497.49,3733490.4699999997,705502.5099999999,5135000.0,4222695.57,3426621.52,912304.4299999999,5135000.0,4095815.6900000004,3216187.33,1039184.3099999999,5135000.0,3914445.1,3188579.18,1220554.9,6395000.0,4961490.02,3803937.7399999998,1433509.98,3881000.0,2909701.95,2220918.76,971298.05
Lao PDR,4337963.22,3256003.85,2709877.98,1081959.37,4326879.72,3720438.7,3120157.3099999996,606441.02,4231820.5,3357701.9699999997,2735072.97,874118.53,4500426.9399999995,3728660.52,2944850.21,771766.4200000002,4309234.72,3617256.91,2972599.06,691977.81,4321454.22,3284472.0700000003,2600223.6399999997,1036982.15,3307247.7199999997,2706780.0,2322200.95,600467.7200000002,4377247.72,3921754.4000000004,2816095.5300000003,455493.32,5325109.72,4037401.37,3645762.29,1287708.35
Malaysia,183585.0,157189.32,109822.36,26395.680000000004,183585.0,166701.72,127199.61,16883.28,183585.0,154970.09,117289.09999999999,28614.909999999993,183585.0,146741.07,113770.96,36843.93,183585.0,137124.22,94190.91,46460.78,183585.0,134487.77,105892.98,49097.23,183585.0,157646.24,124679.42,25938.76,183585.0,153362.46,130813.56,30222.54,189835.0,152656.41,115665.12,37178.59
