Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200648.0,0.0,200648.0,0.0,1497113.0,1182404.0,1023696.0,314709.0,1809240.0,755326.0,376365.0,1053914.0,1410699.0,910699.0,550110.0,500000.0,3620500.0,3190500.0,3170500.0,430000.0,2339360.0,2089360.0,1979688.0,250000.0
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474500.0,238525.0,200067.0,235975.0,1750000.0,1750000.0,950000.0,0.0,2297890.0,897890.0,874890.0,1400000.0,53346.0,53346.0,53346.0,0.0
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204635.0,204635.0,455940.0,0.0,3550000.0,3550000.0,3735113.0,0.0,48000.0,2000.0,29455.0,0.0,130611.0,125984.0,124923.0,4627.0,294645.0,228001.0,210416.0,66644.0,263963.0,233963.0,232990.0,0.0
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330000.0,79000.0,40000.0,251000.0,47100.0,47100.0,7100.0,0.0,483412.0,361516.0,361516.0,121896.0,162897.0,63892.0,0.0,99005.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4291775.0,4291775.0,4007771.0,0.0,4828749.0,4834749.0,2970746.0,0.0,1740606.0,1739606.0,1739606.0,1000.0,2226949.0,2226949.0,2222264.0,0.0
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,45000.0,45000.0,0.0,1342956.0,1341556.0,727789.0,1400.0,2094593.0,2094593.0,2020593.0,0.0,2060108.0,2059108.0,1101108.0,1000.0
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1847121.0,969924.0,594485.0,877197.0,1925299.0,1795799.0,1272965.0,129500.0,1316669.0,828678.0,813199.0,487991.0,2330826.0,926826.0,901501.0,1404000.0
Kosovo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35317.0,30591.0,30591.0,4726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4215924.0,3439233.0,3434233.0,776691.0,3653137.0,3101137.0,2635961.0,552000.0
Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243000.0,243000.0,178349.0,0.0,2188928.0,2187928.0,1048028.0,1000.0,1507287.0,1470287.0,6973536.0,37000.0,3092982.0,3017982.0,3011982.0,75000.0
Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023488.95,1023488.95,736255.0,0.0,323915.0,323915.0,323915.0,0.0,1006280.0,967286.0,918895.0,38994.0,2169890.0,2140796.0,2091228.0,29094.0
North Macedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415320.0,415320.0,326168.0,0.0,871546.0,871546.0,871546.0,0.0,698208.0,393308.0,392186.0,304900.0,942083.0,646987.0,646987.0,295096.0
Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999871.0,9999871.0,6755223.0,0.0,11177592.0,11177592.0,10231349.0,0.0,10903316.0,10903316.0,9454760.0,0.0,8438073.0,8438073.0,7181407.0,0.0
Tajikistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3961017.0,2852017.0,2754591.0,1109000.0,694523.0,1309523.0,1210332.0,-615000.0,4477616.0,2656156.0,2029459.0,1821460.0,3476368.0,900419.0,900419.0,2575949.0
Turkiye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2699618.0,2699618.0,2053824.0,0.0,1751279.0,1909906.0,1494554.0,-153627.0,1008927.0,3348376.0,1050703.0,0.0,6231084.0,6231084.0,4079203.0,0.0
Turkmenistan,0.0,0.0,0.0,0.0,35000.0,35000.0,30000.0,0.0,10000.0,109083.0,0.0,-99083.0,643903.0,643903.0,192738.0,0.0,172903.0,172903.0,115500.0,0.0,1003230.0,986230.0,450982.0,17000.0,1758360.0,1758360.0,1110992.0,0.0,694528.0,694528.0,649149.0,0.0
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122575.0,122575.0,103687.0,0.0,1486839.0,1486839.0,1469452.0,0.0,3748368.0,3748368.0,2073361.0,0.0,6370256.0,4485940.0,3261159.0,1864316.0,4438261.0,5838261.0,3293122.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293858.7,293858.7,293858.7,0.0,160000.0,160000.0,0.0,0.0,5439159.48,4994159.48,3321760.0,445000.0,2036509.0,1457009.0,1398439.0,579500.0,1622991.0,1367478.0,1309981.0,255513.0,6373725.0,5934725.0,1407011.0,439000.0
Grand Total,0.0,0.0,0.0,0.0,35000.0,35000.0,30000.0,0.0,709141.7,607576.7,950446.7,-99083.0,5973591.0,5658882.0,5055234.0,314709.0,34286852.43,30268766.43,23004265.0,3972086.0,35266621.0,34808495.0,25736730.0,469126.0,45417480.0,40130524.0,39126624.0,7606405.0,48947580.0,44597436.0,32387366.0,5720144.0
