Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Albania,116933585.0,84841930.81,62639252.47,32091654.189999998,116933585.0,96804025.27,73534243.87,20129559.73,116933585.0,95736794.48,67255908.31,21196790.520000003,116933585.0,89322470.59,73385120.63,27611114.409999996,118462846.0,94575335.31,70211540.8,23887510.69,116553903.0,85921821.83,66101494.96,30632081.169999998,97768524.0,78889096.67999999,64284393.989999995,18879427.320000004,86281785.0,64115646.91,53715368.59,22166138.09
Armenia,2632508.0,2176569.74,1529917.25,455938.26,2632508.0,2139710.46,1658912.23,492797.54000000004,2632508.0,2159382.87,1633212.23,473125.13,2632508.0,1995379.96,1604601.92,637128.0399999999,2632508.0,2118271.7399999998,1632859.5799999998,514236.26000000007,3922138.0,2769258.7800000003,2308250.99,1152879.22,3956554.0,2958019.15,2508865.97,998534.85,3015556.0,2481981.14,1858272.64,533574.86
Azerbaijan,5293225.0,4170424.56,3217809.1,1122800.44,5293225.0,3993138.0,3054041.44,1300087.0,5293225.0,4306101.12,3485208.09,987123.8799999999,4380966.0,3227192.26,2514467.64,1153773.74,4662887.0,3371130.7800000003,2461759.82,1291756.22,3272677.6,2674979.6,2152000.7199999997,597698.0,2907858.0,2266124.15,1813904.96,641733.85,3542778.0,2778532.86,2137611.55,764245.14
Belarus,7049363.4375,5957676.08,4685063.52,1091687.3575000002,7049363.4375,6035413.63,4577370.73,1013949.8075000001,7049363.4375,5751638.75,4543752.91,1297724.6875,7185057.4375,5519388.71,4071222.9899999998,1665668.7275,7185057.4375,5292428.02,4376372.75,1892629.4175,6209293.5625,5318529.08,4616217.53,890764.4824999999,7486121.0625,5911964.82,4899385.76,1574156.2425,6548847.0,5279717.8,4217106.66,1269129.2
Bosnia and Herzegovina,5594458.888888889,4156229.42,3183314.52,1438229.4688888886,5594458.888888889,4284875.16,3466261.46,1309583.7288888888,5594458.888888889,4209618.62,3066621.32,1384840.2688888886,5594458.888888889,4301718.96,3075585.69,1292739.9288888886,5594458.888888889,3924566.58,3093126.43,1669892.3088888887,5930496.666666666,4311601.08,3270762.55,1618895.5866666667,5700092.222222222,4328796.9,2923838.92,1371295.322222222,5029017.894736842,3470166.6,2828273.9499999997,1558851.2947368422
Georgia,9129476.0,7125884.78,5908554.0,2003591.22,9129476.0,6817845.2,5294601.95,2311630.8000000003,9129476.0,7204438.8,5308562.65,1925037.2,9129476.0,6978110.37,5389960.66,2151365.63,9129476.0,6819354.48,5415576.03,2310121.52,9255650.0,6857293.36,5438924.85,2398356.64,10937431.0,7632117.71,5609876.57,3305313.29,7918900.0,6146582.99,4816089.64,1772317.01
Kazakhstan,3674012.8,2761933.06,2137232.2399999998,912079.74,3674012.8,2988902.66,2319863.66,685110.14,3674012.8,2741551.84,2077471.66,932460.96,3674012.8,2819411.53,2283182.41,854601.27,3674012.8,2912652.68,2262378.76,761360.12,4812266.322580645,3810822.5,2931824.0100000002,1001443.8225806452,2891222.709677419,2382663.38,1935130.09,508559.32967741933,2431768.0,1831267.56,1382182.91,600500.4400000001
Kosovo,9792861.0,6978074.39,6071972.2,2814786.6100000003,9792861.0,6904850.54,5005947.07,2888010.4600000004,9792861.0,8438364.34,6818913.92,1354496.66,9792861.0,7372219.25,5420173.890000001,2420641.75,9792861.0,6443704.88,5022358.31,3349156.1199999996,9635325.0,8198725.29,7060238.03,1436599.7099999997,9607035.0,6984053.52,4654226.340000001,2622981.48,9607035.0,7995943.93,5616470.01,1611091.07
Kyrgyzstan,3674013.0,3053930.66,2289404.61,620082.34,3674013.0,3024095.9,2578437.7600000002,649917.1,3674013.0,3183208.16,2262411.68,490804.84,3674013.0,3242905.53,2391713.2600000002,431107.47,3674013.0,2496908.1,1974402.5900000003,1177104.9,3674013.0,2416518.17,1769319.02,1257494.83,3674013.0,3124389.67,2733952.75,549623.3300000001,3474996.0,3032724.09,2014932.49,442271.91000000003
Moldova,39855095.07692308,27895348.13,19795970.65,11959746.946923077,39855095.07692308,32068473.98,22891088.36,7786621.096923076,39573362.76923077,33441473.65,28407186.41,6131889.119230769,39575938.15384615,32345801.28,23853858.88,7230136.873846154,39621158.16923077,31620517.49,23574477.400000002,8000640.67923077,39222759.23076923,28862862.05,24533162.04,10359897.180769231,39147976.15384615,32706259.15,27320723.14,6441717.003846154,40086069.692307696,30494487.509999998,21708642.71,9591582.182307692
