Country,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Albania,1884674.0,1526664.36,1129086.52,358009.64,1884674.0,1442532.0999999999,1062597.08,442141.9,1884674.0,1491146.51,1145617.6300000001,393527.49,1519291.0,1165751.61,906662.9299999999,353539.39,1189674.0,911197.1,770546.04,278476.89999999997,1147274.0,863227.5299999999,673458.4,284046.47000000003,1132274.0,821618.63,560276.51,310655.37
Armenia,72080.0,52021.6,42788.52,20058.4,72080.0,57157.19,39538.25,14922.81,72080.0,49858.07000000001,42912.28999999999,22221.929999999997,72080.0,64006.97,55292.579999999994,8073.029999999999,145431.0,111996.56,79177.81,33434.439999999995,180000.0,145080.66999999998,127165.04,34919.33,104978.0,71092.58,57171.71,33885.42
Azerbaijan,67730.0,57615.899999999994,39105.9,10114.100000000002,67730.0,44929.6,39734.32,22800.399999999998,217730.0,177681.49,112043.52,40048.51,217730.0,176274.97999999998,119083.74,41455.02000000001,217730.0,181252.47,110808.04000000001,36477.52999999999,217730.0,183778.74000000002,146954.42,33951.25999999999,217730.0,134832.02,104099.44,82897.98
Belarus,852106.6666666667,692367.76,530000.45,159738.90666666668,852106.6666666667,661031.8,513742.35,191074.86666666667,1675944.8333333333,1400147.21,1138203.44,275797.6233333333,1675944.8333333333,1229966.3699999999,1012838.12,445978.4633333334,1582561.5,1155042.2000000002,819194.2,427519.29999999993,1713894.0,1240131.98,1021327.06,473762.02,1742530.8333333333,1338171.19,997689.59,404359.64333333325
Bosnia and Herzegovina,7177777.090909091,5452948.8,4563248.3100000005,1724828.290909091,7177777.090909091,6131805.1,4815272.78,1045971.9909090906,7177777.090909091,4919183.34,3406060.8400000003,2258593.7509090905,7177777.090909091,5673259.24,4421820.22,1504517.8509090908,7367745.0,6205312.61,4880636.64,1162432.39,8024811.454545455,5788556.81,4890865.84,2236254.644545455,5035664.666666666,4220428.95,3168319.8,815235.7166666667
Georgia,40000.0,24687.68,19160.62,15312.32,40000.0,28498.51,17470.6,11501.490000000002,40000.0,37315.54,27196.94,2684.459999999999,40000.0,31858.78,20956.09,8141.220000000001,40000.0,36767.23,22515.68,3232.769999999997,40000.0,27902.25,22642.2,12097.75,40000.0,24412.34,19984.17,15587.66
Kazakhstan,876001.0,609091.81,468755.57,266909.19,876001.0,669198.12,516712.82999999996,206802.88,876001.0,733707.9199999999,512512.6,142293.08000000002,876001.0,603362.3,487834.66000000003,272638.7,683001.0,459038.05,328269.9,223962.95,1156797.0,914870.45,672192.84,241926.55,614156.4,427081.4,349067.58,187075.0
Kosovo,3069038.0,2484711.85,1965181.3299999998,584326.15,3069038.0,2495799.6999999997,1882637.0,573238.3000000002,3069038.0,2494148.67,1886402.0799999998,574889.3300000001,3069038.0,1965041.1,1574839.48,1103996.9,2980992.0,2153580.92,1556822.08,827411.08,2654375.0,2325461.96,1655524.89,328913.04,2654375.0,2189338.12,1646505.23,465036.88000000006
Kyrgyzstan,1515000.0,1247678.13,1105270.2,267321.87,1515000.0,1324675.83,993347.62,190324.16999999998,1515000.0,1176323.91,754500.2200000001,338676.09,1515000.0,1103816.45,828927.0,411183.55,1515000.0,1276924.79,900281.48,238075.21000000002,1515000.0,1147602.78,844135.77,367397.22000000003,2165600.0,2013338.34,1746093.73,152261.65999999992
Moldova,2545690.0,1727539.8599999999,1321611.08,818150.14,2545690.0,2044501.91,1554236.3699999999,501188.08999999997,2545690.0,2045464.96,1636297.91,500225.04000000004,2545690.0,1945812.09,1473700.69,599877.91,2545690.0,2185856.61,1773491.54,359833.39,2515884.0,1928898.17,1601219.48,586985.83,2420997.0,1938160.58,1343272.92,482836.42000000004
Montenegro,1485225.0,1166451.04,925733.28,318773.95999999996,1485225.0,1132674.17,960229.71,352550.82999999996,1604925.0,1137210.3699999999,838757.45,467714.63,1478458.3333333335,1101338.07,849794.7,377120.2633333334,2312275.0,1717198.54,1443842.46,595076.4600000001,2139841.6666666665,1715007.5499999998,1366872.65,424834.1166666667,2409869.0,1958313.54,1629834.72,451555.45999999996
North Macedonia,1373376.0,998687.82,725596.62,374688.18000000005,1373376.0,993110.02,809635.21,380265.98,1373376.0,1114559.2,930279.71,258816.80000000008,1373376.0,1115317.29,909685.42,258058.70999999996,980976.0,751802.39,494898.88,229173.61,966150.0,812778.75,556794.8099999999,153371.24999999997,1320570.0,1096860.48,810577.36,223709.51999999996
Serbia,945338.6666666666,781533.89,627929.85,163804.77666666658,945338.6666666666,716692.82,549278.44,228645.84666666662,945338.6666666666,737639.24,565354.52,207699.4266666666,945338.6666666666,699243.26,554047.01,246095.4066666666,975240.0,675351.48,558051.73,299888.52,727557.3333333334,487604.22,359064.6,239953.11333333334,698185.6,511601.85,411393.17,186583.75
Tajikistan,3704149.0,2705186.6100000003,2448545.3899999997,998962.3899999999,3704149.0,2765399.0300000003,2338332.7800000003,938749.97,3704149.0,2828629.3200000003,2318801.24,875519.6799999999,3704149.0,3245747.45,2570620.44,458401.5499999998,3626084.0,3234686.57,2435908.37,391397.43000000005,3499307.0,2528228.56,2151352.64,971078.44,2018893.0,1599535.48,1227752.55,419357.52
Turkiye,185000.0,128497.84000000001,85673.99,56502.15999999999,185000.0,123305.59,88466.03,61694.41,185000.0,137889.5,123669.90999999999,47110.49999999999,185000.0,123120.35,80955.59,61879.649999999994,255000.0,185096.03999999998,140961.66,69903.96,224500.0,189999.11,148283.68,34500.89000000001,193000.0,152409.06,132189.15,40590.94
Turkmenistan,463763.0,347922.77999999997,259460.28,115840.22000000002,463763.0,405308.2,294540.45,58454.799999999996,463763.0,331267.87,294316.60000000003,132495.13,463763.0,304812.39,258057.26,158950.61,446958.0,377089.97,335938.42000000004,69868.03,592204.0,481856.03,380593.65,110347.97,156000.0,123913.86,97756.09,32086.14
Ukraine,4589750.25,3701288.23,3087468.25,888462.02,4480824.375,3591476.88,2429238.95,889347.495,4480824.375,3737840.42,3276639.11,742983.9550000001,4486449.375,3551740.83,2816119.01,934708.5449999999,4486835.25,3954372.61,3181684.73,532462.64,4488298.0,3438276.38,2862200.74,1050021.62,6963158.0,5893624.600000001,4967569.09,1069533.3999999997
Uzbekistan,4597685.133333334,3204879.98,2548163.44,1392805.1533333333,4597685.133333334,3608347.96,2833104.69,989337.1733333333,4639300.0,3436713.99,2606514.57,1202586.01,3316193.4,2772897.69,2006282.2,543295.7100000001,2766526.7333333334,1943145.52,1407538.55,823381.2133333334,3018778.6428571427,2322866.07,1703878.34,695912.5728571428,2821457.214285714,2254924.73,1829539.54,566532.4842857141
Grand Total,35444383.80757576,26909775.94,21892779.6,8534607.867575757,35335457.93257576,28236444.529999997,21738115.460000005,7099013.402575757,36470610.96590909,27986727.53000001,21616080.580000002,8483883.43590909,34661279.69924242,26873367.220000003,20947517.139999997,7787912.4792424245,34117719.483333334,27515711.66,21240568.21,6602007.823333332,34822402.097402595,26542128.01,21184527.05,8280274.087402598,32709438.714285713,26769657.750000004,21099092.349999998,5939780.964285714
