Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Albania,200000.0,148005.15,113252.51,51994.850000000006,200000.0,164058.32,138183.91999999998,35941.68,200000.0,187712.03,150101.81,12287.970000000001,200000.0,165985.91,147783.92,34014.09,200000.0,177425.66999999998,157561.58000000002,22574.33,200000.0,172031.3,115743.61000000002,27968.699999999997,250000.0,213263.84,178074.90000000002,36736.16,100000.0,77258.33,71296.53,22741.67
Azerbaijan,4246282.0,3652920.11,3015725.85,593361.8900000001,4246282.0,3334215.36,2686039.23,912066.6400000001,4246282.0,3705033.4,2962582.56,541248.6,3858010.0,3341373.34,2418856.5300000003,516636.66000000003,4656172.0,3519741.64,3023469.2,1136430.3599999999,5609674.0,4504524.92,3344145.5,1105149.0800000003,5308174.0,4457619.43,3788738.23,850554.5699999998,3562999.0,3138438.16,2376080.24,424560.83999999985
Bosnia and Herzegovina,1558947.0,1184520.37,901846.1,374426.62999999995,1558947.0,1036314.42,871101.37,522632.57999999996,1558947.0,1320677.6400000001,1108228.98,238269.36,1558947.0,1399145.82,954155.3999999999,159801.18,1558947.0,1259985.54,1153944.49,298961.45999999996,1273653.0,1120286.6,860831.1100000001,153366.40000000002,1273653.0,1031077.8,891426.43,242575.2,1131775.0,978421.4199999999,679997.5,153353.58000000002
Georgia,73896.0,63065.3,39339.7,10830.699999999997,73896.0,56974.43,53393.07,16921.57,73896.0,70156.94,58476.34,3739.0599999999977,73896.0,61172.91,49285.69,12723.089999999997,73896.0,62005.94,44136.6,11890.059999999998,73896.0,67938.18,55095.41,5957.820000000007,366031.0,315923.98,233650.34,50107.02000000002,1098324.0,781087.0,606231.22,317237.0
Kazakhstan,515659.0,425158.95999999996,355778.18999999994,90500.04000000001,515659.0,412337.06000000006,299957.73,103321.93999999997,515659.0,398498.04000000004,347221.48,117160.95999999999,515659.0,442391.95999999996,330546.52,73267.04000000001,515659.0,381469.19,312531.56,134189.81,515659.0,360171.7,286408.47,155487.3,1059062.0,775760.17,679033.99,283301.82999999996,1058718.0,887787.3200000001,687890.82,170930.67999999993
Kyrgyzstan,392000.0,273275.23,186135.28999999998,118724.76999999999,392000.0,269428.33,237930.35,122571.67,392000.0,339887.8,264232.32,52112.20000000001,392000.0,303833.39999999997,279600.64,88166.60000000002,392000.0,323456.74,210671.69,68543.26,392000.0,320718.69,249224.11,71281.30999999998,392000.0,340433.86,234536.25,51566.140000000014,1010000.0,894577.22,642332.1799999999,115422.78
Moldova,70000.0,66500.0,53706.04,3500.0,70000.0,54307.61,43623.21,15692.39,70000.0,54391.38,48311.97,15608.620000000003,70000.0,54466.35,42481.75,15533.650000000001,70000.0,55333.28,42179.96,14666.720000000001,70000.0,53995.9,45812.76,16004.099999999999,70000.0,55075.95,44469.33,14924.050000000003,70000.0,58825.62,48301.11,11174.379999999997
Montenegro,100000.0,88934.64,71259.75,11065.36,100000.0,72956.98,56392.54,27043.020000000004,100000.0,71841.05,59721.5,28158.949999999997,100000.0,70343.81,62116.98,29656.190000000002,100000.0,86192.86,73907.83,13807.14,100000.0,76854.53,50571.95,23145.47,100000.0,75672.23,61008.13,24327.770000000004,100000.0,76752.3,63931.29,23247.699999999997
North Macedonia,279808.0,217274.86,160891.58000000002,62533.140000000014,279808.0,205456.79,152844.44,74351.20999999999,279808.0,219759.45,164022.59,60048.54999999999,279808.0,201009.11000000002,147288.21,78798.88999999998,279808.0,229711.69999999998,192315.37,50096.30000000002,197740.0,160250.47,136148.37,37489.53,385740.0,279721.01,201702.41999999998,106018.98999999999,135740.0,92973.62,83113.47,42766.38
Tajikistan,160000.0,134467.6,100827.5,25532.399999999994,160000.0,121872.12000000001,107061.06999999999,38127.87999999999,160000.0,117331.61,79796.70999999999,42668.39,160000.0,133312.84,117128.79,26687.160000000003,160000.0,139462.65,118547.17,20537.350000000006,150000.0,109697.70000000001,89313.44,40302.299999999996,104000.0,95869.8,83532.62,8130.199999999999,104000.0,68701.21,56158.57,35298.78999999999
Turkiye,1006921.0,726693.8200000001,628862.78,280227.17999999993,1006921.0,759462.69,668079.0700000001,247458.31000000003,1006921.0,773564.45,545562.67,233356.55,1006921.0,878409.61,753593.6000000001,128511.39000000004,1006921.0,778101.95,481419.01999999996,228819.05,2900620.0,2086340.06,1787492.05,814279.9400000001,167406.66666666666,135690.03,104210.5,31716.636666666658,167406.66666666666,120789.61,102413.73,46617.05666666666
Turkmenistan,318283.0,253021.66999999998,182400.41,65261.33000000001,318283.0,244917.63,196285.03000000003,73365.37000000001,318283.0,257425.72,187276.97,60857.27999999999,318283.0,249523.95,235753.14,68759.04999999999,318283.0,262005.17,204625.71,56277.829999999994,620479.0,440831.82,384548.03,179647.17999999996,865911.0,708974.33,560935.36,156936.67,1037403.0,775434.4600000001,654830.85,261968.53999999995
Ukraine,1566234.0,1087416.06,896636.31,478817.94,1566234.0,1280346.5,1016443.49,285887.5,1366234.0,1073096.83,985515.3,293137.17,1566234.0,1278455.6099999999,1025641.76,287778.39,2326386.0,2012845.52,1485217.22,313540.48,2283175.0,1937037.7000000002,1590264.6400000001,346137.29999999993,11507039.0,9262590.08,7889805.380000001,2244448.92,31307086.0,27479290.56,22270331.94,3827795.4400000013
