Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Albania,11659371.0,8819784.22,7479962.08,2839586.78,11659371.0,9561477.61,7711969.77,2097893.3899999997,11659371.0,9615368.4,7326883.23,2044002.6,11659371.0,9386742.27,7471234.15,2272628.73,12747336.0,10262527.33,8081871.9799999995,2484808.67,11950100.0,9462204.01,7652898.67,2487895.9899999998,10534676.0,8528513.879999999,7078245.29,2006162.12,9654271.0,7921889.43,5838993.5,1732381.5699999998
Armenia,1559636.0,1082695.59,930489.72,476940.41,1559636.0,1233173.58,997756.3300000001,326462.42000000004,1559636.0,1262949.1,953098.8200000001,296686.9,1559636.0,1263489.59,988871.55,296146.41000000003,1559636.0,1124531.45,969089.7599999999,435104.55000000005,1688823.0,1339883.53,1028182.9099999999,348939.47,1449167.0,1230399.2,1008650.06,218767.80000000005,1211947.0,872925.19,743575.93,339021.81000000006
Azerbaijan,2134509.0,1616052.91,1398144.98,518456.09,2134509.0,1738660.87,1477135.23,395848.13,2134509.0,1620599.54,1202400.52,513909.46,1955112.0,1687817.26,1314708.9100000001,267294.74000000005,2050050.0,1653785.76,1250468.6099999999,396264.24,1995696.0,1618136.92,1297126.14,377559.08,1915369.0,1565266.03,1250252.37,350102.97000000003,1917796.0,1388410.27,1050100.8,529385.73
Belarus,928066.0,802791.38,661776.5700000001,125274.62000000001,928066.0,777937.41,612054.2,150128.59,928066.0,783938.6699999999,640338.5599999999,144127.33000000002,928066.0,727149.67,587312.73,200916.33,928066.0,729299.19,624460.22,198766.81,687066.0,581767.82,496938.38,105298.18000000001,864420.0,625541.69,485019.50999999995,238878.31,1244059.5,943504.36,655727.35,300555.14
Bosnia and Herzegovina,6147457.066666666,4975271.47,3792903.23,1172185.5966666667,6147457.066666666,4630396.75,3944872.09,1517060.3166666667,6147457.066666666,4807763.66,3527469.67,1339693.4066666665,6147457.066666666,5089542.08,4269548.65,1057914.9866666666,6147457.066666666,5483915.16,4445992.53,663541.9066666666,9197494.5,7653912.67,5972024.17,1543581.8299999998,7923692.571428571,6483807.86,4935748.74,1439884.7114285715,9377500.57142857,6721687.81,5398025.56,2655812.7614285713
Georgia,998652.0,860767.3200000001,629481.47,137884.68,998652.0,759632.63,617870.05,239019.37,998652.0,802520.8999999999,690549.0700000001,196131.1,998652.0,797069.03,589798.96,201582.96999999997,998652.0,734846.52,605902.8300000001,263805.48,2027248.0,1507811.21,1376131.02,519436.7899999999,2003772.0,1401549.27,1253700.26,602222.73,2025482.0,1561654.22,1089739.5499999998,463827.78
Kazakhstan,1183865.8461538462,1027891.02,848959.7,155974.82615384614,1183865.8461538462,994612.93,857893.0399999999,189252.91615384613,1183865.8461538462,951251.4500000001,729064.01,232614.39615384612,1183865.8461538462,871356.4,730648.35,312509.4461538461,1183865.8461538462,873716.5800000001,673697.84,310149.26615384617,1137155.3846153845,961211.49,744212.88,175943.8946153846,1210918.3333333333,1014300.96,794293.6,196617.37333333332,1111962.7272727273,937007.9400000001,773299.99,174954.78727272723
Kosovo,9982141.0,7399500.62,5800860.33,2582640.38,9982141.0,8785644.29,7389631.569999999,1196496.71,9982141.0,8447565.66,6707067.01,1534575.3400000003,9982141.0,8391710.56,6893517.949999999,1590430.4400000002,9982141.0,8056238.43,6333995.94,1925902.57,8669534.0,6382228.7,5251491.220000001,2287305.3000000003,7374688.0,6137863.71,5117818.28,1236824.29,7374688.0,6462968.3,5415373.92,911719.6999999997
Kyrgyzstan,3187223.0,2700634.39,2217865.35,486588.61,3187223.0,2434417.2,1823241.15,752805.8,3187223.0,2444500.98,1874197.16,742722.02,3187223.0,2344351.39,1887249.76,842871.61,3187223.0,2565681.41,2020412.1400000001,621541.5900000001,3187223.0,2472470.14,2104996.88,714752.8600000001,3187223.0,2524392.75,2074767.1099999999,662830.25,3696000.0,2921577.39,2560926.12,774422.61
Moldova,6894576.0,5683375.16,4246214.4799999995,1211200.84,6894576.0,5805311.45,4646802.72,1089264.55,6690290.285714285,5273675.58,4294691.89,1416614.7057142858,6683861.714285715,5126817.399999999,3700613.38,1557044.3142857144,6721574.5,5681945.0,4597550.94,1039629.5,7063424.9433962265,5370715.31,4199673.15,1692709.6333962264,7063424.9433962265,5900811.87,4652368.5200000005,1162613.0733962264,7078142.773584906,5270783.16,4475150.86,1807359.6135849054
Montenegro,3289200.646956522,2757722.42,2137496.46,531478.2269565217,3289200.646956522,2465716.82,1896320.0999999999,823483.8269565217,3289200.646956522,2435175.53,1869482.95,854025.1169565218,3289200.646956522,2412356.35,2030067.65,876844.2969565217,3310186.0382608697,2951028.38,2301591.9,359157.6582608696,3984493.8782608695,3262567.53,2583683.89,721926.3482608695,3438998.9217391303,2637085.9,2140324.07,801913.0217391304,3005048.6608695653,2325645.66,1942221.6,679403.0008695653
North Macedonia,2391516.0,1859886.31,1485289.13,531629.6900000001,2391516.0,1986114.94,1628107.05,405401.06,2391516.0,1890755.68,1585583.95,500760.32,2391516.0,1948815.93,1584664.43,442700.06999999995,2391516.0,1960291.6,1490037.48,431224.4,2309109.75,1907418.98,1428445.5999999999,401690.76999999996,2726280.0,2172897.71,1827968.66,553382.29,2629509.0,2154907.27,1845348.51,474601.73
Serbia,1883584.0,1547655.46,1288995.45,335928.54,1883584.0,1658057.68,1244032.75,225526.31999999998,1883584.0,1379381.57,1090933.93,504202.42999999993,1883584.0,1326382.08,1002185.92,557201.9199999999,1883584.0,1597137.74,1121032.22,286446.26000000007,1956522.0,1527374.92,1089607.11,429147.08,1805468.0,1629508.17,1317526.2,175959.83000000002,1361149.0,1049524.21,905012.21,311624.79
Tajikistan,8804977.0,6842155.59,5322199.01,1962821.4100000001,8804977.0,7349931.03,5410646.03,1455045.97,8804977.0,7071717.75,5941719.84,1733259.2499999998,8804977.0,7385310.68,5943280.61,1419666.3199999998,8804977.0,7604039.7700000005,5669788.88,1200937.2300000002,9487113.391304348,7841217.760000001,6689884.11,1645895.6313043477,8744490.782608695,6426968.54,5043052.17,2317522.2426086958,6935348.869565217,5697004.899999999,4139901.2800000003,1238343.9695652176
Turkiye,14239602.0,12156498.020000001,9993360.71,2083103.9799999995,14239602.0,10801567.78,8250145.75,3438034.22,14239602.0,9840150.719999999,7499345.7700000005,4399451.28,14239602.0,11771598.48,9589763.59,2468003.52,14239602.0,11396825.63,9522951.89,2842776.37,13958043.0,12272272.51,9897836.58,1685770.4900000002,13352079.25,11205173.55,9849175.23,2146905.6999999997,13421617.0,10051880.72,8014574.27,3369736.28
Turkmenistan,770375.0,600165.23,492556.39,170209.77,770375.0,633112.78,486864.15,137262.22000000003,820375.0,611702.22,494815.04,208672.77999999997,820375.0,663162.04,559816.0,157212.96000000002,819284.0,663780.19,497524.57,155503.81,873837.9047619047,691490.56,566448.93,182347.34476190477,949410.4285714286,738438.0599999999,624934.0700000001,210972.36857142858,1096250.0952380951,822996.8,656927.29,273253.2952380952
Ukraine,69996535.0,41757704.96,28954049.43,28238830.040000003,69996535.0,50600971.54,45593292.0,19395563.46,69870548.19,62962073.31,51491813.379999995,6908474.880000001,69025446.0,54170108.309999995,40081753.68,14855337.69,68943338.0,48710849.9,33225947.139999997,20232488.099999998,73123528.0,65659626.17,58597720.78,7463901.83,73282903.0,55448598.8,48912861.37,17834304.2,73252987.25,55750553.01,44034461.67,17502434.240000002
Uzbekistan,10483369.81,7885458.07,6621425.81,2597911.7399999998,10483369.81,8442953.99,6454110.48,2040415.82,10567369.81,8206307.57,7038780.03,2361062.24,11333752.295,8400217.219999999,6543266.14,2933535.075,10628570.787916668,8087477.63,6814454.44,2541093.1579166665,9419113.30425532,7539498.6899999995,6100512.86,1879614.6142553193,9162180.82888889,7054042.489999999,5606785.32,2108138.3388888887,7057509.962222222,6067617.22,4384016.48,989892.7422222225
Grand Total,156534656.36977702,110376010.13999999,84302030.30000001,46158646.22977704,156534656.36977702,120659691.27999999,101042744.46,35874965.08977704,156338383.84549132,130407398.28999999,104958234.83,25930985.55549132,156073838.56906274,123763996.74000001,95768302.41000001,32309841.82906275,156527059.23899806,120137917.66999999,90246771.31,36389141.568998046,162715526.056594,138051808.92000002,117077815.28,24663717.136594053,156989162.05996627,122725160.44,103973490.82999998,34264001.619966276,153451269.41018128,118922537.86,93923376.89,34528731.55018131
