Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Albania,1248255.0,866884.55,732181.39,381370.44999999995,1248255.0,942228.27,744038.94,306026.73,1248255.0,974133.99,760145.2,274121.00999999995,1309674.0,1049945.1600000001,782327.41,259728.84,1186836.0,895792.79,758587.8300000001,291043.20999999996,1248255.0,1041498.4,832862.8,206756.6,1248255.0,1009855.78,782481.8,238399.22,1248255.0,922615.33,698152.45,325639.67
Azerbaijan,7730.0,5774.71,3800.38,1955.29,7730.0,5513.21,4654.66,2216.79,7730.0,5530.74,4576.2,2199.26,7730.0,5643.89,4914.68,2086.1099999999997,7730.0,6242.94,5034.99,1487.0600000000004,7730.0,5765.35,4355.71,1964.6499999999996,7730.0,6766.1,5625.98,963.8999999999996,7730.0,6581.12,5310.6,1148.88
Belarus,53333.333333333336,38213.11,30531.62,15120.223333333335,53333.333333333336,46476.84,42534.740000000005,6856.493333333337,53333.333333333336,40650.59,33792.7,12682.743333333336,53333.333333333336,42018.770000000004,31365.18,11314.563333333335,53333.333333333336,43065.19,30594.36,10268.143333333337,53333.333333333336,38846.1,31878.0,14487.233333333337,60000.0,41409.68,36206.65,18590.32,60000.0,45701.020000000004,32197.47,14298.98
Bosnia and Herzegovina,992374.3333333333,730190.8200000001,539102.78,262183.5133333333,992374.3333333333,853697.9099999999,721842.27,138676.42333333334,992374.3333333333,882139.88,715695.69,110234.45333333334,992374.3333333333,830681.42,676051.62,161692.9133333333,1270438.28,943844.8,698096.56,326593.48000000004,996070.83,765775.21,629377.0,230295.62,536463.05,440445.43,373526.18,96017.62,1132943.68,978949.02,822100.1599999999,153994.66000000003
Kazakhstan,597750.0,526086.34,419380.98,71663.66,597750.0,441820.09,316521.05,155929.90999999997,597750.0,399288.3,366179.12,198461.7,597750.0,489168.92,445097.86,108581.08000000002,597750.0,421642.47,371319.95999999996,176107.53000000003,388000.0,329833.29,235360.46999999997,58166.71000000001,1005000.0,743763.63,507934.83999999997,261236.37000000002,610000.0,408746.19999999995,343753.26,201253.80000000002
Kosovo,2624194.0,2197991.6100000003,1587371.98,426202.3899999999,2624194.0,2254268.7,1827030.9100000001,369925.29999999993,2624194.0,1845469.1600000001,1597640.58,778724.84,2624194.0,2120733.75,1993096.9300000002,503460.2500000001,2624194.0,2064150.87,1882764.88,560043.1299999999,2972006.25,2550946.97,2131298.99,421059.2799999998,2481131.99,2004109.21,1606671.22,477022.77999999997,2653444.0342857144,2383243.8899999997,1932832.85,270200.1442857144
Kyrgyzstan,2020200.0,1334870.17,1091192.95,685329.8299999998,2020200.0,1404823.89,1223289.04,615376.1099999999,2020200.0,1380558.12,1079107.07,639641.8799999999,2020200.0,1410327.95,864384.23,609872.0499999999,2020200.0,1465475.03,1317853.48,554724.97,2020200.0,1567149.19,1258141.01,453050.8099999998,1515000.0,1137535.06,881752.02,377464.94000000006,2165600.0,1838086.1400000001,1235798.8900000001,327513.86
Moldova,1055000.0,807063.1799999999,677711.6,247936.82000000004,1055000.0,783755.3200000001,622564.8500000001,271244.67999999993,1055000.0,663256.5800000001,457468.95999999996,391743.42,1055000.0,674216.0800000001,567155.93,380783.9199999999,1055000.0,945930.89,796003.87,109069.10999999999,1055000.0,881391.12,636461.08,173608.88,1055000.0,874852.87,689599.1900000001,180147.13,1055000.0,781978.14,586453.4600000001,273021.86
Montenegro,1222374.0933333333,899645.23,805156.5,322728.8633333333,1517532.0606666666,1233876.13,1065344.56,283655.9306666667,1334976.3933333333,1058264.79,790527.83,276711.60333333333,1562107.3399999999,1369470.96,1053003.5,192636.37999999995,1320643.34,943806.55,774434.34,376836.79,2734699.04,2251474.75,1725200.0899999999,483224.29,1202396.337888889,905463.0299999999,760490.14,296933.3078888889,1545093.627888889,1298181.77,1103626.09,246911.857888889
North Macedonia,1131641.3333333333,860514.99,622979.37,271126.3433333333,1131641.3333333333,923280.48,671044.5199999999,208360.85333333333,1131641.3333333333,767990.01,652489.86,363651.3233333333,1131641.3333333333,844981.91,630615.72,286659.4233333333,1159916.6666666667,997695.93,846980.04,162220.73666666666,1124916.6666666667,945716.71,659784.59,179199.95666666667,1029775.0,776268.19,676263.85,253506.81000000006,1074520.6666666665,951993.88,703991.76,122526.7866666666
Serbia,176106.25,127377.19,92754.68,48729.06,176106.25,145279.14,134197.25,30827.109999999986,176106.25,123654.95,90805.27,52451.3,176106.25,167300.94,128164.01,8805.309999999998,159642.0,133199.61,112905.76,26442.390000000014,197446.0,163174.81,112731.1,34271.19,210306.0,183625.14,140487.36,26680.859999999986,137031.0,113269.48,88128.04,23761.520000000004
Tajikistan,2292772.5,1975661.06,1828760.7,317111.4399999999,2292772.5,1767015.49,1472317.6400000001,525757.01,2292772.5,1995393.54,1486403.81,297378.9599999999,2292772.5,2009699.8199999998,1764119.23,283072.68000000005,2352735.0,1844590.37,1589858.92,508144.6299999999,2232810.0,1703743.6199999999,1371579.53,529066.3800000001,3019772.5,2349850.04,2135270.0100000002,669922.4600000002,1565772.5,1282117.64,958085.82,283654.86000000004
Turkmenistan,81805.0,57522.619999999995,44306.53,24282.38,81805.0,74595.91,60075.8,7209.0899999999965,81805.0,65794.49,53849.729999999996,16010.509999999998,81805.0,58764.97,41880.85,23040.030000000002,93610.0,77972.87,69791.94,15637.130000000001,52805.0,38886.14,29622.36,13918.86,66805.0,52114.19,44264.85,14690.809999999998,19000.0,16784.96,14926.0,2215.039999999999
Ukraine,4501001.666666666,3599208.96,2930964.84,901792.7066666665,4499001.666666666,3459443.62,3042657.02,1039558.0466666665,4499001.666666666,3256229.0100000002,2677562.8099999996,1242772.6566666665,4499001.666666666,3720246.98,2785784.56,778754.6866666664,4504001.666666666,3547584.65,2854303.62,956417.0166666664,3837335.0,2849867.62,2141315.13,987467.38,3584335.0,2984771.93,2575904.78,599563.0700000001,6084335.0,4838127.2299999995,3611306.0,1246207.77
Uzbekistan,2911540.5,2266751.79,1725791.8900000001,644788.71,2911540.5,2405291.68,1995723.7000000002,506248.82,2875081.0,2564865.09,1989960.9000000001,310215.91000000003,2948000.0,2217955.93,1619192.1300000001,730044.0700000001,2874505.77,2189489.8299999996,1727797.35,685015.9400000002,2980069.19,2446859.37,1865690.62,533209.82,2930040.5,2383124.37,2004350.49,546916.1300000001,2811163.55,2048770.17,1663051.8,762393.3800000001
Grand Total,20916078.009999998,16293756.329999998,13131988.19,4622321.68,21209235.977333333,16741366.68,13943836.95,4467869.297333333,20990220.81,16023219.24,12756205.730000002,4967001.569999999,21351689.756666668,17011157.450000003,13387153.84,4340532.306666667,21280536.056666665,16520484.789999997,13836327.899999997,4760051.266666667,21900676.31,17580928.650000002,13665658.48,4319747.659999999,19952010.377888888,15893954.649999999,13220829.36,4058055.7278888896,22169889.05884127,17915145.990000002,13799714.65,4254743.06884127
