Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Albania,2736859.5,2200708.1,1737718.51,536151.4,2736859.5,2248636.13,1693278.26,488223.3700000001,2736859.5,2170258.36,1852979.88,566601.14,2529748.0,2154212.86,1690504.08,375535.14,2943971.0,2347319.3899999997,1786030.89,596651.6100000001,2736859.5,2155964.7199999997,1671044.48,580894.78,2736859.5,2145544.55,1843150.94,591314.95,2736859.5,2258338.15,1819741.84,478521.3499999999
Armenia,6033214.65,4717048.15,3648714.14,1316166.4999999998,6033214.65,4568439.3,3918941.0100000002,1464775.35,6033214.65,4679791.899999999,3467763.7199999997,1353422.7500000002,6033214.65,4820412.58,4025986.86,1212802.0700000003,3836991.0,3303416.93,2697548.18,533574.07,7143706.0,6423476.66,4661745.81,720229.3400000002,4867029.0,3927310.0,3065124.84,939719.0,8517619.0,6239558.56,4398700.88,2278060.4400000004
Azerbaijan,2360189.0,1848435.02,1492213.1099999999,511753.98,2360189.0,1861628.82,1474640.48,498560.18,2510189.0,1889945.59,1512160.15,620243.4099999999,2210189.0,1829660.05,1357900.7,380528.95,2271619.6466666665,1895346.21,1318712.31,376273.43666666676,2295603.6666666665,1789082.37,1498345.13,506521.2966666667,2420462.13,1988773.4,1600206.98,431688.73000000004,2337722.16,1869156.86,1583914.6600000001,468565.3
Belarus,239744.5,173269.61,145367.78,66474.89,239744.5,204315.25,164988.69,35429.25,239744.5,178039.16,140315.91999999998,61705.34,239744.5,179594.09,152748.94,60150.409999999996,220131.0,166679.5,135187.07,53451.5,344000.0,255479.43000000002,222577.12,88520.56999999999,191716.0,137235.56,105667.13,54480.439999999995,202881.0,162770.13,109297.45999999999,40110.869999999995
Bosnia and Herzegovina,729126.0,601642.1,455893.97,127483.9,729126.0,611391.04,552763.5,117734.95999999998,729126.0,564857.48,464063.61,164268.52000000002,729126.0,522045.77,401974.66,207080.22999999998,729126.0,499689.72000000003,396499.27,229436.28,729126.0,642163.0700000001,495148.61,86962.93000000002,729126.0,549299.67,455472.15,179826.33000000002,645626.0,468736.35,357248.68,176889.65
Georgia,4543362.75,3428334.64,2506178.97,1115028.1099999999,4543362.75,4041129.88,3500266.68,502232.87000000005,4543362.75,3693139.07,3255224.98,850223.6799999999,4543362.75,3291054.07,2567723.5300000003,1252308.6800000002,7591595.66,5444355.89,4297510.24,2147239.77,1674037.95,1482288.8800000001,1267021.82,191749.06999999998,2242106.46,1800974.8900000001,1505788.78,441131.56999999995,4094091.09,3468513.54,2423367.6799999997,625577.55
Kazakhstan,2362665.4166666665,1927713.6300000001,1401475.6700000002,434951.7866666667,2362665.4166666665,2097529.85,1716363.71,265135.5666666666,2362665.4166666665,1643621.88,1192313.8499999999,719043.5366666667,2362665.4166666665,2090035.67,1849159.71,272629.74666666676,2397512.1666666665,1894030.88,1380269.62,503481.2866666667,2298554.1666666665,1647491.57,1175828.1600000001,651062.5966666667,2349502.5,1892420.06,1626159.8800000001,457082.43999999994,1178989.0,970256.18,871947.85,208732.81999999998
Kosovo,3822000.0,3630900.0,2789860.87,191100.0,3822000.0,3364356.76,2836865.94,457643.2400000002,3822000.0,2742587.4,2037741.39,1079412.6,3822000.0,2704979.89,1856411.91,1117020.1099999999,3822000.0,2605051.56,2211319.67,1216948.44,3822000.0,2675893.73,2196962.98,1146106.27,3822000.0,2959157.64,2219564.48,862842.3599999999,3822000.0,2625770.97,1967205.23,1196229.0299999998
Kyrgyzstan,15647385.333333334,12189910.88,9518794.61,3457474.453333333,15647385.333333334,13477558.74,9677015.64,2169826.5933333333,15647385.333333334,12346601.44,9972444.09,3300783.893333334,15647385.333333334,12679670.91,10643604.7,2967714.4233333333,15647385.333333334,11903285.16,9652781.57,3744100.1733333333,15647385.333333334,13615914.29,10850534.82,2031471.0433333337,16947647.5,13697591.83,10831245.190000001,3250055.67,13960857.5,11379150.280000001,9265890.430000002,2581707.22
Moldova,2173263.0,2007632.02,1659325.2600000002,165630.9799999999,2173263.0,1895800.96,1507678.2399999998,277462.04,2173263.0,1687036.87,1389898.9,486226.13,2173263.0,1569595.96,1238345.7,603667.04,2173263.0,1517690.11,1111362.46,655572.8899999999,2173263.0,1785487.3800000001,1439428.8699999999,387775.62,2152945.55,1788511.96,1376241.34,364433.5900000001,2167965.62,1738235.49,1430500.5999999999,429730.13
