Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Albania,1666682.0,1353566.95,1075392.99,313115.04999999993,1666682.0,1248914.22,902706.04,417767.78,1666682.0,1441529.44,1261925.18,225152.56,1662500.0,1262203.31,936765.59,400296.69000000006,1670864.0,1306015.66,1117297.65,364848.33999999997,1407541.1400000001,1277783.24,915299.26,129757.90000000002,2060726.907142857,1491205.0799999998,1112902.48,569521.8271428571,1269961.61125,1114474.35,920796.62,155487.26124999998
Armenia,29500.0,22025.66,20096.39,7474.34,29500.0,25335.93,19823.62,4164.07,29500.0,25680.93,17430.49,3819.0699999999997,29500.0,18877.14,16641.04,10622.86,29500.0,24609.27,17100.81,4890.73,29500.0,23825.95,20266.29,5674.049999999999,29500.0,19884.05,17659.61,9615.95,29000.0,22058.6,15006.86,6941.4000000000015
Azerbaijan,1019481.1666666667,743614.14,663328.72,275867.0266666667,1019481.1666666667,800550.23,564656.7,218930.93666666665,1019481.1666666667,717182.62,574716.99,302298.54666666663,1019481.1666666667,714853.0,536566.12,304628.1666666667,969481.1666666666,843541.2200000001,580610.78,125939.94666666666,1070539.1666666667,853839.6599999999,635864.0299999999,216699.50666666668,1017756.5,802862.8600000001,715281.55,214893.63999999996,1036412.0,768098.31,682552.51,268313.69
Belarus,4665770.0,4266020.489999999,3753112.6999999997,399749.5100000001,4665770.0,4004430.47,3450329.1,661339.5299999998,4665770.0,3437760.8299999996,2473073.8800000004,1228009.17,4665770.0,3671941.71,2462673.4899999998,993828.2899999998,4665770.0,3787341.2800000003,3544902.6099999994,878428.7199999999,4674520.0,3915723.16,3383428.1700000004,758796.84,4659520.0,3025162.83,2493021.08,1634357.17,4303995.0,3627296.25,2973046.91,676698.7499999999
Bosnia and Herzegovina,7339298.333333334,6025045.33,5292475.73,1314253.0033333334,7339298.333333334,5307267.46,3647290.69,2032030.8733333333,7339298.333333334,5663029.899999999,4108969.55,1676268.4333333336,7339298.333333334,6488890.86,5099292.92,850407.4733333332,7345085.333333334,5184508.880000001,3960619.84,2160576.453333333,7333511.333333334,5501209.42,4430581.859999999,1832301.913333333,6860011.0,5479788.49,5115846.28,1380222.5099999998,7878942.0,6659304.73,5631129.84,1219637.27
Georgia,53300.0,38637.05,33135.25,14662.95,53300.0,38088.68,35401.58,15211.32,53300.0,37392.6,30769.3,15907.4,53300.0,42699.979999999996,34950.08,10600.02,68800.0,48560.43,34705.41,20239.57,37800.0,25033.769999999997,22401.75,12766.230000000001,53300.0,37633.42,27894.86,15666.579999999998,53300.0,43118.74,30320.260000000002,10181.260000000002
Kazakhstan,685681.6666666666,485777.64,418538.49,199904.02666666664,685681.6666666666,581414.54,406426.54000000004,104267.12666666665,685681.6666666666,602404.18,434680.61,83277.48666666665,685681.6666666666,596324.9,497801.1400000001,89356.76666666668,593700.6666666666,436198.15,324192.14,157502.51666666666,844588.0266666667,604319.76,479996.87,240268.26666666666,328583.16000000003,285582.45,232528.55,43000.71,449850.19,363357.92,303033.12,86492.27
Kosovo,158303.0,116912.69,96696.9,41390.31,158303.0,137068.75,98329.23,21234.25,158303.0,127535.97,90773.18,30767.03,158303.0,139614.96,129349.73,18688.040000000008,158303.0,128604.16,106646.33,29698.839999999997,158303.0,142919.11,114502.34,15383.890000000014,158303.0,105531.04,87061.48,52771.96000000001,158303.0,130016.47,110016.86,28286.53
Kyrgyzstan,1109848.8333333333,928077.02,661356.76,181771.81333333335,1109848.8333333333,931663.5,703080.26,178185.33333333334,1109848.8333333333,939480.5599999999,836357.36,170368.27333333337,1109848.8333333333,944384.76,710237.03,165464.07333333336,1109848.8333333333,977493.39,855012.13,132355.44333333333,1109848.8333333333,975920.67,776318.61,133928.16333333333,966062.5,757245.5700000001,601727.0,208816.93,1562188.0,1242883.27,983482.94,319304.73000000004
Moldova,2812628.5,2323999.94,2055113.75,488628.56000000006,2812628.5,2308820.25,3475803.22,503808.24999999994,2812628.5,2421440.21,2003529.38,391188.29,2812628.5,2458057.69,1920962.21,354570.80999999994,2812628.5,3166430.55,2777590.88,647902.9500000001,2812628.5,2496818.7,2113450.42,315809.79999999993,1817619.0,1459076.3,1294634.22,358542.70000000007,2812628.5,2377493.11,2017133.58,435135.39
