Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Argentina,41642512.71428572,33650149.72,28128266.87,7992362.994285714,41642512.71428572,30400202.42,24692524.52,11242310.294285715,41642512.71428572,34061733.08,26881366.15,7580779.6342857145,41642512.71428572,33736197.620000005,25101758.95,7906315.094285715,41642512.71428572,35450271.62,28113247.54,6192241.094285715,115450538.14285713,91506238.65,71626982.25999999,23944299.492857143,65316763.28571428,55700725.47,47584410.57,9616037.815714285,44424273.85714286,36210969.1,30872757.85,8213304.757142855
Bolivia,228513.0,185709.51,150544.94,42803.490000000005,228513.0,209730.47,170615.71,18782.53,228513.0,167016.28,131484.37,61496.719999999994,228513.0,190743.81,140588.51,37769.19,228513.0,192441.74,157681.18,36071.259999999995,228513.0,170903.4,133044.09,57609.6,228513.0,188919.22,152806.61,39593.78,450718.0,390273.69,304769.36,60444.31
Brazil,4366783.0,3624070.88,3072603.75,742712.1199999999,4366783.0,3656516.1,2979926.38,710266.8999999999,4366783.0,3642307.64,3001865.89,724475.3599999999,4366783.0,3347920.8200000003,2479413.4499999997,1018862.1799999998,4366783.0,3348023.0599999996,2771293.08,1018759.9400000002,4340499.0,3269395.0,2465877.43,1071104.0,4318699.0,3528839.8899999997,2736778.3200000003,789859.11,4733296.0,3910370.4099999997,3288831.62,822925.5900000002
Chile,2430164.6,1938008.93,1617821.6,492155.67,2430164.6,1869738.05,1528942.11,560426.55,2430164.6,1892099.65,1492593.81,538064.95,2430164.6,1982302.1199999999,1566920.01,447862.48,2430164.6,1887454.98,1538930.59,542709.62,2430164.6,1946440.59,1653333.66,483724.00999999995,2430164.6,1937374.6099999999,1577995.77,492789.99,2138522.2,1687725.36,1404370.87,450796.83999999997
Colombia,175842.0,134171.56,100407.93,41670.44,175842.0,147597.88,127122.06,28244.120000000006,175842.0,139325.96000000002,118288.39,36516.03999999999,175842.0,152549.44,130529.71,23292.559999999998,192715.0,161989.74,131366.15,30725.26,1279221.0,863116.17,645005.24,416104.82999999996,1279221.0,941977.36,690690.7499999999,337243.64,1279221.0,990921.6399999999,749279.76,288299.36000000004
Costa Rica,4275216.666666667,3244649.0300000003,2794719.29,1030567.6366666667,4275216.666666667,3178808.4899999998,2622950.3800000004,1096408.1766666668,4275216.666666667,3670087.31,2631534.62,605129.3566666668,4271883.333333333,3529388.32,2817015.91,742495.0133333334,4863685.555555556,3751067.69,2612871.69,1112617.8655555558,4879796.666666667,4118253.28,3389578.8499999996,761543.3866666666,5007574.444444444,3922564.3000000003,3206053.02,1085010.1444444442,5140233.333333333,4097575.68,3156324.05,1042657.6533333334
Cuba,1600592.0,1422072.65,1019363.1200000001,178519.35000000003,1600592.0,1278515.54,1021728.2799999999,322076.46,1600592.0,1438160.2,1070734.19,162431.80000000002,1600592.0,1308108.0999999999,993754.03,292483.9,2175804.0,1765101.84,1355326.81,410702.16,2294418.0,2049187.6500000001,1541040.22,245230.34999999998,3864970.0,3023978.11,2431644.58,840991.8900000001,2442879.0,1968485.8599999999,1613580.35,474393.1400000001
Dominican Republic,2400672.0,1883147.6099999999,1440043.96,517524.38999999996,2400672.0,1878603.4699999997,1476077.69,522068.53000000014,2298001.8285714285,1638555.54,1319237.4,659446.2885714285,2658426.2857142854,2152224.59,1751777.54,506201.69571428566,2194084.5714285714,1673073.3599999999,1400782.0799999998,521011.21142857143,2116004.5714285714,1295648.6800000002,1122448.93,820355.8914285714,1726382.857142857,1342041.24,1109084.45,384341.617142857,1720668.5714285714,1325877.8,1121605.92,394790.7714285714
Ecuador,9657667.636363637,7442298.59,5519557.180000001,2215369.046363637,9657667.636363637,8575441.260000002,7318355.2,1082226.376363636,9657667.636363637,7244711.5600000005,5959674.11,2412956.0763636366,9657667.636363637,8297964.29,6039180.33,1359703.3463636367,9657667.636363637,7659460.63,5437963.9,1998207.0063636363,9657667.636363637,8349514.03,6562802.76,1308153.6063636367,14687388.0,11351865.67,9055678.17,3335522.33,3165033.0,2486124.46,2028501.15,678908.54
El Salvador,2109807.0,1503665.1400000001,1066969.17,606141.86,2109807.0,1738310.4,1550764.8,371496.60000000003,2109807.0,1756979.4400000002,1378027.48,352827.55999999994,2109807.0,1725763.0,1174537.83,384044.0,2109807.0,1733560.81,1290547.01,376246.19,2109807.0,1883440.2899999998,1612680.16,226366.71000000008,2089717.0,1638388.45,1308274.19,451328.55,2363701.7142857146,1790875.41,1310112.45,572826.3042857143
