Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12212576.0,21181538.0,14707212.0,-8968962.0,23409179.0,23918815.0,17182605.0,-515679.0,32523333.0,32523333.0,28528127.0,0.0,28085961.0,27849941.0,27620468.0,236020.0
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,800000.0,800000.0,0.0,238000.0,238000.0,238000.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90100.0,90100.0,90100.0,0.0,147597.0,147597.0,147597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145386.0,145386.0,145386.0,0.0,19007.0,19007.0,19007.0,0.0
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4092181.0,4092181.0,0.0,9524179.0,1547870.0,1325819.0,7976309.0,0.0,0.0,0.0,0.0
El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2151463.0,2201635.0,2163159.0,-50172.0,5888372.0,5888830.0,5827873.0,-458.0,9001456.0,9001456.0,7052740.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29809290.0,5688180.0,3922925.0,24121110.0,39044035.0,10275427.0,4275427.0,28768608.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136206.0,130000.0,0.0,0.0,450000.0,0.0,0.0,400000.0,1050000.0,0.0,0.0,550000.0,1805594.0,506564.0,491367.0,1299030.0,3430157.0,2024364.0,1854439.0,1405793.0
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116572314.0,78958707.0,36754861.0,37613607.0,36570402.0,36570402.0,36570402.0,0.0
the Caribbean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5443812.0,5100571.0,2765290.37,343241.0,3979676.0,1903647.0,530225.0,2076029.0,4748845.0,4788285.0,907335.0,-39440.0,5142473.0,4705075.0,2944272.0,1337398.0,3238850.0,2207721.0,1955248.0,1031129.0,4140814.0,2809513.0,1405327.0,1331301.0
Grand Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5443812.0,5100571.0,2765290.37,343241.0,5115882.0,2033647.0,530225.0,2076029.0,17501521.0,26059923.0,15704647.0,-8608402.0,32700712.0,35865303.0,27329814.0,1321547.0,199745318.0,127704591.0,79189606.0,72040727.0,120291832.0,88550110.0,78797810.0,31741722.0
