Country,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Argentina,949216.0,791988.22,520423.95999999996,157227.78,949216.0,731469.7000000001,550343.5,217746.29999999996,949216.0,819598.6,713816.49,129617.40000000002,949216.0,732114.8999999999,655989.4199999999,217101.10000000003,781705.0,634856.64,429175.87,146848.36,776654.0,666645.1499999999,530713.81,110008.85000000003,979559.0,864440.35,575154.07,115118.65000000002
Brazil,5474585.0,4184491.63,3409369.05,1290093.3699999999,5474585.0,4683469.03,3736396.95,791115.97,5474585.0,4049254.7,3417570.47,1425330.3,5474585.0,4070148.4,3381016.89,1404436.6,7069045.0,5758558.54,5057404.08,1310486.46,5411433.0,4384024.8,3632475.54,1027408.2,4944922.0,3822914.57,3051037.08,1122007.43
Chile,250000.0,189468.53,147616.92,60531.47,250000.0,220923.14,184482.58,29076.859999999986,250000.0,199909.33,162707.85,50090.67000000001,250000.0,174114.22,140579.39,75885.78,250000.0,208039.26,152146.42,41960.73999999999,250000.0,221498.13,200970.84,28501.869999999995,250000.0,234146.05,206184.57,15853.950000000012
Costa Rica,25000.0,19762.25,18774.14,5237.75,25000.0,20549.2,16797.49,4450.799999999999,25000.0,19685.35,13616.01,5314.6500000000015,81000.0,63944.58,58749.48,17055.42,45000.0,34094.02,24038.82,10905.980000000003,45000.0,34706.65,28168.54,10293.349999999999,45000.0,38732.59,28599.5,6267.4100000000035
Dominican Republic,177872.0,137204.83,117348.89,40667.170000000006,177872.0,155886.33,130671.93,21985.670000000006,177872.0,152535.84,119659.37000000001,25336.160000000003,177872.0,120175.38,99972.37,57696.619999999995,177872.0,139109.98,119563.75,38762.02,177872.0,145730.7,112875.73000000001,32141.3,454419.0,408759.72,377668.37,45659.28
El Salvador,100000.0,91303.47,70533.98,8696.529999999999,100000.0,74319.38,59081.22,25680.619999999995,100000.0,79787.99,72592.08,20212.009999999995,100000.0,74299.91,61471.82,25700.089999999997,100000.0,79062.86,60287.03,20937.14,85000.0,76943.02,68831.38,8056.979999999996,85000.0,70041.18,50943.46,14958.820000000007
Haiti,13003631.0,10155288.84,8356278.550000001,2848342.16,13003631.0,9642173.46,8206579.9399999995,3361457.54,13003631.0,11153885.95,8758198.459999999,1849745.0500000003,13003631.0,11182783.2,8617628.37,1820847.7999999998,13003631.0,9097809.98,7447168.15,3905821.0200000005,13003631.0,11615858.350000001,9489685.56,1387772.65,9553631.0,7592970.289999999,5642245.0,1960660.7100000002
Mexico,372423.0,246872.11,185454.82,125550.89000000001,372423.0,241391.15,194200.69,131031.85,372423.0,293082.72,240425.57,79340.28,342289.0,307217.01,279061.19,35071.98999999998,388659.0,300193.16,210158.00999999998,88465.84,363526.0,311399.19,229485.87,52126.81000000001,300543.0,224102.51,155865.24,76440.49
Panama,169963.0,161464.85,129377.71,8498.149999999994,169963.0,161464.85,123337.63,8498.149999999994,169963.0,157263.4,117948.98,12699.600000000006,169963.0,133889.37,92886.47,36073.630000000005,169963.0,134339.14,113520.14,35623.859999999986,169963.0,143768.92,106183.23,26194.079999999987,45605.0,34993.12,27037.55,10611.879999999997
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the Caribbean,3566622.7297297297,2852950.54,2173844.33,713672.1897297298,3566622.7297297297,2971373.9699999997,2359664.26,595248.7597297297,4180731.486486486,3269315.9899999998,2563449.35,911415.4964864865,3558083.8378378376,2773248.64,2385620.97,784835.1978378379,3558083.8378378376,2849173.16,2095272.5,708910.6778378378,5350372.083333333,4597580.07,4007563.2800000003,752792.0133333334,4180079.5833333335,3187783.0,2674804.0500000003,992296.5833333335
Grand Total,24089312.72972973,18830795.27,15129022.350000001,5258517.45972973,24089312.72972973,18903020.21,15561556.190000001,5186292.519729731,24703421.486486487,20194319.869999997,16179984.629999999,4509101.616486487,24106639.837837838,19631935.61,15772976.37,4474704.227837837,25543958.837837838,19235236.740000002,15708734.770000001,6308722.097837838,25633451.083333332,22198154.980000004,18406953.78,3435296.1033333335,20838758.583333332,16478883.379999997,12789538.89,4359875.203333333
