Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Argentina,87000.0,81718.55,76690.05,5281.449999999997,87000.0,62257.06,46737.0,24742.940000000002,87000.0,67991.76,45653.78,19008.240000000005,87000.0,60216.97,47074.42,26783.03,87000.0,67413.76,56895.48,19586.240000000005,8000.0,5509.91,5209.19,2490.09,11554.5,10432.0,8217.61,1122.5,100000.0,60154.34,52514.0,39845.66
Bolivia,1317000.0,1022608.3,942291.7000000001,294391.69999999995,1317000.0,1222732.91,796264.74,94267.08999999997,1317000.0,1068040.74,867894.1,248959.25999999992,1317000.0,1134151.08,817242.22,182848.91999999995,1317000.0,1134760.27,780425.3300000001,182239.7300000001,1317000.0,937826.69,587745.37,379173.31000000006,1317000.0,1082831.15,1006050.18,234168.85000000006,2614000.0,2051175.58,1668695.79,562824.42
Brazil,120000.0,86451.37,68668.46,33548.630000000005,120000.0,97770.62,77644.83,22229.380000000005,120000.0,101636.62,67987.33,18363.380000000005,120000.0,89028.38,84519.21,30971.619999999995,120000.0,75406.42,47703.84,44593.58,120000.0,77912.01,68410.71,42087.990000000005,120000.0,99910.36,71469.14,20089.64,120000.0,83152.49,65079.66,36847.509999999995
Chile,105829.33333333333,93994.93999999999,74774.72,11834.39333333333,105829.33333333333,70795.71,48027.43,35033.62333333333,105829.33333333333,90756.38,67323.48000000001,15072.953333333327,105829.33333333333,75215.78,55506.450000000004,30613.553333333333,105829.33333333333,92053.19,73749.74,13776.14333333333,105829.33333333333,75651.36,56731.899999999994,30177.97333333332,105829.33333333333,88704.44,60597.78,17124.893333333333,105829.33333333333,90783.04000000001,65374.729999999996,15046.293333333326
Colombia,4738293.0,3493295.63,2808840.04,1244997.37,4738293.0,3624543.57,2880333.3,1113749.4300000002,4738293.0,3790273.41,3052097.01,948019.5900000001,4738293.0,3384812.84,2476340.92,1353480.1600000001,6090458.0,4627962.72,3104781.06,1462495.2800000003,3541704.0,2708189.06,2387859.2,833514.94,3541703.0,2407646.47,2086193.83,1134056.53,3541703.0,2839629.53,2138712.85,702073.4700000001
Costa Rica,493188.0,333555.03,248501.49,159632.97,493188.0,419987.18,372669.38,73200.82,493188.0,331713.65,274927.36,161474.35,493188.0,392343.91,300234.57,100844.09000000001,493188.0,351486.38,262039.94,141701.62,643188.0,524149.52,347284.06,119038.47999999998,474889.5,339448.19,237840.71,135441.31,471024.0,393363.93000000005,291528.63,77660.06999999998
Cuba,70000.0,49871.17,43471.49,20128.83,70000.0,64464.39,52915.53,5535.610000000001,70000.0,52125.37,48120.88,17874.629999999997,70000.0,45015.61,31501.94,24984.39,70000.0,61634.59,55796.95,8365.410000000003,56000.0,47882.13,41848.87,8117.870000000003,14000.0,11861.24,7270.09,2138.76,59361.76,53049.5,39840.82,6312.260000000002
Dominican Republic,21909211.0,13893771.399999999,10882302.0,8015439.600000001,21909211.0,16084056.909999998,12705959.42,5825154.09,21909211.0,15411099.230000002,10701349.38,6498111.77,21909211.0,17342988.14,14428197.23,4566222.859999999,21909211.0,15524185.61,13161756.1,6385025.390000001,21904197.0,15856852.21,12645912.52,6047344.79,16163664.0,11466238.26,8831187.5,4697425.740000001,16163664.0,10098552.1,7696413.569999999,6065111.9
Ecuador,1388006.0,986099.12,642443.14,401906.88,1388006.0,1052271.25,677075.1,335734.75000000006,1388006.0,1234037.15,932643.58,153968.84999999995,1388006.0,1291731.69,1172178.87,96274.31000000006,1388006.0,938459.2200000001,719699.5,449546.77999999997,1388006.0,1157747.47,811708.45,230258.53000000003,842121.0,757475.89,644230.14,84645.10999999997,615187.0,460528.64999999997,349972.12,154658.35000000003
El Salvador,582406.0,385873.56999999995,290301.78,196532.43000000002,582406.0,406712.15,341762.51,175693.84999999998,582406.0,496470.22,355668.51,85935.78,582406.0,386443.12,336192.34,195962.87999999998,582406.0,510106.27,480777.65,72299.72999999998,582406.0,499417.69999999995,347483.81,82988.30000000002,582406.0,426507.7,371658.80000000005,155898.3,582406.0,380795.80000000005,341365.83,201610.19999999998
