Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Argentina,754637.0,611301.28,434954.32,143335.71999999997,754637.0,620498.16,456267.48,134138.83999999997,754637.0,586312.85,517246.76,168324.15000000002,754637.0,637681.22,577281.99,116955.78000000003,651865.0,775849.96,420799.2,173366.03999999998,737130.0,590327.96,484046.45,196361.04000000004,727095.0,685445.8,594436.97,41649.19999999995,930000.0,777021.99,589964.82,152978.01
Brazil,5154255.833333333,4071678.29,3339966.84,1082577.5433333335,5154255.833333333,4420178.47,3298787.56,734077.3633333332,5154255.833333333,4137674.04,3558328.25,1016581.7933333333,5154255.833333333,4131329.37,3307917.04,1022926.4633333333,4442437.833333333,3285633.37,2713793.15,1156804.4633333334,5866073.833333333,4626887.99,3787135.31,1239185.8433333333,5507994.5,4457211.5,3359313.59,1050782.9999999998,4697295.0,3794694.32,2896186.16,902600.68
Chile,250000.0,218629.42,197901.62,31370.579999999987,250000.0,233127.88,213746.95,16872.119999999995,250000.0,208264.65,171182.52,41735.350000000006,250000.0,180500.75,153367.08,69499.25,250000.0,183740.83,163028.55,66259.17000000001,250000.0,182309.97,171542.79,67690.03,250000.0,187554.46,164783.3,62445.54000000001,250000.0,167721.78,123007.52,82278.22
Costa Rica,50333.333333333336,34904.22,26216.3,15429.113333333335,50333.333333333336,45692.52,40530.52,4640.813333333339,50333.333333333336,40518.53,29663.57,9814.803333333337,25000.0,23750.0,19693.41,1250.0,81000.0,75310.14,63102.3,5689.860000000001,45000.0,33234.01,23547.54,11765.989999999998,50333.333333333336,38894.67,33228.34,11438.663333333338,50333.333333333336,40456.19,34193.89,9877.143333333333
Dominican Republic,327252.6666666667,289153.61,270261.94,38099.05666666667,327252.6666666667,266583.67000000004,225905.02,60668.99666666665,327252.6666666667,256944.82,238285.45,70307.84666666666,327252.6666666667,300874.28,246972.5,26378.386666666665,327252.6666666667,264140.23,223028.31,63112.436666666654,327252.6666666667,249474.62,195922.61000000002,77778.04666666666,177872.0,154357.80000000002,127203.03,23514.199999999993,454419.0,347337.43999999994,288094.89,107081.56000000003
El Salvador,92500.0,65766.44,61787.59,26733.559999999998,92500.0,69710.96,59410.85,22789.039999999994,92500.0,64326.55,56714.77,28173.449999999997,92500.0,79092.96,58339.86,13407.039999999994,92500.0,68064.46,57339.67,24435.539999999994,100000.0,81695.34,67140.31,18304.660000000003,85000.0,75657.02,69117.76,9342.979999999996,92500.0,78593.35,56756.27,13906.649999999994
Haiti,5903631.0,5306429.04,4375226.05,597201.96,5903631.0,4402225.58,3555311.82,1501405.42,5903631.0,5044617.32,3864431.41,859013.6799999997,5903631.0,4801072.64,3925859.96,1102558.3600000003,5903631.0,4982769.62,4135079.86,920861.3799999999,5903631.0,5030004.67,4473470.07,873626.3300000001,5903631.0,3764286.25,2948140.95,2139344.75,5903631.0,4893231.26,3847908.72,1010399.7400000002
Mexico,227121.58333333337,194082.17,140848.82,33039.41333333337,227121.58333333337,183663.64,136792.21,43457.943333333365,227121.58333333337,169120.14,146882.66,58001.44333333336,232820.33333333337,201328.15,164232.24,31492.18333333338,202686.33333333337,172579.35,163453.87,30106.983333333363,249056.33333333337,206858.9,154810.57,42197.433333333385,313526.0,224495.03,192484.59,89030.97,253741.25,178895.88,132334.99,74845.37
Panama,121856.0,99596.01,90398.14,22259.990000000005,121856.0,94388.46,80765.73,27467.539999999994,121856.0,95281.85,71910.48,26574.149999999994,121856.0,94650.08,76483.83,27205.92,121856.0,91617.56,68319.89,30238.440000000002,121856.0,82987.18,56380.65,38868.82000000001,169963.0,155870.25,132084.35,14092.75,45605.0,31689.11,20963.1,13915.89
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the Caribbean,2624177.3333333335,1960745.31,1498643.59,663432.0233333333,2624177.3333333335,2305949.22,1904459.3,318228.11333333334,2627219.3333333335,2177089.7,1946843.67,450129.6333333333,2621135.3333333335,2038228.08,1530794.57,582907.2533333334,2624177.3333333335,1797996.74,1285406.0999999999,826180.5933333334,2437325.44,2089142.68,1570404.45,348182.76,3267733.34,2900496.3000000003,2521075.14,367237.0399999999,2654976.48125,2227005.84,1858759.22,427970.64125
Grand Total,15505764.75,12852285.79,10436205.21,2653478.96,15505764.75,12642018.56,9971977.440000001,2863746.1899999995,15508806.75,12780150.45,10601489.540000001,2728656.3,15483088.166666666,12488507.530000001,10060942.480000002,2994580.636666667,14697406.166666666,11697702.260000002,9293350.899999999,3297054.9066666667,16037325.273333332,13172923.32,10984400.75,2913960.953333333,16453148.173333332,12644269.08,10141868.02,3808879.0933333337,15332501.064583331,12536647.159999998,9848169.58,2795853.9045833335
