Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Brazil,5706751.0,4684002.43,3388790.73,1022748.57,5706751.0,4109547.7299999995,3068736.25,1597203.2700000003,5706751.0,4143267.33,3268928.9899999998,1563483.67,5706751.0,4257472.260000001,3432162.23,1449278.7399999998,8529205.0,6532776.8,5734959.140000001,1996428.2,2884297.0,2263247.4699999997,2034520.44,621049.53,7190493.5,6071132.87,4521885.38,1119360.63,4260260.0,3128564.93,2716408.64,1131695.0699999998
Colombia,634314.5,547517.05,455711.88,86797.44999999998,634314.5,560141.8,449481.08999999997,74172.7,634314.5,500078.92000000004,417586.6,134235.58,575696.0,462094.92,335863.81999999995,113601.08000000002,692933.0,550250.49,470699.29,142682.51,634314.5,552347.6699999999,420322.47,81966.82999999999,634314.5,526691.88,445780.98,107622.62,634314.5,561215.83,444698.87,73098.67000000001
Dominican Republic,155000.0,115197.34,75236.78,39802.66,155000.0,119377.87,105974.68,35622.13,155000.0,135213.09,98183.96,19786.909999999996,155000.0,136093.09,113622.06,18906.91,155000.0,110897.72,97689.09,44102.28,155000.0,130543.40000000001,98408.3,24456.599999999995,155000.0,127990.3,99773.87999999999,27009.699999999993,155000.0,139946.94,117087.0,15053.060000000001
El Salvador,1590848.6666666665,1249865.99,929514.47,340982.67666666664,1590848.6666666665,1380214.99,1105559.41,210633.6766666666,1590848.6666666665,1224299.13,941286.5700000001,366549.5366666667,1590848.6666666665,1239999.44,981190.14,350849.2266666667,1590848.6666666665,1331212.73,949999.7000000001,259635.9366666666,1611104.6666666665,1181724.12,964842.95,429380.54666666663,911891.6,819340.54,755312.49,92551.05999999997,1771995.825,1364161.1,1141173.65,407834.725
Haiti,163400.0,134361.78,102135.04,29038.220000000005,163400.0,126824.78,112682.21,36575.22,163400.0,116343.89,85725.8,47056.11,163400.0,147753.26,123135.21,15646.739999999985,163400.0,130607.61,106867.42,32792.39,163400.0,127002.11,101671.39,36397.89000000001,213400.0,179200.07,156681.49,34199.93,113400.0,78618.01,63218.600000000006,34781.990000000005
Honduras,2418617.0,1716423.82,1392280.28,702193.1799999999,2418617.0,2002452.15,1627730.08,416164.85000000003,2418617.0,2149111.04,1525643.6,269505.95999999996,2418617.0,1654499.51,1368169.64,764117.49,2418617.0,1916786.24,1420155.4500000002,501830.75999999995,1319392.45,1129909.4,860853.4199999999,189483.05000000005,1943790.19,1727076.57,1300793.96,216713.61999999994,4317155.42,3196694.04,2682672.42,1120461.38
Mexico,785703.0,665686.05,472004.9,120016.95000000001,785703.0,579564.52,453627.45,206138.47999999998,785703.0,593209.71,517151.92,192493.29,697213.0,546066.44,425795.28,151146.56,874193.0,784666.14,567788.21,89526.86,785703.0,595265.8,477280.12,190437.19999999998,785703.0,566447.05,460244.98,219255.95,785703.0,668192.66,588923.8500000001,117510.34
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venezuela,78368086.33333333,54326642.32999999,38449708.65,24041444.00333333,78368086.33333333,59862272.61,48938924.04,18505813.72333333,78368086.33333333,66532146.050000004,48136040.68000001,11835940.283333326,78368086.33333333,65855328.660000004,46678966.19,12512757.673333326,78368086.33333333,69518698.38000001,47719701.33,8849387.953333326,78368086.33333333,63355302.69,48538076.91,15012783.643333325,121308427.0,99490380.22,68738872.31,21818046.780000005,41390627.0,32776771.769999996,23110522.64,8613855.230000002
the Caribbean,45577085.333333336,34738300.53,26990557.64,10838784.803333333,45577085.333333336,35977126.48,29279041.84,9599958.853333334,45718750.27666666,36071665.02,29362159.99,9647085.256666666,46405232.78266667,38130070.94,29687763.55,8275161.842666667,45711597.041666664,39995909.87,30212373.45,5715687.171666667,44888556.196,35547290.29,28055605.84,9341265.906,40368891.166,31987305.099999998,23522980.19,8381586.066000001,54656037.076,41301977.42,32814043.97,13354059.656000001
Grand Total,135399805.83333334,98177997.32,72255940.37,37221808.51333333,135399805.83333334,104717522.93,85141757.05,30682282.90333333,135541470.77666667,111465334.18,84352708.11,24076136.596666656,136080844.78266668,112429378.52000001,83146668.12,23651466.262666658,138503880.04166666,120871805.98000002,87280233.08,17632074.06166666,130809854.146,104882632.94999999,81551581.84,25927221.19599999,173511910.956,141495564.6,100002325.66,32016346.356000006,108084492.82100001,83216142.7,63678749.64,24868350.121000003
