Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Brazil,8123846.333333333,6241477.53,4725457.01,1882368.8033333332,8123846.333333333,6419775.42,5139563.49,1704070.9133333333,8123846.333333333,6310124.53,4818884.87,1813721.8033333335,8123846.333333333,5931862.3,4751937.0200000005,2191984.033333333,10164500.833333332,7926783.02,5957216.32,2237717.813333333,6083191.833333333,4941646.27,4146131.13,1141545.5633333335,6563221.5,5235198.92,4357558.09,1328022.58,5888953.5,5085463.42,4278782.69,803490.08
Chile,250000000.0,177169719.62,137280413.47,72830280.38,250000000.0,229002961.55,162692216.89,20997038.449999988,250000000.0,197557824.96,144950352.16,52442175.03999999,250000000.0,217290516.19,163852641.99,32709483.810000002,250000000.0,203435983.85,157738152.9,46564016.150000006,250000000.0,162717072.59,140973693.56,87282927.41,250000000.0,185710895.6,146982300.35,64289104.400000006,250000000.0,193900001.9,153238452.32,56099998.099999994
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,792469.5,648258.0700000001,537678.22,144211.42999999993,792469.5,656480.24,535655.3,135989.26000000007,792469.5,700197.68,612547.92,92271.81999999995,792469.5,530236.73,468383.88,262232.76999999996,792469.5,583856.33,510005.67000000004,208613.17,792469.5,601401.76,515087.08,191067.74,792469.5,689748.7,526361.49,102720.80000000005,789050.0,644872.56,544527.27,144177.43999999997
El Salvador,55561.0,40200.32,30669.97,15360.68,55561.0,45054.88,29065.78,10506.120000000003,55561.0,39651.12,33081.46,15909.879999999997,55561.0,52782.95,42034.28,2778.050000000003,55561.0,50225.13,40617.44,5335.870000000003,55561.0,39908.92,33885.31,15652.080000000002,55561.0,42059.99,29530.72,13501.010000000002,55561.0,45865.84,38267.0,9695.160000000003
Mexico,648225.0,570950.52,494040.31,77274.47999999998,648225.0,536474.63,428589.85,111750.36999999997,648225.0,558018.83,437466.99,90206.17000000001,648225.0,504128.18,424106.02,144096.82,648225.0,549084.73,430569.72,99140.26999999999,648225.0,508304.41,461033.14,139920.59,648225.0,507313.46,376067.19,140911.53999999998,543225.0,424615.99,278147.13,118609.01000000001
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venezuela,1000000.0,847771.37,731263.16,152228.63,1000000.0,790050.61,745337.33,209949.39,1000000.0,700546.72,527442.09,299453.28,1000000.0,884484.7,692450.12,115515.30000000005,1000000.0,753976.85,660710.48,246023.15000000002,1000000.0,731893.04,617732.13,268106.95999999996,1000000.0,829936.41,736143.57,170063.58999999997,1000000.0,749662.49,653084.44,250337.51
the Caribbean,14412124.833333332,10917536.88,9142934.88,3494587.9533333336,14412124.833333332,11255446.96,9163256.72,3156677.873333333,14524400.166666666,12755702.52,9294529.17,1768697.646666667,14270146.166666666,11280816.49,8899004.049999999,2989329.6766666668,14441828.166666666,11082076.74,9008924.42,3359751.4266666668,15269260.833333332,13244996.81,11520051.77,2024264.0233333334,13189301.166666666,10746641.91,9317090.39,2442659.256666667,14803345.666666666,11415026.290000001,9580759.84,3388319.3766666665
Grand Total,275032226.6666667,196435914.31,152942457.01999998,78596312.35666667,275032226.6666667,248706244.29000002,178733685.36,26325982.376666658,275144502.0,218622066.36,160674304.65999997,56522435.63999999,274890248.0,236474827.54000002,179130557.36,38415420.46000001,277102584.5,224381986.65000004,174346196.94999996,52720597.85000001,273848708.1666667,182785223.8,158267614.12000003,91063484.36666664,272248778.1666667,203761794.98999998,162325051.8,68486983.17666666,273080135.1666667,212265508.48999998,168612020.69,60814626.676666655
