Country,Plan name,Strategic priority code,Strategic priority,Outcome code,Outcome,Output code,Output,Sub-Output publication status,Sub-Output code,Sub-Output,ID,Description,Start date,End date,Status,Joint Programmes / Initiatives names,Joint Programmes / Initiatives types,Agency abbreviations,Agencies,Contributing partners,Implementation partners,SDG Targets,SDG Goals,Geography,QCPR function,Humanitarian marker,Humanitarian marker narrative,Gender marker,Gender marker narrative,Human rights marker,Suboutput also contributes to the following outputs,Human rights marker narrative,Sustaining peace marker,Sustaining peace marker narrative,LNOB groups targeted,Focal users,Non Monetary Assistance,Total required resources,Total available resources,Total expenditure resources,2018 Required,2018 Available,2018 Expenditure,2018 Narrative,2019 Required,2019 Available,2019 Expenditure,2019 Narrative,2020 Required,2020 Available,2020 Expenditure,2020 Narrative,2021 Required,2021 Available,2021 Expenditure,2021 Narrative,2022 Required,2022 Available,2022 Expenditure,2022 Narrative,2023 Required,2023 Available,2023 Expenditure,2023 Narrative,2024 Required,2024 Available,2024 Expenditure,2024 Narrative,2025 Required,2025 Available,2025 Expenditure,2025 Narrative,2026 Required,2026 Available,2026 Expenditure,2026 Narrative,2027 Required,2027 Available,2027 Expenditure,2027 Narrative,2028 Required,2028 Available,2028 Expenditure,2028 Narrative,2029 Required,2029 Available,2029 Expenditure,2029 Narrative
Bahrain,United Nations Sustainable Development Cooperation Framework,1,"Environment, energy, and food",1,"Policies and frameworks are strengthened for the sustainable management of natural resources, sustainable energy, climate resilience, and enhanced food security ",3,"03. Improve food security and nutrition across all population, through sustainable food production systems, resilient agriculture practices, and more efficient food supply networks.",Yes,09 FAO,"Food Security Strategy and Biosecurity National Plan developed, reinforcing agricultural statistics systems, aquaculture, poultry, and water-resources management for Bahrain.",54352,"- Develop a comprehensive national Food Security Strategy Framework and action plans and provide advice focusing on economic, social and environmental sustainability aspects of food security.
- Designing Food Reserve System, managing Supply Chains for Food Security, and analysing priority VCs (under discussion).
- Develop/strengthen the Food and Agricultural Statistics system of Bahrain, with a focus on crops and livestock.
- Strengthen sustainable development of the aquaculture sector.
- Develop a sustainable poultry sector.
- Develop and implement a national scheme to eradicate Animal Diseases and Zoonosis.
- Prevent potential pandemics through strengthening the implementation of biosecurity improvement for emerging and re-emerging transboundary threats on Food and agriculture sectors.",2021-01-01,2024-12-31,Implementation,-,-,FAO,Food and Agriculture Organization of the United Nations,Government of Bahrain,Bahrain Information & eGovernment Authority; Bahrain Ministry of Municipalities Affairs and Agriculture,"2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.,2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.,8.2 Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value-added and labour-intensive sectors.",2 Zero Hunger; 8 Decent Jobs and Economic Growth,Bahrain,Policy Advice and Thought Leadership,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,"The formulation of strategies is supported using a gender-sensitive approach in order to ensure the equal participation of men and women, to ensure women are not excluded from decision making structures and process, to empower women by addressing their specific needs and ensure men, women, girls and boys all access the benefits of food diversification and the opportunities emerging from the strategy such as new employment and investment opportunities. As appropriate, dissemination of the statistics produced consider equal opportunity between genders.",1 - Limited contribution to realization of human rights,-,The sub-output is rooted in the right to adequate food.,0 - Not expected to contribute towards sustaining peace,,-,-,,1846352,1846352.0,1236575,461588.0,344985.12,304572.36,-,461588.0,376753.91,299474.0,-,461588.0,409187.89,317161.6,-,539402.0,415453.05,351057.19,"Develop a comprehensive National Food Security Strategy framework and action plans to that provide advice focusing on economic, social and environmental sustainability aspects of food security. 

In 2021, FAO provided technical assistance to the Ministry of works, Municipalities Affairs and Urban Planning in formulating the National Food Security Strategy 2020 – 2030 in Bahrain. The formulation engaged a wide range of stakeholders in close coordination by the Steering Committee headed by the Undersecretary of the Ministry of Agriculture and Marine Resources. The preparation of the Strategy was supported by the Technical Taskforce established by government, consisting of representatives from the government and civil society institutions. The strategy recommends on some core components for food security, notably it has targeted local food production system, investment, trade, national strategic reserve management, food waste, nutrition and food safety, as well as cross-cutting issues related to data and information systems, climate change  natural resource management and sustainability. 

Develop / strengthen the food and agricultural statistics system of Bahrain, with a focus on crops and livestock 

Following consultations with stakeholders, the assessment of the agricultural statistics system has been prepared. This has served to complete the draft Strategic Plan for Agriculture Statistics (SPAS), which provides the framework for the development of the Statistical System over the next five years. FAO assisted in developing the Bahrain Agriculture Survey methodology (questionnaire, manuals and methodological documents) and discussed with the Bahrain Technical Team and submitted to government. FAO provided the needed survey tools, which contribute to developing capacity of national staff to independently implement the survey, process, analyze and publish data.  

Strengthen sustainable development of the aquaculture sector 

In 2021, the within the frame of the “Supporting the sustainable development of the aquaculture sector in Bahrain” FAO implemented several activities, including conducted a) design of a new hatchery to accommodate the production objectives of the government; b) study on the best options for phytoplankton production in the hatchery for the feeding of the fish larvae; c) biosecurity risk assessment and development of Standard Operating Procedures for the National Mariculture Centre; and d) procurement of modern equipment. The projects provide support to the National Mariculture Centre of Ras Hayan for improving broodstock management and hatchery facilities, diversifying aquaculture products and delivering targeted training 

Develop and implement a national scheme to eradicate animal diseases and zoonosis 

Stakeholder consultation has led the establishment of a taskforce representing various ministries led by the Ministry of Works, Municipalities Affairs and Urban Planning. In 2021, FAO in collaboration with the ministry has conducted surveillances to eradicate zoonotic diseases (brucellosis and bovine tuberculosis) and peste des petits ruminants (PPR), one of the transboundary animal diseases. Serological results for brucellosis indicate that except for isolated farm, which turned positive for antibodies due to vaccination history, the disease was not found in the flocks. Serological evidence show that PPR, which never been reported in the Kingdom, has a quarter of its sheep and goats with positive antibodies. This may be attributed to vaccinating of animals with smuggled vaccines or mixing of imported animals, which were vaccinated abroad. FAO has prepared PPR Contingency/Emergency Plan for the Kingdom in order to apply for recognition of its status by the World Organisation for Animal Health (OIE). FAO has also supported on the Bahrain’s diagnostic system, surveillance system, prevention and control system, legal framework and stakeholder involvement. 

Preliminary results of mass testing of cattle using interferon gamma assays (IGRA) revealed that over 40% (of 3856 tested) were positive. The re-testing of the positive ones with tuberculin PPD (skin test) is showing over 80% agreement with IGRA signifying the number of animals to be culled with compensation. The Kingdom has 7,880 heads of cattle and a conservative estimate for positivity would mean that at least 2,733 would be culled. Given that some animals would still be missed, we have a plan to use Ab-ELISA test to get animals with latent infection (chronically infected with advanced bovine TB). As the screening is ongoing, FAO is requesting additional compensation fund to compensate affected farmers in order to begin the culling of positive reactors to ensure the eradication.  

Prevent potential pandemics through strengthening the implementation of biosecurity improvement for emerging and re-emerging transboundary threats on food and agriculture sectors 

FAO has just approved the inter-regional TCP and the operation of the project will commence only on 24th January 2022 and hence, there is no results to report for 2021. ",425313.0,277159.92,211676.98,"The Strategy document was revised and submitted to the Ministry. The Strategy is still awaiting endorsement from the Government. As related to the Strategy, a concept note was finalized and submitted to Government of Bahrain for conducting in-depth analysis for strengthening food reserve system and defining strategic approaches to mitigate food supply disruptions. The two issues are gaining importance given the recent COVID-19 pandemic and the Ukraine crisis and their spill-over on global food supply chains.FAO provided technical support for improving data for food and agriculture statistics through training and implementation of Bahrain Agricultural Survey, analysis and training of Supply Utilization Accounts/Food Balance Sheets and SDG 2.1.",523504.0,396999.65,315602.24,-,358133.0,296105.82,241755.58,-,461588.0,351465.48,304616.58,-,,,,-,,,,-,,,,-,,,,-
Palestine,United Nations Sustainable Development Cooperation Framework,1,Prosperity ,1,"Palestinians have greater access to economic opportunities that are inclusive, resilient, and sustainable, including decent employment and livelihoods opportunities in an empowered private sector",1.1,"Enhanced enabling environment, including policy and legal frameworks, for inclusive decent",Yes,1,"Enhanced enabling environment, including policy and legal frameworks, for inclusive decent employment, sustainable agribusiness development and food and nutrition security",105169,-,2023-01-01,2025-12-31,Implementation,-,-,FAO,Food and Agriculture Organization of the United Nations,Food and Agriculture Organization of the United Nations,"Local Government Units (Municipalities, Village Council, Joint Service Council) of Palestine; Palestinian Associations/Unions/Communities; Palestinian Ministry of Agriculture; Palestinian Non Governmental Organizations Network","1.1 By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.,2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.",1 No Poverty; 2 Zero Hunger,occupied Palestinian territory; Gaza Strip; West Bank,Capacity Development/Technical Assistance,-,-,2 - Gender equality/women's empowerment is a significant objective,,2 - Significant contribution to realization of human rights,-,,-,-,-,-,,425283,300399.0,0,425283.0,343316.22,303598.02,-,425283.0,375619.28,275033.16,-,425283.0,289148.07,261572.04,-,425283.0,378395.1,296430.64,-,425283.0,349005.57,276609.27,-,425283.0,283551.36,241677.54,-,425283.0,381628.64,261232.46,-,425283.0,359303.13,306328.7,-,,,,-,,,,-,,,,-,,,,-
Palestine,United Nations Sustainable Development Cooperation Framework,4,Planet ,4,"Palestinians have better access to and management of natural and cultural resources, higher resilience and adaptation to climate change and more sustainable food systems",4.3, Inclusive green and climate-smart agri-food systems are strengthened to enhance food security and nutrition and promote sustainable and resilient livelihoods,Yes,1,Inclusive green and climate-smart agri-food systems strengthened through enhanced food safety systems.,105152,-,2023-01-01,2025-12-31,Implementation,-,-,FAO,Food and Agriculture Organization of the United Nations,Spanish Agency for International Development Cooperation,Palestinian Ministry of Agriculture,"1.5 By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters.,2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.,3.d Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks.",1 No Poverty; 2 Zero Hunger; 3 Good Health and Well-being,West Bank; occupied Palestinian territory,Policy Advice and Thought Leadership,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,,1 - Limited contribution to realization of human rights,-,,-,-,-,-,,547308,121677.0,0,547308.0,479717.97,432443.37,-,547308.0,432526.19,327565.67,-,547308.0,462231.33,384954.93,-,547308.0,482099.23,342074.58,-,547308.0,424201.97,358112.34,-,547308.0,490627.47,375373.59,-,547308.0,480958.3,456910.39,-,547308.0,373821.14,285184.26,-,,,,-,,,,-,,,,-,,,,-
Palestine,United Nations Sustainable Development Cooperation Framework,1,Prosperity ,1,"Palestinians have greater access to economic opportunities that are inclusive, resilient, and sustainable, including decent employment and livelihoods opportunities in an empowered private sector",1.2,"Increased public and private investments to support green and job-rich economic growth, with a focus on infrastructure and tradeable sectors",Yes,1,Increased public investments to support green and job-rich economic growth with a focus on infrastructures required to foster agrifood sector development.,105178,-,2023-01-01,2025-12-31,Implementation,-,-,FAO,Food and Agriculture Organization of the United Nations,Food and Agriculture Organization of the United Nations,"Local Government Units (Municipalities, Village Council, Joint Service Council) of Palestine; Palestinian Ministry of Agriculture; Palestinian Ministry of Local Government","1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance.,2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and nonfarm employment.,2.c Adopt measures to ensure the proper functioning of food commodity markets and their derivatives and facilitate timely access to market information, including on food reserves, in order to help limit extreme food price volatility.,8.2 Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value-added and labour-intensive sectors.,8.3 Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services.,10.1 By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average.,10.2 By 2030, empower and promote the social, economic and political inclusion of all, irrespective of age, sex, disability, race, ethnicity, origin, religion or economic or other status.",1 No Poverty; 2 Zero Hunger; 8 Decent Jobs and Economic Growth; 10 Reduced Inequalities,occupied Palestinian territory; Gaza Strip; West Bank,Capacity Development/Technical Assistance,-,-,2 - Gender equality/women's empowerment is a significant objective,,2 - Significant contribution to realization of human rights,-,,-,-,-,-,,504017,345583.0,0,504017.0,477678.71,427928.57,-,504017.0,413626.09,317128.68,-,504017.0,391070.61,343493.1,-,504017.0,407075.46,295643.58,-,504017.0,356625.16,251555.36,-,504017.0,378467.91,359544.52,-,504017.0,443537.19,283816.1,-,504017.0,363475.22,310572.54,-,,,,-,,,,-,,,,-,,,,-
Palestine,United Nations Sustainable Development Cooperation Framework,4,Planet ,4,"Palestinians have better access to and management of natural and cultural resources, higher resilience and adaptation to climate change and more sustainable food systems",4.5,"Measures introduced to promote greening of public and private investment in natural resource-intensive sectors, including capacitating relevant actors to promote sustainable practices and policies",Yes,1,"Measures introduced to promote greening of public and private investment in natural resource-intensive sectors, including capacitating relevant actors in the agrifood sector to promote sustainable practices and policies",105159,-,2023-01-01,2025-12-31,Implementation,-,-,FAO,Food and Agriculture Organization of the United Nations,The Green Climate Fund,Palestinian Meteorological Department; Palestinian Ministry of Agriculture,"2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.,13.2 Integrate climate change measures into national policies, strategies and planning.,13.b Promote mechanisms for raising capacity for effective climate change-related planning and management in least developed countries, including focusing on women, youth and local and marginalized communities.",2 Zero Hunger; 13 Climate Action,Gaza Strip; West Bank; occupied Palestinian territory,Capacity Development/Technical Assistance,-,-,2 - Gender equality/women's empowerment is a significant objective,,2 - Significant contribution to realization of human rights,-,,-,-,-,-,,1716739,821422.0,0,1716739.0,1497194.93,1256446.34,-,1716739.0,1483476.47,1211819.11,-,1716739.0,1311697.02,1105872.82,-,1716739.0,1437284.85,970734.73,-,1716739.0,1243028.73,1048805.4,-,1716739.0,1458809.2,1066613.1,-,1716739.0,1630902.05,1423118.8,-,1716739.0,1137217.95,855727.33,-,,,,-,,,,-,,,,-,,,,-
Bahrain,United Nations Sustainable Development Cooperation Framework,1,"Environment, energy, and food",1,"Policies and frameworks are strengthened for the sustainable management of natural resources, sustainable energy, climate resilience, and enhanced food security ",3,"03. Improve food security and nutrition across all population, through sustainable food production systems, resilient agriculture practices, and more efficient food supply networks.",Yes,10 WHO,"National strategic framework for action on health and environment, including climate change adaptation and mitigation and food safety, developed.",70350,"Provision of technical support and capacity building for the development of a multi-sectoral strategy in line with up-to-date international standards and guidelines.

",2022-02-01,2024-12-31,Implementation,-,-,WHO,World Health Organization,Core Funding; Government of Bahrain,Bahrain Ministry of Health; Bahrain Ministry of Municipalities Affairs and Agriculture; Bahrain Supreme Council for Health; Bahrain Supreme Council of Environment,"1.3 Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable.,2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.,3.9 By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination.,12.4 By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment.,13.2 Integrate climate change measures into national policies, strategies and planning.",1 No Poverty; 2 Zero Hunger; 3 Good Health and Well-being; 12 Responsible Consumption and Production; 13 Climate Action,Bahrain,Policy Advice and Thought Leadership; Capacity Development/Technical Assistance,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,The strategic framework for action on health and the environment contributes to the gender equality marker in a limited way because it will include a focus on the negative impact of climate change on women/girls in Bahrain and the required action to mitigate it. ,1 - Limited contribution to realization of human rights,-,"The strategic framework for action on health and the environment will contribute to the realization of human rights in a limited way as climate change has profound impacts on a wide variety of human rights, including the right to life, self-determination, development, food, health, and water. ",0 - Not expected to contribute towards sustaining peace,,-,-,,195000,145000.0,145000,65000.0,43224.55,37418.75,-,65000.0,54270.69,42855.43,-,65000.0,57609.81,48752.22,-,65000.0,51942.03,39340.39,N/A. Sub-output to be implemented in 2022.,20000.0,12895.55,8902.35,"Organized “National Bridging Workshop - One Health Approach” between the 4th-6th of October 2022, in close collaboration with the Supreme Council of Health and Ministry of Health, to develop national capacities on One Health principles and concepts, as well as mobilize multiple sectors at the varies levels to work together to ensure that the health of the ecosystem is an integral part of safeguarding the health of people, animals, plants, and their living environments. The workshop also served as an orientation on the development of a framework for action on health and the environment for more sustainable solutions to balance and optimize the health of people, animals, and the environment in Bahrain. The workshop was delivered by WHO staff members from the three levels of the organization, and it built the knowledge and skills of approximately 35 participants from the animal, human and environmental health sectors.Facilitated the participation of three representatives from the Ministry of Health in “Regional Training on Building Climate Resilient and Environmentally Sustainable Health Systems”, which took place in Amman, Jordan, between the 10th-13th of September 2022. The training aimed at building national capacities on relevant WHO tools and guidance and initiating climate change and health action toward having a health system that is climate resilient and environmentally sustainable. Follow up meeting is planned for the “Participation in Training of Trainers on Climate Change and Health” in Aqaba, Jordan, 23-26 Jan 2023.Developed a joint funding proposal with FAO and UN-Habitat for the United Nations Trust Fund for Human Security (UNTFHS) 2022 call for proposal, in close coordination with the Office of the UN Resident Coordinator. The proposal is expected to mobilize $295,320, and it is oriented towards “Developing and applying Strategic Foresight for Improved Human Security in Bahrain"", where a new tool that combines the human security and strategic foresight approaches will be developed and piloted in the country to ensure that the national resilience strategies and approaches are transformative and forward-looking to contain human security threats. The generated evidence from the tool will be particularly important in guiding the development of the framework for action on health and the environment.",75000.0,66817.88,52400.19,-,100000.0,77541.05,63561.59,-,65000.0,44487.65,36557.09,-,,,,-,,,,-,,,,-,,,,-
Yemen,United Nations Sustainable Development Cooperation Framework,1,"Increase food security, creating livelihood options and job creation",1,"Availability, sustainability and inclusive access to quality nutrition, food security, environment, resilient livelihoods, including vulnerable and marginalized population groups of Yemen, enhanced",1.1,"Effective gender-responsive food production, diversification, and nutrition  including for the most vulnerable population groups promoted",Yes,1.1.1,"Assets and productive infrastructures to improve food security, local economic recovery, and access to services enhanced",98005,-,2022-01-01,2025-12-31,Implementation,-,-,UNDP,United Nations Development Programme,The World Bank; United Nations Development Programme,Public Works Project Yemen; Small and Micro enterprises Promotion Services; Social Development Fund Yemen; United Nations Development Programme,"1.1 By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.,2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.",1 No Poverty; 2 Zero Hunger,Dhamar; Amran; Al Jawf; Al Bayda; Al Mahwit; Aden; Al Maharah; Hodeydah (Governate); Taiz; Yemen; Shabwah; Sanaa; Socotra; Hajjah; Sadah; Raymah; Hadramawt; Marib; Ibb; Lahj; Ad Dali; Abyan,Direct Support/ Service Delivery,-,-,2 - Gender equality/women's empowerment is a significant objective,,0 - Not expected to contribute to realization of human rights,-,,1 - Contributes to sustaining peace empowerment in a limited way,,-,Yaman Al Eryani; Arwa Humaid,,254701853,244287490.0,115283922,84900617.66666667,71431976.87,51932781.21,-,84900617.66666667,61791893.45,50085735.82,-,84900617.66666667,61465223.68,50287103.65,-,84900617.66666667,68326374.29,54925765.02,-,55857218.0,44605110.26,34819061.9,-,131865152.0,106783188.73,90787884.05,-,66979483.0,53183242.16,43503639.61,-,84900617.66666667,53727541.74,44439734.54,-,,,,-,,,,-,,,,-,,,,-
Iraq,United Nations Sustainable Development Cooperation Framework,1,"STRATEGIC PRIORITY 1 : Achieving Social Cohesion, Protection and Inclusion",1.1,"Outcome 1.1 : Strengthened and effective inclusive, people-centred, gender-responsive and human rights based policies and national systems contribute to gender equality, the promotion of protection, Social Protection, social cohesion and peaceful societies, with focus on the most vulnerable populations, including women, youth and minorities",1.1.1 ,"Output 1.1.1 : Government is supported to promote and develop evidence-based policies, legislation, and mechanisms ensuring gender-sensitive, inclusive access to quality social protection and protection services.",Yes,1.1.1.2,Key Activity 1.1.1.2: Vulnerable people benefit from improvements to the MIS of the public distribution system and safety nets that result in improved food security and nutrition.,12286,-,2020-01-01,2024-12-31,Closed,-,-,WFP,United Nations World Food Programme,German Federal Ministry for Economic Cooperation and Development,MoLSA; MoT,"17.7 Promote the development, transfer, dissemination and diffusion of environmentally sound technologies to developing countries on favourable terms, including on concessional and preferential terms, as mutually agreed.",17 Partnerships for the Goals,Iraq,Capacity Development/Technical Assistance,Appeal,,3 - Gender equality/women's empowerment is the principal objective,,2 - Significant contribution to realization of human rights,-,,1 - Contributes to sustaining peace empowerment in a limited way,,Other,Saja Al-Taie,,48291514,19588557.0,10158894,9658302.8,8917892.46,6999370.58,-,9658302.799999999,8744878.76,6621187.74,-,27122624.0,22128643.51,17524391.33,-,7082272.0,5367940.11,4368707.59,-,4785769.0,3980977.77,3459394.7,-,7600000.0,5313390.85,4136254.2," WFP provided technical and on-the-ground support to the Ministry of Trade in registration activities of the PDS. The registration was completed in Najaf Dohuk, Kirkuk, Muthanna, and Baghdad (Al Karkh), with registration rates reaching 98%, 97%, 94%, 94% and 81%, respectively. Approximately 25% of the Iraqi population were reregistered for the PDS and the system discovered thousands of deceased and out of country individuals that have been suspended. WFP completed the capacity building activities of the targeted branches and initiated the PDS handover activities, aiming to for full ownership and leadership of Ministry of Trade to the new system. The first phase of the capacity building training covered the training of network, the system architecture, open SPP, reporting and applications (Wakeel and Tamwini). The next phase will cover the system codes and data operation. ",1700849.0,1425027.46,1293053.34,-,9658302.799999999,6489311.91,5106327.4,-,,,,-,,,,-,,,,-,,,,-
Jordan,United Nations Sustainable Development Framework (UNSDF) 2018-2022,1,Strategic Priority 1 - SP 1: Strengthened Institutions,1,"Outcome 1.1 - Institutions in Jordan at national and local levels are more responsive, inclusive, accountable, transparent and resilient.",1,Output 1.1.1 - Strengthening Institutions to improve performance: National and local public institutions are better able to perform their core functions giving attention to needs of vulnerable groups,Yes,1.1.1.32,"1.1.1.32 - Strengthened national capacities to effectively plan, coordinate and monitor the food security sector: Development of the National Food Security Strategy Action Plan (2021-2022)",65097,-,2021-08-01,2021-11-01,Implementation,-,-,FAO; UNDP; UNICEF; WFP; WHO,Food and Agriculture Organization of the United Nations; United Nations Children's Fund; United Nations Development Programme; United Nations World Food Programme; World Health Organization,Donor Funds,Ministry of Agriculture,"2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.,17.18 By 2020, enhance capacity-building support to developing countries, including for least developed countries and small island developing States, to increase significantly the availability of high-quality, timely and reliable data disaggregated by income, gender, age, race, ethnicity, migratory status, disability, geographic location and other characteristics relevant in national contexts.",2 Zero Hunger; 17 Partnerships for the Goals,Jordan,Capacity Development/Technical Assistance,-,-,-,-,-,-,-,-,-,-,-,,1000000,200000.0,0,1000000.0,807513.12,539199.4,-,1000000.0,713989.11,611986.77,-,1000000.0,754080.87,577957.93,-,1000000.0,735303.58,634396.27,-,1000000.0,897731.52,790409.1,-,1000000.0,773935.06,518861.4,-,1000000.0,772922.96,614721.48,-,1000000.0,895197.53,850437.66,-,,,,-,,,,-,,,,-,,,,-
Iraq,United Nations Sustainable Development Cooperation Framework,1,"STRATEGIC PRIORITY 1 : Achieving Social Cohesion, Protection and Inclusion",1.1,"Outcome 1.1 : Strengthened and effective inclusive, people-centred, gender-responsive and human rights based policies and national systems contribute to gender equality, the promotion of protection, Social Protection, social cohesion and peaceful societies, with focus on the most vulnerable populations, including women, youth and minorities",1.1.1 ,"Output 1.1.1 : Government is supported to promote and develop evidence-based policies, legislation, and mechanisms ensuring gender-sensitive, inclusive access to quality social protection and protection services.",Yes,1.1.1.33,"Key Activity 1.1.1.33: Technical support to the MoA, MoP, MoWR and MoHE to  develop action plans and establish a national committee on food security, as part of the National Strategy on food security",34689,-,2022-01-01,2023-12-31,Closed,-,-,FAO,Food and Agriculture Organization of the United Nations,Food and Agriculture Organization of the United Nations,MOWR; Ministry  of health; Ministry of Agriculture; MoP,"2.a Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2 Zero Hunger,Iraq; Baghdad,Policy Advice and Thought Leadership,-,-,2 - Gender equality/women's empowerment is a significant objective,The activity envisages gender equality/ women empowerment as a cross-cutting theme.,2 - Significant contribution to realization of human rights,-,"The activity contributes to the right to adequate food, which was first recognized as a human right in the Universal Declaration of Human Rights (Article 25) in 1948. ",1 - Contributes to sustaining peace empowerment in a limited way,"Given the activity focuses on supporting the government to promote and develop evidence-based policies, legislation, and mechanisms in the food security sector, it contributes to sustaining peace in a limited way.",Other,Alisher Nazirov,,175000,175000.0,50482,87500.0,83125.0,68608.83,-,87500.0,66818.56,54693.87,-,87500.0,66081.26,43680.42,-,87500.0,70503.28,57720.91,-,100000.0,75148.57,70876.71,-,75000.0,59289.76,46919.06,-,87500.0,66424.19,59512.12,-,87500.0,69609.7,58448.68,-,,,,-,,,,-,,,,-,,,,-
