Country,Plan name,Strategic priority code,Strategic priority,Outcome code,Outcome,Output code,Output,Sub-Output publication status,Sub-Output code,Sub-Output,ID,Description,Start date,End date,Status,Joint Programmes / Initiatives names,Joint Programmes / Initiatives types,Agency abbreviations,Agencies,Contributing partners,Implementation partners,SDG Targets,SDG Goals,Geography,QCPR function,Humanitarian marker,Humanitarian marker narrative,Gender marker,Gender marker narrative,Human rights marker,Suboutput also contributes to the following outputs,Human rights marker narrative,Sustaining peace marker,Sustaining peace marker narrative,LNOB groups targeted,Focal users,Non Monetary Assistance,Total required resources,Total available resources,Total expenditure resources,2016 Required,2016 Available,2016 Expenditure,2016 Narrative,2017 Required,2017 Available,2017 Expenditure,2017 Narrative,2018 Required,2018 Available,2018 Expenditure,2018 Narrative,2019 Required,2019 Available,2019 Expenditure,2019 Narrative,2020 Required,2020 Available,2020 Expenditure,2020 Narrative,2021 Required,2021 Available,2021 Expenditure,2021 Narrative,2022 Required,2022 Available,2022 Expenditure,2022 Narrative,2023 Required,2023 Available,2023 Expenditure,2023 Narrative,2024 Required,2024 Available,2024 Expenditure,2024 Narrative,2025 Required,2025 Available,2025 Expenditure,2025 Narrative,2026 Required,2026 Available,2026 Expenditure,2026 Narrative,2027 Required,2027 Available,2027 Expenditure,2027 Narrative,2028 Required,2028 Available,2028 Expenditure,2028 Narrative
Pacific,United Nations Sustainable Development Cooperation Framework,4.0,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ",4.0,"By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.",54,"4.2.4 Enhanced capacities and systems to identify security threats, including climate security",Yes,1,"FJ 1 Technical support to law enforcement and border agencies to fight transnational organised crime including human trafficking, environment and maritime crime",114621,"The sub-output will contribute to Outcome 4.2 through a threat assessment of   transnational organised crime, and capacity building of law enforcement and border agencies to detect, investigate and prosecute transnational organised crimes including  human trafficking, environment crime, maritime crime, money laundering and drug trafficking  
",2023-01-01,2024-12-31,Implementation,-,-,UNODC,United Nations Office on Drugs and Crime,Government of the United States of America; The Joint SDG Fund,Fiji Ministry for Home Affairs and Immigration,"16.2 End abuse, exploitations, trafficking and all forms of violence against and torture of children.,16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.",16 Peace and Justice - Strong Institutions,Fiji,Capacity Development/Technical Assistance,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,,1 - Limited contribution to realization of human rights,-,,2 - Sustaining Peace is a significant objective,,-,-,,250000,150000,150000.0,125000.0,107728.13,92064.98,-,125000.0,99621.16,86685.09,-,125000.0,109829.27,91836.09,-,125000.0,82952.42,59815.78,-,125000.0,102172.24,75886.11,-,125000.0,106214.25,91843.43,-,125000.0,96298.99,76896.7,-,150000.0,111849.21,81692.57," Technical support for agencies to strengthen law enforcement and border efforts to combat wildlife crime, human trafficking and maritime crime. Support for authorities on ratification of the UNTOC and Trafficking and Smuggling Protocols. ",100000.0,89803.12,81994.02,-,125000.0,86940.02,73169.75,-,,,,-,,,,-,,,,-
Pacific,United Nations Sustainable Development Cooperation Framework,4.0,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ",4.0,"By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.",58,"4.3.4 Increased awareness among criminal justice authorities, communities and the public on the threats posed by cybercrime and policy support to adapt national legislation to prevent related offenses",Yes,1,SOI 1 Technical support to criminal justice authorities to strengthen cybercrime investigations,114638,"The sub-output will contribute to Outcome 4.3. by strengthening national and regional response to cybercrime, including through legal, technical and cooperation frameworks, and improving cyber resilience and capacity for criminal justice authorities. A detailed country-by-country analysis of current cybercrime/cybersecurity status including stakeholder mapping will be developed from four cyber-crime threat assessments conducted in Fiji, Solomon Is, Vanuatu and PNG. Training courses will be delivered on cybercrime, including ransomware and cryptocurrency investigation, digital forensics / evidence, and the  regulatory and supervision issues on cryptocurrencies.",2023-01-01,2024-12-31,Implementation,-,-,UNODC,United Nations Office on Drugs and Crime,The US Government Department of State's Bureau of International Narcotics and Law Enforcement Affairs,SI Ministry of Home Affairs,"16.a Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime.",16 Peace and Justice - Strong Institutions,Vanuatu; Solomon Islands; Fiji,Convening/Partnerships/Knowledge Sharing; Data Collection and Analysis; Policy Advice and Thought Leadership; Capacity Development/Technical Assistance,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,Training courses will promote gender balance. ,1 - Limited contribution to realization of human rights,-,"UNODC's cybercrime project is designed to provide a  comprehensive national and regional response to cybercrime, including through legal, technical and cooperation  frameworks, and improving cyber resilience and capacity for criminal justice authorities and the project aligns with  the UN commitment on respect to human rights.",1 - Contributes to sustaining peace empowerment in a limited way,"Contribution to peace is not explicity mentioned, however, criminal justice authorities, communities and the public in target countries will be more aware of the threats posed by cybercrime and take steps to adapt  national legislation to prevent related offenses",-,-,,750000,0,0.0,375000.0,312413.63,268138.97,-,375000.0,274935.4,220668.55,-,375000.0,337865.66,282168.48,-,375000.0,265963.58,240238.99,-,375000.0,343047.9,243538.91,-,375000.0,315042.62,286474.38,-,375000.0,290534.54,276007.81,-,250000.0,178774.51,124916.21, Undertook the national cyber crime assessment and supported a sub-regional cyber crime round table and training for prosecutors ,500000.0,410550.8,325299.08,-,375000.0,290071.41,244935.05,-,,,,-,,,,-,,,,-
Cambodia,Cambodia United Development Assistance Framework 2019-2023,4.0,"Strategic Priority 4 - Women and men, including those underrepresented, marginalized and vulnerable, benefit from more transparent and accountable legislative and governance frameworks that ensure meaningful and informed participation in economic and social development and political processes",3.0,"Outcome 4.3 - Laws and policies meet international norms and standards, and are effectively implemented and monitored, addressing the rights of the most vulnerable and providing opportunities and secure democratic space for women and men to exercise political rights, freedom of expression, association and assembly",4.3.2,"Laws, policies and institutions are aligned with international norms and standards are adequately consulted, costed, resourced, implemented, monitored and address the needs of vulnerable groups",Yes,10,"Enhancing crime prevention measures in Cambodia by building technical capacity of law enforcement agencies and raise awareness of prosecutors on newly introduced legal instruments and investigative techniques, including on investigation and prosecution of cybercrime cases.",91767,-,2022-01-01,2023-12-30,Finalisation,-,-,UNODC,United Nations Office on Drugs and Crime,Japan International Cooperation Agency; Korea International Cooperation  Agency,"Cambodia, Ministry of Interior; Cambodia, Ministry of Justice; Phnom Penh Municipal Court; Regional Supreme Court","16.6 Develop effective, accountable and transparent institutions at all levels.",16 Peace and Justice - Strong Institutions,Cambodia,Capacity Development/Technical Assistance,-,-,2 - Gender equality/women's empowerment is a significant objective,,2 - Significant contribution to realization of human rights,-,,2 - Sustaining Peace is a significant objective,,-,-,,179000,179000,0.0,179000.0,154181.05,142491.2,-,179000.0,155244.21,145593.64,-,179000.0,131397.43,112970.82,-,179000.0,130456.36,97625.98,-,179000.0,160530.31,137177.27,-,179000.0,143330.54,110227.5,-,179000.0,153284.9,126418.56,-,179000.0,153484.88,112988.41,-,179000.0,146737.2,119013.54,-,179000.0,141460.0,123831.52,-,,,,-,,,,-,,,,-
Pacific,United Nations Sustainable Development Cooperation Framework,4.0,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ",4.0,"By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.",58,"4.3.4 Increased awareness among criminal justice authorities, communities and the public on the threats posed by cybercrime and policy support to adapt national legislation to prevent related offenses",Yes,10,FJ 1 Technical support to criminal justice authorities to strengthen cybercrime investigations,152789,-,2023-01-01,2024-12-31,Implementation,-,-,UNODC,United Nations Office on Drugs and Crime,The US Government Department of State's Bureau of International Narcotics and Law Enforcement Affairs,Fiji Ministry for Home Affairs and Immigration,"16.a Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime.",16 Peace and Justice - Strong Institutions,Fiji,Capacity Development/Technical Assistance,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,,1 - Limited contribution to realization of human rights,-,,1 - Contributes to sustaining peace empowerment in a limited way,,-,-,,0,0,0.0,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,100773.02,72182.31,57224.41,-,49369.05,43144.09,39496.98,-,75071.035,55815.42,49347.14,-,,,,-,,,,-,,,,-
Pacific,United Nations Sustainable Development Cooperation Framework,4.0,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ",4.0,"By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.",54,"4.2.4 Enhanced capacities and systems to identify security threats, including climate security",Yes,105,RMI 141 Technical support to law enforcement and border agencies to fight transnational organised crime including human trafficking and maritime crime,115638,"The sub-output will contribute to Outcome 4.2 through a threat assessment of   transnational organised crime and human trafficking, and capacity building of law enforcement and border agencies to detect, investigate and prosecute transnational organised crimes including  human trafficking and maritime crime  ",2023-01-01,2024-12-31,Implementation,-,-,UNODC,United Nations Office on Drugs and Crime,New Zealand Ministry of Foreign Affairs and Trade Aid Programme; United Nations Office for Project Services,-,-,-,Marshall Islands,Capacity Development/Technical Assistance,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,-,2 - Significant contribution to realization of human rights,-,-,2 - Sustaining Peace is a significant objective,-,-,-,,200000,100000,30000.0,100000.0,70417.1,58400.16,-,100000.0,71896.36,54394.84,-,100000.0,81775.63,76057.49,-,100000.0,73442.57,67038.46,-,100000.0,86110.27,73176.5,-,100000.0,84830.76,62240.15,-,100000.0,77186.63,69075.28,-,100000.0,74870.22,58083.61, Technical support for agencies to strengthen law enforcement and border efforts to combat human trafficking and maritime crime under UNTOC ,100000.0,78097.04,68154.44,-,100000.0,86222.33,63922.11,-,,,,-,,,,-,,,,-
Pacific,United Nations Sustainable Development Cooperation Framework,4.0,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ",4.0,"By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.",54,"4.2.4 Enhanced capacities and systems to identify security threats, including climate security",Yes,106,"SOI 1 Technical support to law enforcement and border agencies to fight transnational organised crime including human trafficking, environment and maritime crime",116042,"The sub-output will contribute to Outcome 4.2 through a threat assessment of   transnational organised crime, and capacity building of law enforcement and border agencies to detect, investigate and prosecute transnational organised crimes including  human trafficking, environment crime, maritime crime, money laundering and drug trafficking  
",2023-01-01,2024-12-31,Implementation,-,-,UNIDO,United Nations Industrial Development Organization,Government of the United States of America; New Zealand Ministry of Foreign Affairs and Trade Aid Programme; The Joint SDG Fund,-,"15.c Enhance global support for efforts to combat poaching and trafficking of protected species, including by increasing the capacity of local communities to pursue sustainable livelihood opportunities.,16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.",15 Life on Land; 16 Peace and Justice - Strong Institutions,Solomon Islands,-,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,,2 - Significant contribution to realization of human rights,-,,2 - Sustaining Peace is a significant objective,,-,-,,270000,0,0.0,135000.0,108302.22,102887.11,-,135000.0,93231.25,72198.93,-,135000.0,119465.65,96946.96,-,135000.0,90986.97,75359.2,-,135000.0,125147.73,95823.59,-,135000.0,116138.5,99051.59,-,135000.0,99933.85,93912.18,-,120000.0,89359.93,68921.49,-,150000.0,137464.81,118690.51,-,135000.0,108219.12,88758.2,-,,,,-,,,,-,,,,-
Pacific,United Nations Sustainable Development Cooperation Framework,4.0,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ",4.0,"By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.",54,"4.2.4 Enhanced capacities and systems to identify security threats, including climate security",Yes,107,"SAM 146 Technical support to law enforcement and border agencies to fight transnational organised crime including maritime crime, human trafficking and environment crime",116442,"The sub-output will contribute to Outcome 4.2 through a threat assessment of   transnational organised crime, and capacity building of law enforcement and border agencies to detect and investigate transnational organised crime ",2023-01-01,2024-12-31,Implementation,-,-,UNIDO,United Nations Industrial Development Organization,The Joint SDG Fund,-,-,-,Samoa,-,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,-,2 - Significant contribution to realization of human rights,-,-,2 - Sustaining Peace is a significant objective,-,-,-,,0,0,0.0,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,0.0,,-,,0.0,,-,,,,-,,,,-,,,,-,,,,-
Pacific,United Nations Sustainable Development Cooperation Framework,4.0,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ",4.0,"By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.",58,"4.3.4 Increased awareness among criminal justice authorities, communities and the public on the threats posed by cybercrime and policy support to adapt national legislation to prevent related offenses",Yes,11,VAN 1 Technical support to criminal justice authorities to strengthen cybercrime investigations,152790,-,2023-01-01,2024-12-31,Implementation,-,-,UNODC,United Nations Office on Drugs and Crime,The US Government Department of State's Bureau of International Narcotics and Law Enforcement Affairs,Vanuatu Ministry of Justice and Community Services,"16.a Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime.",16 Peace and Justice - Strong Institutions,Vanuatu,Capacity Development/Technical Assistance,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,,1 - Limited contribution to realization of human rights,-,,1 - Contributes to sustaining peace empowerment in a limited way,,-,-,,0,0,0.0,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,,,,-,87346.29,66311.65,52453.7,-,53702.57,50269.47,47049.19,-,70524.43,59709.83,48451.78,-,,,,-,,,,-,,,,-
Indonesia,UNSDCF 2021-2025,1.0,Strategic Priority 1 - Inclusive Human Development,1.1,"Outcome 1.1 - People living in Indonesia, especially those at risk of being left furthest behind, are empowered to fulfil their human development potential as members of a pluralistic, tolerant, inclusive, and just society, free of gender and all other forms of discrimination",7,"Output 1.1.7 - Government and key stakeholders at all levels have greater capacity and resources to develop and implement policy, legal and accountability frameworks to advance human rights, access to justice, promote gender equality and reduce vulnerabilities",Yes,1.1.7.25,1.1.7.25 - [Anti-corruption in other mandate areas]  Improved responses to prevent and combat corruption as a cross-cutting element as a facilitator to other types of crimes,70192,"Joint training and workshops for the development of operational cooperation among law enforcement/ criminal justice agencies and anti-corruption authorities
",2021-01-28,2025-12-31,Implementation,-,-,UNODC,United Nations Office on Drugs and Crime,Danish International Development Agency; Norwegian Agency for Development Cooperation; Republic of Korea Ministry of Justice; The US Government Department of State's Bureau of International Narcotics and Law Enforcement Affairs,Indonesia Ministry of Home Affairs; Indonesia Ministry of Law; Indonesia National Commission for Corruption Eradication; Indonesia Papua Province Government; Indonesia Supreme Court; Indonesia West Papua Province Government; Indonesian National Police,16.5 Substantially reduce corruption and bribery in all their forms.,16 Peace and Justice - Strong Institutions,Indonesia; Papua; Kalimantan Timur; Papua Barat; Sumatera Selatan,Convening/Partnerships/Knowledge Sharing; Policy Advice and Thought Leadership; Data Collection and Analysis; Capacity Development/Technical Assistance,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,"There is limited consideration of gender equality/women’s  empowerment. There is a gender analysis or some collection/analysis of sex-disaggregated data on participation, but no or limited gender equality results (minor to the overall objectives of the initiative).",1 - Limited contribution to realization of human rights,-,,-,-,-,-,,300000,168200,81331.0,60000.0,47533.95,38716.36,-,60000.0,53077.43,35989.75,-,60000.0,52720.32,41776.39,-,60000.0,46875.56,29419.26,-,60000.0,52635.7,37226.04,-,10000.0,7310.44,5133.21,"UNODC addressing the cross-cutting element of corruption as facilitator of other types of crimes on the health sector and human trafficking. UNODC invited stakeholders related to Covid-19 response in health sector such as, the Ministry of Health, KPK, the private sector, and civil society to share their efforts in supporting the Government of Indonesia to recover with Integrity and to have open discussion on the issue of corruption risks and the progress of the corruption mitigation strategies in the healthcare sector. UNODC also facilitates capacity building on the issue of corruption as facilitator of human trafficking. ",65000.0,56961.78,37019.08,UNODC Identifies Corruption Risk on Forestry in Papua and West Papua to improve the corruption mitigation system in these provinces.UNODC in collaboration with the Indonesian Police facilitates discussion among different law enforcement agencies on Corruption as facilitator of other Crimes and the Importance of Multidoor Approach. The outcome of this discussion is a list of Recommendation for Strengthening Cooperation Inter-Sectoral and Inter- Agency Cooperation (Multidoor approach) Corruption as facilitation of other crimes.,30000.0,25708.33,18501.86,"In 2023, UNODC facilitated critical dialogues and capacity-building initiatives to address corruption across various sectors. A roundtable discussion on addressing challenges in multi-agency collaboration brought together stakeholders to identify obstacles and foster coordination in combating corruption effectively across institutional boundaries.A workshop on corruption risks in forestry sector management was conducted to tackle vulnerabilities in one of Indonesia’s key economic and environmental sectors. Participants explored strategies to enhance transparency, accountability, and sustainable practices in forest management.At the regional level, a workshop on corruption in sports provided a platform for Southeast Asian stakeholders to address integrity issues in the sector. The discussions highlighted the risks of corruption in sports governance and events, and promoted collective actions to safeguard the integrity of sports.These activities strengthened inter-agency cooperation and advanced efforts to mitigate corruption in critical and high-risk sectors.",160000.0,120541.23,90199.94,"In 2024, UNODC promoted integrity and inclusivity through targeted workshops addressing corruption and its societal impacts. A workshop and discussion on strengthening business integrity and collective action in the palm oil sector were held in collaboration with the KPK, Indonesia Global Compact Network, and the East Kalimantan Provincial Government. This initiative fostered dialogue on ethical practices and transparency in a key economic sector.At the regional level, UNODC convened two workshops for Southeast Asia. The first focused on Gender and Corruption, exploring the intersection of corruption with gender dynamics and advancing strategies for gender-sensitive anti-corruption initiatives. The second addressed Human Rights and Corruption, highlighting the impact of corruption on fundamental rights and fostering collaboration to integrate human rights considerations into anti-corruption efforts.These activities reinforced integrity and accountability while addressing corruption's broader social implications.",35000.0,27630.04,20154.03,-,,,,-,,,,-,,,,-
Indonesia,UNSDCF 2021-2025,1.0,Strategic Priority 1 - Inclusive Human Development,1.1,"Outcome 1.1 - People living in Indonesia, especially those at risk of being left furthest behind, are empowered to fulfil their human development potential as members of a pluralistic, tolerant, inclusive, and just society, free of gender and all other forms of discrimination",7,"Output 1.1.7 - Government and key stakeholders at all levels have greater capacity and resources to develop and implement policy, legal and accountability frameworks to advance human rights, access to justice, promote gender equality and reduce vulnerabilities",Yes,1.1.7.3,1.1.7.3 - Countering the Financing of Terrorism and Proceeds Crime in Indonesia,29188,"UNODC works with the Government of in Indonesia, law enforcements, and private sectors to increase the capacity to detect and disrupt the financial flow of terrorist organizations according to UN Sanctions and International Standards.",2021-01-01,2022-07-31,Closed,-,-,UNODC,United Nations Office on Drugs and Crime,Government of Norway,Indonesia Financial Service Authority/OJK; Indonesia National Counter Terrorism Agency (BNPT); The Indonesian National Police (POLRI),"16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all.,16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.",16 Peace and Justice - Strong Institutions,Indonesia; Dki Jakarta,Convening/Partnerships/Knowledge Sharing; Capacity Development/Technical Assistance,-,-,2 - Gender equality/women's empowerment is a significant objective,,2 - Significant contribution to realization of human rights,-,,-,-,-,hardya pranadipa,,1474130,1474130,536675.0,737065.0,647832.0,453250.91,-,737065.0,582423.72,371165.18,-,737065.0,675443.24,487457.02,-,737065.0,532958.86,351586.8,-,737065.0,624213.14,413631.13,-,1403057.0,1078266.57,720995.25,"In 2021, the UNODC received approval for the 2021 CFT Programme work-plan in a multi-agency Technical Working Group (TWG) and Programme Governance Committee (PGC) meeting which consisted of vital stakeholders working on counter-terrorism at the national level.

An expanded work plan had been delivered during 2021 which included; the delivery of the four modules of CFT training programme (1267, Basic CFT, Analysis, and Financial Disruption Course), the delivery of a Points to Prove training course, scoping mission for the design and implementation of a Professional Development System, support for the enhanced regional engagement of the financial intelligence unit, and private sector outreach. 

All activities were done in 2021 involving PPATK, POLRI, BNPT, Attorney General Office, Financial Service Authority (OJK), Bank Indonesia, and BAPPEBTI. The programme activities resulted in the strengthened of inter-agency interaction and cooperation to detect, disrupt, investigate, and prosecute terrorism financing perpetrators.  
",71073.0,51180.59,37747.34,"In 2022, as part of UNODC’s efforts on preventing and countering terrorism, including through the financing of terrorism the UNODC partnered with 17 government and private sector institutions in the successful delivery of 21 activities that consisted of capacity building training, webinars, mentorship, policy dialogue, and public-private sector engagement. Key partners were within law enforcement, the prosecutorial agency, the judicial, AML/CFT regulators including the virtual assets regulator, and private banks and Designated Non-Financial Businesses and Professions (DNFBPs). Activities’ outreach reached 12,671 participants in the capital and provincial locations, and of that 3,000 consisted of private sector banks. The activities that were designed, tailored and contextualized for the Indonesian environment addressed the UN International Instruments on Counter Terrorism and the Counter Financing of Terrorism, the Financial Action Task Force Standards, as well as Indonesia’s national strategic frameworks preventing and countering violent extremism (RAN-PE) and the Anti Money Laundering National Strategy (STRANAS). Thematic areas of priority as well as new and emerging threats that were addressed included the risks and vulnerabilities of money laundering and terrorism financing in regulation, specifically around beneficial ownership, the investigations and prosecutions of cases involving cryptoassets, new digitial technologies, as well as the provision of support on FATF Mutual Evaluation preparations.",737065.0,615145.7,545006.56,-,737065.0,605148.66,498583.11,-,737065.0,627201.35,448986.63,-,,,,-,,,,-,,,,-
