Country,Plan name,Strategic priority code,Strategic priority,Outcome code,Outcome,Output code,Output,Sub-Output publication status,Sub-Output code,Sub-Output,ID,Description,Start date,End date,Status,Joint Programmes / Initiatives names,Joint Programmes / Initiatives types,Agency abbreviations,Agencies,Contributing partners,Implementation partners,SDG Targets,SDG Goals,Geography,QCPR function,Humanitarian marker,Humanitarian marker narrative,Gender marker,Gender marker narrative,Human rights marker,Suboutput also contributes to the following outputs,Human rights marker narrative,Sustaining peace marker,Sustaining peace marker narrative,LNOB groups targeted,Focal users,Non Monetary Assistance,Total required resources,Total available resources,Total expenditure resources,2017 Required,2017 Available,2017 Expenditure,2017 Narrative,2018 Required,2018 Available,2018 Expenditure,2018 Narrative,2019 Required,2019 Available,2019 Expenditure,2019 Narrative,2020 Required,2020 Available,2020 Expenditure,2020 Narrative,2021 Required,2021 Available,2021 Expenditure,2021 Narrative,2022 Required,2022 Available,2022 Expenditure,2022 Narrative,2023 Required,2023 Available,2023 Expenditure,2023 Narrative,2024 Required,2024 Available,2024 Expenditure,2024 Narrative,2025 Required,2025 Available,2025 Expenditure,2025 Narrative,2026 Required,2026 Available,2026 Expenditure,2026 Narrative,2027 Required,2027 Available,2027 Expenditure,2027 Narrative
Tajikistan,United Nations Sustainable Development Cooperation Framework 2023 - 2026,1,Inclusive human development ,1,Inclusive human development,1," Institutional capacities strengthened to provide vulnerable groups with improved access to diversified, adequately financed, inclusive, quality social protection services",Yes,1,Girls and boys of primary school age in targeted schools are provided with balanced school meals that meet their basic food and nutrition needs,103757,-,2023-01-01,2026-12-31,Implementation,-,-,WFP,United Nations World Food Programme,United Nations World Food Programme,Tajikistan Local governments in target districts; Tajikistan Ministry of Education and Science (MoES); Tajikistan Ministry of Health and Social Protection of the Population (MoHSPP),"2.2 By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons.,4.1 By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes.",2 Zero Hunger; 4 Quality Education,"Ayni; J.Rasulov; J.Balkhi (Kolkhozobod, Rumi); Baljuvon; Mastchokh; Murghob; Ishkoshim; Darvoz; Sughd; Districts of Republican Subordination (DRS); Khatlon region; Rushon; Shughnon; Roshtqal'a; Kuhistoni Mastchokh; B.Ghafurov; Panjakent; Roghun; Yovon; Vakhsh; Temurmalik (Qizil-Mazor, Sovetskiy); Istaravshan; Tajikistan; Lakhsh (former Jirgatol); Vanj; Zafarobod; Asht; Tojikobod (Qalai Labi ob); Nurobod; Sangvor (Tavildara); Rasht (Gharm); Vose; Sh.Shokhin (Shuro-obod); Shahrituz; Qabodiyon; Panj; Faizobod; Norak; Muminobod; Khovaling; Jaykhun (Qumsangir); Khamadoni (Moskovskiy); A. Jomi; Farkhor; Dusti (Jilikul); Dangara; Kulob; Konibodom; Isfara; Gorno-Badakhshan Autonomous Region",Capacity Development/Technical Assistance,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,The activity has a detailed disaggregation of gender but does not address Gender Inequality root causes.,2 - Significant contribution to realization of human rights,-,,-,-,Children ,Sohibtoj Kurbonkhonova; Firdavs Nazaraliev ,,23087988.0,19196892,15804013,7695996.0,6552089.59,5749994.66,-,7695996.0,6459416.61,5100368.01,-,7695996.0,4698121.48,3479113.66,-,7695996.0,5857792.68,3768429.51,-,7695996.0,7260197.74,6211714.7,-,7695996.0,5770513.93,4636958.27,-,7215681.0,6205480.17,4637733.57,"In 2023 WFP continued its efforts to support primary schoolchildren aged 6-11 in food-insecure rural and urban regions by providing them with daily hot meals. This initiative benefited a total of 552,800 schoolchildren (49 percent female and 51 percent male). In general, 6,500 MT of mixed commodities were provided to schools, consisting of fortified wheat flour, vegetable oil and pulses. This ensured that 80 percent of the year’s 164 school days would be covered.",9818788.0,7024341.07,6001056.13,-,6053519.0,4611813.02,3559070.74,-,,,,-,,,,-
Tajikistan,United Nations Sustainable Development Cooperation Framework 2023 - 2026,2,"Shared, resilient prosperity and sustainable, climate-responsive development",3,Integrated management of climate and environmental risk,3,"Communities, CBOs, and CSOs are engaged in planning, design and delivery of ecosystem-based interventions and models supporting community resilience and climate change adaptation																					",Yes,1,Targeted rural and urban households and smallholder farmers' groups receive food assistance that meets their immediate food and nutrition needs and enables them to improve their livelihoods.			,101388,Targeted rural and urban households and smallholder farmers' groups receive food assistance that meets their immediate food and nutrition needs and enables them to improve their livelihoods.			,2023-01-01,2026-12-31,Implementation,-,-,WFP,United Nations World Food Programme,The Green Climate Fund; United States Agency for International Development,Committee on Environmental Protection under the Government of Tajikistan; Tajikistan Agency of Land Reclamation and Irrigation; Tajikistan Forest Agency; Tajikistan Ministry of Agriculture (MoA),"2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.",2 Zero Hunger,Roshtqal'a; Gorno-Badakhshan Autonomous Region; Khatlon region; Tajikistan; Shughnon; Districts of Republican Subordination (DRS); Rushon; Ishkoshim; Faizobod; Nurobod; Rasht (Gharm); Tojikobod (Qalai Labi ob); Lakhsh (former Jirgatol); Khovaling; Muminobod,Direct Support/ Service Delivery,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,The Activity ensures that a specific proportion of targeted recipients of the food assistance (cash for asset creation) are women.  ,2 - Significant contribution to realization of human rights,-,,-,-,Older Persons; Peasants & Rural Workers; Youth,Sohibtoj Kurbonkhonova; Firdavs Nazaraliev ,,7500789.0,7500789,3579881,2500263.0,1718287.25,1262124.72,-,2500263.0,2279692.14,2082263.14,-,2500263.0,1977693.72,1417000.86,-,2500263.0,1861926.12,1540836.07,-,2500263.0,1859856.14,1440250.43,-,2500263.0,2289520.83,1658775.51,-,2019232.0,1377112.49,1202432.62,"In 2023 WFP reached 12,450 beneficiaries with cash assistance  for asset-building activities mainly through the its climate-change adaptation project",3624584.0,2666120.7,2338801.73,-,1856973.0,1617259.49,1332661.29,-,,,,-,,,,-
Belarus,United Nations Sustainable Development Cooperation Framework,1,Green transition for inclusive and sustainable growth,1,"By 2025, all people, including adolescents, young men and women, men and women aged 65 and older and other vulnerable groups, benefit from green and inclusive economic development, realised through comprehensive regulatory frameworks, promotion of business activities, private sector partnerships, and increased participatory decision-making",1.1,"A set of measures in the framework of inter-agency collaboration for the development of green, circular, low-carbon economy, including through enhanced international cooperation and considering the interests of vulnerable groups, is developed and proposed to the Government",Yes,10,1.1.10 System for the provision of domestic food aid and strengthening national food security,104370,To support the improvement of national food security outcomes and trade policy objectives in the Republic of Belarus through increased evidence-based policies and strategies formulated by the Government with enhanced technical capacity,2022-02-01,2023-01-31,Closed,-,-,FAO,Food and Agriculture Organization of the United Nations,Food and Agriculture Organization of the United Nations,Belarus Ministry of Agriculture and Food,"2.2 By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons.,2.b Correct and prevent trade restrictions and distortions in world agricultural markets, including through the parallel elimination of all forms of agricultural export subsidies and all export measures with equivalent effect, in accordance with the mandate of the Doha Development Round.,2.c Adopt measures to ensure the proper functioning of food commodity markets and their derivatives and facilitate timely access to market information, including on food reserves, in order to help limit extreme food price volatility.,10.2 By 2030, empower and promote the social, economic and political inclusion of all, irrespective of age, sex, disability, race, ethnicity, origin, religion or economic or other status.",2 Zero Hunger; 10 Reduced Inequalities,Belarus,Capacity Development/Technical Assistance,-,-,0 - Not expected to contribute to gender equality/women's empowerment,"In line with its Policy on Gender Equality 2020-2030, FAO is committed to ensure highest standards on gender equality at all levels of its work. This project aligns to the principle of gender equality, striving to ensure that the proposed activities do not lead to harmful gender outcomes and that women and men benefit equally from the intervention.",0 - Not expected to contribute to realization of human rights,-,,-,-,-,-,,73762.0,73762,14762,36881.0,28303.43,25178.59,-,36881.0,31381.0,26710.03,-,36881.0,25853.48,21251.64,-,36881.0,28559.11,22437.99,-,36881.0,28877.89,23554.4,-,59000.0,46364.29,39692.71,-,14762.0,11062.75,8749.41,Project provided evidence-based analysis and recommendations for the development of polices and strategies and for facilitating the creation of a national system on food aid provision; training to national institutions/professional staffs was provided by workshop and projection participation. The following six analytical reports completed • Case Study from the Russian Federation • Case Study from the USA • Case Study from Europe: Germany and Switzerland • Analytical report of national social protection schemes in Belarus • Basic overview of national food security schemes and agriculture trade policy in Belarus • Recommendation report (project: TCP/BYE/3801/C1),36881.0,32724.33,24560.68,-,36881.0,28862.21,25930.23,-,,,,-,,,,-
Kazakhstan,UN Sustainable Development Cooperation Framework 2021-2025,3,Strategic Priority 3: Prosperity and Planet - Inclusive Economic Growth and Environmental Sustainability,3.1.,"Outcome 3.1: By 2025, all people in Kazakhstan, especially the most vulnerable, benefit from inclusive, resilient, and sustainable economic development with improved productive capacities, skills and equal opportunities for sustainable and decent jobs, livelihoods, and businesses.",3.1.1,"Output 3.1.1: Strengthened capacities of national policy makers to develop and implement policies on economic diversification and transition to inclusive, resilient and sustainable economy",Yes,10,Developing the Concept on food security and sustainable food systems,139025,The main outcome of this project is strengthening the capacity and effectiveness of state policy and institutions on food security management,2023-05-02,2025-11-29,Implementation,-,-,FAO,Food and Agriculture Organization of the United Nations,Food and Agriculture Organization of the United Nations,Food and Agriculture Organization of the United Nations; Kazakhstan Ministry of Agriculture ,"1.1 By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.,2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.,2.2 By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons.,2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.,8.1 Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries.,8.2 Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value-added and labour-intensive sectors.,8.3 Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services.",1 No Poverty; 2 Zero Hunger; 8 Decent Jobs and Economic Growth,Kazakhstan,Data Collection and Analysis; Policy Advice and Thought Leadership; Capacity Development/Technical Assistance,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,,1 - Limited contribution to realization of human rights,-,,-,-,Peasants & Rural Workers,-,,97000.0,97000,97000,32333.333333333332,26763.42,19523.68,-,32333.333333333332,28919.8,22849.2,-,32333.333333333332,23824.52,18760.27,-,32333.333333333332,24767.03,22706.32,-,32333.333333333332,28192.73,19216.25,-,32333.333333333332,25033.77,18247.37,-,100.0,82.94,66.06,"There were no major events were organised in 2023, apart from national consultations",21100.0,17625.05,14348.17,"An expert group has been established, consisting of national experts, representatives from academia, NGOs, and key government bodies, including the Ministry of Agriculture, Ministry of Trade and Integration, Ministry of Health, Ministry of National Economy, and Ministry of Labor and Social Protection of Population of the Republic of Kazakhstan. Additionally, a National Project Coordinator from the Ministry of Agriculture has been appointed to facilitate project implementation. Expected outcomes include the presentation of the strategic document and heightened public awareness of national food security and sustainable food systems.",75800.0,69516.9,64020.8,-,,,,-,,,,-
Uzbekistan,United Nations Sustainable Development Cooperation Framework 2021-2025,3,"Sustainable, climate-responsible and resilient development",5,"Outcome 5. By 2025, the most at risk regions and communities of Uzbekistan are more resilient to climate change and disasters, and benefit from increasingly sustainable and gender-sensitive efficient management of natural resources and infrastructure, robust climate action, inclusive environmental governance and protection.",5.1,"Output 5.1. By 2025, innovative, sustainable, inclusive and age- and gender-responsive climate change adaptation and mitigation initiatives in agriculture, health, water, transport, energy production and building/housing/residential infrastructure sectors are designed, financed and implemented at national and regional levels, with a focus on at risk regions, including Aral Sea region",Yes,103.3,Creativity and innovation of young people and vulnerable citizens from exposed communities of the Aral Sea region unleashed and their adaptive capacity strengthened to address the economic and food insecurities (JP)  ,175163,-,2021-01-01,2023-06-30,Closed,-,-,UNDP,United Nations Development Programme,UN Multi-Partner Human Security Trust Fund for the Aral Sea region in Uzbekistan ,Uzbekistan Ministry of Economy and Finance,"1.5 By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters.,2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.,8.9 By 2030, devise and implement policies to promote sustainable tourism that creates jobs and promotes local culture and products.,9.2 Promote inclusive and sustainable industrialization and, by 2030, significantly raise industry's share of employment and gross domestic product, in line with national circumstances, and double its share in least developed countries.","1 No Poverty; 2 Zero Hunger; 8 Decent Jobs and Economic Growth; 9 Industry, Innovation and Infrastructure",Uzbekistan,Direct Support/ Service Delivery,-,-,2 - Gender equality/women's empowerment is a significant objective,,2 - Significant contribution to realization of human rights,-,,-,-,-,-,,1846343.0,1846343,1673474,615447.6666666666,494970.79,408634.26,-,615447.6666666666,411801.41,355635.37,-,615447.6666666666,441134.01,393660.42,-,615447.6666666666,451138.12,360348.65,-,597755.0,512582.25,382242.12,-,915651.0,764009.42,617083.31,-,332937.0,257913.68,179093.74,-,615447.6666666666,466039.48,340514.28,-,615447.6666666666,512886.26,376217.93,-,,,,-,,,,-
Albania,United Nations Sustainable Development Cooperation Framework,2,"Sustainable, resilient and green economic growth and resource management",2,"Outcome 2 - Economic Growth, Innovation and Climate Change ",6,2.1 Employment and skills development,Yes,108,"2025 2.1.19 Rural women and stakeholders have capacities, tools and resources to leverage the Value Chain that benefit their employment opportunities, income, food security, nutrition standards and economic stability",182128,-,2025-01-01,2025-12-31,Implementation,-,-,UN Women,UN Women,UN Women,Albania Civil Society Organisations; Local Government Unit of Albania,"2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and nonfarm employment.,2.a Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries,5.1 End all forms of discrimination against all women and girls everywhere.,5.a Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws.",2 Zero Hunger; 5 Gender Equality,Albania,Direct Support/ Service Delivery; Capacity Development/Technical Assistance,-,-,3 - Gender equality/women's empowerment is the principal objective,,3 - Principal contribution is to the realization of human rights,-,,-,-,-,-,,763000.0,713000,0,763000.0,598911.14,413063.22,-,763000.0,690399.44,530211.95,-,763000.0,630621.23,531159.01,-,763000.0,719180.84,557818.67,-,763000.0,614042.59,533724.19,-,763000.0,590139.36,378632.34,-,763000.0,552940.82,484702.56,-,763000.0,691002.93,535152.13,-,763000.0,671838.37,610161.76,-,,,,-,,,,-
Turkiye,United Nations Sustainable Development Cooperation Framework,2,"Competitive Production, Productivity and Decent Work for All",2.1,"2.1 By 2025, public institutions and private sector contribute to a more inclusive, sustainable and innovative industrial and agricultural development, and equal and decent work opportunities for all, in cooperation with the social partners.",2.1.5,"Output 2.1.5 Technical and institutional capacities of public institutions, CSOs, agricultural producers and the private sector for sustainable agricultural production, natural resource management and innovative solutions in rural economies are strengthened.",Yes,11,2.1.5.11 Agri-food business development grants are provided for micro and small scale agri-food businesses  to promote business development and entrepreneurship,33299,"Agri-food business development grants for micro and small scale agri-food businesses.
250 micro and 50 small Business development grants will be awarded through competitive process to the graduates of vocational training and farmer field schools  - SRRP -OSRO/TUR/901/EC 
",2021-01-01,2024-12-31,Finalisation,-,-,FAO,Food and Agriculture Organization of the United Nations,European Union,Turkish Ministry of Agriculture and Forestry; Turkish Ministry of Family and Social Services,"2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.,8.3 Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services.",2 Zero Hunger; 8 Decent Jobs and Economic Growth,Turkiye,Capacity Development/Technical Assistance,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,"FAO Turkiye's Cooperative Support Program (which includes 27 women-led cooperatives supported by 6 different projects), Farmer Field School Program (it has reached out almost 3.000 farmers through the input and investment supports) and Agricultural Skills Development Programme (ASDP) have been implemented.  27 women-led cooperatives developed capacity.  FAO Turkiye is paying special attention for the empowerment of rural women through the cooperative support program and awareness raising activities. By 2023, women farmers/farm workers account almost 45% the agricultural employment in Turkiye. Considering the LNOB approach, in FETUR project formulation phase those groups are specifically targeted for ensuring better marketing channels and welfare conditions in their living environments. ",1 - Limited contribution to realization of human rights,-,,-,-,-,-,,2302228.0,3002228,60045,767409.3333333334,630108.13,437628.51,-,767409.3333333334,696332.38,548328.86,-,767409.3333333334,600178.85,481773.98,-,767409.3333333334,709406.37,473384.92,-,700000.0,567538.69,452042.2,-,700000.0,594209.09,543306.9,-,767409.3333333334,652193.72,559970.52,-,902228.0,619377.37,397297.47,-,767409.3333333334,605064.1,441069.32,-,,,,-,,,,-
Armenia,UNITED NATIONS SUSTAINABLE DEVELOPMENT COOPERATION FRAMEWORK FOR ARMENIA,2,"Green, sustainable, and inclusive economic development",4,"People, communities and regions benefit from equitable economic opportunities, decent work and sustainable livelihoods, enabled through competitiveness and inclusive green growth",4.1,"4.1 People, including marginalised and vulnerable groups, are empowered to build productive capacities and benefit from community development in rural and urban areas ensuring sustainable livelihoods and decent jobs",Yes,11,Strengthen food systems for food security and trade,52696,"General theme: Strengthening food systems for food security and trade
Outcome 3: Economic growth
Output 4.1: People, including marginalised and vulnerable groups, are empowered to build productive capacities and benefit from community development in rural and urban areas ensuring sustainable livelihoods and decent jobs
Existing programme: Wholegrain Wheat Value Chain Project/Berd project /Potato Value Chain Project",2021-01-01,2021-12-31,Closed,-,-,WFP,United Nations World Food Programme,British Embassy; Core Funding; UN Trust Fund for Human Security; WFP 2030 Fund,United Nations World Food Programme,"1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance.,1.5 By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters.,2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.,2.2 By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons.,2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and nonfarm employment.,2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.,2.5 By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and ensure access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed,7.2 By 2030, increase substantially the share of renewable energy in the global energy mix.,12.2 By 2030, achieve the sustainable management and efficient use of natural resources.",1 No Poverty; 2 Zero Hunger; 7 Affordable and Clean Energy; 12 Responsible Consumption and Production,Tavush; Shirak; Armenia,Capacity Development/Technical Assistance,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,,0 - Not expected to contribute to realization of human rights,-,,-,-,-,-,,344500.0,108525,88367,344500.0,318095.29,229202.59,-,344500.0,249994.96,237495.21,-,344500.0,275348.97,203600.33,-,344500.0,315144.27,273698.53,-,344500.0,314588.61,255492.49,"WFP takes an approach where investments stimulate demand and supply for a product simultaneously, thus strengthening resilience of the value chain as a whole for all actors in the process. In connection to sub-output 4.1.1.2, 4.1.2.1, and 4.1.3.1 WFP activities in Tavush have seen a tangible increase in food productivity, enhancing the availability of locally produced food ",344500.0,327275.0,283539.94,-,344500.0,281553.4,219658.16,-,344500.0,276141.98,220035.32,-,344500.0,278849.63,199282.04,-,,,,-,,,,-
Azerbaijan,United Nations Sustainable Development Cooperation Framework (UNSDCF),1,Strategic Priority 1 - Inclusive growth that reduces vulnerability and builds resilience,1,Outcome 1.1 - People furthest behind participate in and benefit from a diverse and innovative economy encompassing future-oriented labor market transformation and access to decent work,1,"Output 1.1.1 - MSMEs and social enterprises, including women-owned businesses, are set up and sustained for the benefit of the furthest behind",Yes,1.1.1.11,1.1.1.11 - Development of community centered advisory system support that promote local food related development potentials,57962,"Conduct an analysis of existing public and non-state agricultural advisory services; Train service providers in skills to promote market-oriented services; Develop exit strategy for institutionalization of new models of advisory services; Provide direct agricultural advisory service to farmers to reinforce Multiactor innovation Platforms; etc. The FAO Gender-sensitive rural advisory service tool (GRAST) will frame the intervention in order women have equal access rural advisory services. 
",2021-01-01,2022-11-30,Closed,-,-,FAO,Food and Agriculture Organization of the United Nations,European Union,Ministry of Agriculture/Azerbaijan,"2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and nonfarm employment.,2.a Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2 Zero Hunger,Balakan; Zagatala; Gakh; Azerbaijan,Direct Support/ Service Delivery; Data Collection and Analysis; Other (including coordination); Normative Support; Convening/Partnerships/Knowledge Sharing; Capacity Development/Technical Assistance,-,-,2 - Gender equality/women's empowerment is a significant objective,,1 - Limited contribution to realization of human rights,-,,-,-,-,-,,290000.0,290000,436000,145000.0,136017.37,111685.26,-,145000.0,103684.58,81338.46,-,145000.0,117129.92,94407.82,-,145000.0,116043.7,100254.05,-,100000.0,86772.04,52188.94,-,190000.0,167768.59,154714.1,-,145000.0,137750.0,114785.2,-,145000.0,107457.87,82418.89,-,145000.0,130087.16,104412.74,-,,,,-,,,,-
Azerbaijan,United Nations Sustainable Development Cooperation Framework (UNSDCF),1,Strategic Priority 1 - Inclusive growth that reduces vulnerability and builds resilience,1,Outcome 1.1 - People furthest behind participate in and benefit from a diverse and innovative economy encompassing future-oriented labor market transformation and access to decent work,1,"Output 1.1.1 - MSMEs and social enterprises, including women-owned businesses, are set up and sustained for the benefit of the furthest behind",Yes,1.1.1.15,"1.1.1.15 - Enhanced frameworks for food safety, quality assurance, processing, marketing and international trade of fish products",57966,"Regional workshop on management of food safety and quality assurance laboratory for fish products; Regional workshop on international food safety and quality assurance standards to enter international markets; Regional workshop on fish processing for income diversification and employment of women and youth, targeting SMEs in beneficiary countries; Regional awareness raising campaign targeting participating countries on nutritional benefits of fish consumption. 
Gender mainstreaming strategy for this project will be the following:
 Policy reviews, advice, discussions and training will include gender balance , social inclusion and human rights considerations;
 The project team will support the creation, development and/or expansion (depending on the country) of women’s cooperatives and associations, and will promote the engagement of women in mixed cooperatives and associations 
 All monitoring and reporting of the project will be gender responsive, disaggregated by sex (and
also by age when relevant), and corrective measures will be taken when necessary so that both
men and women can actively benefit from the project;
 All assessments conducted within the project will include gender and social inclusion
considerations.
 The project team will also work to promote gender issues in fisheries in the CACFish agenda and
discussions.",2021-01-01,2023-12-31,Closed,-,-,FAO,Food and Agriculture Organization of the United Nations,Government of Türkiye,Ministry of Ecology and Natural Resources/Azerbaijan,"2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and nonfarm employment.,14.4 By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics.",2 Zero Hunger; 14 Life Below Water,Azerbaijan,Capacity Development/Technical Assistance,-,-,1 - Contributes to gender equality/women's empowerment in a limited way,,0 - Not expected to contribute to realization of human rights,-,,-,-,-,-,,57000.0,57000,50000,19000.0,16201.71,12313.06,-,19000.0,13982.82,12263.5,-,19000.0,13330.16,11401.15,-,19000.0,14989.72,14209.22,-,10000.0,8645.95,6389.67,-,10000.0,7189.14,5661.73,-,37000.0,31593.13,27240.48,-,19000.0,13209.79,10027.68,-,19000.0,17059.5,14169.64,-,,,,-,,,,-
