Country,Plan name,Strategic priority,Outcome,Output,Sub-Output,SDG Targets,SDG Goals,QCPR function,Total required resources,Total available resources,Total expenditure resources,2018 Required,2018 Available,2018 Expenditure,2019 Required,2019 Available,2019 Expenditure,2020 Required,2020 Available,2020 Expenditure,2021 Required,2021 Available,2021 Expenditure,2022 Required,2022 Available,2022 Expenditure,2023 Required,2023 Available,2023 Expenditure,2024 Required,2024 Available,2024 Expenditure,2025 Required,2025 Available,2025 Expenditure,2026 Required,2026 Available,2026 Expenditure,2027 Required,2027 Available,2027 Expenditure,2028 Required,2028 Available,2028 Expenditure
Syria,United Nations Strategic Framework,Pillar I:  Availability and Access to Basic and Social Services,"Outcome 1: Improved, equitable, inclusive, and safe access to quality basic services.","Output 1.1. Enhancing access to quality formal and non-formal education services, including rehabilitation, equipment to ensure facilities are functional, safe roads to schools and building skills of adolescents and youth",Capacity-building for education personnel and technical and vocational education and training in Syria to provide quality education to children and youth.,"4.a Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all.,11.1 By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums.",4 Quality Education; 11 Sustainable Cities and Communities,Convening/Partnerships/Knowledge Sharing,88000,0,0,88000.0,75887.01,68846.5,88000.0,76898.94,68910.83,88000.0,75819.38,72028.42,88000.0,73472.3,58000.25,88000.0,75866.4,62980.36,88000.0,58042.43,47550.68,88000.0,63422.73,41877.28,88000.0,77478.29,54364.53,,,,,,,,,
Syria,United Nations Strategic Framework,Pillar III:   Enabling environment for a resilient return,"Outcome 3:  Improved living conditions of displaced people, returning refugees and affected communities.","Output 3.1: Supporting the capacities of government institutions and of returnees and affected communities, in particular vulnerable groups to ensure the provision of and access to legal and administrative services aimed at facilitating the reintegration of returnees.","Conduct advocacy and provide technical support to relevant Government institutions and other stakeholders to undertake Explosive Ordnance Risk Education, contamination surveys and humanitarian mine clearance in return areas.","1.5 By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters.",1 No Poverty,Policy Advice and Thought Leadership,15000,0,0,15000.0,12586.96,9509.94,15000.0,13722.82,12508.85,15000.0,10883.47,9475.97,15000.0,11573.25,9087.55,15000.0,11288.67,8247.87,15000.0,10656.6,9688.64,15000.0,10289.46,8989.4,15000.0,12375.51,9328.4,,,,,,,,,
Palestine,United Nations Sustainable Development Cooperation Framework,People ,"Palestinians, including the most vulnerable, have equal access to sustainable, inclusive, gender responsive and quality social services, social protection, and affordable utilities"," Increased number of children, adolescents and youth including those in humanitarian situations, have access to quality education, life skills and affordable technical and vocational training as well as tertiary education and act as agents of change ",Education system and services are resilient and have the capacity to deliver inclusive and gender-responsive quality education and life skills for improved learning at all levels of schooling including for those in humanitarian situation. ,"4.1 By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes.",4 Quality Education,Capacity Development/Technical Assistance,2892000,2227000,0,2892000.0,2157553.36,1915064.82,2892000.0,2184704.86,1760888.45,2892000.0,2197303.3,1873999.42,2892000.0,2195586.24,1846804.96,2892000.0,2294603.12,1892312.21,2892000.0,2534501.43,1986013.39,2892000.0,2392319.18,1968645.55,2892000.0,2028821.19,1829750.44,,,,,,,,,
Palestine,United Nations Sustainable Development Cooperation Framework,Peace,"Palestinian governance institutions, processes, and mechanisms at all levels are more democratic, rights-based, inclusive, and accountable","Human rights treaty obligations and recommendations are integrated in national laws, policies and programmes, with mechanisms for monitoring compliance established, including through civil society ","Providing evidence based policy advice and supporting policy dialogue forums with duty bearars  including decision makers in key ministries- the Ministry of Health, Ministry of Social Develolment, Ministry of Women's Affairs, Ministry of Education, the Higher Counsel for Youth,  advocating the rightls holders position for reaching the three transformative results. ","3.1 By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.,3.7 By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes.,5.1 End all forms of discrimination against all women and girls everywhere.,5.2 Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation.,5.3 Eliminate all harmful practices, such as child, early and forced marriage and female genital mutilation.,16.7 Ensure responsive, inclusive, participatory and representative decision-making at all levels.",3 Good Health and Well-being; 5 Gender Equality; 16 Peace and Justice - Strong Institutions,Policy Advice and Thought Leadership,50000,0,0,50000.0,37514.55,28877.49,50000.0,39552.15,32026.99,50000.0,40497.79,30376.79,50000.0,40341.24,27598.27,50000.0,38857.94,33259.18,50000.0,40406.19,37364.06,50000.0,41968.81,36397.04,50000.0,39296.75,32307.01,,,,,,,,,
Palestine,United Nations Sustainable Development Cooperation Framework,People ,"Palestinians, including the most vulnerable, have equal access to sustainable, inclusive, gender responsive and quality social services, social protection, and affordable utilities",Health system is strengthened to improve access to quality and equitable health and nutrition services for all Palestinians,"Standardization of academic midwifery education, leading to a unified accreditation system ","3.1 By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.,3.7 By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes.,5.6 Ensure universal access to sexual and reproductive health and reproductive rights as agreed in accordance with the Programme of Action of the International Conference on Population and Development and the Beijing Platform for Action and the outcome documents of their review conferences.",3 Good Health and Well-being; 5 Gender Equality,Policy Advice and Thought Leadership,20075,10000,0,20075.0,16005.4,12886.72,20075.0,15973.14,10700.52,20075.0,15260.0,12662.06,20075.0,16858.51,14095.98,20075.0,18183.33,16754.99,20075.0,18571.89,15631.84,20075.0,16985.23,14476.12,20075.0,15974.2,13902.82,,,,,,,,,
Jordan,United Nations Sustainable Development Framework (UNSDF) 2018-2022,Strategic Priority 1 - SP 1: Strengthened Institutions,"Outcome 1.1 - Institutions in Jordan at national and local levels are more responsive, inclusive, accountable, transparent and resilient.",Output 1.1.1 - Strengthening Institutions to improve performance: National and local public institutions are better able to perform their core functions giving attention to needs of vulnerable groups,"1.1.1.10 - Strengthen the capacity of the Ministry of Education (MoE) to prevent and respond to violence against boys and girls with and without disabilities in schools (in school, at home, on the way to and from schools)","16.2 End abuse, exploitations, trafficking and all forms of violence against and torture of children.",16 Peace and Justice - Strong Institutions,Capacity Development/Technical Assistance,1600000,1600000,0,800000.0,644714.28,498027.74,800000.0,573459.78,410907.2,800000.0,571292.77,495508.77,800000.0,527834.95,424640.33,800000.0,628001.44,468581.51,800000.0,689550.49,560195.79,800000.0,605265.6,416711.23,800000.0,574442.09,451409.89,,,,,,,,,
Jordan,United Nations Sustainable Development Framework (UNSDF) 2018-2022,Strategic Priority 1 - SP 1: Strengthened Institutions,"Outcome 1.1 - Institutions in Jordan at national and local levels are more responsive, inclusive, accountable, transparent and resilient.",Output 1.1.1 - Strengthening Institutions to improve performance: National and local public institutions are better able to perform their core functions giving attention to needs of vulnerable groups,"1.1.1.27 - Provision of technical support to the MoE for policy, national planning and management as well as capacity development for inclusive education","4.5 By 2030, eliminate gender disparities in education and ensure equal access to all levels of education and vocational training for the vulnerable, including persons with disabilities, indigenous peoples and children in vulnerable situations.,5.1 End all forms of discrimination against all women and girls everywhere.",4 Quality Education; 5 Gender Equality,Capacity Development/Technical Assistance,500000,500000,0,500000.0,414325.37,294651.01,500000.0,385538.31,336492.13,500000.0,378483.04,297065.96,500000.0,338158.6,293277.07,500000.0,403589.42,287672.21,500000.0,432595.49,307872.36,500000.0,410378.33,269543.13,500000.0,347139.44,258504.19,,,,,,,,,
Iraq,United Nations Sustainable Development Cooperation Framework,"STRATEGIC PRIORITY 1 : Achieving Social Cohesion, Protection and Inclusion","Outcome 1.1 : Strengthened and effective inclusive, people-centred, gender-responsive and human rights based policies and national systems contribute to gender equality, the promotion of protection, Social Protection, social cohesion and peaceful societies, with focus on the most vulnerable populations, including women, youth and minorities","Output 1.1.1 : Government is supported to promote and develop evidence-based policies, legislation, and mechanisms ensuring gender-sensitive, inclusive access to quality social protection and protection services.","Strengthened educational governance through improved policies, effective management, and targeted planning to ensure inclusive and equitable access to quality learning opportunities for all learners","4.1 By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes.",4 Quality Education,Capacity Development/Technical Assistance,2593348,2593348,738000,2593348.0,2137979.3,1726080.33,2593348.0,2077632.87,1550544.34,38855.68,27796.5,24832.7,33120.33,28695.89,23238.12,197716.4,165676.54,129287.8,37572.8,26035.77,24564.94,2593348.0,2161227.86,1836328.69,1155329.887142857,1003861.61,672324.63,,,,,,,,,
Iraq,United Nations Sustainable Development Cooperation Framework,"STRATEGIC PRIORITY 1 : Achieving Social Cohesion, Protection and Inclusion","Outcome 1.1 : Strengthened and effective inclusive, people-centred, gender-responsive and human rights based policies and national systems contribute to gender equality, the promotion of protection, Social Protection, social cohesion and peaceful societies, with focus on the most vulnerable populations, including women, youth and minorities","Output 1.1.1 : Government is supported to promote and develop evidence-based policies, legislation, and mechanisms ensuring gender-sensitive, inclusive access to quality social protection and protection services.",Institutionalised teachers’ professional development systems ensuring quality teaching and learning in general education.,"4.1 By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes.",4 Quality Education,Capacity Development/Technical Assistance,713243,713243,498000,713243.0,553946.38,402577.96,713243.0,560905.03,415662.2,34006.2,24851.17,22451.25,41529.09,36519.78,26624.83,195022.47,160699.7,137265.06,41115.58,27812.81,21029.56,713243.0,552968.63,461054.97,350200.33428571426,272054.78,185498.68,,,,,,,,,
Iraq,United Nations Sustainable Development Cooperation Framework,"STRATEGIC PRIORITY 1 : Achieving Social Cohesion, Protection and Inclusion","Outcome 1.1 : Strengthened and effective inclusive, people-centred, gender-responsive and human rights based policies and national systems contribute to gender equality, the promotion of protection, Social Protection, social cohesion and peaceful societies, with focus on the most vulnerable populations, including women, youth and minorities","Output 1.1.1 : Government is supported to promote and develop evidence-based policies, legislation, and mechanisms ensuring gender-sensitive, inclusive access to quality social protection and protection services.","Enhanced educational governance around policies, effective management and more specific planning for inclusive and equitable access to quality learning opportunities for all learners, based on evidence and responsive to the gender dimension, at all levels (including Ministry of Education –MoE; General Directorates of Education -GDoEs; and schools).","4.1 By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes.",4 Quality Education,Capacity Development/Technical Assistance,471936,471936,471936,471936.0,397033.43,355010.24,471936.0,393451.29,293018.62,47666.42,35562.2,33784.09,30902.85,27782.4,21072.55,190716.23,166821.84,158480.75,28434.05,20889.29,18317.16,471936.0,424014.34,309828.12,244789.65,198421.79,135746.27,,,,,,,,,
