Country,Plan name,Strategic priority,Outcome,Output,Sub-Output,SDG Targets,SDG Goals,QCPR function,Total required resources,Total available resources,Total expenditure resources,2018 Required,2018 Available,2018 Expenditure,2019 Required,2019 Available,2019 Expenditure,2020 Required,2020 Available,2020 Expenditure,2021 Required,2021 Available,2021 Expenditure,2022 Required,2022 Available,2022 Expenditure,2023 Required,2023 Available,2023 Expenditure,2024 Required,2024 Available,2024 Expenditure,2025 Required,2025 Available,2025 Expenditure,2026 Required,2026 Available,2026 Expenditure,2027 Required,2027 Available,2027 Expenditure,2028 Required,2028 Available,2028 Expenditure
Bahrain,United Nations Sustainable Development Cooperation Framework,"Environment, energy, and food","Policies and frameworks are strengthened for the sustainable management of natural resources, sustainable energy, climate resilience, and enhanced food security ","03. Improve food security and nutrition across all population, through sustainable food production systems, resilient agriculture practices, and more efficient food supply networks.","Food Security Strategy and Biosecurity National Plan developed, reinforcing agricultural statistics systems, aquaculture, poultry, and water-resources management for Bahrain.","2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.,2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.,8.2 Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value-added and labour-intensive sectors.",2 Zero Hunger; 8 Decent Jobs and Economic Growth,Policy Advice and Thought Leadership,1846352,1846352.0,1236575,461588.0,344985.12,304572.36,461588.0,376753.91,299474.0,461588.0,409187.89,317161.6,539402.0,415453.05,351057.19,425313.0,277159.92,211676.98,523504.0,396999.65,315602.24,358133.0,296105.82,241755.58,461588.0,351465.48,304616.58,,,,,,,,,
Palestine,United Nations Sustainable Development Cooperation Framework,Prosperity ,"Palestinians have greater access to economic opportunities that are inclusive, resilient, and sustainable, including decent employment and livelihoods opportunities in an empowered private sector","Enhanced enabling environment, including policy and legal frameworks, for inclusive decent","Enhanced enabling environment, including policy and legal frameworks, for inclusive decent employment, sustainable agribusiness development and food and nutrition security","1.1 By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.,2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.",1 No Poverty; 2 Zero Hunger,Capacity Development/Technical Assistance,425283,300399.0,0,425283.0,343316.22,303598.02,425283.0,375619.28,275033.16,425283.0,289148.07,261572.04,425283.0,378395.1,296430.64,425283.0,349005.57,276609.27,425283.0,283551.36,241677.54,425283.0,381628.64,261232.46,425283.0,359303.13,306328.7,,,,,,,,,
Palestine,United Nations Sustainable Development Cooperation Framework,Planet ,"Palestinians have better access to and management of natural and cultural resources, higher resilience and adaptation to climate change and more sustainable food systems", Inclusive green and climate-smart agri-food systems are strengthened to enhance food security and nutrition and promote sustainable and resilient livelihoods,Inclusive green and climate-smart agri-food systems strengthened through enhanced food safety systems.,"1.5 By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters.,2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.,3.d Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks.",1 No Poverty; 2 Zero Hunger; 3 Good Health and Well-being,Policy Advice and Thought Leadership,547308,121677.0,0,547308.0,479717.97,432443.37,547308.0,432526.19,327565.67,547308.0,462231.33,384954.93,547308.0,482099.23,342074.58,547308.0,424201.97,358112.34,547308.0,490627.47,375373.59,547308.0,480958.3,456910.39,547308.0,373821.14,285184.26,,,,,,,,,
Palestine,United Nations Sustainable Development Cooperation Framework,Prosperity ,"Palestinians have greater access to economic opportunities that are inclusive, resilient, and sustainable, including decent employment and livelihoods opportunities in an empowered private sector","Increased public and private investments to support green and job-rich economic growth, with a focus on infrastructure and tradeable sectors",Increased public investments to support green and job-rich economic growth with a focus on infrastructures required to foster agrifood sector development.,"1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance.,2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and nonfarm employment.,2.c Adopt measures to ensure the proper functioning of food commodity markets and their derivatives and facilitate timely access to market information, including on food reserves, in order to help limit extreme food price volatility.,8.2 Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value-added and labour-intensive sectors.,8.3 Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship, creativity and innovation, and encourage the formalization and growth of micro-, small- and medium-sized enterprises, including through access to financial services.,10.1 By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average.,10.2 By 2030, empower and promote the social, economic and political inclusion of all, irrespective of age, sex, disability, race, ethnicity, origin, religion or economic or other status.",1 No Poverty; 2 Zero Hunger; 8 Decent Jobs and Economic Growth; 10 Reduced Inequalities,Capacity Development/Technical Assistance,504017,345583.0,0,504017.0,477678.71,427928.57,504017.0,413626.09,317128.68,504017.0,391070.61,343493.1,504017.0,407075.46,295643.58,504017.0,356625.16,251555.36,504017.0,378467.91,359544.52,504017.0,443537.19,283816.1,504017.0,363475.22,310572.54,,,,,,,,,
Palestine,United Nations Sustainable Development Cooperation Framework,Planet ,"Palestinians have better access to and management of natural and cultural resources, higher resilience and adaptation to climate change and more sustainable food systems","Measures introduced to promote greening of public and private investment in natural resource-intensive sectors, including capacitating relevant actors to promote sustainable practices and policies","Measures introduced to promote greening of public and private investment in natural resource-intensive sectors, including capacitating relevant actors in the agrifood sector to promote sustainable practices and policies","2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.,13.2 Integrate climate change measures into national policies, strategies and planning.,13.b Promote mechanisms for raising capacity for effective climate change-related planning and management in least developed countries, including focusing on women, youth and local and marginalized communities.",2 Zero Hunger; 13 Climate Action,Capacity Development/Technical Assistance,1716739,821422.0,0,1716739.0,1497194.93,1256446.34,1716739.0,1483476.47,1211819.11,1716739.0,1311697.02,1105872.82,1716739.0,1437284.85,970734.73,1716739.0,1243028.73,1048805.4,1716739.0,1458809.2,1066613.1,1716739.0,1630902.05,1423118.8,1716739.0,1137217.95,855727.33,,,,,,,,,
Bahrain,United Nations Sustainable Development Cooperation Framework,"Environment, energy, and food","Policies and frameworks are strengthened for the sustainable management of natural resources, sustainable energy, climate resilience, and enhanced food security ","03. Improve food security and nutrition across all population, through sustainable food production systems, resilient agriculture practices, and more efficient food supply networks.","National strategic framework for action on health and environment, including climate change adaptation and mitigation and food safety, developed.","1.3 Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable.,2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.,3.9 By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination.,12.4 By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment.,13.2 Integrate climate change measures into national policies, strategies and planning.",1 No Poverty; 2 Zero Hunger; 3 Good Health and Well-being; 12 Responsible Consumption and Production; 13 Climate Action,Policy Advice and Thought Leadership; Capacity Development/Technical Assistance,195000,145000.0,145000,65000.0,43224.55,37418.75,65000.0,54270.69,42855.43,65000.0,57609.81,48752.22,65000.0,51942.03,39340.39,20000.0,12895.55,8902.35,75000.0,66817.88,52400.19,100000.0,77541.05,63561.59,65000.0,44487.65,36557.09,,,,,,,,,
Yemen,United Nations Sustainable Development Cooperation Framework,"Increase food security, creating livelihood options and job creation","Availability, sustainability and inclusive access to quality nutrition, food security, environment, resilient livelihoods, including vulnerable and marginalized population groups of Yemen, enhanced","Effective gender-responsive food production, diversification, and nutrition  including for the most vulnerable population groups promoted","Assets and productive infrastructures to improve food security, local economic recovery, and access to services enhanced","1.1 By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day.,2.1 By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round.",1 No Poverty; 2 Zero Hunger,Direct Support/ Service Delivery,254701853,244287490.0,115283922,84900617.66666667,71431976.87,51932781.21,84900617.66666667,61791893.45,50085735.82,84900617.66666667,61465223.68,50287103.65,84900617.66666667,68326374.29,54925765.02,55857218.0,44605110.26,34819061.9,131865152.0,106783188.73,90787884.05,66979483.0,53183242.16,43503639.61,84900617.66666667,53727541.74,44439734.54,,,,,,,,,
Iraq,United Nations Sustainable Development Cooperation Framework,"STRATEGIC PRIORITY 1 : Achieving Social Cohesion, Protection and Inclusion","Outcome 1.1 : Strengthened and effective inclusive, people-centred, gender-responsive and human rights based policies and national systems contribute to gender equality, the promotion of protection, Social Protection, social cohesion and peaceful societies, with focus on the most vulnerable populations, including women, youth and minorities","Output 1.1.1 : Government is supported to promote and develop evidence-based policies, legislation, and mechanisms ensuring gender-sensitive, inclusive access to quality social protection and protection services.",Key Activity 1.1.1.2: Vulnerable people benefit from improvements to the MIS of the public distribution system and safety nets that result in improved food security and nutrition.,"17.7 Promote the development, transfer, dissemination and diffusion of environmentally sound technologies to developing countries on favourable terms, including on concessional and preferential terms, as mutually agreed.",17 Partnerships for the Goals,Capacity Development/Technical Assistance,48291514,19588557.0,10158894,9658302.8,8917892.46,6999370.58,9658302.8,8744878.76,6621187.74,27122624.0,22128643.51,17524391.33,7082272.0,5367940.11,4368707.59,4785769.0,3980977.77,3459394.7,7600000.0,5313390.85,4136254.2,1700849.0,1425027.46,1293053.34,9658302.8,6489311.91,5106327.4,,,,,,,,,
Jordan,United Nations Sustainable Development Framework (UNSDF) 2018-2022,Strategic Priority 1 - SP 1: Strengthened Institutions,"Outcome 1.1 - Institutions in Jordan at national and local levels are more responsive, inclusive, accountable, transparent and resilient.",Output 1.1.1 - Strengthening Institutions to improve performance: National and local public institutions are better able to perform their core functions giving attention to needs of vulnerable groups,"1.1.1.32 - Strengthened national capacities to effectively plan, coordinate and monitor the food security sector: Development of the National Food Security Strategy Action Plan (2021-2022)","2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.,17.18 By 2020, enhance capacity-building support to developing countries, including for least developed countries and small island developing States, to increase significantly the availability of high-quality, timely and reliable data disaggregated by income, gender, age, race, ethnicity, migratory status, disability, geographic location and other characteristics relevant in national contexts.",2 Zero Hunger; 17 Partnerships for the Goals,Capacity Development/Technical Assistance,1000000,200000.0,0,1000000.0,807513.12,539199.4,1000000.0,713989.11,611986.77,1000000.0,754080.87,577957.93,1000000.0,735303.58,634396.27,1000000.0,897731.52,790409.1,1000000.0,773935.06,518861.4,1000000.0,772922.96,614721.48,1000000.0,895197.53,850437.66,,,,,,,,,
Iraq,United Nations Sustainable Development Cooperation Framework,"STRATEGIC PRIORITY 1 : Achieving Social Cohesion, Protection and Inclusion","Outcome 1.1 : Strengthened and effective inclusive, people-centred, gender-responsive and human rights based policies and national systems contribute to gender equality, the promotion of protection, Social Protection, social cohesion and peaceful societies, with focus on the most vulnerable populations, including women, youth and minorities","Output 1.1.1 : Government is supported to promote and develop evidence-based policies, legislation, and mechanisms ensuring gender-sensitive, inclusive access to quality social protection and protection services.","Key Activity 1.1.1.33: Technical support to the MoA, MoP, MoWR and MoHE to  develop action plans and establish a national committee on food security, as part of the National Strategy on food security","2.a Increase investment, including through enhanced international cooperation, in rural infrastructure, agricultural research and extension services, technology development and plant and livestock gene banks in order to enhance agricultural productive capacity in developing countries, in particular least developed countries",2 Zero Hunger,Policy Advice and Thought Leadership,175000,175000.0,50482,87500.0,83125.0,68608.83,87500.0,66818.56,54693.87,87500.0,66081.26,43680.42,87500.0,70503.28,57720.91,100000.0,75148.57,70876.71,75000.0,59289.76,46919.06,87500.0,66424.19,59512.12,87500.0,69609.7,58448.68,,,,,,,,,
