Country,Plan name,Strategic priority,Outcome,Output,Sub-Output,SDG Targets,SDG Goals,QCPR function,Total required resources,Total available resources,Total expenditure resources,2018 Required,2018 Available,2018 Expenditure,2019 Required,2019 Available,2019 Expenditure,2020 Required,2020 Available,2020 Expenditure,2021 Required,2021 Available,2021 Expenditure,2022 Required,2022 Available,2022 Expenditure,2023 Required,2023 Available,2023 Expenditure,2024 Required,2024 Available,2024 Expenditure,2025 Required,2025 Available,2025 Expenditure,2026 Required,2026 Available,2026 Expenditure,2027 Required,2027 Available,2027 Expenditure
Sri Lanka,UNSDF 2018 - 2022,Driver 3: Human security and socio-economic resilience,"By 2022, people in Sri Lanka, especially the vulnerable and marginalised groups of children, youth, women, migrants, elderly and disabled, benefit equitably from dynamic and responsive social protection systems.",Health,Supporting Genomic sequencing of the SARS COV-2 virus to determine the major strain/s of the virus responsible for the pandemic at different    stages.,"3.d Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks.",3 Good Health and Well-being,-,1475410.5,100000.0,225000.0,50000.0,43982.25,33878.29,50000.0,38424.22,31022.81,50000.0,43665.8,33823.08,50000.0,36701.32,32688.17,112500.0,78166.8,61701.39,50000.0,40800.48,28825.01,50000.0,42132.72,34340.96,50000.0,33964.59,23971.75,50000.0,45155.16,37079.33,50000.0,41261.73,32763.68
Bhutan,United Nations Sustainable Development Cooperation Framework,Data and Policy," Outcome 1: By 2023, there is enhanced access to and use of reliable and timely data for inclusive and evidence-based policy and decision-making  ","1.1 - Central agencies and local governments are better able to integrate, monitor and report on Five-Year Plans and the SDGs","Develop training materials/manuals on data collection methods, standards and quality control aspects, responsibilities and accountability, and management of the NSDS at different levels",-,-,-,151628.0,151628.0,110538.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,UN Socioeconomic and Peacebuilding Framework for COVID-19 Recovery in the Philippines 2020-2023,Prosperity and Planet,"Urbanization, economic growth, and climate change actions are converging for a resilient, equitable, and sustainable development path for communities.",Output 6: Resilience strengthened in all sectors and all levels of government,Strengthened trade facilitation capacity to implement the Customs Modernisation and Tariffs Act (CMTA) and WTO Trade Facilitation Agreement (WTO TFA)	,"8.1 Sustain per capita economic growth in accordance with national circumstances and, in particular, at least 7 per cent gross domestic product growth per annum in the least developed countries.",8 Decent Jobs and Economic Growth,Capacity Development/Technical Assistance,670806.0,670806.0,484872.0,223602.0,175361.83,164610.43,223602.0,148653.98,118936.26,223602.0,201972.49,147957.8,223602.0,201812.88,179833.59,223602.0,169510.39,119192.56,223602.0,147701.23,110141.43,223602.0,178694.18,157593.69,223602.0,156791.54,117514.04,223602.0,175892.39,125188.82,223602.0,167724.9,131957.69
Viet Nam,Viet Nam One Strategic Plan 2017-2021 (OSP),FOCUS AREA 1: INVESTING IN PEOPLE,"Outcome 1.2 - Equity in Health: By 2021, all people, particularly the most vulnerable, benefit from inclusive and equitable health systems, services and the promotion of healthy environments.","Output 1.2.1 - (RG1) Multi-sectoral policy dialogues and actions facilitated, to support the development and implementation of evidence-based and innovative strategies, policies and programmes that will address inequities in health.","1.2.1.24 - Support multi-sectoral collaboration and political commitment, raising awareness, and communications at different levels to tackled AMR","3.d Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks.",3 Good Health and Well-being,"Capacity Development/Technical Assistance, Policy Advice and Thought Leadership",313681.25,209008.32,112665.0,157268.25,125333.43,99015.39,157268.25,132351.64,107775.84,78206.5,63719.7,50288.04,78206.5,60285.04,52593.66,120359.0,88710.58,68529.63,120359.0,100924.86,70571.8,120359.0,95147.23,89677.33,120359.0,106691.61,70034.94,120359.0,99965.35,73120.4,120359.0,111171.63,92188.74
Pakistan,UNSDCF 2023 - 2027,Basic Social Services,"Outcome 1: By 2027, the people in Pakistan, especially the most vulnerable and deprived, have increased equitable access to and utilization of quality, sustainable basic social services (BSS).","Output 1.4: The education system in Pakistan has improved capacities to deliver more inclusive, equitable, gender-responsive, quality education and skills development, including lifelong learning opportunities and transferable skills, to children and youth, particularly girls and those residing in disadvantaged areas, including during humanitarian and emergency situations.",Improving quality and access to primary and secondary education through different learning modalities with integrated and cross sector service provision models.,"4.1 By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes.",4 Quality Education,"Capacity Development/Technical Assistance, Direct Support/ Service Delivery",3918290.0,3918290.0,3597587.0,3093687.0,2795674.62,2437000.46,3093687.0,2347594.26,1951301.27,3093687.0,2575007.89,2031798.59,3093687.0,2530524.36,2370474.9,3093687.0,2515857.98,1853032.65,3093687.0,2369925.17,2113480.28,824603.0,567863.53,483272.82,503900.0,417377.12,349628.5,503900.0,404337.76,274685.72,503900.0,379734.56,295668.27
India,United Nations Sustainable Development Cooperation Framework 2023-2027,PEOPLE: A society that empowers its marginalised populations and provides sustained access to quality services,"Health and well-being: By 2027, communities, especially the most disadvantaged, demand for and benefit from an inclusive, universal, affordable, accessible, accountable, and quality health care services, while adopting positive health practices",Sustainable Health Financing & Business Models: Financing and sustainable business models around health are strengthened.,"Strengthen and evolve stronger and effective public private partnership models in different areas of public health, and health services","3.1 By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.,3.2 By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births.",3 Good Health and Well-being,Convening/Partnerships/Knowledge Sharing,2772773.0,2605543.0,413050.0,294000.0,231684.66,188848.09,294000.0,250009.04,204978.13,294000.0,224915.25,148084.99,294000.0,209086.53,161992.15,294000.0,272503.44,208460.19,294000.0,203519.14,165361.58,1971422.0,1510490.12,1090003.49,507351.0,461884.36,350593.2,507351.0,397322.28,333950.35,507351.0,369236.87,264439.1
China,UNSDCF 2021 - 2025,Strategic Priority 1 - People and Prosperity,"Outcome 2: People’s lives in China are improved further as headway is made in ensuring access to childcare, education, healthcare services, elderly care, housing and social assistance, and more people in China, including left-behind groups, benefit from equitable and high-quality public services and social protection systems as well as accelerated efforts to reduce gender inequality and other forms of social inequality throughout the life-course. ","Shared Output 1.4 and 2.6:  With UN analytical inputs and technical assistance, China is better able to deliver inclusive, adaptive and quality lifelong education, learning and skills development which is accessible to all and relevant for life and work in the context of a rapidly evolving economic and social transformation.","1.4.2 & 2.6.2 Assist national partners in identifying skills mismatches and future skill needs, and designing and implementing gender responsive quality apprenticeship schemes based on good practices from different provinces and other countries","8.5 By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value.,8.6 By 2020, substantially reduce the proportion of youth not in employment, education or training.",8 Decent Jobs and Economic Growth,"Capacity Development/Technical Assistance, Policy Advice and Thought Leadership",1700000.0,50000.0,84576.5,200000.0,140844.4,104901.77,200000.0,163651.52,139150.42,200000.0,176790.6,121729.96,200000.0,172966.87,147974.59,1500000.0,1151690.4,919077.79,50000.0,37427.74,31699.98,50000.0,36419.31,25582.82,50000.0,32874.85,30894.1,50000.0,35942.41,26556.66,50000.0,42551.48,31599.53
Sri Lanka,UNSDF 2018 - 2022,Driver 2: Strengthened innovative public institutions and engagement toward a lasting peace,"By 2022, people in Sri Lanka, especially the marginalised and vulnerable, benefit from more rights-based, accountable, inclusive and effective public institutions, to enhance trust amongst communities and towards the State",Social Cohesion,Promote social cohesion and women’s economic empowerment including through the transfer of assets with particular attention to vulnerable groups from different ethnic and faith groups including female headed households and victims of violent extremism,"5.a Undertake reforms to give women equal rights to economic resources, as well as access to ownership and control over land and other forms of property, financial services, inheritance and natural resources, in accordance with national laws.",5 Gender Equality,-,601328.0,2557371.25,14800.0,200442.0,137103.06,112639.52,200442.0,153542.77,135288.29,200442.0,162042.13,132917.0,200443.0,190420.85,180899.81,200443.0,158660.2,140183.02,623614.4285714285,451903.63,375900.66,771492.5714285715,642582.33,464304.54,560129.2857142857,487824.38,320879.52,436106.0952380953,294910.04,226680.79,410323.7142857143,364699.12,270818.1
Cambodia,Cambodia United Development Assistance Framework 2019-2023,"Strategic Priority 1 - Women and men in Cambodia, in particular the marginalized and vulnerable, have their basic needs addressed equitably",Outcome 1.2 - Public and private sectors provide quality services and expanded coverage for marginalized and vulnerable populations in line with international standards and norms (including during emergencies),"Sustained elimination of new HIV infections through combination HIV prevention approaches, including new case detection, treatment coverage and retention ","Supporting optimization of new case detection through differentiated HIV testing, including scale up of HIV Self Testing; and HIV treatment","3.3 By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",3 Good Health and Well-being,Policy Advice and Thought Leadership,181330.0,148830.0,163864.6666666667,36100.0,24830.34,20856.96,36100.0,26845.53,21576.83,36100.0,32312.96,26361.9,36100.0,29336.56,22120.33,72114.0,63939.13,53270.04,73116.0,56010.85,40971.55,73116.0,56971.26,46916.65,73116.0,58979.22,44314.41,73116.0,56515.54,42978.18,73116.0,51664.49,41985.32
Cambodia,Cambodia United Development Assistance Framework 2019-2023,"Strategic Priority 2 - Women and men in Cambodia, in particular those marginalized and vulnerable, benefit from expanded opportunities for decent work and technological innovations","Outcome 2.3 - Social norms, laws, policies and institutions promote economic inclusion, especially of women, persons with disabilities, women and men living in remote areas and the extreme poor",Barriers to participation of marginalized groups reduced; stigma and discrimination reduced,"Support to strengthening responsive social protection:  - Assess the impact of government cash transfers on poor and vulnerable groups with a focus on the differential impacts on women using a longitudinal tracer study and financial diaries - technical assistance on the revisions of the IDPoor scoring mechanism which include vulnerability parameters such as gender, household burden and disability status  - Option for single registry using block chain","1.3 Implement nationally appropriate social protection systems and measures for all, including floors, and by 2030 achieve substantial coverage of the poor and the vulnerable.",1 No Poverty,Capacity Development/Technical Assistance,778890.0,778890.0,163864.6666666667,518890.0,410080.09,361465.17,518890.0,369717.08,287578.36,518890.0,347256.2,246798.34,518890.0,392295.38,289144.35,260000.0,213967.11,170524.14,260000.0,227777.28,155520.02,260000.0,240361.26,202355.16,260000.0,193633.18,135557.14,260000.0,190641.2,151236.54,260000.0,217024.6,138499.64
