Country,Plan name,Strategic priority,Outcome,Output,Sub-Output,SDG Targets,SDG Goals,QCPR function,Total required resources,Total available resources,Total expenditure resources,2016 Required,2016 Available,2016 Expenditure,2017 Required,2017 Available,2017 Expenditure,2018 Required,2018 Available,2018 Expenditure,2019 Required,2019 Available,2019 Expenditure,2020 Required,2020 Available,2020 Expenditure,2021 Required,2021 Available,2021 Expenditure,2022 Required,2022 Available,2022 Expenditure,2023 Required,2023 Available,2023 Expenditure,2024 Required,2024 Available,2024 Expenditure,2025 Required,2025 Available,2025 Expenditure,2026 Required,2026 Available,2026 Expenditure,2027 Required,2027 Available,2027 Expenditure,2028 Required,2028 Available,2028 Expenditure
Pacific,United Nations Sustainable Development Cooperation Framework,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ","By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.","4.2.4 Enhanced capacities and systems to identify security threats, including climate security","FJ 1 Technical support to law enforcement and border agencies to fight transnational organised crime including human trafficking, environment and maritime crime","16.2 End abuse, exploitations, trafficking and all forms of violence against and torture of children.,16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.",16 Peace and Justice - Strong Institutions,Capacity Development/Technical Assistance,250000,150000,150000.0,125000.0,107728.13,92064.98,125000.0,99621.16,86685.09,125000.0,109829.27,91836.09,125000.0,82952.42,59815.78,125000.0,102172.24,75886.11,125000.0,106214.25,91843.43,125000.0,96298.99,76896.7,150000.0,111849.21,81692.57,100000.0,89803.12,81994.02,125000.0,86940.02,73169.75,,,,,,,,,
Pacific,United Nations Sustainable Development Cooperation Framework,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ","By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.","4.3.4 Increased awareness among criminal justice authorities, communities and the public on the threats posed by cybercrime and policy support to adapt national legislation to prevent related offenses",SOI 1 Technical support to criminal justice authorities to strengthen cybercrime investigations,"16.a Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime.",16 Peace and Justice - Strong Institutions,Convening/Partnerships/Knowledge Sharing; Data Collection and Analysis; Policy Advice and Thought Leadership; Capacity Development/Technical Assistance,750000,0,0.0,375000.0,312413.63,268138.97,375000.0,274935.4,220668.55,375000.0,337865.66,282168.48,375000.0,265963.58,240238.99,375000.0,343047.9,243538.91,375000.0,315042.62,286474.38,375000.0,290534.54,276007.81,250000.0,178774.51,124916.21,500000.0,410550.8,325299.08,375000.0,290071.41,244935.05,,,,,,,,,
Cambodia,Cambodia United Development Assistance Framework 2019-2023,"Strategic Priority 4 - Women and men, including those underrepresented, marginalized and vulnerable, benefit from more transparent and accountable legislative and governance frameworks that ensure meaningful and informed participation in economic and social development and political processes","Outcome 4.3 - Laws and policies meet international norms and standards, and are effectively implemented and monitored, addressing the rights of the most vulnerable and providing opportunities and secure democratic space for women and men to exercise political rights, freedom of expression, association and assembly","Laws, policies and institutions are aligned with international norms and standards are adequately consulted, costed, resourced, implemented, monitored and address the needs of vulnerable groups","Enhancing crime prevention measures in Cambodia by building technical capacity of law enforcement agencies and raise awareness of prosecutors on newly introduced legal instruments and investigative techniques, including on investigation and prosecution of cybercrime cases.","16.6 Develop effective, accountable and transparent institutions at all levels.",16 Peace and Justice - Strong Institutions,Capacity Development/Technical Assistance,179000,179000,0.0,179000.0,154181.05,142491.2,179000.0,155244.21,145593.64,179000.0,131397.43,112970.82,179000.0,130456.36,97625.98,179000.0,160530.31,137177.27,179000.0,143330.54,110227.5,179000.0,153284.9,126418.56,179000.0,153484.88,112988.41,179000.0,146737.2,119013.54,179000.0,141460.0,123831.52,,,,,,,,,
Pacific,United Nations Sustainable Development Cooperation Framework,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ","By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.","4.3.4 Increased awareness among criminal justice authorities, communities and the public on the threats posed by cybercrime and policy support to adapt national legislation to prevent related offenses",FJ 1 Technical support to criminal justice authorities to strengthen cybercrime investigations,"16.a Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime.",16 Peace and Justice - Strong Institutions,Capacity Development/Technical Assistance,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,100773.02,72182.31,57224.41,49369.05,43144.09,39496.98,75071.035,55815.42,49347.14,,,,,,,,,
Pacific,United Nations Sustainable Development Cooperation Framework,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ","By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.","4.2.4 Enhanced capacities and systems to identify security threats, including climate security",RMI 141 Technical support to law enforcement and border agencies to fight transnational organised crime including human trafficking and maritime crime,-,-,Capacity Development/Technical Assistance,200000,100000,30000.0,100000.0,70417.1,58400.16,100000.0,71896.36,54394.84,100000.0,81775.63,76057.49,100000.0,73442.57,67038.46,100000.0,86110.27,73176.5,100000.0,84830.76,62240.15,100000.0,77186.63,69075.28,100000.0,74870.22,58083.61,100000.0,78097.04,68154.44,100000.0,86222.33,63922.11,,,,,,,,,
Pacific,United Nations Sustainable Development Cooperation Framework,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ","By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.","4.2.4 Enhanced capacities and systems to identify security threats, including climate security","SOI 1 Technical support to law enforcement and border agencies to fight transnational organised crime including human trafficking, environment and maritime crime","15.c Enhance global support for efforts to combat poaching and trafficking of protected species, including by increasing the capacity of local communities to pursue sustainable livelihood opportunities.,16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.",15 Life on Land; 16 Peace and Justice - Strong Institutions,-,270000,0,0.0,135000.0,108302.22,102887.11,135000.0,93231.25,72198.93,135000.0,119465.65,96946.96,135000.0,90986.97,75359.2,135000.0,125147.73,95823.59,135000.0,116138.5,99051.59,135000.0,99933.85,93912.18,120000.0,89359.93,68921.49,150000.0,137464.81,118690.51,135000.0,108219.12,88758.2,,,,,,,,,
Pacific,United Nations Sustainable Development Cooperation Framework,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ","By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.","4.2.4 Enhanced capacities and systems to identify security threats, including climate security","SAM 146 Technical support to law enforcement and border agencies to fight transnational organised crime including maritime crime, human trafficking and environment crime",-,-,-,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,
Pacific,United Nations Sustainable Development Cooperation Framework,"PEACE: Ensuring Peace Human Rights, Gender Equality and Participation ","By 2027, people enjoy and contribute to more accountable, inclusive, resilient and responsive governance systems that promote gender equality, climate security, justice and peace, ensure participation, and protect their human rights.","4.3.4 Increased awareness among criminal justice authorities, communities and the public on the threats posed by cybercrime and policy support to adapt national legislation to prevent related offenses",VAN 1 Technical support to criminal justice authorities to strengthen cybercrime investigations,"16.a Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime.",16 Peace and Justice - Strong Institutions,Capacity Development/Technical Assistance,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,87346.29,66311.65,52453.7,53702.57,50269.47,47049.19,70524.43,59709.83,48451.78,,,,,,,,,
Indonesia,UNSDCF 2021-2025,Strategic Priority 1 - Inclusive Human Development,"Outcome 1.1 - People living in Indonesia, especially those at risk of being left furthest behind, are empowered to fulfil their human development potential as members of a pluralistic, tolerant, inclusive, and just society, free of gender and all other forms of discrimination","Output 1.1.7 - Government and key stakeholders at all levels have greater capacity and resources to develop and implement policy, legal and accountability frameworks to advance human rights, access to justice, promote gender equality and reduce vulnerabilities",1.1.7.25 - [Anti-corruption in other mandate areas]  Improved responses to prevent and combat corruption as a cross-cutting element as a facilitator to other types of crimes,16.5 Substantially reduce corruption and bribery in all their forms.,16 Peace and Justice - Strong Institutions,Convening/Partnerships/Knowledge Sharing; Policy Advice and Thought Leadership; Data Collection and Analysis; Capacity Development/Technical Assistance,300000,168200,81331.0,60000.0,47533.95,38716.36,60000.0,53077.43,35989.75,60000.0,52720.32,41776.39,60000.0,46875.56,29419.26,60000.0,52635.7,37226.04,10000.0,7310.44,5133.21,65000.0,56961.78,37019.08,30000.0,25708.33,18501.86,160000.0,120541.23,90199.94,35000.0,27630.04,20154.03,,,,,,,,,
Indonesia,UNSDCF 2021-2025,Strategic Priority 1 - Inclusive Human Development,"Outcome 1.1 - People living in Indonesia, especially those at risk of being left furthest behind, are empowered to fulfil their human development potential as members of a pluralistic, tolerant, inclusive, and just society, free of gender and all other forms of discrimination","Output 1.1.7 - Government and key stakeholders at all levels have greater capacity and resources to develop and implement policy, legal and accountability frameworks to advance human rights, access to justice, promote gender equality and reduce vulnerabilities",1.1.7.3 - Countering the Financing of Terrorism and Proceeds Crime in Indonesia,"16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all.,16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.",16 Peace and Justice - Strong Institutions,Convening/Partnerships/Knowledge Sharing; Capacity Development/Technical Assistance,1474130,1474130,536675.0,737065.0,647832.0,453250.91,737065.0,582423.72,371165.18,737065.0,675443.24,487457.02,737065.0,532958.86,351586.8,737065.0,624213.14,413631.13,1403057.0,1078266.57,720995.25,71073.0,51180.59,37747.34,737065.0,615145.7,545006.56,737065.0,605148.66,498583.11,737065.0,627201.35,448986.63,,,,,,,,,
