Country,Plan name,Strategic priority,Outcome,Output,Sub-Output,SDG Targets,SDG Goals,QCPR function,Total required resources,Total available resources,Total expenditure resources,2017 Required,2017 Available,2017 Expenditure,2018 Required,2018 Available,2018 Expenditure,2019 Required,2019 Available,2019 Expenditure,2020 Required,2020 Available,2020 Expenditure,2021 Required,2021 Available,2021 Expenditure,2022 Required,2022 Available,2022 Expenditure,2023 Required,2023 Available,2023 Expenditure,2024 Required,2024 Available,2024 Expenditure,2025 Required,2025 Available,2025 Expenditure,2026 Required,2026 Available,2026 Expenditure,2027 Required,2027 Available,2027 Expenditure
Kazakhstan,UN Sustainable Development Cooperation Framework 2021-2025,Strategic Priority 3: Prosperity and Planet - Inclusive Economic Growth and Environmental Sustainability,"Outcome 3.2: By 2025, all people in Kazakhstan, in particular most vulnerable, benefit from increased climate resilience, sustainable management of environment and clean energy, and sustainable rural and urban development.",Output 3.2.1: Solutions developed and resources mobilized for more sustainable use of ecosystems and natural resources for the improvement of the well-being of local communities and nature,Advancing Water Science for Societies in Central Asia,"6.5 By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate.,13.3 Improve education, awareness-raising and human and institutional capacity on climate change mitigation, adaptation, impact reduction and early warning.",6 Clean Water and Sanitation; 13 Climate Action,Capacity Development/Technical Assistance,37906.0,37906.0,5112,12635.333333333334,10051.21,7838.67,12635.333333333334,10700.45,8143.35,12635.333333333334,10970.16,7374.06,12635.333333333334,10943.89,8848.58,12635.333333333334,9069.91,6495.04,12635.333333333334,9173.26,7174.49,15381.0,13696.4,10814.74,9500.0,7377.97,5635.34,13025.0,10606.14,8720.65,,,,,,
Tajikistan,United Nations Sustainable Development Cooperation Framework 2023 - 2026,Inclusive human development ,Inclusive human development,"Strengthened institutional capacity for effective governance, planning, delivery and monitoring of equitable, safe, affordable and risk-informed water and sanitation services, (prioritising the most vulnerable)","National normative and regulatory documents (SOPs) developed and health and other service providers have required knowledge and skills on water, hygiene, and sanitation (WASH) to improve access to safe drinking water and sanitation","6.2 By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations.",6 Clean Water and Sanitation,Capacity Development/Technical Assistance,130000.0,0.0,0,65000.0,55089.39,47110.52,65000.0,60514.3,51777.95,65000.0,55340.23,47776.18,65000.0,49671.16,35027.06,65000.0,50128.18,44435.13,65000.0,55624.74,39577.5,100000.0,84608.97,59062.22,30000.0,25177.73,18643.72,65000.0,43986.74,36650.55,,,,,,
Ukraine,UNPF 2018-2022,"Strategic Priority 1 - Pillar 1 Sustainable economic growth, environment and employment.","Outcome 1.2 - By 2022, national institutions, private business and communities implement gender-responsive policies and practices to achieve sustainable management of natural resources, preservation of ecosystems, mitigation, adaptation to climate change and generation of green jobs","Output 1.2.1 - National and local authorities develop and adopt solutions in the areas of climate change adaptation and mitigation, energy and resource efficiency, renewables, chemicals, waste, sustainable management of natural resources, preparedness and response to environmental emergencies.","Support to water resources management (National Policy Dialogue, etc...)","6.a By 2030, expand international cooperation and capacitybuilding support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies.,6.b Support and strengthen the participation of local communities in improving water and sanitation management.,6.1 By 2030, achieve universal and equitable access to safe and affordable drinking water for all.,6.2 By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations.,6.3 By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally.,6.4 By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity.,6.5 By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate.,6.6 By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes.",6 Clean Water and Sanitation,Capacity Development/Technical Assistance,10000.0,10000.0,10000,10000.0,7116.9,5361.68,10000.0,7298.19,5071.95,10000.0,8041.43,5630.32,10000.0,9113.76,5993.64,10000.0,7291.4,5399.16,10000.0,7741.01,6340.57,10000.0,7787.81,5440.55,10000.0,7479.37,5304.63,10000.0,7667.7,4997.81,,,,,,
Turkiye,United Nations Sustainable Development Cooperation Framework,"Climate change, sustainable environment and livable cities","3.1 By 2025, all relevant actors take measures to accelerate climate action, to promote responsible production and consumption, to improve the management of risks and threats to people, to ensure sustainable management of the environment and natural resources in urban and ecosystem hinterlands.","Output 3.1.3 Solutions for energy efficiency, renewable energy, and just transition in energy sector are developed and prototyped.",3.1.3.11  Matching grant programmes for smallholder households living in uplands in Murat River Watershed Rehabilitation Project (MRWRP) area,"1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance.,1.5 By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters.,2.3 By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and nonfarm employment.,2.4 By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.,7.2 By 2030, increase substantially the share of renewable energy in the global energy mix.,8.2 Achieve higher levels of economic productivity through diversification, technological upgrading and innovation, including through a focus on high-value-added and labour-intensive sectors.",1 No Poverty; 2 Zero Hunger; 7 Affordable and Clean Energy; 8 Decent Jobs and Economic Growth,Direct Support/ Service Delivery,4881250.0,4881250.0,3486200,2440625.0,2164173.54,1832556.67,2440625.0,2084069.83,1750280.43,2440625.0,2074603.34,1852472.47,2440625.0,2096217.9,1821638.05,3927250.0,2913268.36,2563028.36,954000.0,893937.62,639968.65,2982033.06,1944742.91,1574102.31,1468220.35,1078599.17,833914.01,2386750.42625,1865395.76,1513889.84,,,,,,
Albania,United Nations Sustainable Development Cooperation Framework,"Sustainable, resilient and green economic growth and resource management","Outcome 2 - Economic Growth, Innovation and Climate Change ",2.4 Climate and ecosystem resources,Inception Workshop on equitable access to water and sanitation in Albania,"3.9 By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination.,6.1 By 2030, achieve universal and equitable access to safe and affordable drinking water for all.,6.2 By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations.,6.4 By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity.,6.5 By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate.,17.14 Enhance policy coherence for sustainable development.",3 Good Health and Well-being; 6 Clean Water and Sanitation; 17 Partnerships for the Goals,Capacity Development/Technical Assistance,17500.0,17500.0,17500,17500.0,14336.56,11854.83,17500.0,13694.8,9852.2,17500.0,14203.34,11884.77,17500.0,12462.52,8307.2,17500.0,12759.46,9879.07,17500.0,16480.53,11722.9,17500.0,13769.24,10165.27,17500.0,15931.37,14638.58,17500.0,14278.33,10399.19,,,,,,
Uzbekistan,United Nations Sustainable Development Cooperation Framework 2021-2025,"Sustainable, climate-responsible and resilient development","Outcome 5. By 2025, the most at risk regions and communities of Uzbekistan are more resilient to climate change and disasters, and benefit from increasingly sustainable and gender-sensitive efficient management of natural resources and infrastructure, robust climate action, inclusive environmental governance and protection.","Output 5.1. By 2025, innovative, sustainable, inclusive and age- and gender-responsive climate change adaptation and mitigation initiatives in agriculture, health, water, transport, energy production and building/housing/residential infrastructure sectors are designed, financed and implemented at national and regional levels, with a focus on at risk regions, including Aral Sea region",Implementation of the UN-Water Global Assessment and Analysis of Sanitation and Drinking-water (GLAAS) country survey and SDG 6 reporting. ,"6.1 By 2030, achieve universal and equitable access to safe and affordable drinking water for all.",6 Clean Water and Sanitation,Data Collection and Analysis,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,United Nations Transitional Framework,Strengthening Systems,Community Recovery interventions and nexus approaches in key sectors address displacement and strengthen individual and community resilience,Energy and Environment,Mykolaiv community benefits from support in the installation of automatic clean water dispensers throughout the city and their uninterrupted operations through stable electricity supply,"6.1 By 2030, achieve universal and equitable access to safe and affordable drinking water for all.,7.1 By 2030, ensure universal access to affordable, reliable and modern energy services.,11.1 By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums.",6 Clean Water and Sanitation; 7 Affordable and Clean Energy; 11 Sustainable Cities and Communities,Direct Support/ Service Delivery,82789.0,82789.0,82688,82789.0,55714.18,43080.82,82789.0,66026.72,53354.3,82789.0,75359.64,56166.46,82789.0,61853.91,47410.81,82789.0,67626.72,51809.26,82789.0,58746.79,53113.21,82789.0,70266.53,53089.43,82789.0,72674.59,61073.49,82789.0,57534.69,48643.4,,,,,,
Serbia,United Nations Sustainable Development Cooperation Framework,"Serbia harnesses the full potential of a green, sustainable and inclusive economy","1.1  Serbia adopts and implements climate change and environmentally friendly strategies that increase community resilience, decrease carbon footprint and amplify the benefits of national investments",Serbia shifts its energy consumption to be cleaner and more efficient and promote renewables,"1.1.1.4 UNECE- Assessment of energy-water nexus synergy opportunities (including renewable energy) in the Drina River Basin  leading to identification priority interventions and possible investments with cross-sectoral, climate (low carbon) and environmental benefits","7.2 By 2030, increase substantially the share of renewable energy in the global energy mix.",7 Affordable and Clean Energy,Data Collection and Analysis,40000.0,40000.0,5000,20000.0,15177.79,13163.19,20000.0,14365.55,12084.05,20000.0,16852.41,13908.11,20000.0,16726.51,13451.84,35000.0,25174.67,21705.2,5000.0,4183.75,3747.06,20000.0,16697.02,14785.14,20000.0,15062.69,10108.39,20000.0,14229.78,11324.62,,,,,,
Serbia,United Nations Sustainable Development Cooperation Framework,"Serbia harnesses the full potential of a green, sustainable and inclusive economy","1.1  Serbia adopts and implements climate change and environmentally friendly strategies that increase community resilience, decrease carbon footprint and amplify the benefits of national investments",Cities implement clean air strategies as part of urban development,"UNICEF-Children, Water and Climate Change","13.3 Improve education, awareness-raising and human and institutional capacity on climate change mitigation, adaptation, impact reduction and early warning.",13 Climate Action,Capacity Development/Technical Assistance; Direct Support/ Service Delivery; Convening/Partnerships/Knowledge Sharing,394000.0,394000.0,125000,197000.0,135354.24,115252.49,197000.0,144679.97,120618.74,197000.0,166519.58,149925.67,197000.0,156452.57,120328.34,197000.0,170991.91,143388.29,197000.0,172081.96,146965.28,197000.0,140567.83,125690.02,125000.0,106267.93,75360.03,269000.0,205066.61,148296.96,,,,,,
Uzbekistan,UNDAF 2016-2020,"Inclusive economic development, with a focus on employment and social protection","Outcome 1.1 - Outcome 1: By 2020, equitable and sustainable economic growth through productive employment, improvement of environment for business, entrepreneurship and innovations expanded for all.","Output 1.1.6 - Innovative agricultural practices and comprehensive local initiatives (access to basic services, income generation, SME and community-based tourism development) are applied to improve livelihoods and job opportunities for local communities of disadvantaged regions",1.1.6.2 - Renovation of 6 dispatch centers for improvement of water management systems in KKP,"6.b Support and strengthen the participation of local communities in improving water and sanitation management.,6.1 By 2030, achieve universal and equitable access to safe and affordable drinking water for all.,11.1 By 2030, ensure access for all to adequate, safe and affordable housing and basic services and upgrade slums.,11.a Support positive economic, social and environmental links between urban, peri-urban and rural areas by strengthening national and regional development planning.",6 Clean Water and Sanitation; 11 Sustainable Cities and Communities,-,32000.0,32000.0,32000,32000.0,22591.93,17595.04,32000.0,27808.67,25978.85,32000.0,23438.61,16847.43,32000.0,23988.42,21006.74,32000.0,25884.93,21101.25,32000.0,24297.92,21430.39,32000.0,22792.91,19732.71,32000.0,25002.91,21793.1,32000.0,25007.53,19680.4,,,,,,
