Country,Plan name,Strategic priority,Outcome,Output,Sub-Output,SDG Targets,SDG Goals,QCPR function,Total required resources,Total available resources,Total expenditure resources,2017 Required,2017 Available,2017 Expenditure,2018 Required,2018 Available,2018 Expenditure,2019 Required,2019 Available,2019 Expenditure,2020 Required,2020 Available,2020 Expenditure,2021 Required,2021 Available,2021 Expenditure,2022 Required,2022 Available,2022 Expenditure,2023 Required,2023 Available,2023 Expenditure,2024 Required,2024 Available,2024 Expenditure,2025 Required,2025 Available,2025 Expenditure,2026 Required,2026 Available,2026 Expenditure,2027 Required,2027 Available,2027 Expenditure
the Caribbean,United Nations Sustainable Development Cooperation Framework,"Peace, Safety, Justice, and the Rule of Law","Regional and national laws, policies, systems, and institutions improve access to justice and promote peace, social cohesion, and security",1.7.7 BDS  Increased use of data to drive innovation in  crime and violence regionally ,"2.7.7 BDS National and regional actors have enhanced capacity for improve governance, crime data management, crime response management and coordination",16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all.,16 Peace and Justice - Strong Institutions,Data Collection and Analysis,1102926,1102927,871373,551463.0,402323.52,283440.73,551463.0,456188.1,361536.13,551463.0,436077.3,376802.06,551463.0,461842.62,336728.93,551463.0,325659.94,252203.24,464790.0,400223.11,304783.35,638136.0,547260.29,456696.57,551463.0,502362.18,420802.2,551463.0,454905.07,415810.51,,,,,,
Brazil,United Nations Development Assistance Framework,"Peace: A peaceful, fair, and inclusive society","Outcome 6: A peaceful, fair and inclusive society promoted through social participation, transparency and democratic governance, respecting the secularity of the State and ensuring human rights for all","6.1 Legislation, public policies and institutional capacities strengthened and aligned with international human rights standards to protect, prevent and respond to violence, crime, exploitation, neglect and discrimination, including against groups in situations of greater vulnerability or emergency, considering gender, race, ethnicity, origin, nationality and age, ensuring democratic and transparent governance with broad social participation and access to justice",UNDP UN-Habitat UNODC - Prevention of crime and violence in the state of Pernambuco ,"11.7 By 2030, provide universal access to safe, inclusive and accessible, green and public spaces, in particular for women and children, older persons and persons with disabilities.,16.1 Significantly reduce all forms of violence and related death rates everywhere.,16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all.",11 Sustainable Cities and Communities; 16 Peace and Justice - Strong Institutions,Capacity Development/Technical Assistance; Convening/Partnerships/Knowledge Sharing; Data Collection and Analysis; Policy Advice and Thought Leadership,1879462,1885190,575088,939731.0,786846.62,710797.19,939731.0,766326.8,494353.44,939731.0,811847.14,771254.78,939731.0,770361.92,576198.06,750416.0,513567.79,383877.9,1129046.0,923614.39,863886.11,939731.0,803395.65,655783.97,939731.0,779322.13,642614.22,939731.0,746711.24,583909.22,,,,,,
the Caribbean,United Nations Sustainable Development Cooperation Framework,"Peace, Safety, Justice, and the Rule of Law","Regional and national laws, policies, systems, and institutions improve access to justice and promote peace, social cohesion, and security","MSDCF 7.1: Institutional capacity strengthened to reduce gender-based violence, violence against women and children and/or abuse","Training and capacity building to manage gender based violence (sexual abuse, IPV and Trafficking) cases [including cybercrimes] and promote women’s empowerment","5.2 Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation.,5.c Adopt and strengthen sound policies and enforceable legislation for the promotion of gender equality and the empowerment of all women and girls at all levels.,16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all.",5 Gender Equality; 16 Peace and Justice - Strong Institutions,Capacity Development/Technical Assistance,590000,566917,20000,295000.0,236018.42,171575.91,295000.0,276085.52,235822.44,295000.0,238863.63,200454.8,295000.0,237395.6,173753.92,295000.0,224506.85,137025.83,90000.0,78766.03,59684.66,500000.0,475000.0,424133.32,35897.81,31605.84,27843.8,266210.8677777778,177486.17,152732.73,,,,,,
Brazil,United Nations Sustainable Development Cooperation Framework,4. Governança e Capacidades Institucionais,"4.2 Até 2027, a sociedade brasileira - especialmente grupos e pessoas em situação de vulnerabilidade - terá maior acesso a bens e serviços públicos de qualidade, à inclusão digital e novas tecnologias, maior capacidade de exercer seus direitos e contribuir com o processo de tomada de decisão, livres de violência e discriminação, para redução das desigualdades sociais e promoção da igualdade de geração, gênero, raça e etnia.","4.2.2 Gestão pública participativa e fortalecida, baseada em evidências e dados desagregados, com o estabelecimento de estratégias de elaboração, execução, monitoramento e avaliação participativa de políticas públicas, e com atenção aos grupos e pessoas em situação de vulnerabilidade.",UNODC BRACF23 SAR-TI Community-based organizations and public authorities' capacities strenghened to prevent and mitigate the impact of environmental crimes related to illegal gold mining in Indigenous territories,"3.9 By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination.,16.a Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime.",3 Good Health and Well-being; 16 Peace and Justice - Strong Institutions,Policy Advice and Thought Leadership; Convening/Partnerships/Knowledge Sharing; Capacity Development/Technical Assistance,627193,571900,196795,313596.5,254539.09,180590.82,313596.5,294967.24,235462.12,313596.5,221373.59,197188.75,313596.5,256359.6,237449.79,313596.5,236962.48,217391.02,313596.5,207699.03,163497.1,313596.5,260874.65,169130.43,252193.0,206932.12,153605.02,375000.0,327082.14,226847.83,,,,,,
the Caribbean,United Nations Sustainable Development Cooperation Framework,"Peace, Safety, Justice, and the Rule of Law","Regional and national laws, policies, systems, and institutions improve access to justice and promote peace, social cohesion, and security","BZE 7.1: By 2024, institutional capacity developed for human rights-based governance, coordination and programming aligned with international standards to combat violence and increase safety, including within families.","BZE 7.1.11 Increased capacity among duty bearers (justice, CSOs) to manage GBV (sexual abuse, IPV and Trafficking) cases [including cybercrimes] and promote women’s empowerment.","5.1 End all forms of discrimination against all women and girls everywhere.,5.2 Eliminate all forms of violence against all women and girls in the public and private spheres, including trafficking and sexual and other types of exploitation.,5.c Adopt and strengthen sound policies and enforceable legislation for the promotion of gender equality and the empowerment of all women and girls at all levels.,16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all.,16.6 Develop effective, accountable and transparent institutions at all levels.,16.b Promote and enforce non-discriminatory laws and policies for sustainable development.",5 Gender Equality; 16 Peace and Justice - Strong Institutions,-,10000,0,0,10000.0,6950.63,5396.55,10000.0,8551.32,7173.24,10000.0,8766.54,7611.08,10000.0,7243.0,6288.02,10000.0,6815.86,4807.78,10000.0,8659.61,5973.04,10000.0,8739.85,7515.52,10000.0,7355.54,6699.25,10000.0,6394.33,5624.8,,,,,,
Haiti,United Nations Sustainable Development Cooperation Framework,"GOUVERNANCE, SÉCURITÉ ET ÉTAT DE DROIT","Des institutions légitimes et redevables garantissent l’État de droit, la bonne gouvernance et le respect des droits humains ",Produit 1.1. La représentation et la participation des différentes parties prenantes au processus inclusif de révision/reforme de la constitution est améliorée pour accompagner le processus de renforcement institutionnel,"Renforcer la capacité d'Haïti à enquêter, poursuivre et juger les affaires de corruption et de crimes économiques, de blanchiment d'argent et d'infractions principales associées, et améliorer l'échange d'informations avec les enquêteurs internationaux sur la criminalité transnationale organisée. ","16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime.,16.5 Substantially reduce corruption and bribery in all their forms.,16.6 Develop effective, accountable and transparent institutions at all levels.",16 Peace and Justice - Strong Institutions,Normative Support; Capacity Development/Technical Assistance,11807262,5903631,650000,5903631.0,5306429.04,4375226.05,5903631.0,4402225.58,3555311.82,5903631.0,5044617.32,3864431.41,5903631.0,4801072.64,3925859.96,5903631.0,4982769.62,4135079.86,5903631.0,5030004.67,4473470.07,5903631.0,3764286.25,2948140.95,5903631.0,4893231.26,3847908.72,5903631.0,4874123.57,4126461.23,,,,,,
Brazil,United Nations Development Assistance Framework,Planet: Sustainable management of natural resources for current and future generations,"Outcome 3: Strengthened institutional capacity to promote and implement coherent public policies for the sustainable management of natural resources and ecosystem services, and for combating climate change and its adverse effects","3.1 Institutional capacities of governmental, non-governmental organizations and multi-sector networks strengthened to support innovation and the transition to more sustainable management of natural resources and ecosystem services, as well as to combat climate change and its adverse effects in rural and urban areas",UNODC Strengthening the criminal justice system response to illegal deforestation and timber trafficking – from crime scene to court,"12.2 By 2030, achieve the sustainable management and efficient use of natural resources.,15.1 By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements.,15.2 By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally.",12 Responsible Consumption and Production; 15 Life on Land,Capacity Development/Technical Assistance,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,United Nations Sustainable Development Cooperation Framework,4. Governança e Capacidades Institucionais,"4.1 Em 2027, o Brasil terá fortalecido, no marco do estado democrático de direito, sua governança, legislação, capacidades e articulação institucionais com ampliação da participação popular para elaborar e executar políticas públicas baseadas em evidências, em direitos humanos e igualdade de geração, gênero, raça e etnia, com vistas à prevenção e ao enfrentamento à corrupção, ao crime e às múltiplas formas de violência, e orientadas às especificidades do território e à transparência, com inovação, cooperação nacional e internacional, e ampla participação da sociedade.","4.1.1 Instituições públicas e da sociedade civil com capacidades fortalecidas de participação no controle, desenvolvimento e aplicação do marco legal de transparência, integridade, combate à corrupção, e de inovações tecnológicas no setor público, ampliando a transparência e o acesso a dados e informações sobre a oferta e a qualidade dos serviços prestados à população, e desenvolvendo soluções, baseadas nos direitos humanos e na igualdade de geração, gênero, raça e etnia, para os desafios nacionais e locais.",UNODC SPORTS Sports Organizations and Governments strenghtened to tackle corruption and economic crime in sport,"16.5 Substantially reduce corruption and bribery in all their forms.,16.6 Develop effective, accountable and transparent institutions at all levels.",16 Peace and Justice - Strong Institutions,Capacity Development/Technical Assistance; Data Collection and Analysis; Policy Advice and Thought Leadership; Convening/Partnerships/Knowledge Sharing,122066,121416,78416,61033.0,46482.04,32388.4,61033.0,49745.26,39553.73,61033.0,44763.99,40006.7,61033.0,51185.37,40806.85,61033.0,48148.56,39457.05,61033.0,46847.13,35158.84,61033.0,44362.4,33642.7,78416.0,58262.13,44662.66,43650.0,33677.0,22401.13,,,,,,
Brazil,United Nations Sustainable Development Cooperation Framework,4. Governança e Capacidades Institucionais,"4.1 Em 2027, o Brasil terá fortalecido, no marco do estado democrático de direito, sua governança, legislação, capacidades e articulação institucionais com ampliação da participação popular para elaborar e executar políticas públicas baseadas em evidências, em direitos humanos e igualdade de geração, gênero, raça e etnia, com vistas à prevenção e ao enfrentamento à corrupção, ao crime e às múltiplas formas de violência, e orientadas às especificidades do território e à transparência, com inovação, cooperação nacional e internacional, e ampla participação da sociedade.","4.1.4 Capacidade do setor público e da sociedade civil fortalecida, com vistas a implementar experiências exitosas, nacional e internacionalmente, inclusive por meio da cooperação sul-sul e trilateral, para otimizar os resultados das políticas públicas.","UNODC National capacities strenghtened to address Organized Crime, Corruption, the World Drug Problem and promote Crime Prevention and Criminal Justice","16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all.,16.5 Substantially reduce corruption and bribery in all their forms.,16.6 Develop effective, accountable and transparent institutions at all levels.,16.a Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime.,17.6 Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism.",16 Peace and Justice - Strong Institutions; 17 Partnerships for the Goals,Convening/Partnerships/Knowledge Sharing; Policy Advice and Thought Leadership,65730,55730,55730,32865.0,27183.49,17323.17,32865.0,29128.53,24483.96,32865.0,24229.98,21719.28,32865.0,26392.38,22792.0,32865.0,23968.27,18284.14,32865.0,27314.28,20579.2,32865.0,25953.59,18574.45,55730.0,42182.99,31535.63,10000.0,8445.35,6094.9,,,,,,
the Caribbean,United Nations Sustainable Development Cooperation Framework,"Peace, Safety, Justice, and the Rule of Law","Regional and national laws, policies, systems, and institutions improve access to justice and promote peace, social cohesion, and security","MSDCF 7.2: Governance mechanisms strengthened to protect and advance human rights, combat corruption, reduce crime and curb violence ",GUY 7.2.10 Support to the fight on Crimes against the Environment - UNODC Global Programme on Crimes against the Environment,"15.c Enhance global support for efforts to combat poaching and trafficking of protected species, including by increasing the capacity of local communities to pursue sustainable livelihood opportunities.",15 Life on Land,Capacity Development/Technical Assistance,70000,70000,0,70000.0,50524.18,44892.06,70000.0,60337.6,50363.82,70000.0,57008.63,53294.9,70000.0,52673.54,41560.36,70000.0,47502.07,37519.09,70000.0,64342.42,44511.45,70000.0,60883.18,52544.25,70000.0,56687.36,49676.51,70000.0,48211.41,42945.98,,,,,,
